Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,NULL,C0020A;716.500,NULL,716.5,NULL,NULL,716.5,NULL,NULL,C0020A;726.500,NULL,726.5,NULL,NULL,726.5,C0020A-32SMW WR,CKY000000000005031300,PP,NULL,10,tanikawa337,>4,CKY,2012-08-15T14:08:01Z,NULL,18.7438,8.4676,34.8551,16.1113,27.781,12.0546,9.0372,7.3307,7.1589,3.4704,10.6293,3.587,0.2566,0.1166,8.7806,0.455,0.8349,1.5157,0.8261,2.5301,0.6735,2.0628,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;716.500,NULL,716.5,NULL,NULL,716.5,NULL,NULL,C0020A;726.500,NULL,726.5,NULL,NULL,726.5,C0020A-32SMW WR,CKY000000000005031400,PP,NULL,5,tanikawa337,<1,CKY,2012-08-15T14:08:01Z,NULL,18.8367,8.514,33.5622,14.7255,25.0441,10.9195,6.2074,8.827,8.6201,2.2651,10.8852,2.4055,0.3089,0.1404,5.8985,0.5994,1.4965,1.3528,0.5419,2.6041,0.7919,3.8056,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;726.500,NULL,726.5,NULL,NULL,726.5,NULL,NULL,C0020A;736.500,NULL,736.5,NULL,NULL,736.5,C0020A-33SMW WR,CKY000000000005023400,PP,NULL,35,fujikit,NULL,CKY,2012-08-15T10:24:11Z,NULL,18.2748,8.2549,28.4699,10.1951,24.5779,10.7689,6.3031,4.0332,3.9387,2.4498,6.3885,2.514,0.1412,0.0642,6.1619,0.3956,0.6545,1.5959,0.9645,2.5153,0.6165,1.6078,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;726.500,NULL,726.5,NULL,NULL,726.5,NULL,NULL,C0020A;736.500,NULL,736.5,NULL,NULL,736.5,C0020A-33SMW WR,CKY000000000005032100,PP,NULL,10,tanikawa337,>4,CKY,2012-08-15T14:35:41Z,NULL,18.8712,8.4954,32.128,13.2568,26.5706,11.6198,7.6994,5.759,5.624,3.0328,8.6568,3.1244,0.2016,0.0916,7.4978,0.4344,0.7681,1.5314,0.8661,2.4722,0.6497,1.8544,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;726.500,NULL,726.5,NULL,NULL,726.5,NULL,NULL,C0020A;736.500,NULL,736.5,NULL,NULL,736.5,C0020A-33SMW WR,CKY000000000005032200,PP,NULL,5,tanikawa337,<1,CKY,2012-08-15T14:35:41Z,NULL,19.0205,8.572,28.906,9.8855,23.6633,10.4608,4.6428,5.4328,5.3055,1.8024,7.1079,1.8888,0.1901,0.0864,4.4527,0.5496,1.2201,1.3908,0.6264,2.4704,0.7464,2.9436,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;736.500,NULL,736.5,NULL,NULL,736.5,NULL,NULL,C0020A;746.500,NULL,746.5,NULL,NULL,746.5,C0020A-34SMW WR,CKY000000000005023600,PP,NULL,35,fujikit,NULL,CKY,2012-08-15T10:44:42Z,NULL,18.8683,8.4742,35.8794,17.0111,29.2636,12.7171,10.3953,6.8558,6.6951,4.1338,10.8289,4.2429,0.24,0.1091,10.1553,0.403,0.6751,1.5709,0.9378,2.4567,0.6183,1.6196,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;736.500,NULL,736.5,NULL,NULL,736.5,NULL,NULL,C0020A;746.500,NULL,746.5,NULL,NULL,746.5,C0020A-34SMW WR,CKY000000000005033100,PP,NULL,10,moritas337,>4,CKY,2012-08-15T15:43:51Z,NULL,18.7972,8.4999,40.0528,21.2556,31.0237,13.3158,12.2265,9.3566,9.1373,4.667,13.8043,4.8159,0.3275,0.1489,11.899,0.4402,0.7863,1.5398,0.862,2.5496,0.6619,1.9579,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;736.500,NULL,736.5,NULL,NULL,736.5,NULL,NULL,C0020A;746.500,NULL,746.5,NULL,NULL,746.5,C0020A-34SMW WR,CKY000000000005033200,PP,NULL,5,moritas337,<1,CKY,2012-08-15T15:43:52Z,NULL,18.8333,8.508,27.7514,8.9181,22.7261,9.9638,3.8928,5.2076,5.0855,1.3729,6.4584,1.4558,0.1823,0.0829,3.7105,0.5839,1.4035,1.3809,0.5745,2.7027,0.7874,3.7042,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;746.500,NULL,746.5,NULL,NULL,746.5,NULL,NULL,C0020A;756.500,NULL,756.5,NULL,NULL,756.5,C0020A-35SMW WR,CKY000000000005024500,PP,NULL,35,fujikit,NULL,CKY,2012-08-15T11:06:29Z,NULL,18.8828,8.4994,30.1782,11.2954,25.8635,11.3286,6.9807,4.4712,4.3664,2.7581,7.1245,2.8292,0.1565,0.0711,6.8242,0.3958,0.6552,1.5854,0.9578,2.4742,0.6129,1.5831,nishimuram,2012-09-17T18:06:31Z
NULL,NULL,C0020A;746.500,NULL,746.5,NULL,NULL,746.5,NULL,NULL,C0020A;756.500,NULL,756.5,NULL,NULL,756.5,C0020A-35SMW WR,CKY000000000005033800,PP,NULL,10,moritas337,>4,CKY,2012-08-15T16:16:51Z,NULL,18.8036,8.4725,40.2909,21.4873,31.801,13.6212,12.9974,8.7978,8.5916,5.0087,13.6003,5.1487,0.3079,0.14,12.6895,0.4094,0.6933,1.5799,0.933,2.5335,0.6317,1.7153,nishimuram,2012-09-17T18:06:31Z
