Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0011B-32R-4, 108.0 cm",NULL,NULL,601.325,601.325,601.325,601.325,"C0011B-32R-4, 109.0 cm",NULL,NULL,601.335,601.335,601.335,601.335,"C0011B-32R-4 W, 108.0--109.0 cm",CKY000000000000281710,PP,NULL,10,andre322,NULL,CKY,2009-09-15T18:44:41Z,NULL,174,glass beaker,6.018,2.69,9.6835,4.4998,3.6655,174,glass beaker,6.018,2.69,8.9832,3.8025,2.9652,0.7257,0.7087,1.1011,1.8098,1.1125,0.0254,0.0114,2.9398,0.198,0.2469,2.0254,1.6244,2.6699,0.3916,0.6436,fuway,2010-08-17T03:19:03Z
"C0011B-32R-5, 0.0 cm",NULL,NULL,601.39,601.39,601.39,601.39,"C0011B-32R-5, 2.0 cm",NULL,NULL,601.41,601.41,601.41,601.41,"C0011B-32R-5 WR, 0.0--2.0 cm",CKY000000000000271610,PP,NULL,5,katerina322,NULL,CKY,2009-09-15T12:22:44Z,NULL,416,glass beaker,6.213,2.815,10.6188,4.9607,4.4058,416,glass beaker,6.213,2.815,9.7654,4.111,3.5524,0.8844,0.8637,1.282,2.1457,1.296,0.031,0.014,3.5214,0.2007,0.2512,2.0533,1.6411,2.7468,0.4025,0.6737,yohei322,2009-09-17T01:09:26Z
"C0011B-33R-1, 22.0 cm",NULL,NULL,605.72,605.72,605.72,605.72,"C0011B-33R-1, 24.0 cm",NULL,NULL,605.74,605.74,605.74,605.74,"C0011B-33R-1 WR, 22.0--24.0 cm",CKY000000000000282410,PP,NULL,7,matt322,NULL,CKY,2009-09-15T19:17:01Z,NULL,424,glass beaker,6.2,2.809,9.9994,4.6872,3.7994,424,glass beaker,6.2,2.809,9.1797,3.8711,2.9797,0.8494,0.8295,1.0487,1.8782,1.0621,0.0297,0.0134,2.95,0.2236,0.2879,2.0229,1.5707,2.813,0.4416,0.791,yohei322,2009-09-17T01:09:27Z
"C0011B-33R-2, 0.0 cm",NULL,NULL,605.94,605.94,605.94,605.94,"C0011B-33R-2, 3.0 cm",NULL,NULL,605.97,605.97,605.97,605.97,"C0011B-33R-2 WR, 0.0--3.0 cm",CKY000000000000275410,PP,NULL,5,katerina322,NULL,CKY,2009-09-15T15:27:55Z,NULL,35,glass beaker,4.608,2.061,8.8155,4.1902,4.2075,35,glass beaker,4.608,2.061,7.9496,3.328,3.3416,0.8973,0.8763,1.2529,2.1292,1.267,0.0314,0.0141,3.3102,0.2133,0.2711,1.9761,1.5547,2.642,0.4116,0.6994,fuway,2010-08-17T03:18:53Z
"C0011B-33R-3, 45.0 cm",NULL,NULL,606.93,606.93,606.93,606.93,"C0011B-33R-3, 47.0 cm",NULL,NULL,606.95,606.95,606.95,606.95,"C0011B-33R-3 W, 45.0--47.0 cm",CKY000000000000283310,PP,NULL,10,andre322,NULL,CKY,2009-09-15T20:15:48Z,NULL,111,glass beaker,6.06,2.76,10.0606,4.7081,4.0006,111,glass beaker,6.06,2.76,9.248,3.899,3.188,0.8421,0.8224,1.1257,1.9481,1.139,0.0295,0.0133,3.1585,0.2105,0.2666,2.0536,1.6213,2.8058,0.4222,0.7306,fuway,2010-08-17T03:18:54Z
"C0011B-33R-3, 93.0 cm",NULL,NULL,607.41,607.41,607.41,607.41,"C0011B-33R-3, 95.0 cm",NULL,NULL,607.43,607.43,607.43,607.43,"C0011B-33R-3 W, 93.0--95.0 cm",CKY000000000000283410,PP,NULL,10,andre322,NULL,CKY,2009-09-15T20:16:09Z,NULL,166,glass beaker,6.109,2.76,9.9893,4.7006,3.8803,166,glass beaker,6.109,2.76,9.1896,3.9044,3.0806,0.8287,0.8093,1.1313,1.9406,1.1444,0.029,0.0131,3.0516,0.2136,0.2716,1.9995,1.5725,2.6974,0.417,0.7154,fuway,2010-08-17T03:19:02Z
"C0011B-33R-4, 27.0 cm",NULL,NULL,608.155,608.155,608.155,608.155,"C0011B-33R-4, 28.0 cm",NULL,NULL,608.165,608.165,608.165,608.165,"C0011B-33R-4 W, 27.0--28.0 cm",CKY000000000000284610,PP,NULL,5,glenn322,NULL,CKY,2009-09-15T21:07:27Z,NULL,401,glass beaker,6.303,2.854,10.5334,4.9089,4.2304,401,glass beaker,6.303,2.854,9.6326,4.012,3.3296,0.9335,0.9116,1.1433,2.0549,1.158,0.0327,0.0147,3.2969,0.2207,0.2831,2.0587,1.6044,2.8837,0.4436,0.7973,fuway,2010-08-17T03:19:04Z
"C0011B-33R-4, 100.0 cm",NULL,NULL,608.885,608.885,608.885,608.885,"C0011B-33R-4, 101.0 cm",NULL,NULL,608.895,608.895,608.895,608.895,"C0011B-33R-4 W, 100.0--101.0 cm",CKY000000000000284710,PP,NULL,5,glenn322,NULL,CKY,2009-09-15T21:07:28Z,NULL,204,glass beaker,6.056,2.748,8.5449,3.9724,2.4889,204,glass beaker,6.056,2.748,8.0213,3.4511,1.9653,0.5426,0.5299,0.6945,1.2244,0.7031,0.019,0.0086,1.9463,0.218,0.2788,2.0328,1.5896,2.8024,0.4328,0.763,yohei322,2009-09-17T01:09:27Z
"C0011B-33R-5, 38.0 cm",NULL,NULL,609.68,609.68,609.68,609.68,"C0011B-33R-5, 39.0 cm",NULL,NULL,609.69,609.69,609.69,609.69,"C0011B-33R-5 W, 38.0--39.0 cm",CKY000000000000286010,PP,NULL,10,andre322,NULL,CKY,2009-09-15T22:00:13Z,NULL,161,glass beaker,6.097,2.755,10.9892,5.1717,4.8922,161,glass beaker,6.097,2.755,10.0162,4.2029,3.9192,1.0083,0.9847,1.432,2.4167,1.4479,0.0353,0.0159,3.8839,0.2061,0.2596,2.0243,1.6071,2.7122,0.4075,0.6876,fuway,2010-08-17T03:19:00Z
"C0011B-33R-5, 133.0 cm",NULL,NULL,610.63,610.63,610.63,610.63,"C0011B-33R-5, 134.0 cm",NULL,NULL,610.64,610.64,610.64,610.64,"C0011B-33R-5 W, 133.0--134.0 cm",CKY000000000000286110,PP,NULL,10,andre322,NULL,CKY,2009-09-15T22:00:40Z,NULL,26,glass beaker,4.593,2.059,9.8308,4.6443,5.2378,26,glass beaker,4.593,2.059,8.7793,3.5974,4.1863,1.0896,1.0641,1.5212,2.5853,1.5384,0.0381,0.0172,4.1482,0.208,0.2627,2.026,1.6045,2.7269,0.4116,0.6995,fuway,2010-08-17T03:18:53Z
"C0011B-33R-6, 33.0 cm",NULL,NULL,611.04,611.04,611.04,611.04,"C0011B-33R-6, 35.0 cm",NULL,NULL,611.06,611.06,611.06,611.06,"C0011B-33R-6 W, 33.0--35.0 cm",CKY000000000000290710,PP,NULL,10,andre322,NULL,CKY,2009-09-15T22:55:53Z,NULL,429,glass beaker,6.209,2.798,10.7056,5.0592,4.4966,429,glass beaker,6.209,2.798,9.7371,4.0949,3.5281,1.0036,0.9801,1.2811,2.2612,1.2969,0.0351,0.0158,3.493,0.2232,0.2873,1.9886,1.5448,2.7266,0.4334,0.765,fuway,2010-08-17T03:19:08Z
"C0011B-33R-6, 124.0 cm",NULL,NULL,611.95,611.95,611.95,611.95,"C0011B-33R-6, 125.0 cm",NULL,NULL,611.96,611.96,611.96,611.96,"C0011B-33R-6 W, 124.0--125.0 cm",CKY000000000000290810,PP,NULL,10,andre322,NULL,CKY,2009-09-15T22:55:53Z,NULL,155,glass beaker,6.058,2.705,10.1773,4.7835,4.1193,155,glass beaker,6.058,2.705,9.3243,3.9342,3.2663,0.8839,0.8632,1.2153,2.0785,1.2292,0.0309,0.0139,3.2354,0.2146,0.2732,1.9819,1.5566,2.6622,0.4153,0.7103,matt322,2009-09-17T10:05:03Z
"C0011B-33R-7, 25.0 cm",NULL,NULL,612.395,612.395,612.395,612.395,"C0011B-33R-7, 26.0 cm",NULL,NULL,612.405,612.405,612.405,612.405,"C0011B-33R-7 W, 25.0--26.0 cm",CKY000000000000291010,PP,NULL,5,glenn322,NULL,CKY,2009-09-15T23:29:25Z,NULL,410,glass beaker,6.223,2.787,9.5268,4.5219,3.3038,410,glass beaker,6.223,2.787,8.7538,3.7523,2.5308,0.801,0.7822,0.9527,1.7349,0.9653,0.028,0.0126,2.5028,0.2424,0.32,1.9043,1.4426,2.6271,0.4509,0.821,fuway,2010-08-17T03:19:05Z
"C0011B-35R-1, 25.0 cm",NULL,NULL,624.736,624.75,624.736,624.75,"C0011B-35R-1, 26.0 cm",NULL,NULL,624.745,624.76,624.745,624.76,"C0011B-35R-1 W, 25.0--26.0 cm",CKY000000000000304510,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T03:20:45Z,NULL,137,glass beaker,6.09,2.774,9.7318,4.546,3.6418,137,glass beaker,6.09,2.774,8.9265,3.7443,2.8365,0.8345,0.8149,0.9571,1.772,0.9703,0.0292,0.0132,2.8073,0.2291,0.2973,2.0552,1.5843,2.9331,0.4599,0.8514,matt322,2009-09-17T07:07:58Z
"C0011B-35R-1, 100.0 cm",NULL,NULL,625.443,625.5,625.443,625.5,"C0011B-35R-1, 101.0 cm",NULL,NULL,625.452,625.51,625.452,625.51,"C0011B-35R-1 W, 100.0--101.0 cm",CKY000000000000304610,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T03:20:45Z,NULL,428,glass beaker,6.17,2.776,9.6806,4.5488,3.5106,428,glass beaker,6.17,2.776,8.9301,3.8016,2.7601,0.7777,0.7595,1.0133,1.7728,1.0256,0.0272,0.0123,2.7329,0.2215,0.2846,1.9803,1.5416,2.697,0.4284,0.7495,fuway,2010-08-17T03:19:08Z
"C0011B-35R-2, 25.0 cm",NULL,NULL,626.07,626.165,626.07,626.165,"C0011B-35R-2, 26.0 cm",NULL,NULL,626.079,626.175,626.079,626.175,"C0011B-35R-2 W, 25.0--26.0 cm",CKY000000000000305310,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T04:08:26Z,NULL,432,glass beaker,6.164,2.77,10.119,4.8021,3.955,432,glass beaker,6.164,2.77,9.2745,3.9613,3.1105,0.8751,0.8546,1.1775,2.0321,1.1913,0.0306,0.0138,3.0799,0.2213,0.2841,1.9463,1.5156,2.6156,0.4206,0.7258,matt322,2009-09-17T10:30:44Z
"C0011B-35R-2, 100.0 cm",NULL,NULL,626.777,626.915,626.777,626.915,"C0011B-35R-2, 101.0 cm",NULL,NULL,626.787,626.925,626.787,626.925,"C0011B-35R-2 W, 100.0--101.0 cm",CKY000000000000305410,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T04:08:26Z,NULL,34,glass beaker,4.693,2.123,10.8804,5.2769,6.1874,34,glass beaker,4.693,2.123,9.5038,3.9063,4.8108,1.4265,1.3931,1.7608,3.1539,1.7833,0.0499,0.0225,4.7609,0.2305,0.2996,1.9618,1.5095,2.7038,0.4417,0.7912,matt322,2009-09-17T10:30:44Z
"C0011B-35R-3, 23.0 cm",NULL,NULL,627.39,627.565,627.39,627.565,"C0011B-35R-3, 25.0 cm",NULL,NULL,627.409,627.585,627.409,627.585,"C0011B-35R-3 WR, 23.0--25.0 cm",CKY000000000000292110,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T00:24:45Z,NULL,125,glass beaker,6.079,2.755,9.6911,4.5317,3.6121,125,glass beaker,6.079,2.755,8.9336,3.7775,2.8546,0.785,0.7666,1.0101,1.7767,1.0225,0.0275,0.0124,2.8271,0.2173,0.2777,2.033,1.5912,2.7988,0.4315,0.7589,fuway,2010-08-17T03:18:55Z
"C0011B-35R-3, 96.0 cm",NULL,NULL,628.079,628.295,628.079,628.295,"C0011B-35R-3, 97.0 cm",NULL,NULL,628.088,628.305,628.088,628.305,"C0011B-35R-3 W, 96.0--97.0 cm",CKY000000000000309610,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T05:07:09Z,NULL,110,glass beaker,5.996,2.666,9.1212,4.8252,3.1252,110,glass beaker,5.996,2.666,8.3849,4.0921,2.3889,0.763,0.7451,1.4141,2.1592,1.4261,0.0267,0.012,2.3622,0.2441,0.323,1.4474,1.094,1.6705,0.3451,0.5269,fuway,2010-08-17T03:18:54Z
"C0011B-35R-4, 0.0 cm",NULL,NULL,628.144,628.365,628.144,628.365,"C0011B-35R-4, 3.0 cm",NULL,NULL,628.173,628.395,628.173,628.395,"C0011B-35R-4 WR, 0.0--3.0 cm",CKY000000000000286710,PP,NULL,5,matt322,NULL,CKY,2009-09-15T22:04:27Z,NULL,181,glass beaker,6.053,2.726,9.8144,4.5908,3.7614,181,glass beaker,6.053,2.726,9.0061,3.786,2.9531,0.8376,0.818,1.0468,1.8648,1.06,0.0293,0.0132,2.9238,0.2227,0.2865,2.0171,1.5679,2.7931,0.4387,0.7814,fuway,2010-08-17T03:19:03Z
"C0011B-35R-5, 25.0 cm",NULL,NULL,628.889,629.155,628.889,629.155,"C0011B-35R-5, 26.0 cm",NULL,NULL,628.899,629.165,628.899,629.165,"C0011B-35R-5 W, 25.0--26.0 cm",CKY000000000000310310,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T05:58:23Z,NULL,184,glass beaker,6.058,2.733,10.2795,4.9303,4.2215,184,glass beaker,6.058,2.733,9.327,3.9819,3.269,0.987,0.9639,1.2334,2.1973,1.2489,0.0345,0.0155,3.2345,0.2338,0.3051,1.9212,1.472,2.6224,0.4387,0.7815,matt322,2009-09-17T14:44:46Z
"C0011B-35R-5, 87.0 cm",NULL,NULL,629.474,629.775,629.474,629.775,"C0011B-35R-5, 89.0 cm",NULL,NULL,629.493,629.795,629.493,629.795,"C0011B-35R-5 WR, 87.0--89.0 cm",CKY000000000000293010,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T00:27:54Z,NULL,31,glass beaker,4.613,2.084,7.0594,3.2975,2.4464,31,glass beaker,4.613,2.084,6.5528,2.7931,1.9398,0.525,0.5127,0.7008,1.2135,0.7091,0.0184,0.0083,1.9214,0.2146,0.2732,2.016,1.5834,2.7417,0.4225,0.7316,fuway,2010-08-17T03:18:53Z
"C0011B-35R-6, 16.5 cm",NULL,NULL,630.134,630.475,630.134,630.475,"C0011B-35R-6, 17.5 cm",NULL,NULL,630.144,630.485,630.144,630.485,"C0011B-35R-6 W, 16.5--17.5 cm",CKY000000000000310710,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T06:45:56Z,NULL,11,glass beaker,4.544,2.033,6.6576,3.1183,2.1136,11,glass beaker,4.544,2.033,6.1867,2.6494,1.6427,0.488,0.4766,0.6087,1.0853,0.6164,0.0171,0.0077,1.6256,0.2309,0.3002,1.9475,1.4978,2.6706,0.4391,0.783,fuway,2010-08-17T03:18:51Z
"C0011B-35R-6, 60.0 cm",NULL,NULL,630.544,630.91,630.544,630.91,"C0011B-35R-6, 62.0 cm",NULL,NULL,630.563,630.93,630.563,630.93,"C0011B-35R-6 WR, 60.0--62.0 cm",CKY000000000000293810,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T00:30:50Z,NULL,126,glass beaker,6.045,2.685,9.0244,4.0948,2.9794,126,glass beaker,6.045,2.685,8.5714,3.6438,2.5264,0.4694,0.4584,0.9514,1.4098,0.9588,0.0164,0.0074,2.51,0.1575,0.187,2.1133,1.7804,2.6382,0.3252,0.4818,fuway,2010-08-17T03:18:56Z
"C0011B-35R-6, 115.0 cm",NULL,NULL,631.063,631.46,631.063,631.46,"C0011B-35R-6, 117.0 cm",NULL,NULL,631.082,631.48,631.082,631.48,"C0011B-35R-6 WR, 115.0--117.0 cm",CKY000000000000294610,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T00:33:37Z,NULL,158,glass beaker,6.019,2.71,9.9694,4.6768,3.9504,158,glass beaker,6.019,2.71,9.1708,3.8817,3.1518,0.8276,0.8082,1.1586,1.9668,1.1717,0.029,0.0131,3.1228,0.2095,0.265,2.0085,1.5878,2.6953,0.4109,0.6976,matt322,2009-09-17T07:07:58Z
"C0011B-35R-7, 25.0 cm",NULL,NULL,631.563,631.99,631.563,631.99,"C0011B-35R-7, 26.0 cm",NULL,NULL,631.572,632,631.572,632,"C0011B-35R-7 WR, 25.0--26.0 cm",CKY000000000000314710,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T07:50:54Z,NULL,433,glass beaker,6.174,2.794,9.7903,4.6426,3.6163,433,glass beaker,6.174,2.794,8.9927,3.8485,2.8187,0.8265,0.8071,1.0415,1.8486,1.0545,0.0289,0.013,2.7898,0.2285,0.2963,1.9562,1.5091,2.6786,0.4366,0.7749,fuway,2010-08-17T03:19:08Z
"C0011B-35R-7, 94.0 cm",NULL,NULL,632.213,632.68,632.213,632.68,"C0011B-35R-7, 96.0 cm",NULL,NULL,632.232,632.7,632.232,632.7,"C0011B-35R-7 WR, 94.0--96.0 cm",CKY000000000000295910,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T00:36:18Z,NULL,173,glass beaker,5.967,2.703,9.5032,4.4325,3.5362,173,glass beaker,5.967,2.703,8.7791,3.7115,2.8121,0.7504,0.7328,0.9967,1.7295,1.0085,0.0263,0.0118,2.7858,0.2122,0.2694,2.0446,1.6108,2.795,0.4237,0.7352,fuway,2010-08-17T03:19:03Z
"C0011B-35R-8, 44.0 cm",NULL,NULL,633.081,633.6,633.081,633.6,"C0011B-35R-8, 46.0 cm",NULL,NULL,633.1,633.62,633.1,633.62,"C0011B-35R-8 WR, 44.0--46.0 cm",CKY000000000000296710,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T00:39:36Z,NULL,148,glass beaker,6.081,2.699,10.3273,5.3447,4.2463,148,glass beaker,6.081,2.699,9.4776,4.4987,3.3966,0.8805,0.8599,1.7858,2.6457,1.7997,0.0308,0.0139,3.3658,0.2074,0.2616,1.605,1.2722,1.8848,0.325,0.4815,matt322,2009-09-17T07:07:58Z
"C0011B-35R-8, 99.0 cm",NULL,NULL,633.599,634.15,633.599,634.15,"C0011B-35R-8, 100.0 cm",NULL,NULL,633.609,634.16,633.609,634.16,"C0011B-35R-8 W, 99.0--100.0 cm",CKY000000000000315910,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T09:04:10Z,NULL,114,glass beaker,6.06,2.748,9.6861,4.5635,3.6261,114,glass beaker,6.06,2.748,8.8878,3.7687,2.8278,0.8273,0.8079,1.0076,1.8155,1.0207,0.029,0.0131,2.7988,0.2282,0.2956,1.9973,1.5416,2.7777,0.445,0.8018,andre322,2009-09-17T14:56:56Z
"C0011B-36R-1, 25.0 cm",NULL,NULL,634.25,634.25,634.25,634.25,"C0011B-36R-1, 26.0 cm",NULL,NULL,634.26,634.26,634.26,634.26,"C0011B-36R-1 W, 25.0--26.0 cm",CKY000000000000319510,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T10:03:56Z,NULL,21,glass beaker,4.556,2.044,8.6087,4.6523,4.0527,21,glass beaker,4.556,2.044,7.7168,3.7643,3.1608,0.9242,0.9025,1.7058,2.6083,1.7203,0.0323,0.0145,3.1285,0.228,0.2954,1.5538,1.1994,1.834,0.346,0.5291,fuway,2010-08-17T03:18:53Z
"C0011B-36R-2, 50.0 cm",NULL,NULL,635.165,635.165,635.165,635.165,"C0011B-36R-2, 52.0 cm",NULL,NULL,635.185,635.185,635.185,635.185,"C0011B-36R-2 WR, 50.0--52.0 cm",CKY000000000000298110,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T00:54:36Z,NULL,147,glass beaker,6.023,2.703,9.6805,4.4935,3.6575,147,glass beaker,6.023,2.703,8.8969,3.7133,2.8739,0.812,0.793,0.9975,1.7905,1.0103,0.0284,0.0128,2.8455,0.222,0.2854,2.0427,1.5892,2.8526,0.4429,0.795,matt322,2009-09-17T06:55:25Z
"C0011B-36R-3, 25.0 cm",NULL,NULL,635.455,635.455,635.455,635.455,"C0011B-36R-3, 26.0 cm",NULL,NULL,635.465,635.465,635.465,635.465,"C0011B-36R-3 W, 25.0--26.0 cm",CKY000000000000321410,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T10:33:55Z,NULL,417,glass beaker,6.168,2.798,10.2897,4.8098,4.1217,417,glass beaker,6.168,2.798,9.4459,3.9697,3.2779,0.8744,0.8539,1.1579,2.0118,1.1717,0.0306,0.0138,3.2473,0.2121,0.2693,2.0488,1.6141,2.8045,0.4244,0.7375,fuway,2010-08-17T03:19:06Z
"C0011B-36R-3, 100.0 cm",NULL,NULL,636.205,636.205,636.205,636.205,"C0011B-36R-3, 101.0 cm",NULL,NULL,636.215,636.215,636.215,636.215,"C0011B-36R-3 W, 100.0--101.0 cm",CKY000000000000321510,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T10:33:55Z,NULL,442,glass beaker,6.231,2.822,9.3373,4.4042,3.1063,442,glass beaker,6.231,2.822,8.6761,3.7459,2.4451,0.6852,0.6691,0.9131,1.5822,0.9239,0.024,0.0108,2.4211,0.2206,0.283,1.9633,1.5302,2.6515,0.4229,0.7328,fuway,2010-08-17T03:19:08Z
"C0011B-36R-4, 25.0 cm",NULL,NULL,636.865,636.865,636.865,636.865,"C0011B-36R-4, 26.0 cm",NULL,NULL,636.875,636.875,636.875,636.875,"C0011B-36R-4 W, 25.0--26.0 cm",CKY000000000000322410,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T11:07:10Z,NULL,409,glass beaker,6.178,2.781,9.1016,4.2627,2.9236,409,glass beaker,6.178,2.781,8.5114,3.675,2.3334,0.6116,0.5973,0.8844,1.4817,0.894,0.0214,0.0096,2.312,0.2092,0.2645,1.9731,1.5604,2.6142,0.4031,0.6754,fuway,2010-08-17T03:19:05Z
"C0011B-36R-4, 100.0 cm",NULL,NULL,637.615,637.615,637.615,637.615,"C0011B-36R-4, 101.0 cm",NULL,NULL,637.625,637.625,637.625,637.625,"C0011B-36R-4 W, 100.0--101.0 cm",CKY000000000000322510,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T11:07:10Z,NULL,151,glass beaker,5.99,2.697,9.8026,4.6726,3.8126,151,glass beaker,5.99,2.697,8.9474,3.8212,2.9574,0.8862,0.8654,1.1102,1.9756,1.1242,0.031,0.014,2.9264,0.2324,0.3028,1.9298,1.4813,2.6359,0.438,0.7795,fuway,2010-08-17T03:18:59Z
"C0011B-36R-4, 127.0 cm",NULL,NULL,637.885,637.885,637.885,637.885,"C0011B-36R-4, 129.0 cm",NULL,NULL,637.905,637.905,637.905,637.905,"C0011B-36R-4 WR, 127.0--129.0 cm",CKY000000000000307510,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T04:36:23Z,NULL,16,glass beaker,4.608,2.05,8.5925,4.0563,3.9845,16,glass beaker,4.608,2.05,7.7953,3.2626,3.1873,0.8261,0.8067,1.1996,2.0063,1.2126,0.0289,0.013,3.1584,0.2073,0.2616,1.986,1.5742,2.6329,0.4021,0.6725,matt322,2009-09-17T10:30:44Z
"C0011B-36R-5, 25.0 cm",NULL,NULL,638.275,638.275,638.275,638.275,"C0011B-36R-5, 26.0 cm",NULL,NULL,638.285,638.285,638.285,638.285,"C0011B-36R-5 W, 25.0--26.0 cm",CKY000000000000324310,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T12:00:16Z,NULL,431,glass beaker,6.328,2.848,10.9232,5.1786,4.5952,431,glass beaker,6.328,2.848,9.9377,4.1974,3.6097,1.0212,0.9973,1.3333,2.3306,1.3494,0.0357,0.0161,3.574,0.2222,0.2857,1.9717,1.5335,2.6806,0.4279,0.748,fuway,2010-08-17T03:19:08Z
"C0011B-36R-5, 69.0 cm",NULL,NULL,638.715,638.715,638.715,638.715,"C0011B-36R-5, 71.0 cm",NULL,NULL,638.735,638.735,638.735,638.735,"C0011B-36R-5 WR, 69.0--71.0 cm",CKY000000000000308310,PP,NULL,5,brandon322,NULL,CKY,2009-09-16T04:41:10Z,NULL,420,glass beaker,6.229,2.795,10.1151,4.7059,3.8861,420,glass beaker,6.229,2.795,9.3418,3.936,3.1128,0.8013,0.7825,1.1284,1.9109,1.141,0.028,0.0126,3.0848,0.2062,0.2598,2.0336,1.6143,2.7338,0.4095,0.6935,fuway,2010-08-17T03:19:07Z
"C0011B-36R-5, 100.0 cm",NULL,NULL,639.025,639.025,639.025,639.025,"C0011B-36R-5, 101.0 cm",NULL,NULL,639.035,639.035,639.035,639.035,"C0011B-36R-5 W, 100.0--101.0 cm",CKY000000000000324410,PP,NULL,7,yohei322,NULL,CKY,2009-09-16T12:00:16Z,NULL,129,glass beaker,6.069,2.752,10.6248,5.0652,4.5558,129,glass beaker,6.069,2.752,9.6321,4.0768,3.5631,1.0287,1.0046,1.3086,2.3132,1.3248,0.036,0.0162,3.5271,0.2258,0.2917,1.9695,1.5248,2.6953,0.4343,0.7677,fuway,2010-08-17T03:18:58Z
"C0011B-36R-6, 34.0 cm",NULL,NULL,639.775,639.775,639.775,639.775,"C0011B-36R-6, 35.0 cm",NULL,NULL,639.785,639.785,639.785,639.785,"C0011B-36R-6 W, 34.0--35.0 cm",CKY000000000000325210,PP,NULL,7,andre322,NULL,CKY,2009-09-16T12:48:10Z,NULL,171,glass beaker,5.985,2.699,8.6654,4.1148,2.6804,171,glass beaker,5.985,2.699,8.1291,3.5808,2.1441,0.5558,0.5428,0.873,1.4158,0.8818,0.0195,0.0088,2.1246,0.2074,0.2616,1.8932,1.5006,2.4337,0.3834,0.6218,fuway,2010-08-17T03:19:03Z
"C0011B-36R-6, 118.0 cm",NULL,NULL,640.615,640.615,640.615,640.615,"C0011B-36R-6, 119.0 cm",NULL,NULL,640.625,640.625,640.625,640.625,"C0011B-36R-6 W, 118.0--119.0 cm",CKY000000000000325310,PP,NULL,7,andre322,NULL,CKY,2009-09-16T12:48:10Z,NULL,146,glass beaker,6.1,2.719,9.1343,4.327,3.0343,146,glass beaker,6.1,2.719,8.5045,3.7,2.4045,0.6526,0.6373,0.9707,1.608,0.981,0.0228,0.0103,2.3817,0.2151,0.274,1.887,1.4812,2.4536,0.3963,0.6565,fuway,2010-08-17T03:18:59Z
