Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0011B-8R-3, 19.0 cm",NULL,NULL,404.775,404.775,404.775,404.775,"C0011B-8R-3, 21.0 cm",NULL,NULL,404.795,404.795,404.795,404.795,"C0011B-8R-3 WR, 19.0--21.0 cm",CKY000000000000066310,PP,NULL,7,matt322,NULL,CKY,2009-09-10T21:21:26Z,NULL,192,glass beaker,5.947,2.606,8.961,4.4376,3.014,192,glass beaker,5.947,2.606,8.0008,3.4816,2.0538,0.995,0.9717,0.8599,1.8316,0.8756,0.0348,0.0157,2.019,0.3301,0.4928,1.6456,1.1023,2.3479,0.5305,1.13,yohei322,2009-09-12T01:58:11Z
"C0011B-8R-3, 87.0 cm",NULL,NULL,405.455,405.455,405.455,405.455,"C0011B-8R-3, 88.0 cm",NULL,NULL,405.465,405.465,405.465,405.465,"C0011B-8R-3 W, 87.0--88.0 cm",CKY000000000000079910,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T01:02:38Z,NULL,150,glass beaker,6.106,2.772,10.0335,4.8435,3.9275,150,glass beaker,6.106,2.772,9.031,3.8453,2.925,1.0389,1.0146,1.0569,2.0715,1.0733,0.0364,0.0164,2.8886,0.2645,0.3597,1.896,1.3944,2.7331,0.4898,0.96,fuway,2010-08-17T03:18:59Z
"C0011B-8R-4, 23.0 cm",NULL,NULL,406.225,406.225,406.225,406.225,"C0011B-8R-4, 24.0 cm",NULL,NULL,406.235,406.235,406.235,406.235,"C0011B-8R-4 W, 23.0--24.0 cm",CKY000000000000080010,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T01:02:38Z,NULL,111,glass beaker,6.06,2.76,10.2915,4.9755,4.2315,111,glass beaker,6.06,2.76,9.223,3.9117,3.163,1.1073,1.0813,1.1342,2.2155,1.1517,0.0388,0.0175,3.1242,0.2617,0.3544,1.91,1.4102,2.7545,0.4881,0.9534,fuway,2010-08-17T03:18:54Z
"C0011B-8R-4, 107.0 cm",NULL,NULL,407.065,407.065,407.065,407.065,"C0011B-8R-4, 108.0 cm",NULL,NULL,407.075,407.075,407.075,407.075,"C0011B-8R-4 W, 107.0--108.0 cm",CKY000000000000080110,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T01:02:38Z,NULL,36,glass beaker,4.524,2.05,7.8493,3.9497,3.3253,36,glass beaker,4.524,2.05,6.8156,2.9205,2.2916,1.0712,1.0461,0.8536,1.8997,0.8705,0.0375,0.0169,2.2541,0.3221,0.4752,1.7504,1.1866,2.6407,0.5507,1.2255,yohei322,2009-09-12T03:39:54Z
"C0011B-8R-5, 104.0 cm",NULL,NULL,408.445,408.445,408.445,408.445,"C0011B-8R-5, 106.0 cm",NULL,NULL,408.465,408.465,408.465,408.465,"C0011B-8R-5 WR, 104.0--106.0 cm",CKY000000000000070310,PP,NULL,7,matt322,NULL,CKY,2009-09-10T22:08:49Z,NULL,160,glass beaker,6.06,2.712,9.3189,4.5411,3.2589,160,glass beaker,6.06,2.712,8.3761,3.6024,2.3161,0.977,0.9541,0.875,1.8291,0.8904,0.0342,0.0154,2.2819,0.2998,0.4282,1.7817,1.2476,2.6079,0.5216,1.0904,yohei322,2009-09-12T01:58:11Z
"C0011B-8R-6, 18.5 cm",NULL,NULL,409,409,409,409,"C0011B-8R-6, 20.0 cm",NULL,NULL,409.015,409.015,409.015,409.015,"C0011B-8R-6 W, 18.5--20.0 cm",CKY000000000000087610,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T02:17:00Z,NULL,203,glass beaker,6.041,2.725,9.0989,4.4104,3.0579,203,glass beaker,6.041,2.725,8.2112,3.5266,2.1702,0.9199,0.8983,0.7871,1.6854,0.8016,0.0322,0.0145,2.138,0.3008,0.4303,1.8143,1.2685,2.7163,0.533,1.1413,fuway,2010-08-17T03:19:04Z
"C0011B-8R-6, 107.0 cm",NULL,NULL,409.885,409.885,409.885,409.885,"C0011B-8R-6, 109.0 cm",NULL,NULL,409.905,409.905,409.905,409.905,"C0011B-8R-6 WR, 107.0--109.0 cm",CKY000000000000071310,PP,NULL,7,matt322,NULL,CKY,2009-09-10T22:23:12Z,NULL,161,glass beaker,6.097,2.755,8.9788,4.2873,2.8818,161,glass beaker,6.097,2.755,8.2182,3.53,2.1212,0.7882,0.7697,0.7626,1.5323,0.775,0.0276,0.0124,2.0936,0.2735,0.3765,1.8807,1.3663,2.7453,0.5023,1.0093,fuway,2010-08-17T03:19:00Z
"C0011B-8R-7, 16.0 cm",NULL,NULL,410.385,410.385,410.385,410.385,"C0011B-8R-7, 18.0 cm",NULL,NULL,410.405,410.405,410.405,410.405,"C0011B-8R-7 W, 16.0--18.0 cm",CKY000000000000087810,PP,NULL,5,steffen322,NULL,CKY,2009-09-11T02:33:13Z,NULL,437,glass beaker,6.247,2.785,8.9016,4.3022,2.6546,437,glass beaker,6.247,2.785,8.1096,3.5136,1.8626,0.8207,0.8015,0.7157,1.5172,0.7286,0.0287,0.0129,1.8339,0.3092,0.4475,1.7497,1.2087,2.5624,0.5283,1.1199,fuway,2010-08-17T03:19:08Z
"C0011B-8R-7, 72.0 cm",NULL,NULL,410.945,410.945,410.945,410.945,"C0011B-8R-7, 73.5 cm",NULL,NULL,410.96,410.96,410.96,410.96,"C0011B-8R-7 W, 72.0--73.5 cm",CKY000000000000087910,PP,NULL,5,steffen322,NULL,CKY,2009-09-11T02:33:14Z,NULL,400,glass beaker,6.366,2.882,10.4394,4.7855,4.0734,400,glass beaker,6.366,2.882,9.7423,4.0914,3.3763,0.7224,0.7055,1.198,1.9035,1.2094,0.0253,0.0114,3.351,0.1773,0.2156,2.14,1.7604,2.7972,0.3706,0.5889,fuway,2010-08-17T03:19:04Z
"C0011B-9R-1, 32.5 cm",NULL,NULL,412.825,412.825,412.825,412.825,"C0011B-9R-1, 34.5 cm",NULL,NULL,412.845,412.845,412.845,412.845,"C0011B-9R-1 WR, 32.5--34.5 cm",CKY000000000000074110,PP,NULL,7,matt322,NULL,CKY,2009-09-10T22:47:46Z,NULL,108,glass beaker,6.054,2.744,9.6056,4.6435,3.5516,108,glass beaker,6.054,2.744,8.6862,3.7281,2.6322,0.9527,0.9304,0.9691,1.8995,0.9841,0.0333,0.015,2.5989,0.2682,0.3666,1.8698,1.3682,2.6818,0.4898,0.9601,fuway,2010-08-17T03:18:54Z
