Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002B-4R-2, 0.0 cm",NULL,504.595,504.595,504.595,504.595,"C0002B-4R-2, 1.0 cm",NULL,504.605,504.605,504.605,504.605,"C0002B-4R-2 WR, 0.0--1.0 cm",CKY000000000000591900,PP,NULL,8,underwoodm315,NULL,CKY,2007-12-10T01:19:29Z,NULL,11,glass cell,4.56,2.025,11.058,5.437493,6.498,11,glass cell,4.56,2.025,9.564,3.95,5.004,1.548187,1.511901,1.900592,3.412493,1.925,0.05418657,0.02440836,4.949813,0.2382559,0.3127767,1.90418,1.450498,2.604354,0.4430488,0.7954896,hashimotoy,2007-12-15T06:51:31Z
"C0002B-4R-3, 24.0 cm",NULL,505.16,505.16,505.16,505.16,"C0002B-4R-3, 25.0 cm",NULL,505.17,505.17,505.17,505.17,"C0002B-4R-3 W, 24.0--25.0 cm",CKY000000000000615400,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:05:16Z,NULL,184,glass beaker,6.06,2.729,11.39,5.183476,5.33,184,glass beaker,6.06,2.729,10.581,4.378,4.521,0.838342,0.8186933,1.635783,2.454476,1.649,0.02934199,0.01321711,4.491658,0.1572874,0.1866442,2.171543,1.829986,2.745877,0.3335511,0.5004902,hashimotoy,2007-12-15T10:13:34Z
"C0002B-4R-3, 99.0 cm",NULL,505.91,505.91,505.91,505.91,"C0002B-4R-3, 100.0 cm",NULL,505.92,505.92,505.92,505.92,"C0002B-4R-3 W, 99.0--100.0 cm",CKY000000000000615500,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:05:17Z,NULL,116,glass beaker,6.065,2.703,13.08,6.358813,7.015,116,glass beaker,6.065,2.703,11.43,4.716,5.365,1.709845,1.66977,1.986043,3.655813,2.013,0.05984461,0.02695703,5.305155,0.2437412,0.3222987,1.918862,1.451156,2.671219,0.4567438,0.8407522,hashimotoy,2007-12-15T10:22:22Z
"C0002B-5R-1, 44.0 cm",NULL,508.44,508.44,508.44,508.44,"C0002B-5R-1, 45.0 cm",NULL,508.45,508.45,508.45,508.45,"C0002B-5R-1 W, 44.0--45.0 cm",CKY000000000000615600,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:05:52Z,NULL,155,glass beaker,6.039,2.701,11.476,5.632959,5.437,155,glass beaker,6.039,2.701,10.089,4.252,4.05,1.437306,1.403619,1.52834,2.931959,1.551,0.05030574,0.02266024,3.999694,0.2643564,0.3593539,1.854392,1.364171,2.617019,0.4787308,0.9183945,hashimotoy,2007-12-15T10:22:23Z
"C0002B-6R-1, 24.0 cm",NULL,514.24,514.24,514.24,514.24,"C0002B-6R-1, 25.0 cm",NULL,514.25,514.25,514.25,514.25,"C0002B-6R-1 W, 24.0--25.0 cm",CKY000000000000615700,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:07:14Z,NULL,148,glass beaker,6.08,2.753,12.423,6.207391,6.343,148,glass beaker,6.08,2.753,10.676,4.468,4.596,1.810363,1.767932,1.686458,3.454391,1.715,0.06336274,0.02854178,4.532637,0.2854111,0.399406,1.836214,1.312138,2.687667,0.5117928,1.048311,hashimotoy,2007-12-15T10:22:23Z
"C0002B-6R-1, 83.0 cm",NULL,514.83,514.83,514.83,514.83,"C0002B-6R-1, 85.0 cm",NULL,514.85,514.85,514.85,514.85,"C0002B-6R-1 W, 83.0--85.0 cm",CKY000000000000615800,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:07:14Z,NULL,204,glass beaker,6.059,2.716,11.8,5.66825,5.741,204,glass beaker,6.059,2.716,10.48,4.354,4.421,1.367876,1.335816,1.616434,2.95225,1.638,0.04787568,0.02156562,4.373124,0.2382644,0.3127914,1.944618,1.481285,2.705414,0.4524738,0.8263967,hashimotoy,2007-12-15T10:22:23Z
"C0002B-7R-1, 20.0 cm",NULL,523.7,523.7,523.7,523.7,"C0002B-7R-1, 21.0 cm",NULL,523.71,523.71,523.71,523.71,"C0002B-7R-1 W, 20.0--21.0 cm",CKY000000000000615900,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:07:52Z,NULL,186,glass beaker,5.941,2.659,13.022,6.505698,7.081,186,glass beaker,5.941,2.659,11.116,4.608,5.175,1.97513,1.928837,1.91786,3.846698,1.949,0.06912959,0.03113945,5.10587,0.2789337,0.386835,1.8408,1.327339,2.662274,0.5014268,1.005724,hashimotoy,2007-12-15T10:22:24Z
"C0002B-7R-1, 75.0 cm",NULL,524.25,524.25,524.25,524.25,"C0002B-7R-1, 76.0 cm",NULL,524.26,524.26,524.26,524.26,"C0002B-7R-1 W, 75.0--76.0 cm",CKY000000000000616000,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:07:52Z,NULL,118,glass beaker,5.99,2.716,12.16,5.95168,6.17,118,glass beaker,5.99,2.716,10.709,4.507,4.719,1.503627,1.468386,1.767294,3.23568,1.791,0.05262698,0.02370585,4.666373,0.2436997,0.322226,1.906864,1.442162,2.640406,0.4538106,0.8308666,hashimotoy,2007-12-15T10:36:02Z
"C0002B-8R-1, 20.0 cm",NULL,533.2,533.2,533.2,533.2,"C0002B-8R-1, 21.0 cm",NULL,533.21,533.21,533.21,533.21,"C0002B-8R-1 W, 20.0--21.0 cm",CKY000000000000616100,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:08:45Z,NULL,158,glass beaker,6.019,2.709,12.987,6.367552,6.968,158,glass beaker,6.019,2.709,11.277,4.665,5.258,1.772021,1.730489,1.928063,3.658552,1.956,0.06202077,0.02793729,5.195979,0.2543084,0.3410369,1.904579,1.420228,2.694922,0.4729984,0.8975273,hashimotoy,2007-12-15T10:36:02Z
"C0002B-8R-1, 100.0 cm",NULL,534,534,534,534,"C0002B-8R-1, 101.0 cm",NULL,534.01,534.01,534.01,534.01,"C0002B-8R-1 W, 100.0--101.0 cm",CKY000000000000616200,PP,NULL,5,likosw315,NULL,CKY,2007-12-11T14:08:45Z,NULL,3,glass cell,4.512,2.03,12.089,5.987421,7.577,3,glass cell,4.512,2.03,10.349,4.255,5.837,1.803109,1.760848,2.196573,3.957421,2.225,0.06310886,0.02842741,5.773891,0.2379713,0.3122866,1.914631,1.459003,2.628591,0.4449485,0.8016345,hashimotoy,2007-12-15T10:36:03Z
