Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002J-3R-6, 85.0 cm",NULL,916.095,916.095,916.095,916.095,"C0002J-3R-6, 87.0 cm",NULL,916.115,916.115,916.115,916.115,"C0002J-3R-6 W, 85.0--87.0 cm",CKY000000000001292710,PP,NULL,8,esteban338,NULL,CKY,2012-12-19T13:34:52Z,NULL,19.0712,8.5636,30.3719,11.3007,27.4501,11.7153,8.3789,3.0278,2.9568,3.1035,6.0603,3.1517,0.106,0.0482,8.2729,0.2679,0.366,1.8647,1.3651,2.6657,0.4879,0.9527,suzukit,2012-12-28T16:18:10Z
"C0002J-4R-1, 37.0 cm",NULL,917.37,917.37,917.37,917.37,"C0002J-4R-1, 38.0 cm",NULL,917.38,917.38,917.38,917.38,"C0002J-4R-1 W, 37.0--38.0 cm",CKY000000000001312510,PP,NULL,6,kitajima338,NULL,CKY,2012-12-20T02:13:27Z,NULL,18.7231,8.4358,28.8076,10.0845,26.2679,11.1792,7.5448,2.6318,2.5701,2.7015,5.2716,2.7434,0.0921,0.0419,7.4527,0.261,0.3531,1.913,1.4137,2.7587,0.4875,0.9514,suzukit,2012-12-28T16:18:10Z
"C0002J-4R-3, 0.0 cm",NULL,917.76,917.76,917.76,917.76,"C0002J-4R-3, 6.0 cm",NULL,917.82,917.82,917.82,917.82,"C0002J-4R-3 W, 0.0--6.0 cm",CKY000000000001312110,PP,NULL,6,kitajima338,NULL,CKY,2012-12-20T02:01:29Z,NULL,18.7681,8.4854,30.7932,12.0251,27.4114,11.7019,8.6433,3.5045,3.4224,3.1607,6.5831,3.2165,0.1227,0.0558,8.5206,0.2914,0.4113,1.8267,1.2943,2.6958,0.5199,1.0828,suzukit,2012-12-28T16:18:10Z
"C0002J-4R-3, 122.0 cm",NULL,918.98,918.98,918.98,918.98,"C0002J-4R-3, 124.0 cm",NULL,919,919,919,919,"C0002J-4R-3 W, 122.0--124.0 cm",CKY000000000001312210,PP,NULL,6,kitajima338,NULL,CKY,2012-12-20T02:01:29Z,NULL,18.6266,8.3957,31.2778,12.6512,28.23,11.9837,9.6034,3.1583,3.0843,3.5378,6.6221,3.588,0.1105,0.0502,9.4929,0.2496,0.3327,1.9105,1.4335,2.6833,0.4658,0.8718,suzukit,2012-12-28T16:18:10Z
"C0002J-4R-4, 22.0 cm",NULL,919.36,919.36,919.36,919.36,"C0002J-4R-4, 23.0 cm",NULL,919.37,919.37,919.37,919.37,"C0002J-4R-4 W, 22.0--23.0 cm",CKY000000000001312410,PP,NULL,6,kitajima338,NULL,CKY,2012-12-20T02:02:12Z,NULL,18.7987,8.5074,31.1392,12.3405,27.9187,11.8677,9.12,3.3373,3.2591,3.3072,6.5663,3.3603,0.1168,0.0531,9.0032,0.2704,0.3707,1.8794,1.3711,2.7223,0.4963,0.9855,suzukit,2012-12-28T16:18:10Z
"C0002J-4R-4, 80.0 cm",NULL,919.94,919.94,919.94,919.94,"C0002J-4R-4, 81.0 cm",NULL,919.95,919.95,919.95,919.95,"C0002J-4R-4 W, 80.0--81.0 cm",CKY000000000001312310,PP,NULL,6,kitajima338,NULL,CKY,2012-12-20T02:02:12Z,NULL,18.8404,8.5009,30.0711,11.2307,27.0926,11.6481,8.2522,3.0865,3.0142,3.0981,6.1123,3.1472,0.108,0.0491,8.1442,0.2748,0.379,1.8374,1.3324,2.6288,0.4931,0.9729,suzukit,2012-12-28T16:18:10Z
"C0002J-4R-5, 38.0 cm",NULL,920.905,920.905,920.905,920.905,"C0002J-4R-5, 39.0 cm",NULL,920.915,920.915,920.915,920.915,"C0002J-4R-5 W, 38.0--39.0 cm",CKY000000000001312610,PP,NULL,6,kitajima338,NULL,CKY,2012-12-20T02:13:27Z,NULL,19.0877,8.63,34.4527,15.365,30.721,12.9801,11.6333,3.867,3.7764,4.2886,8.065,4.3501,0.1353,0.0615,11.498,0.2517,0.3363,1.9051,1.4257,2.6811,0.4682,0.8806,suzukit,2012-12-28T16:18:10Z
"C0002J-4R-5, 80.0 cm",NULL,921.325,921.325,921.325,921.325,"C0002J-4R-5, 81.0 cm",NULL,921.335,921.335,921.335,921.335,"C0002J-4R-5 W, 80.0--81.0 cm",CKY000000000001312710,PP,NULL,6,kitajima338,NULL,CKY,2012-12-20T02:13:27Z,NULL,18.8469,8.484,23.3286,4.4817,22.296,9.7015,3.4491,1.0701,1.045,1.2005,2.2455,1.2175,0.0375,0.017,3.4116,0.2388,0.3137,1.9959,1.5193,2.8418,0.4654,0.8705,suzukit,2012-12-28T16:18:10Z
"C0002J-5R-3, 7.0 cm",NULL,922.826,922.835,922.826,922.835,"C0002J-5R-3, 11.0 cm",NULL,922.866,922.875,922.866,922.875,"C0002J-5R-3 W, 7.0--11.0 cm",CKY000000000001319010,PP,NULL,6,kitajima338,NULL,CKY,2012-12-20T08:05:06Z,NULL,18.587,8.3642,27.7065,9.1195,25.6052,10.9389,7.0182,2.1775,2.1265,2.5401,4.6666,2.5747,0.0762,0.0346,6.942,0.2388,0.3137,1.9542,1.4876,2.733,0.4557,0.8372,suzukit,2012-12-28T16:18:10Z
"C0002J-5R-5, 13.5 cm",NULL,923.108,923.12,923.108,923.12,"C0002J-5R-5, 19.5 cm",NULL,923.167,923.18,923.167,923.18,"C0002J-5R-5 WR, 13.5--19.5 cm",CKY000000000001289710,PP,NULL,6,arakaway,NULL,CKY,2012-12-19T09:13:39Z,NULL,18.129,8.1127,36.3972,18.2682,32.2803,13.4592,14.1513,4.2662,4.1662,5.2786,9.4448,5.3465,0.1493,0.0679,14.002,0.2335,0.3047,1.9342,1.4825,2.6526,0.4411,0.7893,suzukit,2012-12-28T16:18:10Z
"C0002J-5R-6, 48.0 cm",NULL,923.642,923.66,923.642,923.66,"C0002J-5R-6, 51.0 cm",NULL,923.672,923.69,923.672,923.69,"C0002J-5R-6 W, 48.0--51.0 cm",CKY000000000001318910,PP,NULL,6,kitajima338,NULL,CKY,2012-12-20T07:58:37Z,NULL,18.2868,8.2637,27.4875,9.2007,25.3347,10.876,7.0479,2.2309,2.1786,2.5768,4.7554,2.6123,0.0781,0.0355,6.9698,0.2425,0.3201,1.9348,1.4657,2.7048,0.4581,0.8455,suzukit,2012-12-28T16:18:10Z
"C0002J-5R-6, 110.0 cm",NULL,924.255,924.28,924.255,924.28,"C0002J-5R-6, 111.0 cm",NULL,924.265,924.29,924.265,924.29,"C0002J-5R-6 WR, 110.0--111.0 cm",CKY000000000001305210,PP,NULL,6,kitajima338,NULL,CKY,2012-12-19T22:17:59Z,NULL,18.9691,8.615,31.5684,12.5993,28.732,12.1992,9.7629,2.9393,2.8704,3.5374,6.4078,3.5842,0.1029,0.0468,9.66,0.2333,0.3043,1.9662,1.5075,2.7308,0.448,0.8114,suzukit,2012-12-28T16:18:10Z
"C0002J-5R-7, 45.0 cm",NULL,924.794,924.825,924.794,924.825,"C0002J-5R-7, 46.0 cm",NULL,924.804,924.835,924.804,924.835,"C0002J-5R-7 WR, 45.0--46.0 cm",CKY000000000001308010,PP,NULL,6,kitajima338,NULL,CKY,2012-12-19T22:45:30Z,NULL,18.798,8.4777,24.1963,5.3983,22.9385,9.9581,4.1405,1.3034,1.2729,1.4597,2.7326,1.4804,0.0456,0.0207,4.0949,0.2414,0.3183,1.9755,1.4985,2.8053,0.4658,0.872,suzukit,2012-12-28T16:18:10Z
"C0002J-5R-8, 0.0 cm",NULL,925.64,925.68,925.64,925.68,"C0002J-5R-8, 1.0 cm",NULL,925.65,925.69,925.65,925.69,"C0002J-5R-8 WR, 0.0--1.0 cm",CKY000000000001310410,PP,NULL,6,kitajima338,NULL,CKY,2012-12-19T23:20:44Z,NULL,18.076,8.1307,28.0587,9.9827,25.9605,11.0105,7.8845,2.1743,2.1233,2.8452,4.9685,2.8798,0.0761,0.0346,7.8084,0.2178,0.2785,2.0092,1.5716,2.7444,0.4274,0.7463,suzukit,2012-12-28T16:18:10Z
"C0002J-5R-8, 30.0 cm",NULL,925.937,925.98,925.937,925.98,"C0002J-5R-8, 31.0 cm",NULL,925.947,925.99,925.947,925.99,"C0002J-5R-8 WR, 30.0--31.0 cm",CKY000000000001309610,PP,NULL,6,kitajima338,NULL,CKY,2012-12-19T23:10:10Z,NULL,18.6867,8.44,32.2269,13.5402,29.4959,12.3983,10.8092,2.8301,2.7638,3.9133,6.6771,3.9583,0.0991,0.045,10.7101,0.209,0.2642,2.0279,1.604,2.7368,0.4139,0.7063,suzukit,2012-12-28T16:18:10Z
"C0002J-6R-1, 39.0 cm",NULL,927.39,927.39,927.39,927.39,"C0002J-6R-1, 41.0 cm",NULL,927.41,927.41,927.41,927.41,"C0002J-6R-1 W, 39.0--41.0 cm",CKY000000000001320210,PP,NULL,8,esteban338,NULL,CKY,2012-12-20T08:44:10Z,sandy,18.2079,8.2174,33.1932,14.9853,29.6712,12.4343,11.4633,3.6497,3.5642,4.1589,7.7231,4.2169,0.1277,0.058,11.3356,0.2436,0.322,1.9403,1.4678,2.7256,0.4615,0.857,suzukit,2012-12-28T16:18:10Z
"C0002J-6R-1, 94.0 cm",NULL,927.94,927.94,927.94,927.94,"C0002J-6R-1, 96.0 cm",NULL,927.96,927.96,927.96,927.96,"C0002J-6R-1 W, 94.0--96.0 cm",CKY000000000001320110,PP,NULL,8,esteban338,NULL,CKY,2012-12-20T08:44:10Z,sand,18.8014,8.4671,36.4332,17.6318,32.627,13.6456,13.8256,3.9442,3.8518,5.1158,8.9676,5.1785,0.138,0.0627,13.6876,0.2237,0.2882,1.9662,1.5263,2.6756,0.4295,0.7529,suzukit,2012-12-28T16:18:10Z
"C0002J-7R-1, 58.0 cm",NULL,932.58,932.58,932.58,932.58,"C0002J-7R-1, 60.0 cm",NULL,932.6,932.6,932.6,932.6,"C0002J-7R-1 W, 58.0--60.0 cm",CKY000000000001320810,PP,NULL,8,esteban338,NULL,CKY,2012-12-20T10:14:41Z,sand,18.262,8.2128,32.6198,14.3578,29.6814,12.3595,11.4194,3.045,2.9736,4.0982,7.0718,4.1467,0.1066,0.0485,11.3128,0.2121,0.2692,2.0303,1.5997,2.7604,0.4205,0.7256,suzukit,2012-12-28T16:18:10Z
"C0002J-7R-2, 27.0 cm",NULL,933.27,933.27,933.27,933.27,"C0002J-7R-2, 29.0 cm",NULL,933.29,933.29,933.29,933.29,"C0002J-7R-2 W, 27.0--29.0 cm",CKY000000000001321210,PP,NULL,8,esteban338,NULL,CKY,2012-12-20T10:25:37Z,NULL,18.7973,8.4403,35.089,16.2917,31.9213,13.2768,13.124,3.2826,3.2057,4.7843,7.99,4.8365,0.1149,0.0522,13.0091,0.2015,0.2523,2.039,1.6282,2.7191,0.4012,0.67,suzukit,2012-12-28T16:18:10Z
