Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002L-4X-4, 78.0 cm",NULL,309.08,309.08,309.08,309.08,"C0002L-4X-4, 80.0 cm",NULL,309.1,309.1,309.1,309.1,"C0002L-4X-4 W, 78.0--80.0 cm",CKY000000000001424810,PP,NULL,8,skarbek338,NULL,CKY,2012-12-23T10:45:49Z,sand,18.9577,8.5597,32.2087,13.251,28.3323,12.054,9.3746,4.017,3.9229,3.4304,7.3533,3.4943,0.1406,0.0639,9.234,0.3031,0.435,1.802,1.2558,2.6918,0.5335,1.1436,suzukit,2012-12-29T01:31:16Z
"C0002L-4X-5, 60.0 cm",NULL,310.11,310.11,310.11,310.11,"C0002L-4X-5, 62.0 cm",NULL,310.13,310.13,310.13,310.13,"C0002L-4X-5 W, 60.0--62.0 cm",CKY000000000001424910,PP,NULL,8,skarbek338,NULL,CKY,2012-12-23T10:45:49Z,NULL,18.1777,8.2538,27.4086,9.2309,24.308,10.4743,6.1303,3.2131,3.1378,2.1694,5.3072,2.2205,0.1125,0.0511,6.0178,0.3481,0.5339,1.7393,1.1339,2.7739,0.5912,1.4464,suzukit,2012-12-29T01:31:16Z
"C0002L-4X-5, 120.0 cm",NULL,310.71,310.71,310.71,310.71,"C0002L-4X-5, 122.0 cm",NULL,310.73,310.73,310.73,310.73,"C0002L-4X-5 WR, 120.0--122.0 cm",CKY000000000001410210,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T03:12:58Z,NULL,18.15,8.1133,30.2158,12.0658,26.0636,11.1401,7.9136,4.3028,4.202,2.9583,7.1603,3.0268,0.1506,0.0685,7.763,0.3566,0.5543,1.6851,1.0842,2.6241,0.5868,1.4204,suzukit,2012-12-29T01:31:16Z
"C0002L-4X-6, 20.0 cm",NULL,311.105,311.105,311.105,311.105,"C0002L-4X-6, 22.0 cm",NULL,311.125,311.125,311.125,311.125,"C0002L-4X-6 W, 20.0--22.0 cm",CKY000000000001425010,PP,NULL,8,skarbek338,NULL,CKY,2012-12-23T10:45:49Z,NULL,18.9621,8.545,33.174,14.2119,28.5197,12.1382,9.5576,4.8231,4.7101,3.5165,8.2266,3.5932,0.1688,0.0767,9.3888,0.3394,0.5137,1.7276,1.1413,2.6699,0.5725,1.3394,suzukit,2012-12-29T01:31:16Z
"C0002L-4X-6, 73.0 cm",NULL,311.635,311.635,311.635,311.635,"C0002L-4X-6, 75.0 cm",NULL,311.655,311.655,311.655,311.655,"C0002L-4X-6 WR, 73.0--75.0 cm",CKY000000000001411210,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T03:49:31Z,NULL,18.1659,8.1714,23.4485,5.2826,21.7779,9.4861,3.612,1.7312,1.6906,1.2872,2.9778,1.3147,0.0606,0.0275,3.5514,0.3277,0.4875,1.774,1.1926,2.759,0.5677,1.3134,suzukit,2012-12-29T01:31:16Z
"C0002L-4X-7, 18.0 cm",NULL,312.46,312.46,312.46,312.46,"C0002L-4X-7, 23.0 cm",NULL,312.51,312.51,312.51,312.51,"C0002L-4X-7 WR, 18.0--23.0 cm",CKY000000000001413610,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T04:53:57Z,NULL,18.2469,8.2111,27.9907,9.7438,24.9597,10.7158,6.7128,3.1409,3.0673,2.4547,5.522,2.5047,0.1099,0.05,6.6029,0.3223,0.4757,1.7645,1.1957,2.6899,0.5555,1.2496,suzukit,2012-12-29T01:31:16Z
"C0002L-4X-8, 70.0 cm",NULL,313.845,313.845,313.845,313.845,"C0002L-4X-8, 72.0 cm",NULL,313.865,313.865,313.865,313.865,"C0002L-4X-8 W, 70.0--72.0 cm",CKY000000000001425110,PP,NULL,8,skarbek338,NULL,CKY,2012-12-23T10:45:50Z,NULL,18.7687,8.3651,29.9414,11.1727,26.7074,11.4244,7.9387,3.3513,3.2728,3.006,6.2788,3.0593,0.1173,0.0533,7.8214,0.3,0.4285,1.7794,1.2457,2.6019,0.5212,1.0888,suzukit,2012-12-29T01:31:16Z
"C0002L-5X-1, 15.0 cm",NULL,315.15,315.15,315.15,315.15,"C0002L-5X-1, 17.0 cm",NULL,315.17,315.17,315.17,315.17,"C0002L-5X-1 W, 15.0--17.0 cm",CKY000000000001433710,PP,NULL,8,esteban338,NULL,CKY,2012-12-23T15:16:41Z,NULL,18.6738,8.4193,31.8818,13.208,27.6153,11.7253,8.9415,4.4212,4.3176,3.2357,7.5533,3.306,0.1547,0.0703,8.7868,0.3347,0.5032,1.7486,1.1633,2.7156,0.5716,1.3344,suzukit,2012-12-29T01:31:16Z
"C0002L-5X-1, 120.0 cm",NULL,316.2,316.2,316.2,316.2,"C0002L-5X-1, 122.0 cm",NULL,316.22,316.22,316.22,316.22,"C0002L-5X-1 W, 120.0--122.0 cm",CKY000000000001433810,PP,NULL,8,esteban338,NULL,CKY,2012-12-23T15:16:41Z,NULL,18.8485,8.5192,31.9086,13.0601,28.0103,11.9126,9.1618,4.0397,3.945,3.3291,7.2741,3.3934,0.1414,0.0643,9.0204,0.3093,0.4478,1.7954,1.2401,2.7096,0.5423,1.185,suzukit,2012-12-29T01:31:16Z
"C0002L-5X-2, 60.0 cm",NULL,317,317,317,317,"C0002L-5X-2, 62.0 cm",NULL,317.02,317.02,317.02,317.02,"C0002L-5X-2 W, 60.0--62.0 cm",CKY000000000001433910,PP,NULL,8,esteban338,NULL,CKY,2012-12-23T15:16:41Z,NULL,18.8707,8.587,30.2563,11.3856,27.1437,11.5074,8.273,3.2255,3.1499,2.8691,6.019,2.9204,0.1129,0.0513,8.1601,0.2833,0.3953,1.8916,1.3557,2.8441,0.5233,1.0979,suzukit,2012-12-29T01:31:16Z
"C0002L-5X-4, 50.0 cm",NULL,318.195,318.195,318.195,318.195,"C0002L-5X-4, 52.0 cm",NULL,318.215,318.215,318.215,318.215,"C0002L-5X-4 W, 50.0--52.0 cm",CKY000000000001434010,PP,NULL,8,esteban338,NULL,CKY,2012-12-23T15:16:41Z,NULL,18.8152,8.4717,31.1941,12.3789,27.9797,11.8591,9.1645,3.331,3.2529,3.3344,6.5873,3.3874,0.1166,0.053,9.0479,0.2691,0.3682,1.8792,1.3735,2.7135,0.4938,0.9756,suzukit,2012-12-29T01:31:16Z
"C0002L-5X-4, 76.0 cm",NULL,318.455,318.455,318.455,318.455,"C0002L-5X-4, 79.0 cm",NULL,318.485,318.485,318.485,318.485,"C0002L-5X-4 WR, 76.0--79.0 cm",CKY000000000001416810,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T05:57:27Z,NULL,18.8541,8.5222,31.3055,12.4514,28.1204,11.9274,9.2663,3.3006,3.2232,3.3527,6.5759,3.4052,0.1155,0.0525,9.1508,0.2651,0.3607,1.8935,1.3916,2.7294,0.4902,0.9614,suzukit,2012-12-29T01:31:16Z
"C0002L-5X-5, 13.0 cm",NULL,318.88,318.88,318.88,318.88,"C0002L-5X-5, 16.0 cm",NULL,318.91,318.91,318.91,318.91,"C0002L-5X-5 WR, 13.0--16.0 cm",CKY000000000001417810,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T06:06:23Z,NULL,19.0282,8.5576,36.2732,17.245,31.8003,13.265,12.7721,4.6351,4.5265,4.6337,9.1602,4.7074,0.1622,0.0737,12.6099,0.2688,0.3676,1.8826,1.3766,2.7213,0.4941,0.9769,suzukit,2012-12-29T01:31:16Z
"C0002L-5X-6, 15.0 cm",NULL,320.135,320.135,320.135,320.135,"C0002L-5X-6, 18.0 cm",NULL,320.165,320.165,320.165,320.165,"C0002L-5X-6 WR, 15.0--18.0 cm",CKY000000000001419610,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T06:37:04Z,NULL,18.7733,8.4024,36.9821,18.2088,32.9156,13.6901,14.1423,4.214,4.1152,5.2207,9.3359,5.2877,0.1475,0.067,13.9948,0.2314,0.3011,1.9504,1.499,2.6806,0.4408,0.7882,suzukit,2012-12-29T01:31:16Z
"C0002L-5X-6, 75.0 cm",NULL,320.735,320.735,320.735,320.735,"C0002L-5X-6, 78.0 cm",NULL,320.765,320.765,320.765,320.765,"C0002L-5X-6 WR, 75.0--78.0 cm",CKY000000000001418810,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T06:34:32Z,NULL,17.9333,8.0803,37.8105,19.8772,33.2398,13.7691,15.3065,4.7365,4.6255,5.6134,10.2389,5.6888,0.1658,0.0754,15.1407,0.2383,0.3128,1.9413,1.4787,2.6972,0.4518,0.824,suzukit,2012-12-29T01:31:16Z
"C0002L-5X-8, 10.0 cm",NULL,321.945,321.945,321.945,321.945,"C0002L-5X-8, 13.0 cm",NULL,321.975,321.975,321.975,321.975,"C0002L-5X-8 WR, 10.0--13.0 cm",CKY000000000001421210,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T06:43:42Z,NULL,18.301,8.2811,26.9445,8.6435,25.0899,10.7328,6.7889,1.9219,1.8769,2.4211,4.298,2.4517,0.0673,0.0306,6.7216,0.2224,0.2859,2.0111,1.5639,2.7763,0.4367,0.7752,suzukit,2012-12-29T01:31:16Z
"C0002L-5X-8, 80.0 cm",NULL,322.645,322.645,322.645,322.645,"C0002L-5X-8, 82.0 cm",NULL,322.665,322.665,322.665,322.665,"C0002L-5X-8 W, 80.0--82.0 cm",CKY000000000001434110,PP,NULL,8,esteban338,NULL,CKY,2012-12-23T15:36:06Z,NULL,18.7987,8.455,34.2076,15.4089,30.4197,12.794,11.621,3.9253,3.8333,4.2765,8.1098,4.339,0.1374,0.0625,11.4836,0.2547,0.3418,1.9,1.416,2.6853,0.4727,0.8964,suzukit,2012-12-29T01:31:16Z
"C0002L-5X-9, 55.0 cm",NULL,323.375,323.375,323.375,323.375,"C0002L-5X-9, 57.0 cm",NULL,323.395,323.395,323.395,323.395,"C0002L-5X-9 W, 55.0--57.0 cm",CKY000000000001434210,PP,NULL,8,esteban338,NULL,CKY,2012-12-23T15:16:41Z,NULL,18.9845,8.5392,35.4268,16.4423,31.6275,13.1913,12.643,3.9371,3.8448,4.5895,8.4343,4.6521,0.1378,0.0626,12.5052,0.2394,0.3148,1.9495,1.4827,2.7247,0.4559,0.8377,suzukit,2012-12-29T01:31:16Z
"C0002L-6X-1, 16.0 cm",NULL,324.659,324.66,324.659,324.66,"C0002L-6X-1, 18.0 cm",NULL,324.679,324.68,324.679,324.68,"C0002L-6X-1 W, 16.0--18.0 cm",CKY000000000001442610,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T02:44:30Z,NULL,18.8013,8.5027,34.3115,15.5102,29.6898,12.4921,10.8885,4.7893,4.6771,3.9132,8.5903,3.9894,0.1676,0.0762,10.7209,0.3088,0.4467,1.8055,1.248,2.7397,0.5445,1.1952,suzukit,2012-12-29T01:31:16Z
"C0002L-6X-1, 66.0 cm",NULL,325.155,325.16,325.155,325.16,"C0002L-6X-1, 68.0 cm",NULL,325.175,325.18,325.175,325.18,"C0002L-6X-1 W, 66.0--68.0 cm",CKY000000000001442710,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T02:44:30Z,NULL,18.2011,8.2287,39.465,21.2639,34.6239,14.3449,16.4228,5.0167,4.8991,6.0364,10.9355,6.1162,0.1756,0.0798,16.2472,0.2359,0.3088,1.9445,1.4857,2.6915,0.448,0.8116,suzukit,2012-12-29T01:31:16Z
"C0002L-6X-2, 15.0 cm",NULL,325.457,325.465,325.457,325.465,"C0002L-6X-2, 17.0 cm",NULL,325.477,325.485,325.477,325.485,"C0002L-6X-2 W, 15.0--17.0 cm",CKY000000000001442810,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T02:44:30Z,NULL,18.6791,8.3928,31.755,13.0759,28.5166,12.0805,9.8375,3.3559,3.2772,3.6343,6.9115,3.6877,0.1175,0.0534,9.72,0.2566,0.3453,1.8919,1.4064,2.6745,0.4742,0.9017,suzukit,2012-12-29T01:31:16Z
