Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002K-3T-2, 35.0 cm",NULL,206.75,206.75,206.75,206.75,"C0002K-3T-2, 37.0 cm",NULL,206.77,206.77,206.77,206.77,"C0002K-3T-2 W, 35.0--37.0 cm",CKY000000000001338510,PP,NULL,8,skarbek338,sand,CKY,2012-12-21T04:49:29Z,sand,19.1354,8.5894,33.2649,14.1295,29.3051,12.3757,10.1697,4.1034,4.0072,3.721,7.7282,3.7863,0.1436,0.0653,10.0261,0.2904,0.4093,1.8283,1.2973,2.6945,0.5185,1.0769,suzukit,2012-12-28T16:19:24Z
"C0002K-3T-2, 60.0 cm",NULL,207,207,207,207,"C0002K-3T-2, 62.0 cm",NULL,207.02,207.02,207.02,207.02,"C0002K-3T-2 W, 60.0--62.0 cm",CKY000000000001338610,PP,NULL,8,skarbek338,NULL,CKY,2012-12-21T04:49:29Z,NULL,18.8795,8.4616,34.3377,15.4582,29.3491,12.3783,10.4696,5.1695,5.0483,3.8345,8.8828,3.9167,0.1809,0.0822,10.2887,0.3344,0.5024,1.7402,1.1583,2.6832,0.5683,1.3165,suzukit,2012-12-28T16:19:24Z
"C0002K-3T-3, 59.0 cm",NULL,207.86,207.86,207.86,207.86,"C0002K-3T-3, 60.0 cm",NULL,207.87,207.87,207.87,207.87,"C0002K-3T-3 WR, 59.0--60.0 cm",CKY000000000001333910,PP,NULL,6,kitajima338,NULL,CKY,2012-12-21T01:20:22Z,NULL,18.9971,8.5818,28.7844,9.7873,26.4521,11.3581,7.455,2.4169,2.3603,2.7378,5.0981,2.7763,0.0846,0.0385,7.3704,0.2469,0.3279,1.9198,1.4457,2.6921,0.463,0.8621,suzukit,2012-12-28T16:19:24Z
"C0002K-3T-3, 60.0 cm",NULL,207.87,207.87,207.87,207.87,"C0002K-3T-3, 62.0 cm",NULL,207.89,207.89,207.89,207.89,"C0002K-3T-3 W, 60.0--62.0 cm",CKY000000000001338710,PP,NULL,8,skarbek338,sand,CKY,2012-12-21T05:11:03Z,sand,18.8492,8.5421,30.9237,12.0745,28.266,11.954,9.4168,2.7541,2.6896,3.3681,6.0577,3.4119,0.0964,0.0438,9.3204,0.2281,0.2955,1.9932,1.5386,2.7673,0.444,0.7986,suzukit,2012-12-28T16:19:24Z
"C0002K-3T-4, 25.0 cm",NULL,208.725,208.725,208.725,208.725,"C0002K-3T-4, 27.0 cm",NULL,208.745,208.745,208.745,208.745,"C0002K-3T-4 W, 25.0--27.0 cm",CKY000000000001338910,PP,NULL,8,skarbek338,NULL,CKY,2012-12-21T05:11:03Z,NULL,18.7957,8.4783,28.9047,10.109,26.015,11.1066,7.2193,2.9945,2.9243,2.5807,5.505,2.6283,0.1048,0.0476,7.1145,0.2962,0.4209,1.8363,1.2924,2.7568,0.5312,1.1331,suzukit,2012-12-28T16:19:24Z
"C0002K-3T-4, 134.0 cm",NULL,209.815,209.815,209.815,209.815,"C0002K-3T-4, 136.0 cm",NULL,209.835,209.835,209.835,209.835,"C0002K-3T-4 W, 134.0--136.0 cm",CKY000000000001338810,PP,NULL,8,skarbek338,NULL,CKY,2012-12-21T05:11:03Z,NULL,18.7209,8.4574,27.9999,9.279,25.5338,10.9219,6.8129,2.5555,2.4956,2.4239,4.9195,2.4645,0.0894,0.0406,6.7235,0.2754,0.3801,1.8862,1.3667,2.7738,0.5073,1.0296,suzukit,2012-12-28T16:19:24Z
"C0002K-3T-6, 13.0 cm",NULL,210.425,210.425,210.425,210.425,"C0002K-3T-6, 15.0 cm",NULL,210.445,210.445,210.445,210.445,"C0002K-3T-6 WR, 13.0--15.0 cm",CKY000000000001334810,PP,NULL,6,kitajima338,NULL,CKY,2012-12-21T01:22:00Z,NULL,18.6834,8.4446,28.6984,10.015,26.1004,11.1379,7.417,2.6922,2.6291,2.6505,5.2796,2.6933,0.0942,0.0428,7.3228,0.2688,0.3676,1.8969,1.387,2.7628,0.498,0.9919,suzukit,2012-12-28T16:19:24Z
"C0002K-3T-6, 126.0 cm",NULL,211.555,211.555,211.555,211.555,"C0002K-3T-6, 128.0 cm",NULL,211.575,211.575,211.575,211.575,"C0002K-3T-6 W, 126.0--128.0 cm",CKY000000000001339010,PP,NULL,8,skarbek338,NULL,CKY,2012-12-21T05:11:03Z,NULL,18.8707,8.587,32.9615,14.0908,29.8835,12.583,11.0128,3.1896,3.1148,3.9453,7.0601,3.996,0.1116,0.0507,10.9012,0.2264,0.2926,1.9958,1.5441,2.7631,0.4412,0.7895,suzukit,2012-12-28T16:19:24Z
"C0002K-3T-7, 31.0 cm",NULL,211.995,211.995,211.995,211.995,"C0002K-3T-7, 33.0 cm",NULL,212.015,212.015,212.015,212.015,"C0002K-3T-7 W, 31.0--33.0 cm",CKY000000000001340110,PP,NULL,8,skarbek338,NULL,CKY,2012-12-21T05:26:24Z,NULL,18.8396,8.4922,31.8277,12.9881,29.0414,12.2509,10.2018,2.8874,2.8197,3.7127,6.5324,3.7587,0.1011,0.046,10.1007,0.2223,0.2859,1.9883,1.5462,2.7206,0.4316,0.7595,suzukit,2012-12-28T16:19:24Z
"C0002K-4T-1, 9.0 cm",NULL,215.09,215.09,215.09,215.09,"C0002K-4T-1, 11.0 cm",NULL,215.11,215.11,215.11,215.11,"C0002K-4T-1 W, 9.0--11.0 cm",CKY000000000001341210,PP,NULL,8,skarbek338,sand,CKY,2012-12-21T06:37:09Z,sand,19.1581,8.6708,30.4841,11.326,27.8582,11.787,8.7001,2.7211,2.6573,3.0729,5.7302,3.1162,0.0952,0.0433,8.6049,0.2403,0.3162,1.9765,1.5017,2.8003,0.4637,0.8648,suzukit,2012-12-28T16:19:24Z
"C0002K-4T-1, 36.0 cm",NULL,215.36,215.36,215.36,215.36,"C0002K-4T-1, 38.0 cm",NULL,215.38,215.38,215.38,215.38,"C0002K-4T-1 W, 36.0--38.0 cm",CKY000000000001341310,PP,NULL,8,skarbek338,NULL,CKY,2012-12-21T06:37:09Z,NULL,18.718,8.4449,30.1732,11.4552,26.9595,11.4111,8.2415,3.3303,3.2522,2.9132,6.1654,2.9662,0.1166,0.053,8.1249,0.2907,0.4099,1.858,1.3178,2.789,0.5275,1.1164,suzukit,2012-12-28T16:19:24Z
"C0002K-4T-3, 0.0 cm",NULL,215.715,215.715,215.715,215.715,"C0002K-4T-3, 3.0 cm",NULL,215.745,215.745,215.745,215.745,"C0002K-4T-3 WR, 0.0--3.0 cm",CKY000000000001336510,PP,NULL,6,kitajima338,NULL,CKY,2012-12-21T02:16:10Z,NULL,18.8152,8.4717,29.7357,10.9205,26.9052,11.4334,8.09,2.9332,2.8645,2.915,5.7795,2.9617,0.1027,0.0467,7.9873,0.2686,0.3672,1.8895,1.382,2.7401,0.4956,0.9827,suzukit,2012-12-28T16:19:24Z
"C0002K-4T-4, 80.0 cm",NULL,216.915,216.915,216.915,216.915,"C0002K-4T-4, 82.0 cm",NULL,216.935,216.935,216.935,216.935,"C0002K-4T-4 W, 80.0--82.0 cm",CKY000000000001341410,PP,NULL,8,skarbek338,sand,CKY,2012-12-21T06:37:09Z,sand,18.129,8.1127,30.582,12.453,28.003,11.7591,9.874,2.6725,2.6099,3.6039,6.2138,3.6464,0.0935,0.0425,9.7805,0.2146,0.2732,2.0041,1.574,2.7139,0.42,0.7242,suzukit,2012-12-28T16:19:24Z
"C0002K-4T-4, 101.0 cm",NULL,217.125,217.125,217.125,217.125,"C0002K-4T-4, 104.0 cm",NULL,217.155,217.155,217.155,217.155,"C0002K-4T-4 W, 101.0--104.0 cm",CKY000000000001341510,PP,NULL,8,skarbek338,NULL,CKY,2012-12-21T06:37:09Z,NULL,18.9067,8.5257,32.695,13.7883,29.974,12.5636,11.0673,2.8197,2.7536,3.993,6.7466,4.0379,0.0987,0.0449,10.9686,0.2045,0.2571,2.0437,1.6258,2.747,0.4081,0.6896,suzukit,2012-12-28T16:19:24Z
"C0002K-5T-1, 14.0 cm",NULL,220.14,220.14,220.14,220.14,"C0002K-5T-1, 16.0 cm",NULL,220.16,220.16,220.16,220.16,"C0002K-5T-1 W, 14.0--16.0 cm",CKY000000000001356310,PP,NULL,8,skarbek338,NULL,CKY,2012-12-21T12:14:44Z,NULL,18.1058,8.2117,34.8345,16.7287,29.2395,12.2621,11.1337,5.7979,5.662,3.9582,9.6202,4.0504,0.2029,0.0922,10.9308,0.3466,0.5304,1.7389,1.1362,2.7616,0.5886,1.4304,suzukit,2012-12-28T16:19:24Z
"C0002K-5T-1, 42.0 cm",NULL,220.42,220.42,220.42,220.42,"C0002K-5T-1, 44.0 cm",NULL,220.44,220.44,220.44,220.44,"C0002K-5T-1 W, 42.0--44.0 cm",CKY000000000001356410,PP,NULL,8,skarbek338,sand,CKY,2012-12-21T12:14:44Z,sand,18.7987,8.5074,31.4428,12.6441,28.3058,11.9958,9.5071,3.2508,3.1746,3.4367,6.6113,3.4884,0.1138,0.0517,9.3933,0.2571,0.3461,1.9125,1.4208,2.7332,0.4802,0.9237,suzukit,2012-12-28T16:19:24Z
"C0002K-5T-2, 23.0 cm",NULL,220.965,220.965,220.965,220.965,"C0002K-5T-2, 25.0 cm",NULL,220.985,220.985,220.985,220.985,"C0002K-5T-2 W, 23.0--25.0 cm",CKY000000000001356510,PP,NULL,8,skarbek338,sand,CKY,2012-12-21T12:14:44Z,sand,18.6867,8.44,32.0968,13.4101,29.7274,12.515,11.0407,2.4553,2.3978,4.036,6.4338,4.075,0.0859,0.039,10.9548,0.1831,0.2241,2.0843,1.7027,2.7143,0.3727,0.5941,suzukit,2012-12-28T16:19:24Z
"C0002K-5T-3, 73.0 cm",NULL,222.445,222.445,222.445,222.445,"C0002K-5T-3, 75.0 cm",NULL,222.465,222.465,222.465,222.465,"C0002K-5T-3 W, 73.0--75.0 cm",CKY000000000001356610,PP,NULL,8,skarbek338,NULL,CKY,2012-12-21T12:14:44Z,NULL,18.9691,8.615,33.1958,14.2267,29.7274,12.2624,10.7583,3.5942,3.51,3.5902,7.1002,3.6474,0.1258,0.0572,10.6325,0.2526,0.338,2.0037,1.4975,2.9615,0.4944,0.9777,suzukit,2012-12-28T16:19:24Z
"C0002K-5T-4, 8.0 cm",NULL,222.69,222.69,222.69,222.69,"C0002K-5T-4, 10.0 cm",NULL,222.71,222.71,222.71,222.71,"C0002K-5T-4 W, 8.0--10.0 cm",CKY000000000001356710,PP,NULL,8,skarbek338,sand,CKY,2012-12-21T12:14:44Z,sand,18.1899,8.1822,31.4174,13.2275,27.9908,11.8616,9.8009,3.5509,3.4677,3.6229,7.0906,3.6794,0.1243,0.0565,9.6766,0.2684,0.367,1.8655,1.3647,2.671,0.4891,0.9572,suzukit,2012-12-28T16:19:24Z
"C0002K-5T-7, 0.0 cm",NULL,224.515,224.515,224.515,224.515,"C0002K-5T-7, 2.0 cm",NULL,224.535,224.535,224.535,224.535,"C0002K-5T-7 W, 0.0--2.0 cm",CKY000000000001356910,PP,NULL,8,skarbek338,NULL,CKY,2012-12-21T12:14:44Z,NULL,18.7317,8.4312,36.5087,17.777,30.8381,12.9075,12.1064,5.8763,5.7386,4.3828,10.1214,4.4763,0.2057,0.0935,11.9007,0.3306,0.4938,1.7564,1.1758,2.7153,0.567,1.3093,suzukit,2012-12-28T16:19:24Z
"C0002K-5T-8, 50.0 cm",NULL,226.005,226.005,226.005,226.005,"C0002K-5T-8, 52.0 cm",NULL,226.025,226.025,226.025,226.025,"C0002K-5T-8 W, 50.0--52.0 cm",CKY000000000001357010,PP,NULL,8,skarbek338,sand,CKY,2012-12-21T12:14:44Z,sand,18.7376,8.4482,35.9668,17.2292,32.3759,13.5307,13.6383,3.7211,3.6339,5.0233,8.6572,5.0825,0.1302,0.0592,13.5081,0.216,0.2755,1.9902,1.5603,2.6891,0.4198,0.7234,suzukit,2012-12-28T16:19:24Z
"C0002K-6T-1, 20.0 cm",NULL,229.7,229.7,229.7,229.7,"C0002K-6T-1, 22.0 cm",NULL,229.72,229.72,229.72,229.72,"C0002K-6T-1 W, 20.0--22.0 cm",CKY000000000001362010,PP,NULL,8,esteban338,NULL,CKY,2012-12-21T15:27:58Z,NULL,18.798,8.4777,32.7447,13.9467,27.0071,11.5171,8.2091,5.9457,5.8063,2.9448,8.7511,3.0394,0.2081,0.0946,8.001,0.4263,0.7431,1.5937,0.9143,2.717,0.6635,1.9717,suzukit,2012-12-28T16:19:24Z
"C0002K-6T-2, 3.0 cm",NULL,230.53,230.53,230.53,230.53,"C0002K-6T-2, 5.0 cm",NULL,230.55,230.55,230.55,230.55,"C0002K-6T-2 W, 3.0--5.0 cm",CKY000000000001362110,PP,NULL,8,esteban338,NULL,CKY,2012-12-21T15:27:58Z,NULL,18.076,8.1307,31.0416,12.9656,26.0517,11.1142,7.9757,5.1709,5.0497,2.9012,7.9509,2.9835,0.181,0.0823,7.7947,0.3988,0.6634,1.6307,0.9804,2.6867,0.6351,1.7406,suzukit,2012-12-28T16:19:24Z
"C0002K-6T-2, 73.0 cm",NULL,231.23,231.23,231.23,231.23,"C0002K-6T-2, 75.0 cm",NULL,231.25,231.25,231.25,231.25,"C0002K-6T-2 W, 73.0--75.0 cm",CKY000000000001362210,PP,NULL,8,esteban338,NULL,CKY,2012-12-21T15:27:58Z,NULL,19.0877,8.63,31.2024,12.1147,26.6016,11.383,7.5139,4.7677,4.656,2.6771,7.3331,2.753,0.1669,0.0759,7.347,0.3935,0.6489,1.6521,1.0019,2.7444,0.6349,1.7392,suzukit,2012-12-28T16:19:24Z
"C0002K-6T-4, 17.0 cm",NULL,231.815,231.815,231.815,231.815,"C0002K-6T-4, 20.0 cm",NULL,231.845,231.845,231.845,231.845,"C0002K-6T-4 WR, 17.0--20.0 cm",CKY000000000001348010,PP,NULL,6,oohashi338,NULL,CKY,2012-12-21T10:01:24Z,NULL,18.9046,8.5358,26.9898,8.0852,25.0976,10.7636,6.193,1.9608,1.9148,2.1966,4.1114,2.2278,0.0686,0.0312,6.1244,0.2425,0.3202,1.9665,1.4896,2.7881,0.4657,0.8717,suzukit,2012-12-28T16:19:24Z
"C0002K-6T-4, 64.0 cm",NULL,232.285,232.285,232.285,232.285,"C0002K-6T-4, 66.0 cm",NULL,232.305,232.305,232.305,232.305,"C0002K-6T-4 W, 64.0--66.0 cm",CKY000000000001362310,PP,NULL,8,esteban338,NULL,CKY,2012-12-21T15:27:58Z,NULL,19.0712,8.5636,38.2037,19.1325,32.4616,13.6167,13.3904,5.9504,5.8109,4.9584,10.7693,5.0531,0.2083,0.0947,13.1821,0.311,0.4514,1.7766,1.224,2.6585,0.5396,1.1719,suzukit,2012-12-28T16:19:24Z
"C0002K-6T-4, 95.0 cm",NULL,232.595,232.595,232.595,232.595,"C0002K-6T-4, 98.0 cm",NULL,232.625,232.625,232.625,232.625,"C0002K-6T-4 WR, 95.0--98.0 cm",CKY000000000001348810,PP,NULL,6,oohashi338,NULL,CKY,2012-12-21T10:01:24Z,NULL,18.17,8.1578,27.0279,8.8579,25.0464,10.715,6.8764,2.0534,2.0053,2.5245,4.5298,2.5572,0.0719,0.0327,6.8045,0.2318,0.3018,1.9555,1.5022,2.6954,0.4427,0.7943,suzukit,2012-12-28T16:19:24Z
"C0002K-7X-1, 46.0 cm",NULL,239.46,239.46,239.46,239.46,"C0002K-7X-1, 48.0 cm",NULL,239.48,239.48,239.48,239.48,"C0002K-7X-1 WR, 46.0--48.0 cm",CKY000000000001359410,PP,NULL,6,oohashi338,NULL,CKY,2012-12-21T17:00:41Z,NULL,18.6266,8.3957,30.8808,12.2542,27.1445,11.5725,8.5179,3.8718,3.7811,3.1152,6.8963,3.1768,0.1355,0.0616,8.3824,0.316,0.4619,1.7769,1.2155,2.6908,0.5483,1.2138,suzukit,2012-12-28T16:19:24Z
"C0002K-7X-2, 38.0 cm",NULL,239.98,239.98,239.98,239.98,"C0002K-7X-2, 40.0 cm",NULL,240,240,240,240,"C0002K-7X-2 WR, 38.0--40.0 cm",CKY000000000001362710,PP,NULL,6,oohashi338,NULL,CKY,2012-12-21T16:08:31Z,NULL,18.8469,8.484,32.7971,13.9502,29.2639,12.361,10.417,3.6613,3.5755,3.8188,7.3943,3.877,0.1281,0.0582,10.2889,0.2625,0.3558,1.8866,1.3915,2.6943,0.4835,0.9363,suzukit,2012-12-28T16:19:24Z
"C0002K-7X-3, 20.0 cm",NULL,240.41,240.41,240.41,240.41,"C0002K-7X-3, 22.0 cm",NULL,240.43,240.43,240.43,240.43,"C0002K-7X-3 W, 20.0--22.0 cm",CKY000000000001366710,PP,NULL,8,skarbek338,sand,CKY,2012-12-22T01:10:08Z,sand,18.8014,8.4671,33.1176,14.3162,29.7644,12.5049,10.963,3.4748,3.3934,3.9825,7.3759,4.0378,0.1216,0.0553,10.8414,0.2427,0.3205,1.9409,1.4698,2.7223,0.4601,0.8521,suzukit,2012-12-28T16:19:24Z
"C0002K-7X-3, 45.0 cm",NULL,240.66,240.66,240.66,240.66,"C0002K-7X-3, 47.0 cm",NULL,240.68,240.68,240.68,240.68,"C0002K-7X-3 W, 45.0--47.0 cm",CKY000000000001366810,PP,NULL,8,skarbek338,NULL,CKY,2012-12-22T01:10:08Z,NULL,18.7231,8.4358,34.7799,16.0568,30.2315,12.5901,11.5084,4.7134,4.6029,4.0793,8.6822,4.1543,0.165,0.075,11.3434,0.2935,0.4155,1.8494,1.3065,2.7807,0.5302,1.1284,suzukit,2012-12-28T16:19:24Z
"C0002K-7X-4, 63.0 cm",NULL,241.43,241.43,241.43,241.43,"C0002K-7X-4, 65.0 cm",NULL,241.45,241.45,241.45,241.45,"C0002K-7X-4 WR, 63.0--65.0 cm",CKY000000000001360510,PP,NULL,6,esteban338,NULL,CKY,2012-12-21T14:23:56Z,NULL,18.7681,8.4854,31.5761,12.808,28.2086,11.9042,9.4405,3.4896,3.4078,3.3633,6.7711,3.4188,0.1221,0.0555,9.3184,0.2725,0.3745,1.8916,1.3762,2.7706,0.5033,1.0132,suzukit,2012-12-28T16:19:24Z
"C0002K-7X-4, 87.0 cm",NULL,241.67,241.67,241.67,241.67,"C0002K-7X-4, 89.0 cm",NULL,241.69,241.69,241.69,241.69,"C0002K-7X-4 W, 87.0--89.0 cm",CKY000000000001366910,PP,NULL,8,skarbek338,sand,CKY,2012-12-22T01:10:08Z,sand,19.1858,8.6316,30.6671,11.4813,28.0578,11.8944,8.872,2.7039,2.6405,3.2198,5.8603,3.2628,0.0946,0.043,8.7774,0.2355,0.3081,1.9592,1.4978,2.7261,0.4506,0.8201,suzukit,2012-12-28T16:19:24Z
"C0002K-7X-4, 106.0 cm",NULL,241.86,241.86,241.86,241.86,"C0002K-7X-4, 109.0 cm",NULL,241.89,241.89,241.89,241.89,"C0002K-7X-4 W, 106.0--109.0 cm",CKY000000000001367010,PP,NULL,8,skarbek338,cluster,CKY,2012-12-22T01:10:08Z,NULL,18.262,8.2128,29.7072,11.4452,26.8446,11.414,8.5826,2.9664,2.8969,3.154,6.0509,3.2012,0.1038,0.0472,8.4788,0.2592,0.3499,1.8915,1.4012,2.6883,0.4788,0.9185,suzukit,2012-12-28T16:19:24Z
