Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,NULL,C0009A;1222.700,NULL,1222.7,NULL,NULL,1222.7,NULL,NULL,C0009A;1227.700,NULL,1227.7,NULL,NULL,1227.7,C0009A-114SMW W,CKY000000000002045300,PP,NULL,35,fujikit,Test meas.>4mm,CKY,2009-07-16T01:26:46Z,217,glass beaker,18.152,8.283,49.2395,24.3714,31.0875,217,glass beaker,18.152,8.283,41.9945,17.158,23.8425,7.5078,7.3318,8.7566,16.0884,8.875,0.2628,0.1184,23.5797,0.2415,0.3184,1.9323,1.4656,2.6928,0.4557,0.8373,dboutt319,2009-07-19T06:14:55Z
NULL,NULL,C0009A;1222.700,NULL,1222.7,NULL,NULL,1222.7,NULL,NULL,C0009A;1227.700,NULL,1227.7,NULL,NULL,1227.7,C0009A-114SMW W,CKY000000000002045400,PP,NULL,35,fujikit,Test meas.1-4mm,CKY,2009-07-16T01:26:47Z,236,glass beaker,18.832,8.509,45.6892,24.0483,26.8572,236,glass beaker,18.832,8.509,37.2658,15.6616,18.4338,8.7289,8.5243,7.015,15.5393,7.1526,0.3055,0.1376,18.1283,0.325,0.4815,1.7283,1.1666,2.5842,0.5486,1.2152,fuway,2009-07-23T03:02:07Z
NULL,NULL,C0009A;1227.700,NULL,1227.7,NULL,NULL,1227.7,NULL,NULL,C0009A;1232.700,NULL,1232.7,NULL,NULL,1232.7,C0009A-115SMW W,CKY000000000001943000,PP,NULL,35,nishimuram,NULL,CKY,2009-07-04T18:49:04Z,73,glass cell,16.784,7.56,37.0683,19.8125,20.2843,73,glass cell,16.784,7.56,30.1137,12.8882,13.3297,7.2068,7.0379,5.2146,12.2525,5.3282,0.2522,0.1136,13.0775,0.3553,0.5511,1.6555,1.0673,2.5079,0.5744,1.3497,mailinh319,2009-07-05T23:54:41Z
NULL,NULL,C0009A;1232.700,NULL,1232.7,NULL,NULL,1232.7,NULL,NULL,C0009A;1237.700,NULL,1237.7,NULL,NULL,1237.7,C0009A-116SMW W,CKY000000000001942900,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T17:27:12Z,81,glass cell,17.689,8,37.7154,19.6648,20.0264,81,glass cell,17.689,8,31.3067,13.2841,13.6177,6.6411,6.4854,5.1794,11.6648,5.2841,0.2324,0.1047,13.3853,0.3316,0.4961,1.7168,1.1475,2.5843,0.556,1.2522,mailinh319,2009-07-05T23:54:41Z
NULL,NULL,C0009A;1237.700,NULL,1237.7,NULL,NULL,1237.7,NULL,NULL,C0009A;1242.700,NULL,1242.7,NULL,NULL,1242.7,C0009A-117SMW W,CKY000000000001942800,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T17:01:55Z,83,glass cell,17.287,7.806,39.1975,20.6793,21.9105,83,glass cell,17.287,7.806,32.0646,13.5774,14.7776,7.3916,7.2184,5.6549,12.8733,5.7714,0.2587,0.1165,14.5189,0.3374,0.5091,1.702,1.1278,2.5675,0.5607,1.2765,mailinh319,2009-07-05T23:54:40Z
NULL,NULL,C0009A;1242.700,NULL,1242.7,NULL,NULL,1242.7,NULL,NULL,C0009A;1247.700,NULL,1247.7,NULL,NULL,1247.7,C0009A-118SMW W,CKY000000000001942700,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T16:49:20Z,244,glass beaker,18.1,8.177,40.5559,21.0959,22.4559,244,glass beaker,18.1,8.177,33.4632,14.0342,15.3632,7.3499,7.1776,5.7413,12.9189,5.8572,0.2572,0.1159,15.106,0.3273,0.4866,1.7382,1.1693,2.6311,0.5556,1.2502,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1242.700,NULL,1242.7,NULL,NULL,1242.7,NULL,NULL,C0009A;1247.700,NULL,1247.7,NULL,NULL,1247.7,C0009A-118SMW W,CKY000000000002045500,PP,NULL,35,fujikit,Test meas.>4mm,CKY,2009-07-16T01:26:47Z,67,glass cell,17.182,7.835,48.3031,23.8611,31.1211,67,glass cell,17.182,7.835,41.4706,17.0583,24.2886,7.0803,6.9144,9.1117,16.0261,9.2233,0.2478,0.1116,24.0408,0.2275,0.2945,1.9419,1.5001,2.6385,0.4314,0.7588,dboutt319,2009-07-19T06:04:55Z
NULL,NULL,C0009A;1242.700,NULL,1242.7,NULL,NULL,1242.7,NULL,NULL,C0009A;1247.700,NULL,1247.7,NULL,NULL,1247.7,C0009A-118SMW W,CKY000000000002045600,PP,NULL,35,fujikit,Test meas.1-4mm,CKY,2009-07-16T01:26:48Z,74,glass cell,17.282,7.818,39.3535,20.2927,22.0715,74,glass cell,17.282,7.818,32.8075,13.7752,15.5255,6.7834,6.6244,5.8503,12.4747,5.9572,0.2374,0.1069,15.2881,0.3073,0.4437,1.7693,1.2255,2.6132,0.531,1.1323,fuway,2009-07-23T03:02:07Z
NULL,NULL,C0009A;1247.700,NULL,1247.7,NULL,NULL,1247.7,NULL,NULL,C0009A;1252.700,NULL,1252.7,NULL,NULL,1252.7,C0009A-119SMW W,CKY000000000001942600,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T16:25:14Z,64,glass cell,17.576,7.923,36.9323,19.1125,19.3563,64,glass cell,17.576,7.923,30.7443,12.9515,13.1683,6.4124,6.2621,4.9274,11.1895,5.0285,0.2244,0.1011,12.9439,0.3313,0.4954,1.7299,1.1568,2.6269,0.5596,1.2709,mailinh319,2009-07-05T23:00:50Z
NULL,NULL,C0009A;1252.700,NULL,1252.7,NULL,NULL,1252.7,NULL,NULL,C0009A;1257.700,NULL,1257.7,NULL,NULL,1257.7,C0009A-120SMW W,CKY000000000001942500,PP,NULL,35,hiranos,NULL,CKY,2009-07-04T15:36:06Z,75,glass cell,17.101,7.689,35.4951,18.46,18.3941,75,glass cell,17.101,7.689,29.3828,12.3744,12.2818,6.334,6.1855,4.5855,10.771,4.6854,0.2217,0.0999,12.0601,0.3443,0.5252,1.7077,1.1197,2.6301,0.5743,1.3489,mailinh319,2009-07-05T23:00:50Z
