Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,NULL,C0009A;1397.700,NULL,1397.7,NULL,NULL,1397.7,NULL,NULL,C0009A;1402.700,NULL,1402.7,NULL,NULL,1402.7,C0009A-150SMW W,CKY000000000002047000,PP,NULL,35,fuway,Test meas.>4mm,CKY,2009-07-16T01:26:57Z,216,glass beaker,18.701,8.455,44.4093,21.9749,25.7083,216,glass beaker,18.701,8.455,38.2456,15.838,19.5446,6.3873,6.2376,7.2823,13.5199,7.383,0.2236,0.1007,19.321,0.2485,0.3306,1.9015,1.4291,2.6531,0.4614,0.8565,fuway,2009-07-23T22:00:08Z
NULL,NULL,C0009A;1402.700,NULL,1402.7,NULL,NULL,1402.7,NULL,NULL,C0009A;1407.700,NULL,1407.7,NULL,NULL,1407.7,C0009A-151SMW W,CKY000000000001935600,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:24Z,456,glass beaker,18.62,8.446,37.3893,18.7277,18.7693,456,glass beaker,18.62,8.446,32.1339,13.4952,13.5139,5.446,5.3184,4.9633,10.2817,5.0492,0.1906,0.0859,13.3233,0.2902,0.4088,1.8255,1.2958,2.6844,0.5173,1.0715,mailinh319,2009-07-04T20:56:35Z
NULL,NULL,C0009A;1407.700,NULL,1407.7,NULL,NULL,1407.7,NULL,NULL,C0009A;1412.700,NULL,1412.7,NULL,NULL,1412.7,C0009A-152SMW W,CKY000000000001935700,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:24Z,482,glass beaker,18.945,8.546,39.9888,19.9723,21.0438,482,glass beaker,18.945,8.546,34.388,14.3959,15.443,5.8039,5.6679,5.7584,11.4263,5.8499,0.2031,0.0915,15.2399,0.2758,0.3808,1.8417,1.3338,2.6466,0.496,0.9843,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1412.700,NULL,1412.7,NULL,NULL,1412.7,NULL,NULL,C0009A;1417.700,NULL,1417.7,NULL,NULL,1417.7,C0009A-153SMW W,CKY000000000001935800,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:24Z,483,glass beaker,18.966,8.54,46.4959,22.9848,27.5299,483,glass beaker,18.966,8.54,40.013,16.5302,21.047,6.718,6.5605,7.8843,14.4448,7.9902,0.2351,0.1059,20.8119,0.244,0.3228,1.9059,1.4408,2.6397,0.4542,0.8321,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1417.700,NULL,1417.7,NULL,NULL,1417.7,NULL,NULL,C0009A;1422.700,NULL,1422.7,NULL,NULL,1422.7,C0009A-155SMW W,CKY000000000001935900,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:24Z,455,glass beaker,18.828,8.467,43.1453,21.3765,24.3173,455,glass beaker,18.828,8.467,37.2137,15.4708,18.3857,6.1467,6.0026,6.9069,12.9095,7.0038,0.2151,0.0969,18.1706,0.2528,0.3383,1.8837,1.4075,2.6308,0.465,0.8691,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1422.700,NULL,1422.7,NULL,NULL,1422.7,NULL,NULL,C0009A;1427.700,NULL,1427.7,NULL,NULL,1427.7,C0009A-156SMW W,CKY000000000001936000,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:24Z,453,glass beaker,18.952,8.555,48.8679,24.506,29.9159,453,glass beaker,18.952,8.555,41.2852,16.9564,22.3332,7.8577,7.6735,8.2775,15.951,8.4014,0.275,0.1239,22.0582,0.2627,0.3562,1.8755,1.3829,2.6648,0.4811,0.927,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1422.700,NULL,1422.7,NULL,NULL,1422.7,NULL,NULL,C0009A;1427.700,NULL,1427.7,NULL,NULL,1427.7,C0009A-156SMW W,CKY000000000001941500,PP,NULL,35,hiranos,Test for meas. >4mm,CKY,2009-07-04T13:49:56Z,280,glass beaker,18.644,8.465,42.5291,20.8728,23.8851,280,glass beaker,18.644,8.465,37.0084,15.3762,18.3644,5.7209,5.5868,6.821,12.4078,6.9112,0.2002,0.0902,18.1642,0.2395,0.315,1.925,1.4639,2.663,0.4503,0.8191,dboutt319,2009-07-05T12:22:29Z
NULL,NULL,C0009A;1427.700,NULL,1427.7,NULL,NULL,1427.7,NULL,NULL,C0009A;1432.700,NULL,1432.7,NULL,NULL,1432.7,C0009A-157SMW W,CKY000000000001936100,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:24Z,454,glass beaker,19.031,8.584,48.0416,23.8699,29.0106,454,glass beaker,19.031,8.584,41.0934,16.952,22.0624,7.2002,7.0314,8.2545,15.2859,8.368,0.252,0.1135,21.8104,0.2482,0.3301,1.8979,1.4268,2.6422,0.46,0.8518,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1432.700,NULL,1432.7,NULL,NULL,1432.7,NULL,NULL,C0009A;1437.700,NULL,1437.7,NULL,NULL,1437.7,C0009A-158SMW W,CKY000000000001936200,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:24Z,478,glass beaker,18.977,8.554,48.474,24.3132,29.497,478,glass beaker,18.977,8.554,41.1027,16.974,22.1257,7.6387,7.4597,8.2995,15.7592,8.42,0.2674,0.1205,21.8583,0.259,0.3495,1.8717,1.387,2.6337,0.4734,0.8988,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1437.700,NULL,1437.7,NULL,NULL,1437.7,NULL,NULL,C0009A;1442.700,NULL,1442.7,NULL,NULL,1442.7,C0009A-159SMW W,CKY000000000001936300,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:24Z,479,glass beaker,18.904,8.492,43.5495,21.5151,24.6455,479,glass beaker,18.904,8.492,37.6032,15.5947,18.6992,6.162,6.0176,7.0055,13.0231,7.1027,0.2157,0.0972,18.4835,0.25,0.3334,1.8924,1.4193,2.6384,0.4621,0.859,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1442.700,NULL,1442.7,NULL,NULL,1442.7,NULL,NULL,C0009A;1447.700,NULL,1447.7,NULL,NULL,1447.7,C0009A-160SMW W,CKY000000000001936400,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:24Z,474,glass beaker,19.003,8.554,41.1844,20.3043,22.1814,474,glass beaker,19.003,8.554,35.7461,14.8897,16.7431,5.6355,5.5034,6.2469,11.7503,6.3357,0.1972,0.0888,16.5459,0.2541,0.3406,1.8877,1.4081,2.6487,0.4684,0.881,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1447.700,NULL,1447.7,NULL,NULL,1447.7,NULL,NULL,C0009A;1452.700,NULL,1452.7,NULL,NULL,1452.7,C0009A-161SMW W,CKY000000000001936500,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:24Z,475,glass beaker,18.986,8.531,44.9585,22.2125,25.9725,475,glass beaker,18.986,8.531,38.7362,16.0173,19.7502,6.448,6.2969,7.3846,13.6815,7.4863,0.2257,0.1017,19.5245,0.2483,0.3303,1.8984,1.4271,2.6439,0.4602,0.8527,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1452.700,NULL,1452.7,NULL,NULL,1452.7,NULL,NULL,C0009A;1457.700,NULL,1457.7,NULL,NULL,1457.7,C0009A-162SMW W,CKY000000000001936600,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:24Z,476,glass beaker,18.844,8.501,44.2357,22.141,25.3917,476,glass beaker,18.844,8.501,37.6087,15.5429,18.7647,6.8674,6.7064,6.9336,13.64,7.0419,0.2404,0.1083,18.5243,0.2705,0.3707,1.8616,1.3581,2.6717,0.4917,0.9672,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1457.700,NULL,1457.7,NULL,NULL,1457.7,NULL,NULL,C0009A;1462.700,NULL,1462.7,NULL,NULL,1462.7,C0009A-163SMW W,CKY000000000001936700,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:24Z,67,glass cell,17.182,7.835,42.4709,21.3764,25.2889,67,glass cell,17.182,7.835,35.9135,14.8476,18.7315,6.7952,6.6359,6.9055,13.5414,7.0126,0.2378,0.1071,18.4937,0.2687,0.3674,1.8675,1.3657,2.6781,0.49,0.961,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1462.700,NULL,1462.7,NULL,NULL,1462.7,NULL,NULL,C0009A;1467.700,NULL,1467.7,NULL,NULL,1467.7,C0009A-164SMW W,CKY000000000001936800,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:25Z,477,glass beaker,18.913,8.516,42.1819,21.3644,23.2689,477,glass beaker,18.913,8.516,35.6144,14.8255,16.7014,6.8057,6.6462,6.2022,12.8484,6.3095,0.2382,0.1073,16.4632,0.2925,0.4134,1.811,1.2813,2.6544,0.5173,1.0716,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1467.700,NULL,1467.7,NULL,NULL,1467.7,NULL,NULL,C0009A;1472.700,NULL,1472.7,NULL,NULL,1472.7,C0009A-165SMW W,CKY000000000001936900,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:25Z,262,glass beaker,18.363,8.27,45.3646,23.3886,27.0016,262,glass beaker,18.363,8.27,37.3381,15.397,18.9751,8.3176,8.1227,6.9959,15.1186,7.127,0.2911,0.1311,18.684,0.308,0.4452,1.786,1.2358,2.6707,0.5373,1.1611,fuway,2010-08-17T01:38:26Z
NULL,NULL,C0009A;1472.700,NULL,1472.7,NULL,NULL,1472.7,NULL,NULL,C0009A;1477.700,NULL,1477.7,NULL,NULL,1477.7,C0009A-166SMW W,CKY000000000001937000,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:25Z,276,glass beaker,18.125,8.184,47.442,24.2779,29.317,276,glass beaker,18.125,8.184,39.2431,16.1147,21.1181,8.4963,8.2972,7.7967,16.0939,7.9307,0.2974,0.134,20.8207,0.2898,0.4081,1.8216,1.2937,2.6705,0.5155,1.0642,mailinh319,2009-07-04T20:56:37Z
NULL,NULL,C0009A;1472.700,NULL,1472.7,NULL,NULL,1472.7,NULL,NULL,C0009A;1477.700,NULL,1477.7,NULL,NULL,1477.7,C0009A-166SMW W,CKY000000000001941600,PP,NULL,35,hiranos,Test for meas. >4mm,CKY,2009-07-04T13:49:56Z,212,glass beaker,18.691,8.477,33.8732,16.2226,15.1822,212,glass beaker,18.691,8.477,30.4508,12.8151,11.7598,3.5465,3.4634,4.2822,7.7456,4.3381,0.1241,0.0559,11.6357,0.2336,0.3048,1.9601,1.5022,2.7172,0.4471,0.8088,dboutt319,2009-07-05T13:14:39Z
NULL,NULL,C0009A;1477.700,NULL,1477.7,NULL,NULL,1477.7,NULL,NULL,C0009A;1482.700,NULL,1482.7,NULL,NULL,1482.7,C0009A-167SMW W,CKY000000000001937100,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:25Z,62,glass cell,17.531,7.913,45.5178,23.6235,27.9868,62,glass cell,17.531,7.913,37.1662,15.3082,19.6352,8.6545,8.4517,7.2588,15.7105,7.3952,0.3029,0.1364,19.3323,0.3092,0.4477,1.7814,1.2305,2.6633,0.538,1.1643,mailinh319,2009-07-04T20:56:37Z
NULL,NULL,C0009A;1482.700,NULL,1482.7,NULL,NULL,1482.7,NULL,NULL,C0009A;1487.700,NULL,1487.7,NULL,NULL,1487.7,C0009A-168SMW W,CKY000000000001937200,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:25Z,295,glass beaker,18.316,8.263,48.0846,25.3651,29.7686,295,glass beaker,18.316,8.263,38.6292,15.9509,20.3132,9.7983,9.5687,7.5334,17.1021,7.6879,0.3429,0.1545,19.9703,0.3291,0.4906,1.7406,1.1677,2.6509,0.5595,1.2702,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1487.700,NULL,1487.7,NULL,NULL,1487.7,NULL,NULL,C0009A;1492.700,NULL,1492.7,NULL,NULL,1492.7,C0009A-169SMW W,CKY000000000001937300,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:25Z,254,glass beaker,18.049,8.209,48.5851,24.831,30.5361,254,glass beaker,18.049,8.209,40.2478,16.53,22.1988,8.6397,8.4372,8.1848,16.622,8.321,0.3024,0.1362,21.8964,0.2829,0.3946,1.8371,1.3173,2.6753,0.5076,1.0308,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1492.700,NULL,1492.7,NULL,NULL,1492.7,NULL,NULL,C0009A;1497.700,NULL,1497.7,NULL,NULL,1497.7,C0009A-170SMW W,CKY000000000001937400,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:25Z,273,glass beaker,18.204,8.22,47.5223,25.046,29.3183,273,glass beaker,18.204,8.22,38.2789,15.8428,20.0749,9.5787,9.3542,7.4718,16.826,7.6228,0.3353,0.151,19.7396,0.3267,0.4853,1.7424,1.1732,2.6419,0.5559,1.2519,mailinh319,2009-07-04T20:56:37Z
NULL,NULL,C0009A;1497.700,NULL,1497.7,NULL,NULL,1497.7,NULL,NULL,C0009A;1502.700,NULL,1502.7,NULL,NULL,1502.7,C0009A-171SMW W,CKY000000000001937500,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:25Z,221,glass beaker,18.188,8.286,45.4958,23.285,27.3078,221,glass beaker,18.188,8.286,37.8613,15.6837,19.6733,7.9114,7.726,7.273,14.999,7.3977,0.2769,0.1247,19.3964,0.2897,0.4079,1.8206,1.2932,2.6669,0.5151,1.0623,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1502.700,NULL,1502.7,NULL,NULL,1502.7,NULL,NULL,C0009A;1507.700,NULL,1507.7,NULL,NULL,1507.7,C0009A-172SMW W,CKY000000000001937600,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:25Z,252,glass beaker,18.204,8.213,45.1976,23.7517,26.9936,252,glass beaker,18.204,8.213,36.5858,15.1775,18.3818,8.9241,8.7149,6.8238,15.5387,6.9645,0.3123,0.1407,18.0695,0.3306,0.4939,1.7372,1.1629,2.648,0.5609,1.2771,mailinh319,2009-07-04T20:56:37Z
NULL,NULL,C0009A;1507.700,NULL,1507.7,NULL,NULL,1507.7,NULL,NULL,C0009A;1512.700,NULL,1512.7,NULL,NULL,1512.7,C0009A-196SMW W,CKY000000000002007000,PP,NULL,35,kawamuras,NULL,CKY,2009-07-11T09:21:24Z,85,glass cell,17.461,7.889,41.4792,20.8116,24.0182,85,glass cell,17.461,7.889,35.394,14.7529,17.933,6.3059,6.1581,6.7645,12.9226,6.8639,0.2207,0.0994,17.7123,0.2625,0.356,1.8586,1.3706,2.6184,0.4765,0.9104,dboutt319,2009-07-13T03:19:14Z
NULL,NULL,C0009A;1507.700,NULL,1507.7,NULL,NULL,1507.7,NULL,NULL,C0009A;1509.700,NULL,1509.7,NULL,NULL,1509.7,C0009A-173SMW W,CKY000000000001937700,PP,NULL,35,maedal,NULL,CKY,2009-07-02T22:57:25Z,296,glass beaker,18.857,8.562,43.4536,22.7842,24.5966,296,glass beaker,18.857,8.562,35.3861,14.7518,16.5291,8.3601,8.1642,6.058,14.2222,6.1898,0.2926,0.1318,16.2365,0.3399,0.5149,1.7295,1.1416,2.6802,0.574,1.3477,mailinh319,2009-07-04T20:56:36Z
NULL,NULL,C0009A;1507.700,NULL,1507.7,NULL,NULL,1507.7,NULL,NULL,C0009A;1509.700,NULL,1509.7,NULL,NULL,1509.7,C0009A-173SMW W,CKY000000000001941700,PP,NULL,35,hiranos,Test for meas. >4mm,CKY,2009-07-04T13:49:56Z,223,glass beaker,18.599,8.426,40.1124,20.0999,21.5134,223,glass beaker,18.599,8.426,34.4083,14.4206,15.8093,5.911,5.7725,5.9014,11.6739,5.9946,0.2069,0.0932,15.6024,0.2748,0.3789,1.8429,1.3365,2.6438,0.4945,0.9782,dboutt319,2009-07-05T13:14:39Z
NULL,NULL,C0009A;1509.700,NULL,1509.7,NULL,NULL,1509.7,NULL,NULL,C0009A;1512.700,NULL,1512.7,NULL,NULL,1512.7,C0009A-176SMW W,CKY000000000001968900,PP,NULL,35,moriyas,NULL,CKY,2009-07-07T09:15:19Z,475,glass beaker,18.986,8.531,48.846,23.7022,29.86,475,glass beaker,18.986,8.531,40.4874,15.38,21.5014,8.6618,8.4588,6.7124,15.1712,6.849,0.3032,0.1366,21.1982,0.2901,0.4086,1.9682,1.3973,3.1581,0.5576,1.2602,dboutt319,2009-07-08T08:36:36Z
"C0009A-1R-1, 10.0 cm",NULL,NULL,NULL,1509.8,1509.8,1509.8,1509.8,"C0009A-1R-1, 18.0 cm",NULL,NULL,NULL,1509.88,1509.88,1509.88,1509.88,"C0009A-1R-1-3 WR, 10.0--18.0 cm",CKY000000000001962100,PP,NULL,5,hiranos,Taken as cluster sample,CKY,2009-07-06T23:46:50Z,453,glass beaker,18.952,8.555,36.8779,17.4826,17.9259,453,glass beaker,18.952,8.555,34.1658,14.7823,15.2138,2.8105,2.7446,6.183,8.9276,6.2273,0.0984,0.0443,15.1154,0.1568,0.1859,2.0079,1.6931,2.4447,0.3074,0.4439,dboutt319,2009-07-08T06:39:35Z
NULL,NULL,C0009A;1512.700,NULL,1512.7,NULL,NULL,1512.7,NULL,NULL,C0009A;1517.700,NULL,1517.7,NULL,NULL,1517.7,C0009A-177SMW W,CKY000000000001968800,PP,NULL,35,moriyas,NULL,CKY,2009-07-07T08:47:57Z,255,glass beaker,18.733,8.517,47.4954,23.5151,28.7624,255,glass beaker,18.733,8.517,40.9208,16.9691,22.1878,6.8131,6.6534,8.3447,14.9981,8.4521,0.2385,0.1074,21.9493,0.2369,0.3104,1.9177,1.4635,2.6303,0.4436,0.7973,dboutt319,2009-07-08T08:36:36Z
NULL,NULL,C0009A;1512.700,NULL,1512.7,NULL,NULL,1512.7,NULL,NULL,C0009A;1517.700,NULL,1517.7,NULL,NULL,1517.7,C0009A-197SMW W,CKY000000000002007100,PP,NULL,35,kawamuras,NULL,CKY,2009-07-11T09:21:24Z,209,glass beaker,18.809,8.544,38.6243,23.0615,19.8153,209,glass beaker,18.809,8.544,27.1464,11.6336,8.3374,11.8942,11.6154,2.9021,14.5175,3.0896,0.4163,0.1875,7.9211,0.6003,1.5016,1.3649,0.5456,2.7294,0.8001,4.0024,dboutt319,2009-07-13T03:19:14Z
NULL,NULL,C0009A;1517.700,NULL,1517.7,NULL,NULL,1517.7,NULL,NULL,C0009A;1522.700,NULL,1522.7,NULL,NULL,1522.7,C0009A-179SMW W,CKY000000000001990200,PP,NULL,35,ushiromurah,NULL,CKY,2009-07-09T05:34:55Z,62,glass cell,17.531,7.913,34.6543,17.4601,17.1233,62,glass cell,17.531,7.913,29.7946,12.6215,12.2636,5.036,4.918,4.6291,9.5471,4.7085,0.1763,0.0794,12.0873,0.2941,0.4166,1.7936,1.2661,2.6112,0.5151,1.0624,dboutt319,2009-07-11T00:33:34Z
NULL,NULL,C0009A;1517.700,NULL,1517.7,NULL,NULL,1517.7,NULL,NULL,C0009A;1522.700,NULL,1522.7,NULL,NULL,1522.7,C0009A-198SMW W,CKY000000000002016900,PP,NULL,35,kawamuras,NULL,CKY,2009-07-11T11:08:31Z,264,glass beaker,18.122,8.212,38.6716,19.0629,20.5496,264,glass beaker,18.122,8.212,33.7124,14.1252,15.5904,5.1391,5.0187,5.8322,10.8509,5.9132,0.1799,0.081,15.4105,0.2501,0.3335,1.8938,1.4202,2.6423,0.4625,0.8605,dboutt319,2009-07-13T03:19:14Z
"C0009A-2R-2, 6.0 cm",NULL,NULL,NULL,1519.57,1519.57,1519.57,1519.57,"C0009A-2R-2, 9.0 cm",NULL,NULL,NULL,1519.6,1519.6,1519.6,1519.6,"C0009A-2R-2 WR, 6.0--9.0 cm",CKY000000000001963000,PP,NULL,20,arakaway,Share w/ DPW,CKY,2009-07-07T00:01:52Z,474,glass beaker,19.003,8.554,28.5149,13.0126,9.5119,474,glass beaker,19.003,8.554,27.072,11.576,8.069,1.4952,1.4602,2.9984,4.4586,3.022,0.0523,0.0236,8.0167,0.1572,0.1865,2.1334,1.798,2.6737,0.3275,0.487,dboutt319,2009-07-07T22:36:57Z
"C0009A-2R-2, 67.0 cm",NULL,NULL,NULL,1520.18,1520.18,1520.18,1520.18,"C0009A-2R-2, 72.0 cm",NULL,NULL,NULL,1520.23,1520.23,1520.23,1520.23,"C0009A-2R-2 WR, 67.0--72.0 cm",CKY000000000001962800,PP,NULL,20,arakaway,"Share w/ DPW;3packs(2 residues, 1 no residue)",CKY,2009-07-07T00:01:52Z,62,glass cell,17.531,7.913,26.6498,12.2438,9.1188,62,glass cell,17.531,7.913,25.1694,10.7699,7.6384,1.5341,1.4981,2.8327,4.3308,2.8569,0.0537,0.0242,7.5847,0.1682,0.2023,2.1056,1.7513,2.6776,0.3459,0.5289,dboutt319,2009-07-07T22:36:57Z
NULL,NULL,C0009A;1522.700,NULL,1522.7,NULL,NULL,1522.7,NULL,NULL,C0009A;1527.700,NULL,1527.7,NULL,NULL,1527.7,C0009A-180SMW W,CKY000000000001992500,PP,NULL,35,ushiromurah,NULL,CKY,2009-07-09T11:02:39Z,262,glass beaker,18.363,8.27,40.1176,19.9162,21.7546,262,glass beaker,18.363,8.27,34.8451,14.6667,16.4821,5.4637,5.3356,6.3106,11.6462,6.3967,0.1912,0.0861,16.2909,0.2512,0.3354,1.868,1.3988,2.5815,0.4581,0.8455,fuway,2010-08-17T01:38:26Z
NULL,NULL,C0009A;1522.700,NULL,1522.7,NULL,NULL,1522.7,NULL,NULL,C0009A;1527.700,NULL,1527.7,NULL,NULL,1527.7,C0009A-199SMW W,CKY000000000002017000,PP,NULL,35,kawamuras,NULL,CKY,2009-07-11T11:09:23Z,81,glass cell,17.689,8,29.9497,14.5476,12.2607,81,glass cell,17.689,8,26.8613,11.4727,9.1723,3.2004,3.1254,3.4222,6.5476,3.4727,0.112,0.0505,9.0603,0.261,0.3532,1.8725,1.3838,2.6475,0.4773,0.9133,dboutt319,2009-07-13T03:19:14Z
NULL,NULL,C0009A;1527.700,NULL,1527.7,NULL,NULL,1527.7,NULL,NULL,C0009A;1532.700,NULL,1532.7,NULL,NULL,1532.7,C0009A-181SMW W,CKY000000000001991400,PP,NULL,35,ushiromurah,NULL,CKY,2009-07-09T06:55:50Z,483,glass beaker,18.966,8.54,40.4362,19.7159,21.4702,483,glass beaker,18.966,8.54,35.7195,15.0198,16.7535,4.8878,4.7732,6.4027,11.1759,6.4798,0.1711,0.0771,16.5824,0.2277,0.2948,1.9211,1.4838,2.5899,0.4271,0.7455,dboutt319,2009-07-11T00:14:10Z
NULL,NULL,C0009A;1527.700,NULL,1527.7,NULL,NULL,1527.7,NULL,NULL,C0009A;1532.700,NULL,1532.7,NULL,NULL,1532.7,C0009A-200SMW W,CKY000000000002020600,PP,NULL,35,arakaway,no residue,CKY,2009-07-11T13:16:57Z,238,glass beaker,18.184,8.265,24.8385,11.644,6.6545,238,glass beaker,18.184,8.265,23.2546,10.0671,5.0706,1.6413,1.6028,1.7762,3.379,1.8021,0.0574,0.0259,5.0132,0.2466,0.3274,1.9694,1.4836,2.8224,0.4743,0.9024,dboutt319,2009-07-13T03:19:14Z
"C0009A-3R-1, 78.0 cm",NULL,NULL,NULL,1529.452,1529.48,1529.452,1529.48,"C0009A-3R-1, 82.0 cm",NULL,NULL,NULL,1529.49,1529.52,1529.49,1529.52,"C0009A-3R-1 W, 78.0--82.0 cm",CKY000000000001994700,PP,NULL,20,hiranos,Share w/DPW,CKY,2009-07-10T13:10:06Z,273,glass beaker,18.204,8.22,35.6608,16.5665,17.4568,273,glass beaker,18.204,8.22,32.7898,13.708,14.5858,2.9751,2.9054,5.4411,8.3465,5.488,0.1041,0.0469,14.4817,0.1704,0.2054,2.0915,1.7351,2.6615,0.3481,0.534,dboutt319,2009-07-12T01:39:53Z
"C0009A-3R-2, 85.0 cm",NULL,NULL,NULL,1530.878,1530.96,1530.878,1530.96,"C0009A-3R-2, 89.0 cm",NULL,NULL,NULL,1530.916,1531,1530.916,1531,"C0009A-3R-2 W, 85.0--89.0 cm",CKY000000000001994800,PP,NULL,20,hiranos,Share w/DPW,CKY,2009-07-10T13:11:24Z,454,glass beaker,19.031,8.584,33.32,15.3717,14.289,454,glass beaker,19.031,8.584,30.9968,13.0586,11.9658,2.4075,2.3511,4.4366,6.7877,4.4746,0.0843,0.038,11.8815,0.1685,0.2026,2.1051,1.7504,2.6781,0.3464,0.5299,dboutt319,2009-07-12T06:48:50Z
"C0009A-3R-3, 34.0 cm",NULL,NULL,NULL,1531.6,1531.71,1531.6,1531.71,"C0009A-3R-3, 38.0 cm",NULL,NULL,NULL,1531.639,1531.75,1531.639,1531.75,"C0009A-3R-3 W, 34.0--38.0 cm",CKY000000000001994900,PP,NULL,20,hiranos,Share w/DPW,CKY,2009-07-10T13:12:23Z,287,glass beaker,18.664,8.447,36.3653,16.6614,17.7013,287,glass beaker,18.664,8.447,33.6893,13.997,15.0253,2.7731,2.7081,5.5063,8.2144,5.55,0.0971,0.0437,14.9282,0.1567,0.1858,2.1549,1.8173,2.7111,0.3297,0.4918,dboutt319,2009-07-12T06:48:49Z
"C0009A-3R-3, 40.0 cm",NULL,NULL,NULL,1531.658,1531.77,1531.658,1531.77,"C0009A-3R-3, 42.0 cm",NULL,NULL,NULL,1531.677,1531.79,1531.677,1531.79,"C0009A-3R-3 W, 40.0--42.0 cm",CKY000000000001996900,PP,NULL,10,arakaway,NULL,CKY,2009-07-10T14:16:55Z,67,glass cell,17.182,7.835,37.7798,18.1739,20.5978,67,glass cell,17.182,7.835,33.4572,13.8701,16.2752,4.4794,4.3744,5.9645,10.3389,6.0351,0.1568,0.0706,16.1184,0.2175,0.2779,1.9923,1.559,2.7024,0.4231,0.7334,fuway,2009-07-23T03:02:08Z
