Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0006E-2H-1, 20.0 cm",NULL,5.378,5.39,5.378,5.39,"C0006E-2H-1, 22.0 cm",NULL,5.397,5.41,5.397,5.41,"C0006E-2H-1 W, 20.0--22.0 cm",CKY000000000000968600,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T09:35:17Z,NULL,173,glass beaker,5.972,2.711,12.407,7.201273,6.435,173,glass beaker,5.972,2.711,9.026,3.835,3.054,3.503627,3.421511,1.068763,4.490273,1.124,0.122627,0.0552374,2.931373,0.5444642,1.195217,1.433098,0.6528273,2.742773,0.7619827,3.201376,david_goldsby316,2008-01-14T05:21:44Z
"C0006E-2H-1, 100.0 cm",NULL,6.131,6.19,6.131,6.19,"C0006E-2H-1, 102.0 cm",NULL,6.149,6.21,6.149,6.21,"C0006E-2H-1 W, 100.0--102.0 cm",CKY000000000000968700,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T09:35:18Z,NULL,166,glass beaker,6.117,2.773,13.708,7.80714,7.591,166,glass beaker,6.117,2.773,10.526,4.639,4.409,3.297409,3.220126,1.814014,5.03414,1.866,0.1154094,0.05198622,4.29359,0.4343841,0.7679841,1.507904,0.8528945,2.366901,0.6396577,1.775139,david_goldsby316,2008-01-14T05:21:44Z
"C0006E-2H-2, 20.0 cm",NULL,6.7,6.795,6.7,6.795,"C0006E-2H-2, 22.0 cm",NULL,6.719,6.815,6.719,6.815,"C0006E-2H-2 W, 20.0--22.0 cm",CKY000000000000971500,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T11:29:11Z,NULL,144,glass beaker,6.092,2.717,15.488,8.09092,9.396,144,glass beaker,6.092,2.717,12.485,5.101,6.393,3.111917,3.038981,2.334938,5.37392,2.384,0.1089172,0.04906179,6.284083,0.331196,0.4952063,1.748444,1.169367,2.691327,0.5655056,1.301525,david_goldsby316,2008-01-14T05:21:45Z
"C0006E-2H-2, 100.0 cm",NULL,7.452,7.595,7.452,7.595,"C0006E-2H-2, 102.0 cm",NULL,7.471,7.615,7.471,7.615,"C0006E-2H-2 W, 100.0--102.0 cm",CKY000000000000971600,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T11:29:11Z,NULL,142,glass beaker,6.096,2.792,12.214,6.240215,6.118,142,glass beaker,6.096,2.792,10.22,4.2549,4.124,2.066321,2.017892,1.430323,3.448215,1.4629,0.0723213,0.03257716,4.051679,0.3377446,0.5099914,1.774251,1.175008,2.832702,0.585199,1.410795,david_goldsby316,2008-01-14T05:21:45Z
"C0006E-2H-3, 0.0 cm",NULL,7.636,7.79,7.636,7.79,"C0006E-2H-3, 1.5 cm",NULL,7.65,7.805,7.65,7.805,"C0006E-2H-3 WR, 0.0--1.5 cm",CKY000000000000950300,PP,NULL,8,arito316,NULL,CKY,2007-12-28T17:10:20Z,NULL,132,glass beaker,6.078,2.705,13.59,6.814879,7.512,132,glass beaker,6.078,2.705,11.496,4.73,5.418,2.169948,2.11909,1.990789,4.109879,2.025,0.07594825,0.03421092,5.342052,0.2888643,0.4062013,1.827791,1.299808,2.683384,0.5156088,1.064447,tsutsumi316,2007-12-30T22:23:08Z
"C0006E-2H-4, 20.0 cm",NULL,8.04,8.22,8.04,8.22,"C0006E-2H-4, 102.0 cm",NULL,8.811,9.04,8.811,9.04,"C0006E-2H-4 W, 20.0--102.0 cm",CKY000000000000971800,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T11:29:11Z,NULL,206,glass beaker,6.02,2.646,15.05,7.881351,9.03,206,glass beaker,6.02,2.646,12.146,4.99,6.126,3.009327,2.938795,2.296556,5.235351,2.344,0.1053265,0.04744437,6.020674,0.3332587,0.4998322,1.724813,1.150004,2.62161,0.5613368,1.279653,david_goldsby316,2008-01-14T05:28:12Z
"C0006E-2H-4, 20.0 cm",NULL,8.04,8.22,8.04,8.22,"C0006E-2H-4, 22.0 cm",NULL,8.059,8.24,8.059,8.24,"C0006E-2H-4 W, 20.0--22.0 cm",CKY000000000000971700,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T11:29:11Z,NULL,109,glass beaker,6.007,2.678,12.85,6.583757,6.843,109,glass beaker,6.007,2.678,10.728,4.471,4.721,2.198964,2.147425,1.758332,3.905757,1.793,0.07696379,0.03466837,4.644036,0.321345,0.4735027,1.752029,1.189023,2.641161,0.5498103,1.221286,david_goldsby316,2008-01-14T05:28:12Z
"C0006E-2H-4, 115.5 cm",NULL,8.938,9.175,8.938,9.175,"C0006E-2H-4, 117.0 cm",NULL,8.952,9.19,8.952,9.19,"C0006E-2H-4 WR, 115.5--117.0 cm",CKY000000000000967200,PP,NULL,8,chesterf316,NULL,CKY,2007-12-29T05:10:01Z,NULL,20,glass cell,4.62,2.048,13.436,7.186142,8.816,20,glass cell,4.62,2.048,10.484,4.247,5.864,3.059067,2.98737,2.150771,5.138142,2.199,0.1070674,0.04822858,5.756933,0.3469904,0.5313711,1.715795,1.120431,2.676683,0.5814107,1.388976,david_goldsby316,2008-01-14T05:21:45Z
"C0006E-2H-5, 20.0 cm",NULL,9.38,9.645,9.38,9.645,"C0006E-2H-5, 22.0 cm",NULL,9.399,9.665,9.399,9.665,"C0006E-2H-5 W, 20.0--22.0 cm",CKY000000000000971900,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T11:29:12Z,NULL,120,glass beaker,6.112,2.707,13.047,6.722422,6.935,120,glass beaker,6.112,2.707,10.848,4.533,4.736,2.278757,2.225348,1.790074,4.015422,1.826,0.07975654,0.03592637,4.656243,0.3285878,0.4893981,1.727091,1.15959,2.601146,0.5542003,1.24316,david_goldsby316,2008-01-14T05:28:12Z
"C0006E-2H-5, 100.0 cm",NULL,10.133,10.445,10.133,10.445,"C0006E-2H-5, 102.0 cm",NULL,10.152,10.465,10.152,10.465,"C0006E-2H-5 W, 100.0--102.0 cm",CKY000000000000972000,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T11:29:12Z,NULL,191,glass beaker,6.066,2.767,11.79,5.977181,5.724,191,glass beaker,6.066,2.767,9.995,4.19,3.929,1.860104,1.816507,1.393674,3.210181,1.423,0.06510368,0.02932598,3.863896,0.3249657,0.4814062,1.783077,1.203638,2.772453,0.5658582,1.303395,david_goldsby316,2008-01-14T05:28:13Z
"C0006E-2H-6, 100.0 cm",NULL,11.478,11.875,11.478,11.875,"C0006E-2H-6, 102.0 cm",NULL,11.497,11.895,11.497,11.895,"C0006E-2H-6 W, 100.0--102.0 cm",CKY000000000000972100,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T11:29:12Z,NULL,110,glass beaker,5.992,2.65,14.912,7.658453,8.92,110,glass beaker,5.992,2.65,12.2379,4.996,6.2459,2.771088,2.706141,2.302312,5.008453,2.346,0.09698817,0.04368836,6.148912,0.3106601,0.4506632,1.780989,1.227707,2.670756,0.5403148,1.175402,david_goldsby316,2008-01-14T05:28:13Z
"C0006E-2H-7, 0.0 cm",NULL,11.675,12.085,11.675,12.085,"C0006E-2H-7, 1.5 cm",NULL,11.69,12.1,11.69,12.1,"C0006E-2H-7 WR, 0.0--1.5 cm",CKY000000000000951400,PP,NULL,8,arito316,NULL,CKY,2007-12-28T17:56:40Z,NULL,143,glass beaker,5.963,2.679,13.853,6.908831,7.89,143,glass beaker,5.963,2.679,11.748,4.813,5.785,2.181347,2.130222,2.099609,4.229831,2.134,0.07634721,0.03439063,5.708653,0.2764699,0.3821124,1.865323,1.349617,2.718912,0.5036186,1.01458,tsutsumi316,2007-12-30T22:23:09Z
"C0006E-2H-8, 20.0 cm",NULL,12.089,12.525,12.089,12.525,"C0006E-2H-8, 22.0 cm",NULL,12.108,12.545,12.108,12.545,"C0006E-2H-8 W, 20.0--22.0 cm",CKY000000000000972200,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T11:29:12Z,NULL,121,glass beaker,6.069,2.709,15.097,7.307471,9.028,121,glass beaker,6.069,2.709,13.139,5.358,7.07,2.029016,1.98146,2.617011,4.598471,2.649,0.0710156,0.03198901,6.998985,0.224747,0.2899014,1.963261,1.522024,2.674419,0.4308955,0.7571464,david_goldsby316,2008-01-14T06:53:16Z
"C0006E-2H-8, 100.0 cm",NULL,12.842,13.325,12.842,13.325,"C0006E-2H-8, 102.0 cm",NULL,12.861,13.345,12.861,13.345,"C0006E-2H-8 W, 100.0--102.0 cm",CKY000000000000972300,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T11:29:13Z,NULL,181,glass beaker,6.057,2.713,15.019,7.452969,8.962,181,glass beaker,6.057,2.713,12.716,5.16,6.659,2.386529,2.330594,2.409375,4.739969,2.447,0.08352856,0.03762548,6.575471,0.2662942,0.3629441,1.89073,1.387239,2.72912,0.4916898,0.9673026,david_goldsby316,2008-01-14T06:53:16Z
"C0006E-2H-9, 20.0 cm",NULL,13.477,14,13.477,14,"C0006E-2H-9, 22.0 cm",NULL,13.495,14.02,13.495,14.02,"C0006E-2H-9 W, 20.0--22.0 cm",CKY000000000000972400,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T11:29:13Z,NULL,131,glass beaker,6.067,2.717,15.403,7.501849,9.336,131,glass beaker,6.067,2.717,13.302,5.41,7.235,2.177202,2.126174,2.658675,4.784849,2.693,0.07620213,0.03432528,7.158798,0.233205,0.3041296,1.951159,1.496139,2.692619,0.4443555,0.7997119,david_goldsby316,2008-01-14T06:53:17Z
"C0006E-2H-9, 100.0 cm",NULL,14.229,14.8,14.229,14.8,"C0006E-2H-9, 102.0 cm",NULL,14.248,14.82,14.248,14.82,"C0006E-2H-9 W, 100.0--102.0 cm",CKY000000000000972500,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T11:29:13Z,NULL,126,glass beaker,6.042,2.703,12.66,6.316877,6.618,126,glass beaker,6.042,2.703,10.795,4.46,4.753,1.932643,1.887346,1.72653,3.613877,1.757,0.06764254,0.03046961,4.685358,0.2920282,0.4124856,1.831275,1.296491,2.713742,0.5222498,1.093144,david_goldsby316,2008-01-14T06:53:17Z
"C0006E-3H-1, 20.0 cm",NULL,14.869,14.89,14.869,14.89,"C0006E-3H-1, 22.0 cm",NULL,14.886,14.91,14.886,14.91,"C0006E-3H-1 W, 20.0--22.0 cm",CKY000000000001004500,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-30T06:44:38Z,NULL,140,glass beaker,6.001,2.695,14.222,7.210977,8.221,140,glass beaker,6.001,2.695,11.921,4.92,5.92,2.384456,2.32857,2.187407,4.515977,2.225,0.08345602,0.0375928,5.836544,0.2900445,0.408539,1.820425,1.292421,2.668248,0.5156293,1.064534,david_goldsby316,2008-01-14T06:53:20Z
"C0006E-3H-1, 100.0 cm",NULL,15.582,15.69,15.582,15.69,"C0006E-3H-1, 102.0 cm",NULL,15.6,15.71,15.6,15.71,"C0006E-3H-1 W, 100.0--102.0 cm",CKY000000000001004600,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-30T06:44:38Z,NULL,13,glass cell,4.522,2.05,12.265,5.960687,7.743,13,glass cell,4.522,2.05,10.586,4.289,6.064,1.739896,1.699118,2.211569,3.910687,2.239,0.06089642,0.02743082,6.003104,0.2247057,0.2898328,1.979959,1.535051,2.714409,0.4344806,0.7682859,david_goldsby316,2008-01-14T06:53:20Z
"C0006E-3H-2, 20.0 cm",NULL,16.122,16.295,16.122,16.295,"C0006E-3H-2, 22.0 cm",NULL,16.14,16.315,16.14,16.315,"C0006E-3H-2 W, 20.0--22.0 cm",CKY000000000001004700,PP,NULL,5,david_goldsby316,position uncertain,CKY,2007-12-30T06:44:38Z,NULL,125,glass beaker,6.079,2.718,14.467,7.064028,8.388,125,glass beaker,6.079,2.718,12.522,5.1275,6.443,2.015544,1.968305,2.377723,4.346028,2.4095,0.0705441,0.03177662,6.372456,0.240289,0.31629,1.930038,1.466271,2.680066,0.4528974,0.8278106,david_goldsby316,2008-01-14T06:53:21Z
"C0006E-3H-3, 0.0 cm",NULL,17.006,17.285,17.006,17.285,"C0006E-3H-3, 1.5 cm",NULL,17.019,17.3,17.019,17.3,"C0006E-3H-3 WR, 0.0--1.5 cm",CKY000000000000952800,PP,NULL,8,arito316,NULL,CKY,2007-12-28T18:43:48Z,NULL,186,glass beaker,5.941,2.659,14.371,7.114302,8.43,186,glass beaker,5.941,2.659,12.374,5.126,6.433,2.06943,2.020928,2.434374,4.455302,2.467,0.07243011,0.03262617,6.36057,0.245484,0.3253529,1.892128,1.427641,2.612816,0.4536007,0.8301633,tsutsumi316,2007-12-30T22:23:10Z
"C0006E-3H-4, 20.0 cm",NULL,17.39,17.715,17.39,17.715,"C0006E-3H-4, 22.0 cm",NULL,17.408,17.735,17.408,17.735,"C0006E-3H-4 W, 20.0--22.0 cm",CKY000000000000952400,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-28T18:40:47Z,NULL,159,glass beaker,6.088,2.772,13.733,7.060287,7.645,159,glass beaker,6.088,2.772,11.503,4.84,5.415,2.310881,2.25672,2.031567,4.288287,2.068,0.08088089,0.03643283,5.334119,0.3022735,0.4332263,1.782763,1.243881,2.625618,0.526252,1.110827,david_goldsby316,2008-01-14T06:53:18Z
"C0006E-3H-4, 100.0 cm",NULL,18.104,18.515,18.104,18.515,"C0006E-3H-4, 102.0 cm",NULL,18.121,18.535,18.121,18.535,"C0006E-3H-4 W, 100.0--102.0 cm",CKY000000000000980300,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T15:50:59Z,NULL,178,glass beaker,6.07,2.773,15.066,7.342049,8.996,178,glass beaker,6.07,2.773,13.011,5.296,6.941,2.129534,2.079623,2.489426,4.569049,2.523,0.07453374,0.03357375,6.866466,0.2367201,0.3101353,1.9689,1.502822,2.758252,0.4551544,0.8353823,david_goldsby316,2008-01-14T06:53:19Z
"C0006E-3H-5, 110.0 cm",NULL,19.487,20.065,19.487,20.065,"C0006E-3H-5, 112.0 cm",NULL,19.505,20.085,19.505,20.085,"C0006E-3H-5 W, 110.0--112.0 cm",CKY000000000000980400,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T15:51:00Z,NULL,12,glass cell,4.541,2.028,11.445,5.789798,6.904,12,glass cell,4.541,2.028,9.562,3.915,5.021,1.951295,1.905562,1.856236,3.761798,1.887,0.06829539,0.03076369,4.952705,0.2826326,0.3939858,1.835293,1.316579,2.668143,0.5065561,1.026573,david_goldsby316,2008-01-14T06:53:19Z
"C0006E-3H-6, 20.0 cm",NULL,19.991,20.63,19.991,20.63,"C0006E-3H-6, 22.0 cm",NULL,20.009,20.65,20.009,20.65,"C0006E-3H-6 W, 20.0--22.0 cm",CKY000000000000980500,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T15:51:00Z,NULL,34,glass cell,4.693,2.067,14.649,7.282725,9.956,34,glass cell,4.693,2.067,12.29,4.934,7.597,2.44456,2.387265,2.82846,5.215725,2.867,0.08555965,0.03854038,7.511441,0.2455363,0.3254449,1.908843,1.440153,2.655665,0.4577054,0.844016,david_goldsby316,2008-01-14T06:53:18Z
"C0006E-3H-6, 55.0 cm",NULL,20.303,20.98,20.303,20.98,"C0006E-3H-6, 56.5 cm",NULL,20.317,20.995,20.317,20.995,"C0006E-3H-6 WR, 55.0--56.5 cm",CKY000000000000970400,PP,NULL,8,chesterf316,NULL,CKY,2007-12-29T11:14:33Z,NULL,24,glass cell,4.638,2.026,11.83,5.803687,7.192,24,glass cell,4.638,2.026,10.151,4.132,5.513,1.739896,1.699118,2.078569,3.777687,2.106,0.06089642,0.02743082,5.452104,0.2419211,0.3191239,1.903811,1.443239,2.623008,0.4497772,0.8174457,david_goldsby316,2008-01-14T06:53:17Z
"C0006E-3H-6, 95.0 cm",NULL,20.66,21.38,20.66,21.38,"C0006E-3H-6, 96.5 cm",NULL,20.674,21.395,20.674,21.395,"C0006E-3H-6 WR, 95.0--96.5 cm",CKY000000000000969800,PP,NULL,8,chesterf316,NULL,CKY,2007-12-29T11:14:32Z,NULL,199,glass beaker,6.006,2.699,13.526,6.710676,7.52,199,glass beaker,6.006,2.699,11.615,4.808,5.609,1.980311,1.933897,2.077779,4.011676,2.109,0.06931093,0.03122114,5.539689,0.2633392,0.3574769,1.874528,1.380891,2.666159,0.4820672,0.9307522,david_goldsby316,2008-01-14T06:53:17Z
"C0006E-3H-6, 100.0 cm",NULL,20.705,21.43,20.705,21.43,"C0006E-3H-6, 102.0 cm",NULL,20.723,21.45,20.723,21.45,"C0006E-3H-6 W, 100.0--102.0 cm",CKY000000000000980600,PP,NULL,5,david_goldsby316,NULL,CKY,2007-12-29T15:51:01Z,NULL,116,glass beaker,6.065,2.703,15.58,7.780655,9.515,116,glass beaker,6.065,2.703,13.205,5.416,7.14,2.46114,2.403457,2.674198,5.077655,2.713,0.08613996,0.03880178,7.05386,0.258659,0.3489068,1.873896,1.389196,2.637748,0.4733399,0.8987579,david_goldsby316,2008-01-14T06:53:19Z
"C0006E-3H-7, 0.0 cm",NULL,20.906,21.655,20.906,21.655,"C0006E-3H-7, 1.5 cm",NULL,20.919,21.67,20.919,21.67,"C0006E-3H-7 WR, 0.0--1.5 cm",CKY000000000000953300,PP,NULL,8,arito316,NULL,CKY,2007-12-28T18:43:49Z,NULL,201,glass beaker,6.063,2.712,13.031,6.532254,6.968,201,glass beaker,6.063,2.712,11.023,4.533,4.96,2.080829,2.03206,1.788194,3.820254,1.821,0.07282907,0.03280589,4.887171,0.2986265,0.4257738,1.823963,1.279279,2.73302,0.5319174,1.136375,tsutsumi316,2007-12-30T22:23:11Z
