Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0008A-1H-7, 0.0 cm",NULL,5.38,5.43,5.38,5.43,"C0008A-1H-7, 1.5 cm",NULL,5.394,5.445,5.394,5.445,"C0008A-1H-7 WR, 0.0--1.5 cm",CKY000000000001523900,PP,NULL,8,arito316,NULL,CKY,2008-01-26T19:54:15Z,NULL,136,glass beaker,6.026,2.675,11.664,6.162709,5.638,136,glass beaker,6.026,2.675,9.531,4.039,3.505,2.210363,2.158557,1.329152,3.487709,1.364,0.07736275,0.03484809,3.427637,0.3920473,0.6448648,1.616534,0.9827761,2.578815,0.618904,1.624011,tsutsumi316,2008-01-31T16:49:22Z
"C0008A-1H-8, 20.0 cm",NULL,5.796,5.85,5.796,5.85,"C0008A-1H-8, 22.0 cm",NULL,5.816,5.87,5.816,5.87,"C0008A-1H-8 W, 20.0--22.0 cm",CKY000000000001550100,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T09:03:50Z,NULL,121,glass beaker,6.069,2.709,12.79,6.6953,6.721,121,glass beaker,6.069,2.709,10.327,4.243,4.258,2.5523,2.4925,1.4938,3.9863,1.534,0.0893,0.0402,4.1687,0.3798,0.6123,1.686,1.0458,2.7907,0.6253,1.6686,fujikit,2010-08-10T11:47:46Z
"C0008A-2H-1, 20.0 cm",NULL,7.097,7.13,7.097,7.13,"C0008A-2H-1, 22.0 cm",NULL,7.114,7.15,7.114,7.15,"C0008A-2H-1 W, 20.0--22.0 cm",CKY000000000001560000,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T13:24:24Z,NULL,195,glass beaker,6.061,2.75,13.336,7.2213,7.275,195,glass beaker,6.061,2.75,10.414,4.312,4.353,3.028,2.957,1.5143,4.4713,1.562,0.106,0.0477,4.247,0.4162,0.713,1.627,0.9498,2.8046,0.6613,1.9527,fujikit,2010-08-10T11:47:46Z
"C0008A-2H-1, 100.0 cm",NULL,7.764,7.93,7.764,7.93,"C0008A-2H-1, 102.0 cm",NULL,7.781,7.95,7.781,7.95,"C0008A-2H-1 W, 100.0--102.0 cm",CKY000000000001560100,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T13:24:24Z,NULL,124,glass beaker,5.982,2.656,13.079,6.9942,7.097,124,glass beaker,5.982,2.656,10.369,4.296,4.387,2.8083,2.7425,1.5957,4.3382,1.64,0.0983,0.0443,4.2887,0.3957,0.6548,1.6359,0.9886,2.6877,0.6322,1.7187,fujikit,2010-08-10T11:47:47Z
"C0008A-2H-2, 0.0 cm",NULL,8.11,8.345,8.11,8.345,"C0008A-2H-2, 1.5 cm",NULL,8.123,8.36,8.123,8.36,"C0008A-2H-2 WR, 0.0--1.5 cm",CKY000000000001527800,PP,NULL,8,arito316,NULL,CKY,2008-01-26T21:56:49Z,NULL,164,glass beaker,6.118,2.757,12.44,6.552834,6.322,164,glass beaker,6.118,2.757,10.106,4.229,3.988,2.418653,2.361966,1.433868,3.795834,1.472,0.08465292,0.03813194,3.903347,0.3825772,0.6196356,1.66551,1.028324,2.72225,0.6222521,1.647268,tsutsumi316,2008-01-31T16:49:23Z
"C0008A-2H-3, 20.0 cm",NULL,8.469,8.775,8.469,8.775,"C0008A-2H-3, 22.0 cm",NULL,8.486,8.795,8.486,8.795,"C0008A-2H-3 W, 20.0--22.0 cm",CKY000000000001560200,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T13:24:24Z,NULL,174,glass beaker,6.02,2.725,12.389,6.5655,6.369,174,glass beaker,6.02,2.725,9.977,4.164,3.957,2.4995,2.4409,1.3996,3.8405,1.439,0.0875,0.0394,3.8695,0.3924,0.6459,1.6584,1.0076,2.7647,0.6356,1.744,fujikit,2010-08-10T11:47:47Z
"C0008A-2H-3, 100.0 cm",NULL,9.136,9.575,9.136,9.575,"C0008A-2H-3, 102.0 cm",NULL,9.153,9.595,9.153,9.595,"C0008A-2H-3 W, 100.0--102.0 cm",CKY000000000001560300,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T13:24:25Z,NULL,167,glass beaker,6.068,2.721,13.101,6.863,7.033,167,glass beaker,6.068,2.721,10.583,4.356,4.515,2.6093,2.5481,1.5939,4.142,1.635,0.0913,0.0411,4.4237,0.371,0.5898,1.698,1.068,2.7754,0.6152,1.5987,fujikit,2010-08-10T11:47:47Z
"C0008A-2H-4, 20.0 cm",NULL,9.474,9.98,9.474,9.98,"C0008A-2H-4, 22.0 cm",NULL,9.491,10,9.491,10,"C0008A-2H-4 W, 20.0--22.0 cm",CKY000000000001560400,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T13:24:25Z,NULL,138,glass beaker,5.99,2.626,12.793,6.6538,6.803,138,glass beaker,5.99,2.626,10.446,4.317,4.456,2.4321,2.3751,1.6527,4.0278,1.691,0.0851,0.0383,4.3709,0.3575,0.5564,1.689,1.0852,2.6447,0.5897,1.4371,fujikit,2010-08-10T11:47:47Z
"C0008A-2H-4, 100.0 cm",NULL,10.141,10.78,10.141,10.78,"C0008A-2H-4, 102.0 cm",NULL,10.158,10.8,10.158,10.8,"C0008A-2H-4 W, 100.0--102.0 cm",CKY000000000001560500,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T13:24:25Z,NULL,113,glass beaker,5.985,2.629,12.542,6.5825,6.557,113,glass beaker,5.985,2.629,10.124,4.175,4.139,2.5057,2.447,1.5065,3.9535,1.546,0.0877,0.0395,4.0513,0.3821,0.6185,1.6585,1.0247,2.6892,0.6189,1.6243,fujikit,2010-08-10T11:47:47Z
"C0008A-2H-5, 20.0 cm",NULL,10.671,11.415,10.671,11.415,"C0008A-2H-5, 22.0 cm",NULL,10.688,11.435,10.688,11.435,"C0008A-2H-5 W, 20.0--22.0 cm",CKY000000000001560600,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T13:24:25Z,NULL,108,glass beaker,6.035,2.701,12.738,6.7361,6.703,108,glass beaker,6.035,2.701,10.221,4.23,4.186,2.6083,2.5472,1.4879,4.0351,1.529,0.0913,0.0411,4.0947,0.3891,0.637,1.6612,1.0148,2.752,0.6313,1.7119,fujikit,2010-08-10T11:47:47Z
"C0008A-2H-5, 100.0 cm",NULL,11.338,12.215,11.338,12.215,"C0008A-2H-5, 102.0 cm",NULL,11.355,12.235,11.355,12.235,"C0008A-2H-5 W, 100.0--102.0 cm",CKY000000000001560700,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T13:24:25Z,NULL,150,glass beaker,6.111,2.68,12.954,6.9665,6.843,150,glass beaker,6.111,2.68,10.308,4.332,4.197,2.742,2.6777,1.6088,4.2865,1.652,0.096,0.0432,4.101,0.4007,0.6686,1.5964,0.9567,2.5491,0.6247,1.6644,fujikit,2010-08-10T11:47:47Z
"C0008A-2H-6, 20.0 cm",NULL,11.864,12.845,11.864,12.845,"C0008A-2H-6, 22.0 cm",NULL,11.88,12.865,11.88,12.865,"C0008A-2H-6 W, 20.0--22.0 cm",CKY000000000001560800,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T13:24:26Z,NULL,148,glass beaker,6.08,2.753,12.817,6.7345,6.737,148,glass beaker,6.08,2.753,10.391,4.319,4.311,2.514,2.4551,1.5264,3.9815,1.566,0.088,0.0396,4.223,0.3732,0.5953,1.6921,1.0607,2.7666,0.6166,1.6084,fujikit,2010-08-10T11:47:47Z
"C0008A-2H-6, 100.0 cm",NULL,12.531,13.645,12.531,13.645,"C0008A-2H-6, 102.0 cm",NULL,12.547,13.665,12.547,13.665,"C0008A-2H-6 W, 100.0--102.0 cm",CKY000000000001560900,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T13:24:26Z,NULL,152,glass beaker,6.064,2.776,12.484,6.686,6.42,152,glass beaker,6.064,2.776,9.965,4.178,3.901,2.6104,2.5492,1.3608,3.91,1.402,0.0914,0.0412,3.8096,0.4066,0.6852,1.6419,0.9743,2.7995,0.652,1.8733,fujikit,2010-08-10T11:47:47Z
"C0008A-2H-7, 100.0 cm",NULL,13.723,15.075,13.723,15.075,"C0008A-2H-7, 102.0 cm",NULL,13.74,15.095,13.74,15.095,"C0008A-2H-7 W, 100.0--102.0 cm",CKY000000000001561100,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T13:24:26Z,NULL,145,glass beaker,5.966,2.637,11.608,6.0003,5.642,145,glass beaker,5.966,2.637,9.617,4.018,3.651,2.0632,2.0148,1.3485,3.3633,1.381,0.0722,0.0325,3.5788,0.3657,0.5765,1.6775,1.0641,2.6539,0.5991,1.4941,fujikit,2010-08-10T11:47:47Z
"C0008A-2H-8, 0.0 cm",NULL,14.02,15.43,14.02,15.43,"C0008A-2H-8, 1.5 cm",NULL,14.032,15.445,14.032,15.445,"C0008A-2H-8 WR, 0.0--1.5 cm",CKY000000000001528300,PP,NULL,8,arito316,NULL,CKY,2008-01-26T22:08:10Z,NULL,139,glass beaker,6.097,2.688,12.272,6.429126,6.175,139,glass beaker,6.097,2.688,10.005,4.172,3.908,2.349223,2.294163,1.446963,3.741126,1.484,0.08222286,0.03703732,3.825777,0.380441,0.6140512,1.650573,1.022627,2.644005,0.613228,1.585502,tsutsumi316,2008-01-31T16:49:23Z
"C0008A-2H-9, 20.0 cm",NULL,14.378,15.86,14.378,15.86,"C0008A-2H-9, 22.0 cm",NULL,14.395,15.88,14.395,15.88,"C0008A-2H-9 W, 20.0--22.0 cm",CKY000000000001561000,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-27T13:24:26Z,NULL,197,glass beaker,6.036,2.69,12.421,6.6276,6.385,197,glass beaker,6.036,2.69,10.023,4.24,3.987,2.485,2.4268,1.5108,3.9376,1.55,0.087,0.0392,3.9,0.3892,0.6372,1.6215,0.9905,2.5814,0.6163,1.6063,fujikit,2010-08-10T11:47:47Z
"C0008A-3H-1, 20.0 cm",NULL,15.68,15.7,15.68,15.7,"C0008A-3H-1, 22.0 cm",NULL,15.698,15.72,15.698,15.72,"C0008A-3H-1 W, 20.0--22.0 cm",CKY000000000001591400,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-28T05:15:36Z,NULL,166,glass beaker,6.117,2.773,12.872,6.631,6.755,166,glass beaker,6.117,2.773,10.579,4.348,4.462,2.3762,2.3205,1.5375,3.858,1.575,0.0832,0.0375,4.3788,0.3518,0.5427,1.7509,1.135,2.848,0.6015,1.5093,fujikit,2010-08-10T11:47:47Z
"C0008A-3H-1, 55.0 cm",NULL,15.996,16.05,15.996,16.05,"C0008A-3H-1, 56.5 cm",NULL,16.009,16.065,16.009,16.065,"C0008A-3H-1 WR, 55.0--56.5 cm",CKY000000000001551200,PP,NULL,8,chesterf316,NULL,CKY,2008-01-27T10:18:30Z,NULL,140,glass beaker,6.001,2.695,13.833,7.2595,7.832,140,glass beaker,6.001,2.695,11.189,4.627,5.188,2.7399,2.6757,1.8888,4.5645,1.932,0.0959,0.0432,5.0921,0.3498,0.5381,1.7159,1.1156,2.6959,0.5862,1.4166,fujikit,2010-08-10T11:47:47Z
"C0008A-3H-1, 100.0 cm",NULL,16.401,16.5,16.401,16.5,"C0008A-3H-1, 102.0 cm",NULL,16.419,16.52,16.419,16.52,"C0008A-3H-1 W, 100.0--102.0 cm",CKY000000000001591500,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-28T05:15:36Z,NULL,155,glass beaker,6.039,2.701,13.364,7.1247,7.325,155,glass beaker,6.039,2.701,10.522,4.295,4.483,2.9451,2.8761,1.5476,4.4237,1.594,0.1031,0.0464,4.3799,0.4021,0.6724,1.6559,0.9901,2.8301,0.6502,1.8584,fujikit,2010-08-10T11:47:47Z
"C0008A-3H-2, 20.0 cm",NULL,16.974,17.135,16.974,17.135,"C0008A-3H-2, 22.0 cm",NULL,16.992,17.155,16.992,17.155,"C0008A-3H-2 W, 20.0--22.0 cm",CKY000000000001591600,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-28T05:15:36Z,NULL,185,glass beaker,5.861,2.618,13.817,7.2079,7.956,185,glass beaker,5.861,2.618,11.038,4.441,5.177,2.8798,2.8123,1.7776,4.5899,1.823,0.1008,0.0454,5.0762,0.362,0.5673,1.7334,1.106,2.8556,0.6127,1.5821,fuway,2010-08-17T01:26:20Z
"C0008A-3H-2, 98.0 cm",NULL,17.677,17.915,17.677,17.915,"C0008A-3H-2, 100.0 cm",NULL,17.695,17.935,17.695,17.935,"C0008A-3H-2 W, 98.0--100.0 cm",CKY000000000001591700,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-28T05:15:37Z,NULL,142,glass beaker,6.096,2.792,13.085,6.9464,6.989,142,glass beaker,6.096,2.792,10.413,4.286,4.317,2.7689,2.704,1.4504,4.1544,1.494,0.0969,0.0436,4.2201,0.3962,0.6561,1.6823,1.0158,2.9096,0.6509,1.8643,fujikit,2010-08-10T11:47:48Z
"C0008A-3H-3, 0.0 cm",NULL,18.118,18.405,18.118,18.405,"C0008A-3H-3, 1.5 cm",NULL,18.132,18.42,18.132,18.42,"C0008A-3H-3 WR, 0.0--1.5 cm",CKY000000000001531000,PP,NULL,8,arito316,NULL,CKY,2008-01-26T23:38:03Z,NULL,157,glass beaker,6.049,2.679,13.753,7.478741,7.704,157,glass beaker,6.049,2.679,10.709,4.448,4.66,3.154404,3.080473,1.719268,4.799741,1.769,0.1104042,0.04973163,4.549596,0.4094502,0.6933372,1.605087,0.9478836,2.64624,0.6417998,1.791735,tsutsumi316,2008-01-31T16:49:24Z
"C0008A-3H-4, 20.0 cm",NULL,18.51,18.84,18.51,18.84,"C0008A-3H-4, 22.0 cm",NULL,18.529,18.86,18.529,18.86,"C0008A-3H-4 W, 20.0--22.0 cm",CKY000000000001591800,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-28T05:15:37Z,NULL,134,glass beaker,6.038,2.73,11.114,6.1484,5.076,134,glass beaker,6.038,2.73,8.451,3.497,2.413,2.7596,2.6949,0.7235,3.4184,0.767,0.0966,0.0435,2.3164,0.5437,1.1913,1.4849,0.6776,3.2017,0.7884,3.7248,fujikit,2010-08-10T11:47:48Z
"C0008A-3H-4, 100.0 cm",NULL,19.232,19.64,19.232,19.64,"C0008A-3H-4, 102.0 cm",NULL,19.25,19.66,19.25,19.66,"C0008A-3H-4 W, 100.0--102.0 cm",CKY000000000001591900,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-28T05:15:37Z,NULL,153,glass beaker,6.069,2.733,12.548,6.7239,6.479,153,glass beaker,6.069,2.733,9.99,4.177,3.921,2.6508,2.5887,1.4022,3.9909,1.444,0.0928,0.0418,3.8282,0.4091,0.6924,1.6234,0.9592,2.7301,0.6487,1.8462,fujikit,2010-08-10T11:47:48Z
"C0008A-3H-5, 20.0 cm",NULL,19.664,20.12,19.664,20.12,"C0008A-3H-5, 22.0 cm",NULL,19.682,20.14,19.682,20.14,"C0008A-3H-5 W, 20.0--22.0 cm",CKY000000000001592000,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-28T05:15:38Z,NULL,186,glass beaker,5.941,2.659,12.938,6.9042,6.997,186,glass beaker,5.941,2.659,10.243,4.221,4.302,2.7927,2.7272,1.518,4.2452,1.562,0.0977,0.044,4.2043,0.3991,0.6642,1.6482,0.9904,2.7696,0.6424,1.7966,fujikit,2010-08-10T11:47:48Z
"C0008A-3H-5, 100.0 cm",NULL,20.385,20.92,20.385,20.92,"C0008A-3H-5, 102.0 cm",NULL,20.403,20.94,20.403,20.94,"C0008A-3H-5 W, 100.0--102.0 cm",CKY000000000001592100,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-28T05:15:38Z,NULL,169,glass beaker,6.051,2.751,13.023,6.6723,6.972,169,glass beaker,6.051,2.751,10.79,4.449,4.739,2.314,2.2598,1.6615,3.9213,1.698,0.081,0.0365,4.658,0.3319,0.4968,1.778,1.1879,2.8035,0.5763,1.3601,fujikit,2010-08-10T11:47:48Z
"C0008A-3H-6, 20.0 cm",NULL,20.985,21.585,20.985,21.585,"C0008A-3H-6, 22.0 cm",NULL,21.003,21.605,21.003,21.605,"C0008A-3H-6 W, 20.0--22.0 cm",CKY000000000001592200,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-28T05:15:38Z,NULL,119,glass beaker,6.098,2.792,12.323,6.2252,6.225,119,glass beaker,6.098,2.792,10.315,4.226,4.217,2.0808,2.032,1.4012,3.4332,1.434,0.0728,0.0328,4.1442,0.3343,0.5021,1.8132,1.2071,2.9576,0.5919,1.4502,fujikit,2010-08-10T11:47:48Z
"C0008A-3H-6, 110.0 cm",NULL,21.796,22.485,21.796,22.485,"C0008A-3H-6, 112.0 cm",NULL,21.814,22.505,21.814,22.505,"C0008A-3H-6 W, 110.0--112.0 cm",CKY000000000001592300,PP,NULL,5,david_goldsby316,NULL,CKY,2008-01-28T05:15:39Z,NULL,163,glass beaker,6.086,2.738,13.103,6.8539,7.017,163,glass beaker,6.086,2.738,10.55,4.312,4.464,2.6456,2.5836,1.5323,4.1159,1.574,0.0926,0.0417,4.3714,0.377,0.6052,1.7049,1.0621,2.8528,0.6277,1.6861,fujikit,2010-08-10T11:47:48Z
"C0008A-3H-8, 0.0 cm",NULL,22.242,22.98,22.242,22.98,"C0008A-3H-8, 1.5 cm",NULL,22.256,22.995,22.256,22.995,"C0008A-3H-8 WR, 0.0--1.5 cm",CKY000000000001532400,PP,NULL,8,arito316,NULL,CKY,2008-01-26T23:54:27Z,NULL,23,glass cell,4.622,2.06,11.782,6.314002,7.16,23,glass cell,4.622,2.06,9.257,3.8,4.635,2.61658,2.555254,1.698748,4.254002,1.74,0.09158038,0.04125242,4.543419,0.3654442,0.5759055,1.683121,1.068034,2.67457,0.6006707,1.504199,tsutsumi316,2008-01-31T16:49:24Z
