Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0021B-11H-6, 51.0 cm",NULL,167.943,171.31,167.943,171.31,"C0021B-11H-6, 53.0 cm",NULL,167.953,171.33,167.953,171.33,"C0021B-11H-6 W, 51.0--53.0 cm",KCC000000000002988401,PP,NULL,10,yabukit,NULL,KCC,2013-04-28T01:49:00Z,NULL,19.0124,8.5907,34.0425,15.0301,29.4852,12.5277,10.4728,4.7226,4.6119,3.8619,8.4738,3.937,0.1653,0.0751,10.3075,0.3142,0.4582,1.7737,1.2164,2.669,0.5443,1.1942,fuway,2013-05-09T02:04:25Z
"C0021B-12H-1, 32.0 cm",NULL,169.82,169.82,169.82,169.82,"C0021B-12H-1, 34.0 cm",NULL,169.84,169.84,169.84,169.84,"C0021B-12H-1 W, 32.0--34.0 cm",KCC000000000002989801,PP,NULL,10,yabukit,NULL,KCC,2013-04-28T02:36:04Z,NULL,19.0215,8.5802,31.6044,12.5829,27.4435,11.7501,8.422,4.3118,4.2107,3.1013,7.312,3.1699,0.1509,0.0686,8.2711,0.3427,0.5213,1.7209,1.1312,2.667,0.5759,1.3577,fuway,2013-05-09T02:04:25Z
"C0021B-12H-2, 0.0 cm",NULL,169.99,169.99,169.99,169.99,"C0021B-12H-2, 3.0 cm",NULL,170.02,170.02,170.02,170.02,"C0021B-12H-2 WR, 0.0--3.0 cm",CKY000000000001824410,PP,NULL,8,esteban338,NULL,CKY,2013-01-08T09:43:18Z,NULL,18.7957,8.4783,33.2622,14.4665,28.4529,12.0241,9.6572,4.9837,4.8669,3.4665,8.3334,3.5458,0.1744,0.0793,9.4828,0.3445,0.5256,1.736,1.1379,2.7356,0.584,1.404,fuway,2013-05-09T02:04:25Z
"C0021B-12H-3, 71.0 cm",NULL,170.9,170.9,170.9,170.9,"C0021B-12H-3, 73.0 cm",NULL,170.92,170.92,170.92,170.92,"C0021B-12H-3 W, 71.0--73.0 cm",KCC000000000002989901,PP,NULL,10,yabukit,NULL,KCC,2013-04-28T02:36:04Z,NULL,18.8323,8.4614,29.9674,11.1351,26.489,11.3602,7.6567,3.6046,3.5201,2.8414,6.3615,2.8988,0.1262,0.0574,7.5305,0.3237,0.4787,1.7504,1.1838,2.6503,0.5533,1.2389,fuway,2013-05-09T02:04:25Z
"C0021B-12H-4, 5.0 cm",NULL,171.655,171.655,171.655,171.655,"C0021B-12H-4, 7.0 cm",NULL,171.675,171.675,171.675,171.675,"C0021B-12H-4 W, 5.0--7.0 cm",KCC000000000002990001,PP,NULL,10,yabukit,NULL,KCC,2013-04-28T02:36:04Z,NULL,18.8994,8.4459,40.4082,21.5088,33.0225,13.8015,14.1231,7.6536,7.4742,5.2338,12.708,5.3556,0.2679,0.1218,13.8552,0.3558,0.5524,1.6925,1.0903,2.6473,0.5881,1.4281,fuway,2013-05-09T02:04:25Z
"C0021B-13T-1, 118.0 cm",NULL,176.68,176.68,176.68,176.68,"C0021B-13T-1, 120.0 cm",NULL,176.7,176.7,176.7,176.7,"C0021B-13T-1 W, 118.0--120.0 cm",KCC000000000002992601,PP,NULL,10,yabukit,NULL,KCC,2013-04-28T06:20:13Z,NULL,18.7987,8.455,36.1583,17.3596,31.0415,13.0553,12.2428,5.3024,5.1781,4.5159,9.694,4.6003,0.1856,0.0844,12.0572,0.3054,0.4398,1.7908,1.2438,2.6699,0.5342,1.1466,fuway,2013-05-09T02:04:25Z
"C0021B-13T-3, 15.0 cm",NULL,177.53,177.53,177.53,177.53,"C0021B-13T-3, 19.0 cm",NULL,177.57,177.57,177.57,177.57,"C0021B-13T-3 WR, 15.0--19.0 cm",CKY000000000001825310,PP,NULL,8,yasunagam,NULL,CKY,2013-01-08T21:57:24Z,NULL,18.886,8.543,36.6531,17.7671,28.4529,13.2569,9.5669,8.4976,8.2984,4.5787,12.8771,4.7139,0.2974,0.1352,9.2695,0.4783,0.9167,1.3797,0.7198,2.0245,0.6444,1.8124,fuway,2013-05-09T02:04:25Z
"C0021B-13T-4, 110.0 cm",NULL,178.67,178.67,178.67,178.67,"C0021B-13T-4, 112.0 cm",NULL,178.69,178.69,178.69,178.69,"C0021B-13T-4 W, 110.0--112.0 cm",KCC000000000002992701,PP,NULL,10,yabukit,NULL,KCC,2013-04-28T06:20:13Z,NULL,18.9067,8.5257,33.653,14.7463,28.9509,12.2818,10.0442,4.8726,4.7584,3.6786,8.437,3.7561,0.1705,0.0775,9.8737,0.3304,0.4935,1.7478,1.1703,2.6841,0.564,1.2935,fuway,2013-05-09T02:04:25Z
"C0021B-13T-5, 15.0 cm",NULL,179.12,179.12,179.12,179.12,"C0021B-13T-5, 18.0 cm",NULL,179.15,179.15,179.15,179.15,"C0021B-13T-5 W, 15.0--18.0 cm",KCC000000000002992801,PP,NULL,10,yabukit,NULL,KCC,2013-04-28T06:20:13Z,Sandy,18.6052,8.3505,42.2024,23.5972,37.2192,15.2679,18.614,5.1639,5.0429,6.8353,11.8782,6.9174,0.1807,0.0821,18.4333,0.2188,0.2801,1.9866,1.5519,2.6968,0.4246,0.7378,fuway,2013-05-09T02:04:25Z
"C0021B-13T-6, 33.0 cm",NULL,180.52,180.52,180.52,180.52,"C0021B-13T-6, 35.0 cm",NULL,180.54,180.54,180.54,180.54,"C0021B-13T-6 W, 33.0--35.0 cm",KCC000000000002991101,PP,NULL,10,yabukit,NULL,KCC,2013-04-28T06:47:01Z,NULL,18.6681,8.404,39.9182,21.2501,34.0179,14.0792,15.3498,6.1143,5.971,5.5779,11.5489,5.6752,0.214,0.0973,15.1358,0.2877,0.404,1.84,1.3106,2.7135,0.517,1.0705,fuway,2013-05-09T02:04:25Z
