Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,NULL,C0002P;2030.500,NULL,2030.5,NULL,NULL,2030.5,NULL,NULL,C0002P;2035.500,NULL,2035.5,NULL,NULL,2035.5,C0002P-30SMW W,CKY000000000006156000,PP,NULL,30,komatsuw,">4mm, bulk",CKY,2013-12-18T08:20:12Z,NULL,19.1181,8.5792,45.9586,26.8405,40.0776,16.3688,20.9595,6.0943,5.9515,7.6926,13.6441,7.7896,0.2133,0.097,20.7462,0.2271,0.2938,1.9672,1.5205,2.6969,0.4362,0.7737,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2040.500,NULL,2040.5,NULL,NULL,2040.5,NULL,NULL,C0002P;2045.500,NULL,2045.5,NULL,NULL,2045.5,C0002P-32SMW W,CKY000000000006156800,PP,NULL,30,komatsuw,"1-4mm, bulk",CKY,2013-12-18T10:54:16Z,NULL,19.3436,8.7168,44.6657,25.3221,39.4127,16.1421,20.0691,5.4435,5.3159,7.3387,12.6546,7.4253,0.1905,0.0866,19.8786,0.215,0.2738,2.001,1.5709,2.7087,0.4201,0.7244,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2040.500,NULL,2040.5,NULL,NULL,2040.5,NULL,NULL,C0002P;2045.500,NULL,2045.5,NULL,NULL,2045.5,C0002P-32SMW W,CKY000000000006170900,PP,NULL,30,soejimah,">4mm, bulk",CKY,2013-12-20T05:23:49Z,NULL,18.7918,8.5026,48.619,29.8272,42.4794,17.1878,23.6876,6.3623,6.2132,8.584,14.7972,8.6852,0.2227,0.1012,23.4649,0.2133,0.2711,2.0157,1.5858,2.7336,0.4199,0.7238,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2050.500,NULL,2050.5,NULL,NULL,2050.5,NULL,NULL,C0002P;2055.500,NULL,2055.5,NULL,NULL,2055.5,C0002P-34SMW W,CKY000000000006160300,PP,NULL,30,komatsuw,"1-4mm, bulk",CKY,2013-12-18T13:40:16Z,NULL,18.8115,8.4707,42.2741,23.4626,37.0477,15.2808,18.2362,5.416,5.2891,6.7239,12.013,6.8101,0.1896,0.0862,18.0466,0.2308,0.3001,1.9531,1.5023,2.6839,0.4403,0.7866,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2050.500,NULL,2050.5,NULL,NULL,2050.5,NULL,NULL,C0002P;2055.500,NULL,2055.5,NULL,NULL,2055.5,C0002P-34SMW W,CKY000000000006160400,PP,NULL,30,komatsuw,">4mm, bulk",CKY,2013-12-18T13:40:52Z,NULL,18.7054,8.4181,47.2984,28.593,41.889,16.9297,23.1836,5.6056,5.4742,8.4224,13.8966,8.5116,0.1962,0.0892,22.9874,0.196,0.2439,2.0576,1.6542,2.7293,0.3939,0.65,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2050.500,NULL,2050.5,NULL,NULL,2050.5,NULL,NULL,C0002P;2055.500,NULL,2055.5,NULL,NULL,2055.5,C0002P-34SMW W,CKY000000000006163100,PP,NULL,30,henry348,">4mm, hand picked, shared with 348PHCT",CKY,2013-12-25T10:17:27Z,NULL,18.7316,8.4453,46.3605,27.6289,43.7097,17.642,24.9781,2.7469,2.6825,9.153,11.8355,9.1967,0.0961,0.0437,24.882,0.0994,0.1104,2.3344,2.1023,2.7185,0.2266,0.2931,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2060.500,NULL,2060.5,NULL,NULL,2060.5,NULL,NULL,C0002P;2065.500,NULL,2065.5,NULL,NULL,2065.5,C0002P-36SMW W,CKY000000000006160600,PP,NULL,30,komatsuw,"1-4mm, bulk",CKY,2013-12-18T14:04:09Z,NULL,18.9194,8.5715,45.368,26.4486,39.55,16.1554,20.6306,6.029,5.8877,7.488,13.3757,7.5839,0.211,0.0959,20.4196,0.228,0.2953,1.9774,1.5266,2.727,0.4402,0.7863,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2060.500,NULL,2060.5,NULL,NULL,2060.5,NULL,NULL,C0002P;2065.500,NULL,2065.5,NULL,NULL,2065.5,C0002P-36SMW W,CKY000000000006160700,PP,NULL,30,komatsuw,">4mm, bulk",CKY,2013-12-18T14:05:25Z,NULL,18.1537,8.1751,43.8814,25.7277,39.037,15.9441,20.8833,5.0201,4.9024,7.6891,12.5915,7.769,0.1757,0.0799,20.7076,0.1951,0.2424,2.0433,1.6446,2.6931,0.3893,0.6376,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2060.500,NULL,2060.5,NULL,NULL,2060.5,NULL,NULL,C0002P;2065.500,NULL,2065.5,NULL,NULL,2065.5,C0002P-36SMW W,CKY000000000006163400,PP,NULL,30,henry348,">4mm, hand picked, shared w/ 348PHCT",CKY,2013-12-27T11:15:56Z,NULL,18.7333,8.4844,32.7865,14.0532,31.4387,13.1976,12.7054,1.3967,1.364,4.691,6.055,4.7132,0.0489,0.0222,12.6565,0.0994,0.1104,2.3209,2.0903,2.698,0.2253,0.2908,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2070.500,NULL,2070.5,NULL,NULL,2070.5,NULL,NULL,C0002P;2075.500,NULL,2075.5,NULL,NULL,2075.5,C0002P-43SMW W,CKY000000000006171000,PP,NULL,30,komatsuw,"1-4mm, bulk",CKY,2013-12-20T05:30:59Z,NULL,18.8474,8.4534,40.7552,21.9078,35.7246,14.7006,16.8772,5.2131,5.0909,6.1642,11.2551,6.2472,0.1825,0.083,16.6947,0.238,0.3123,1.9465,1.4833,2.7083,0.4523,0.8259,takahashik,2014-01-13T11:07:22Z
