Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
NULL,NULL,C0002P;2340.500,NULL,2340.5,NULL,NULL,2340.5,NULL,NULL,C0002P;2345.500,NULL,2345.5,NULL,NULL,2345.5,C0002P-133SMW W,CKY000000000006316000,PP,NULL,30,kitamura348,">4mm, handpicked",CKY,2013-12-29T11:00:50Z,NULL,18.0343,8.1255,39.411,21.3767,37.4287,15.285,19.3944,2.0542,2.0061,7.1268,9.1329,7.1595,0.0719,0.0327,19.3225,0.0961,0.1063,2.3406,2.1157,2.7112,0.2197,0.2815,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2345.500,NULL,2345.5,NULL,NULL,2345.5,NULL,NULL,C0002P;2355.500,NULL,2355.5,NULL,NULL,2355.5,C0002P-349SMW W,CKY000000000006503400,PP,NULL,30,kitajima348,>4mm handpicked PP washed,CKY,2014-01-05T18:32:53Z,NULL,18.215,8.2629,51.692,33.477,49.0175,19.6437,30.8025,2.7715,2.7065,11.3367,14.0432,11.3808,0.097,0.0441,30.7055,0.0828,0.0903,2.3839,2.1865,2.7085,0.1927,0.2387,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2345.500,NULL,2345.5,NULL,NULL,2345.5,NULL,NULL,C0002P;2355.500,NULL,2355.5,NULL,NULL,2355.5,C0002P-349SMW W,CKY000000000006503500,PP,NULL,30,kitajima348,"1-4 mm bulk, PP washed ",CKY,2014-01-05T18:32:53Z,NULL,19.1293,8.6558,52.7484,33.6191,49.5202,19.9351,30.3909,3.3453,3.2669,11.2261,14.493,11.2793,0.1171,0.0532,30.2738,0.0995,0.1105,2.3197,2.0889,2.6967,0.2254,0.291,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2345.500,NULL,2345.5,NULL,NULL,2345.5,NULL,NULL,C0002P;2355.500,NULL,2355.5,NULL,NULL,2355.5,C0002P-349SMW W,CKY000000000006503600,PP,NULL,30,kitajima348,">4 mm bulk, PP washed ",CKY,2014-01-05T18:32:53Z,NULL,18.9695,8.5261,56.351,37.3815,53.062,21.3358,34.0925,3.4083,3.3284,12.7555,16.0839,12.8097,0.1193,0.0542,33.9732,0.0912,0.1003,2.3242,2.1122,2.6634,0.2069,0.2609,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2350.500,NULL,2350.5,NULL,NULL,2350.5,NULL,NULL,C0002P;2355.500,NULL,2355.5,NULL,NULL,2355.5,C0002P-136SMW W,CKY000000000006301700,PP,NULL,30,fujiharaa,"1-4mm, bulk",CKY,2013-12-28T23:17:40Z,NULL,18.8035,8.4637,49.5758,30.7723,43.3403,17.6161,24.5368,6.4617,6.3103,9.0496,15.3599,9.1524,0.2262,0.1028,24.3106,0.21,0.2658,2.0034,1.5827,2.6864,0.4108,0.6973,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2350.500,NULL,2350.5,NULL,NULL,2350.5,NULL,NULL,C0002P;2355.500,NULL,2355.5,NULL,NULL,2355.5,C0002P-136SMW W,CKY000000000006301800,PP,NULL,30,fujiharaa,">4mm, bulk",CKY,2013-12-28T23:17:40Z,NULL,18.1475,8.2007,46.8287,28.6812,41.3698,16.7797,23.2223,5.6569,5.5243,8.489,14.0133,8.579,0.198,0.09,23.0243,0.1972,0.2457,2.0467,1.643,2.7123,0.3942,0.6508,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2360.500,NULL,2360.5,NULL,NULL,2360.5,NULL,NULL,C0002P;2365.500,NULL,2365.5,NULL,NULL,2365.5,C0002P-138SMW W,CKY000000000006302800,PP,NULL,30,fujiharaa,"1-4mm, bulk",CKY,2013-12-28T23:52:20Z,NULL,19.358,8.6803,51.4241,32.0661,45.2174,18.3457,25.8594,6.4318,6.2811,9.5631,15.8442,9.6654,0.2251,0.1023,25.6343,0.2006,0.2509,2.0238,1.6179,2.6805,0.3964,0.6568,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2360.500,NULL,2360.5,NULL,NULL,2360.5,NULL,NULL,C0002P;2365.500,NULL,2365.5,NULL,NULL,2365.5,C0002P-138SMW W,CKY000000000006302900,PP,NULL,30,fujiharaa,">4mm, bulk",CKY,2013-12-28T23:52:20Z,NULL,18.7112,8.3779,49.8071,31.0959,44.0215,17.9356,25.3103,5.9954,5.8549,9.4623,15.3172,9.5577,0.2098,0.0954,25.1005,0.1928,0.2389,2.0301,1.6387,2.6527,0.3822,0.6188,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2360.500,NULL,2360.5,NULL,NULL,2360.5,NULL,NULL,C0002P;2365.500,NULL,2365.5,NULL,NULL,2365.5,C0002P-138SMW W,CKY000000000006316100,PP,NULL,30,henry348,">4mm, handpicked shared w 348PHCT",CKY,2014-01-07T10:09:46Z,NULL,18.6718,8.4453,45.8942,27.2224,43.5267,17.5699,24.8549,2.4534,2.3959,9.0856,11.4815,9.1246,0.0859,0.039,24.769,0.0901,0.0991,2.371,2.1573,2.7262,0.2087,0.2637,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2370.500,NULL,2370.5,NULL,NULL,2370.5,NULL,NULL,C0002P;2375.500,NULL,2375.5,NULL,NULL,2375.5,C0002P-141SMW W,CKY000000000006303100,PP,NULL,30,fujiharaa,"1-4mm, bulk",CKY,2013-12-29T00:35:14Z,NULL,18.7918,8.5026,50.1976,31.4058,44.1105,17.9485,25.3187,6.3079,6.1601,9.3455,15.5056,9.4459,0.2208,0.1004,25.0979,0.2009,0.2513,2.0254,1.6186,2.6856,0.3973,0.6592,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2370.500,NULL,2370.5,NULL,NULL,2370.5,NULL,NULL,C0002P;2375.500,NULL,2375.5,NULL,NULL,2375.5,C0002P-141SMW W,CKY000000000006303200,PP,NULL,30,fujiharaa,">4mm, bulk",CKY,2013-12-29T00:35:14Z,NULL,18.9712,8.5068,48.8025,29.8313,43.4234,17.6788,24.4522,5.5742,5.4436,9.0833,14.5269,9.172,0.1951,0.0887,24.2571,0.1869,0.2298,2.0535,1.6698,2.6705,0.3747,0.5993,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2380.500,NULL,2380.5,NULL,NULL,2380.5,NULL,NULL,C0002P;2385.500,NULL,2385.5,NULL,NULL,2385.5,C0002P-143SMW W,CKY000000000006304500,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-12-29T03:39:47Z,NULL,18.9057,8.5532,47.7728,28.8671,41.9514,17.0543,23.0457,6.0325,5.8911,8.4051,14.2962,8.5011,0.2111,0.096,22.8346,0.209,0.2642,2.0192,1.5972,2.7168,0.4121,0.7009,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2380.500,NULL,2380.5,NULL,NULL,2380.5,NULL,NULL,C0002P;2385.500,NULL,2385.5,NULL,NULL,2385.5,C0002P-143SMW W,CKY000000000006304600,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-12-29T03:39:47Z,NULL,18.3104,8.2805,50.3687,32.0583,44.6399,18.0609,26.3295,5.9366,5.7975,9.6859,15.4834,9.7804,0.2078,0.0945,26.1217,0.1852,0.2273,2.0705,1.6871,2.6969,0.3744,0.5986,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2380.500,NULL,2380.5,NULL,NULL,2380.5,NULL,NULL,C0002P;2385.500,NULL,2385.5,NULL,NULL,2385.5,C0002P-143SMW W,CKY000000000006316200,PP,NULL,30,henry348,">4mm, handpicked shared w 348PHCT",CKY,2014-01-07T10:10:20Z,NULL,18.7022,8.4494,46.9223,28.2201,44.2963,17.9085,25.5941,2.7212,2.6574,9.4158,12.0732,9.4591,0.0952,0.0433,25.4989,0.0964,0.1067,2.3374,2.112,2.7081,0.2201,0.2822,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2385.500,NULL,2385.5,NULL,NULL,2385.5,NULL,NULL,C0002P;2395.500,NULL,2395.5,NULL,NULL,2395.5,C0002P-356SMW W,CKY000000000006503700,PP,NULL,30,kitajima348,>4mm handpicked PP washed,CKY,2014-01-05T18:32:54Z,NULL,19.2601,8.7043,54.4752,35.2151,51.5134,20.6748,32.2533,3.0692,2.9973,11.9217,14.919,11.9705,0.1074,0.0488,32.1459,0.0872,0.0955,2.3604,2.1547,2.6964,0.2009,0.2514,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2385.500,NULL,2385.5,NULL,NULL,2385.5,NULL,NULL,C0002P;2395.500,NULL,2395.5,NULL,NULL,2395.5,C0002P-356SMW W,CKY000000000006503800,PP,NULL,30,kitajima348,"1-4 mm bulk, PP washed ",CKY,2014-01-05T18:32:54Z,NULL,18.1856,8.1867,48.2191,30.0335,44.3425,17.938,26.1569,4.0172,3.923,9.6874,13.6104,9.7513,0.1406,0.0639,26.0163,0.1338,0.1544,2.2067,1.9115,2.6856,0.2882,0.405,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2385.500,NULL,2385.5,NULL,NULL,2385.5,NULL,NULL,C0002P;2395.500,NULL,2395.5,NULL,NULL,2395.5,C0002P-356SMW W,CKY000000000006504200,PP,NULL,30,kitajima348,">4 mm bulk, PP washed ",CKY,2014-01-05T18:32:54Z,NULL,18.6855,8.4484,51.7583,33.0728,48.813,19.6012,30.1275,3.0521,2.9806,11.1043,14.0849,11.1528,0.1068,0.0485,30.0207,0.0923,0.1017,2.3481,2.1314,2.7035,0.2116,0.2684,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2390.500,NULL,2390.5,NULL,NULL,2390.5,NULL,NULL,C0002P;2395.500,NULL,2395.5,NULL,NULL,2395.5,C0002P-145SMW W,CKY000000000006305200,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-12-29T04:08:16Z,NULL,18.9134,8.532,46.5911,27.6777,40.9302,16.6897,22.0168,5.8662,5.7287,8.0644,13.7931,8.1577,0.2053,0.0933,21.8115,0.2119,0.2689,2.0066,1.5813,2.7047,0.4153,0.7104,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2390.500,NULL,2390.5,NULL,NULL,2390.5,NULL,NULL,C0002P;2395.500,NULL,2395.5,NULL,NULL,2395.5,C0002P-145SMW W,CKY000000000006305300,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-12-29T04:08:16Z,NULL,19.2116,8.6673,51.2138,32.0022,45.3543,18.4342,26.1427,6.072,5.9297,9.6703,15.6,9.7669,0.2125,0.0966,25.9302,0.1897,0.2342,2.0514,1.6622,2.6814,0.3801,0.6132,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2400.500,NULL,2400.5,NULL,NULL,2400.5,NULL,NULL,C0002P;2405.500,NULL,2405.5,NULL,NULL,2405.5,C0002P-149SMW W,CKY000000000006305600,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-12-29T04:37:50Z,NULL,18.8241,8.493,48.207,29.3829,42.3652,17.3401,23.5411,6.0537,5.9118,8.7508,14.6626,8.8471,0.2119,0.0963,23.3292,0.206,0.2595,2.0039,1.5911,2.666,0.4032,0.6756,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2400.500,NULL,2400.5,NULL,NULL,2400.5,NULL,NULL,C0002P;2405.500,NULL,2405.5,NULL,NULL,2405.5,C0002P-149SMW W,CKY000000000006305700,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-12-29T04:37:50Z,NULL,18.7054,8.4181,49.4168,30.7114,43.7384,17.7652,25.033,5.8844,5.7465,9.2535,15,9.3471,0.206,0.0936,24.827,0.1916,0.237,2.0474,1.6551,2.683,0.3831,0.621,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2410.500,NULL,2410.5,NULL,NULL,2410.5,NULL,NULL,C0002P;2415.500,NULL,2415.5,NULL,NULL,2415.5,C0002P-151SMW W,CKY000000000006306300,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-12-29T05:02:53Z,NULL,19.3748,8.7899,50.3216,30.9468,44.3814,18.1332,25.0066,6.1556,6.0113,9.2454,15.2567,9.3433,0.2154,0.0979,24.7912,0.1989,0.2483,2.0284,1.6249,2.6815,0.394,0.6502,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2410.500,NULL,2410.5,NULL,NULL,2410.5,NULL,NULL,C0002P;2415.500,NULL,2415.5,NULL,NULL,2415.5,C0002P-151SMW W,CKY000000000006306400,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-12-29T05:02:53Z,NULL,18.7819,8.4541,49.5213,30.7394,44.1472,17.9274,25.3653,5.569,5.4385,9.3847,14.8232,9.4733,0.1949,0.0886,25.1704,0.1812,0.2213,2.0737,1.698,2.6821,0.3669,0.5795,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2420.500,NULL,2420.5,NULL,NULL,2420.5,NULL,NULL,C0002P;2425.500,NULL,2425.5,NULL,NULL,2425.5,C0002P-155SMW W,CKY000000000006306700,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-12-29T05:36:42Z,NULL,19.196,8.6486,48.3427,29.1467,42.5582,17.3173,23.3622,5.9943,5.8538,8.5733,14.4271,8.6687,0.2098,0.0954,23.1524,0.2057,0.2589,2.0203,1.6048,2.7005,0.4058,0.6828,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2420.500,NULL,2420.5,NULL,NULL,2420.5,NULL,NULL,C0002P;2425.500,NULL,2425.5,NULL,NULL,2425.5,C0002P-155SMW W,CKY000000000006306800,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-12-29T05:36:42Z,NULL,18.8554,8.4495,48.7843,29.9289,43.6277,17.726,24.7723,5.3436,5.2184,9.1915,14.4099,9.2765,0.187,0.085,24.5853,0.1785,0.2173,2.077,1.7061,2.6748,0.3621,0.5677,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2420.500,NULL,2420.5,NULL,NULL,2420.5,NULL,NULL,C0002P;2425.500,NULL,2425.5,NULL,NULL,2425.5,C0002P-155SMW W,CKY000000000006344500,PP,NULL,30,henry348,>4mm handpicked shared w 348PHCT,CKY,2014-01-07T10:11:04Z,NULL,19.3361,8.7219,50.5673,31.2312,47.6764,19.2672,28.3403,2.9958,2.9256,10.4976,13.4232,10.5453,0.1049,0.0477,28.2354,0.0959,0.1061,2.3267,2.1035,2.6897,0.218,0.2787,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2425.500,NULL,2425.5,NULL,NULL,2425.5,NULL,NULL,C0002P;2435.500,NULL,2435.5,NULL,NULL,2435.5,C0002P-360SMW W,CKY000000000006503900,PP,NULL,30,kitajima348,>4mm handpicked PP washed,CKY,2014-01-05T18:32:54Z,NULL,18.2406,8.241,56.5416,38.301,53.3701,21.1974,35.1295,3.2865,3.2095,12.9041,16.1136,12.9564,0.115,0.0523,35.0145,0.0858,0.0939,2.3769,2.173,2.7134,0.1992,0.2487,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2425.500,NULL,2425.5,NULL,NULL,2425.5,NULL,NULL,C0002P;2435.500,NULL,2435.5,NULL,NULL,2435.5,C0002P-360SMW W,CKY000000000006504000,PP,NULL,30,kitajima348,">4 mm bulk, PP washed ",CKY,2014-01-05T18:32:54Z,NULL,18.7626,8.4396,59.0068,40.2442,55.7452,22.1965,36.9826,3.3799,3.3007,13.7031,17.0038,13.7569,0.1183,0.0538,36.8643,0.084,0.0917,2.3668,2.168,2.6902,0.1941,0.2409,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2425.500,NULL,2425.5,NULL,NULL,2425.5,NULL,NULL,C0002P;2435.500,NULL,2435.5,NULL,NULL,2435.5,C0002P-360SMW W,CKY000000000006504100,PP,NULL,30,kitajima348,"1-4 mm bulk, PP washed ",CKY,2014-01-05T18:32:54Z,NULL,19.341,8.7231,45.3084,25.9674,42.4738,17.327,23.1328,2.9374,2.8686,8.5572,11.4258,8.6039,0.1028,0.0467,23.03,0.1131,0.1275,2.2727,2.0156,2.6913,0.2511,0.3352,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2430.500,NULL,2430.5,NULL,NULL,2430.5,NULL,NULL,C0002P;2435.500,NULL,2435.5,NULL,NULL,2435.5,C0002P-157SMW W,CKY000000000006307500,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-12-29T06:02:45Z,NULL,19.0355,8.5682,48.7956,29.7601,42.865,17.4575,23.8295,6.1457,6.0017,8.7915,14.7932,8.8893,0.2151,0.0978,23.6144,0.2065,0.2603,2.0117,1.5963,2.686,0.4057,0.6827,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2430.500,NULL,2430.5,NULL,NULL,2430.5,NULL,NULL,C0002P;2435.500,NULL,2435.5,NULL,NULL,2435.5,C0002P-157SMW W,CKY000000000006307600,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-12-29T06:02:45Z,NULL,18.7243,8.4472,52.6146,33.8903,46.7495,18.896,28.0252,6.0778,5.9354,10.3521,16.2875,10.4488,0.2127,0.0967,27.8125,0.1793,0.2185,2.0808,1.7076,2.6867,0.3644,0.5734,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2440.500,NULL,2440.5,NULL,NULL,2440.5,NULL,NULL,C0002P;2445.500,NULL,2445.5,NULL,NULL,2445.5,C0002P-159SMW W,CKY000000000006307900,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-12-29T06:21:23Z,NULL,18.8711,8.4544,49.9063,31.0352,43.8126,17.9046,24.9415,6.3147,6.1667,9.3497,15.5164,9.4502,0.221,0.1005,24.7205,0.2035,0.2554,2.0002,1.5932,2.644,0.3974,0.6596,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2440.500,NULL,2440.5,NULL,NULL,2440.5,NULL,NULL,C0002P;2445.500,NULL,2445.5,NULL,NULL,2445.5,C0002P-159SMW W,CKY000000000006308000,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-12-29T06:21:23Z,NULL,18.6214,8.3738,48.5764,29.955,43.5325,17.7011,24.9111,5.2268,5.1043,9.2442,14.3485,9.3273,0.1829,0.0831,24.7282,0.1745,0.2114,2.0877,1.7234,2.675,0.3557,0.5522,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2440.500,NULL,2440.5,NULL,NULL,2440.5,NULL,NULL,C0002P;2445.500,NULL,2445.5,NULL,NULL,2445.5,C0002P-159SMW W,CKY000000000006344600,PP,NULL,30,nishimuram,>4mm handpicked,CKY,2013-12-30T07:29:11Z,NULL,19.3448,8.6892,44.6147,25.2699,42.2326,17.1783,22.8878,2.4685,2.4106,8.4498,10.8604,8.4891,0.0864,0.0393,22.8014,0.0977,0.1083,2.3268,2.0995,2.6985,0.222,0.2853,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2450.500,NULL,2450.5,NULL,NULL,2450.5,NULL,NULL,C0002P;2455.500,NULL,2455.5,NULL,NULL,2455.5,C0002P-161SMW W,CKY000000000006308200,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-12-29T06:52:42Z,NULL,18.9765,8.5534,50.1982,31.2217,43.8821,17.8633,24.9056,6.5452,6.3918,9.2058,15.5976,9.3099,0.2291,0.1041,24.6765,0.2096,0.2652,2.0017,1.5821,2.6805,0.4098,0.6943,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2450.500,NULL,2450.5,NULL,NULL,2450.5,NULL,NULL,C0002P;2455.500,NULL,2455.5,NULL,NULL,2455.5,C0002P-161SMW W,CKY000000000006308300,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-12-29T06:52:42Z,NULL,18.2873,8.3161,48.2577,29.9704,43.0855,17.5213,24.7982,5.3598,5.2342,9.1199,14.3541,9.2052,0.1876,0.0853,24.6106,0.1788,0.2178,2.0879,1.7145,2.6986,0.3646,0.5739,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2460.500,NULL,2460.5,NULL,NULL,2460.5,NULL,NULL,C0002P;2465.500,NULL,2465.5,NULL,NULL,2465.5,C0002P-163SMW W,CKY000000000006308700,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-12-29T07:11:56Z,NULL,18.1365,8.1687,49.0008,30.8643,42.799,17.4443,24.6625,6.4267,6.2761,9.1734,15.4495,9.2756,0.2249,0.1022,24.4376,0.2082,0.263,1.9978,1.5818,2.664,0.4062,0.6842,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2460.500,NULL,2460.5,NULL,NULL,2460.5,NULL,NULL,C0002P;2465.500,NULL,2465.5,NULL,NULL,2465.5,C0002P-163SMW W,CKY000000000006308800,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-12-29T07:11:56Z,NULL,18.1732,8.196,49.4613,31.2881,43.9715,17.8083,25.7983,5.6889,5.5556,9.5218,15.0774,9.6123,0.1991,0.0905,25.5992,0.1818,0.2222,2.0752,1.6979,2.6885,0.3685,0.5835,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2460.500,NULL,2460.5,NULL,NULL,2460.5,NULL,NULL,C0002P;2465.500,NULL,2465.5,NULL,NULL,2465.5,C0002P-163SMW W,CKY000000000006344700,PP,NULL,30,henry348,>4mm handpicked (mud) shared w 348PHCT,CKY,2014-01-07T10:14:40Z,NULL,18.8976,8.5384,47.9374,29.0398,45.4934,18.3035,26.5958,2.5326,2.4732,9.7248,12.198,9.7651,0.0886,0.0403,26.5072,0.0872,0.0955,2.3807,2.1731,2.7257,0.2028,0.2543,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2460.500,NULL,2460.5,NULL,NULL,2460.5,NULL,NULL,C0002P;2465.500,NULL,2465.5,NULL,NULL,2465.5,C0002P-163SMW W,CKY000000000006344800,PP,NULL,30,henry348,>4mm handpicked (sand) shared w 348PHCT,CKY,2014-01-07T10:14:40Z,NULL,18.7052,8.4847,43.0805,24.3753,40.9111,16.6791,22.2059,2.2481,2.1954,8.1586,10.354,8.1944,0.0787,0.0358,22.1272,0.0922,0.1016,2.3542,2.1371,2.7121,0.212,0.2691,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2465.500,NULL,2465.5,NULL,NULL,2465.5,NULL,NULL,C0002P;2475.500,NULL,2475.5,NULL,NULL,2475.5,C0002P-365SMW W,CKY000000000006525000,PP,NULL,30,kitajima348,>4mm handpicked PP washed,CKY,2014-01-07T05:54:01Z,NULL,19.0181,8.5831,52.3753,33.3572,49.8529,19.9035,30.8348,2.6139,2.5526,11.2788,13.8314,11.3204,0.0915,0.0416,30.7433,0.0784,0.085,2.4117,2.2227,2.7258,0.1846,0.2263,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2465.500,NULL,2465.5,NULL,NULL,2465.5,NULL,NULL,C0002P;2475.500,NULL,2475.5,NULL,NULL,2475.5,C0002P-365SMW W,CKY000000000006525100,PP,NULL,30,kitajima348,">4 mm bulk, PP washed ",CKY,2014-01-07T05:54:02Z,NULL,18.6214,8.3738,57.6302,39.0088,54.2102,21.6475,35.5888,3.544,3.4609,13.2173,16.6782,13.2737,0.124,0.0564,35.4648,0.0909,0.0999,2.3389,2.1264,2.6832,0.2075,0.2618,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2465.500,NULL,2465.5,NULL,NULL,2465.5,NULL,NULL,C0002P;2475.500,NULL,2475.5,NULL,NULL,2475.5,C0002P-365SMW W,CKY000000000006525200,PP,NULL,30,kitajima348,"1-4 mm bulk, PP washed ",CKY,2014-01-07T05:54:02Z,NULL,18.2873,8.3161,53.328,35.0407,49.3839,19.8636,31.0966,4.0872,3.9914,11.4825,15.4739,11.5475,0.1431,0.065,30.9535,0.1166,0.132,2.2645,2.0004,2.6957,0.2579,0.3476,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2470.500,NULL,2470.5,NULL,NULL,2470.5,NULL,NULL,C0002P;2475.500,NULL,2475.5,NULL,NULL,2475.5,C0002P-165SMW W,CKY000000000006310200,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-12-29T08:29:00Z,NULL,18.2837,8.246,47.6665,29.3828,41.7588,17.0058,23.4751,6.122,5.9785,8.6624,14.6409,8.7598,0.2143,0.0974,23.2608,0.2084,0.2632,2.0069,1.5888,2.6853,0.4083,0.6902,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2470.500,NULL,2470.5,NULL,NULL,2470.5,NULL,NULL,C0002P;2475.500,NULL,2475.5,NULL,NULL,2475.5,C0002P-165SMW W,CKY000000000006310300,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-12-29T08:29:00Z,NULL,18.6182,8.399,48.7177,30.0995,43.5963,17.6668,24.9781,5.3072,5.1828,9.1833,14.3661,9.2678,0.1858,0.0845,24.7923,0.1763,0.2141,2.0952,1.7258,2.6997,0.3608,0.5644,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2480.500,NULL,2480.5,NULL,NULL,2480.5,NULL,NULL,C0002P;2485.500,NULL,2485.5,NULL,NULL,2485.5,C0002P-168SMW W,CKY000000000006314000,PP,NULL,30,nishimuram,"1-4mm, bulk",CKY,2013-12-29T10:11:17Z,NULL,18.2406,8.241,47.5817,29.3411,41.573,16.908,23.3324,6.2266,6.0807,8.568,14.6487,8.667,0.2179,0.099,23.1145,0.2122,0.2694,2.003,1.5779,2.6978,0.4151,0.7097,takahashik,2014-01-13T11:07:22Z
NULL,NULL,C0002P;2480.500,NULL,2480.5,NULL,NULL,2480.5,NULL,NULL,C0002P;2485.500,NULL,2485.5,NULL,NULL,2485.5,C0002P-168SMW W,CKY000000000006314100,PP,NULL,30,nishimuram,">4mm, bulk",CKY,2013-12-29T10:11:17Z,NULL,19.3092,8.6872,48.8016,29.4924,43.4296,17.6438,24.1204,5.5668,5.4363,8.8681,14.3044,8.9566,0.1948,0.0885,23.9256,0.1888,0.2327,2.0618,1.6726,2.6979,0.38,0.613,takahashik,2014-01-13T11:07:22Z
