Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0022B-2H-8, 38.0 cm",NULL,27.246,27.78,27.246,27.78,"C0022B-2H-8, 40.0 cm",NULL,27.265,27.8,27.265,27.8,"C0022B-2H-8 W, 38.0--40.0 cm",CKY000000000001582410,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:18Z,NULL,18.7917,8.4857,32.9213,14.1296,27.5429,11.739,8.7512,5.5735,5.4429,3.1646,8.6075,3.2533,0.1951,0.0887,8.5561,0.3945,0.6514,1.6415,0.994,2.7037,0.6323,1.7199,fuway,2013-01-12T02:19:31Z
"C0022B-2H-8, 100.0 cm",NULL,27.826,28.4,27.826,28.4,"C0022B-2H-8, 102.0 cm",NULL,27.845,28.42,27.845,28.42,"C0022B-2H-8 W, 100.0--102.0 cm",CKY000000000001582510,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:19Z,NULL,18.9691,8.615,34.1976,15.2285,28.6828,12.1334,9.7137,5.7148,5.5809,3.4275,9.0084,3.5184,0.2,0.0909,9.5137,0.3753,0.6007,1.6905,1.0561,2.7757,0.6195,1.6283,fuway,2013-01-12T02:19:31Z
"C0022B-2H-9, 40.0 cm",NULL,28.486,29.105,28.486,29.105,"C0022B-2H-9, 42.0 cm",NULL,28.504,29.125,28.504,29.125,"C0022B-2H-9 W, 40.0--42.0 cm",CKY000000000001582610,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T02:43:19Z,NULL,18.8122,8.4046,33.8502,15.038,28.0027,11.8992,9.1905,6.0596,5.9176,3.3982,9.3158,3.4946,0.2121,0.0964,8.9784,0.403,0.6749,1.6142,0.9638,2.6421,0.6352,1.7414,fuway,2013-01-12T02:19:31Z
"C0022B-2H-9, 51.0 cm",NULL,28.588,29.215,28.588,29.215,"C0022B-2H-9, 53.0 cm",NULL,28.607,29.235,28.607,29.235,"C0022B-2H-9 WR, 51.0--53.0 cm",CKY000000000001570310,PP,NULL,8,kitajima338,NULL,CKY,2012-12-31T17:33:51Z,NULL,18.1918,8.1821,26.1165,7.9247,23.0893,10.0325,4.8975,3.137,3.0635,1.8005,4.864,1.8504,0.1098,0.0499,4.7877,0.3959,0.6552,1.6293,0.9843,2.6591,0.6298,1.7015,fuway,2013-01-12T02:19:31Z
"C0022B-3H-1, 10.0 cm",NULL,29.091,29.1,29.091,29.1,"C0022B-3H-1, 12.0 cm",NULL,29.109,29.12,29.109,29.12,"C0022B-3H-1 W, 10.0--12.0 cm",CKY000000000001590210,PP,NULL,8,skarbek338,SOUPY,CKY,2013-01-01T08:09:24Z,soupy,18.8396,8.4922,32.4003,13.5607,26.4227,11.2979,7.5831,6.1944,6.0492,2.7072,8.7564,2.8057,0.2168,0.0985,7.3663,0.4568,0.8409,1.5487,0.8412,2.721,0.6908,2.2345,fuway,2013-01-12T02:19:31Z
"C0022B-3H-1, 100.0 cm",NULL,29.909,30,29.909,30,"C0022B-3H-1, 102.0 cm",NULL,29.927,30.02,29.927,30.02,"C0022B-3H-1 W, 100.0--102.0 cm",CKY000000000001590310,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T08:09:24Z,NULL,18.8485,8.5192,35.095,16.2465,29.2743,12.3299,10.4258,6.0318,5.8904,3.7147,9.6051,3.8107,0.2111,0.096,10.2147,0.3713,0.5905,1.6914,1.0635,2.7498,0.6133,1.5857,fuway,2013-01-12T02:19:31Z
"C0022B-3H-3, 0.0 cm",NULL,30.323,30.455,30.323,30.455,"C0022B-3H-3, 3.0 cm",NULL,30.35,30.485,30.35,30.485,"C0022B-3H-3 W, 0.0--3.0 cm",CKY000000000001590410,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T08:09:24Z,NULL,18.1777,8.2538,36.2134,18.0357,29.9852,12.5612,11.8075,6.4541,6.3028,4.2047,10.5075,4.3074,0.2259,0.1027,11.5816,0.3579,0.5573,1.7165,1.1022,2.7544,0.5998,1.499,fuway,2013-01-12T02:19:31Z
"C0022B-3H-3, 35.0 cm",NULL,30.641,30.805,30.641,30.805,"C0022B-3H-3, 37.0 cm",NULL,30.659,30.825,30.659,30.825,"C0022B-3H-3 W, 35.0--37.0 cm",CKY000000000001590510,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T08:09:24Z,NULL,18.8152,8.4717,34.41,15.5948,28.6784,12.1512,9.8632,5.9395,5.8003,3.585,9.3853,3.6795,0.2079,0.0945,9.6553,0.3809,0.6152,1.6616,1.0288,2.6932,0.618,1.6179,fuway,2013-01-12T02:19:31Z
"C0022B-3H-4, 35.0 cm",NULL,31.891,32.18,31.891,32.18,"C0022B-3H-4, 37.0 cm",NULL,31.909,32.2,31.909,32.2,"C0022B-3H-4 W, 35.0--37.0 cm",CKY000000000001589310,PP,NULL,8,hatakedak,Dropped. Measured but not uploaded,CKY,2013-01-09T17:28:59Z,dropped,18.7983,8.4293,38.1356,19.3373,30.5417,12.8684,11.7434,7.8693,7.6849,4.3139,11.9988,4.4391,0.2754,0.1252,11.468,0.4069,0.6862,1.6116,0.9558,2.6584,0.6405,1.7814,fuway,2013-01-12T02:19:31Z
"C0022B-3H-4, 120.0 cm",NULL,32.664,33.03,32.664,33.03,"C0022B-3H-4, 122.0 cm",NULL,32.682,33.05,32.682,33.05,"C0022B-3H-4 W, 120.0--122.0 cm",CKY000000000001589410,PP,NULL,8,skarbek338,SAND,CKY,2013-01-01T08:09:24Z,sand,18.7681,8.4854,34.5747,15.8066,30.5155,12.8071,11.7474,4.2064,4.1078,4.2548,8.3626,4.3217,0.1472,0.0669,11.6002,0.2661,0.3626,1.8902,1.3872,2.7264,0.4912,0.9655,fuway,2013-01-12T02:19:31Z
"C0022B-3H-5, 9.0 cm",NULL,32.877,33.265,32.877,33.265,"C0022B-3H-5, 11.0 cm",NULL,32.896,33.285,32.896,33.285,"C0022B-3H-5 W, 9.0--11.0 cm",CKY000000000001589510,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T08:09:24Z,NULL,18.9988,8.58,39.7391,20.7403,31.3702,13.2516,12.3714,8.6724,8.4691,4.5336,13.0027,4.6716,0.3035,0.138,12.0679,0.4181,0.7186,1.5951,0.9281,2.6619,0.6513,1.8681,fuway,2013-01-12T02:19:31Z
"C0022B-3H-5, 91.0 cm",NULL,33.623,34.085,33.623,34.085,"C0022B-3H-5, 93.0 cm",NULL,33.641,34.105,33.641,34.105,"C0022B-3H-5 W, 91.0--93.0 cm",CKY000000000001589610,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T08:09:24Z,NULL,18.7687,8.3651,38.9331,20.1644,30.8909,13.0276,12.1222,8.3339,8.1386,4.5299,12.6685,4.6625,0.2917,0.1326,11.8305,0.4133,0.7044,1.5917,0.9339,2.6116,0.6424,1.7966,fuway,2013-01-12T02:19:31Z
"C0022B-3H-6, 20.0 cm",NULL,34.209,34.73,34.209,34.73,"C0022B-3H-6, 22.0 cm",NULL,34.227,34.75,34.227,34.75,"C0022B-3H-6 W, 20.0--22.0 cm",CKY000000000001589710,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T08:09:24Z,NULL,18.9621,8.545,33.5539,14.5918,27.7311,11.8053,8.769,6.034,5.8926,3.1643,9.0569,3.2603,0.2112,0.096,8.5578,0.4135,0.7051,1.6111,0.9449,2.7045,0.6506,1.8622,fuway,2013-01-12T02:19:31Z
"C0022B-3H-6, 120.0 cm",NULL,35.118,35.73,35.118,35.73,"C0022B-3H-6, 122.0 cm",NULL,35.136,35.75,35.136,35.75,"C0022B-3H-6 W, 120.0--122.0 cm",CKY000000000001589810,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T08:09:24Z,NULL,19.0136,8.5551,36.5202,17.5066,29.753,12.5837,10.7394,7.0126,6.8482,3.9171,10.7653,4.0286,0.2454,0.1115,10.494,0.4006,0.6682,1.6262,0.9748,2.679,0.6361,1.7483,fuway,2013-01-12T02:19:31Z
"C0022B-3H-7, 69.0 cm",NULL,35.909,36.6,35.909,36.6,"C0022B-3H-7, 71.0 cm",NULL,35.927,36.62,35.927,36.62,"C0022B-3H-7 WR, 69.0--71.0 cm",CKY000000000001578610,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T01:24:59Z,NULL,19.294,8.6859,25.6563,6.3623,23.4794,10.2088,4.1854,2.2559,2.203,1.487,3.69,1.5229,0.079,0.0359,4.1064,0.3546,0.5494,1.7242,1.1128,2.7615,0.597,1.4815,fuway,2013-01-12T02:19:31Z
"C0022B-3H-7, 105.0 cm",NULL,36.236,36.96,36.236,36.96,"C0022B-3H-7, 107.0 cm",NULL,36.255,36.98,36.255,36.98,"C0022B-3H-7 W, 105.0--107.0 cm",CKY000000000001589910,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T08:09:24Z,NULL,19.0877,8.63,38.5125,19.4248,32.1176,13.4922,13.0299,6.6268,6.4715,4.7568,11.2283,4.8622,0.2319,0.1054,12.798,0.3412,0.5178,1.73,1.1398,2.6905,0.5764,1.3605,fuway,2013-01-12T02:19:31Z
"C0022B-3H-8, 20.0 cm",NULL,36.686,37.455,36.686,37.455,"C0022B-3H-8, 22.0 cm",NULL,36.705,37.475,36.705,37.475,"C0022B-3H-8 W, 20.0--22.0 cm",CKY000000000001590010,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T08:09:24Z,NULL,18.6163,8.3948,36.6661,18.0498,30.39,12.7532,11.7737,6.5037,6.3513,4.2549,10.6062,4.3584,0.2276,0.1035,11.5461,0.3603,0.5633,1.7018,1.0886,2.7136,0.5988,1.4927,fuway,2013-01-12T02:19:31Z
"C0022B-3H-8, 110.0 cm",NULL,37.505,38.355,37.505,38.355,"C0022B-3H-8, 112.0 cm",NULL,37.523,38.375,37.523,38.375,"C0022B-3H-8 W, 110.0--112.0 cm",CKY000000000001590110,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T08:09:24Z,NULL,18.8014,8.4671,37.0885,18.2871,31.2795,13.1427,12.4781,6.0197,5.8786,4.5798,10.4584,4.6756,0.2107,0.0958,12.2674,0.3292,0.4907,1.7486,1.173,2.6786,0.5621,1.2836,fuway,2013-01-12T02:19:31Z
"C0022B-3H-9, 54.0 cm",NULL,38.186,39.105,38.186,39.105,"C0022B-3H-9, 56.5 cm",NULL,38.209,39.13,38.209,39.13,"C0022B-3H-9 WR, 54.0--56.5 cm",CKY000000000001579210,PP,NULL,6,kitajima338,NULL,CKY,2013-01-01T01:58:13Z,NULL,18.0774,8.1548,34.762,16.6846,29.5331,12.4651,11.4557,5.4185,5.2915,4.2241,9.5156,4.3103,0.1896,0.0862,11.2661,0.3248,0.481,1.7534,1.184,2.6671,0.5561,1.2527,fuway,2013-01-12T02:19:31Z
"C0022B-3H-CC, 0.0 cm",NULL,38.209,39.13,38.209,39.13,"C0022B-3H-CC, 3.0 cm",NULL,38.236,39.16,38.236,39.16,"C0022B-3H-CC WR, 0.0--3.0 cm",CKY000000000001580010,PP,NULL,6,kitajima338,NULL,CKY,2013-01-01T02:03:47Z,NULL,18.9714,8.5759,33.233,14.2616,28.5648,12.1652,9.5934,4.8375,4.7241,3.5123,8.2364,3.5893,0.1693,0.077,9.4241,0.3392,0.5133,1.7315,1.1442,2.6832,0.5736,1.345,fuway,2013-01-12T02:19:31Z
"C0022B-4H-1, 32.0 cm",NULL,38.803,38.82,38.803,38.82,"C0022B-4H-1, 34.0 cm",NULL,38.822,38.84,38.822,38.84,"C0022B-4H-1 W, 32.0--34.0 cm",CKY000000000001596610,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,18.6052,8.3505,35.0586,16.4534,28.8358,12.193,10.2306,6.4485,6.2974,3.7399,10.0373,3.8425,0.2257,0.1026,10.0049,0.3919,0.6445,1.6392,0.9968,2.6752,0.6274,1.6838,fuway,2013-01-12T02:19:31Z
"C0022B-4H-1, 80.0 cm",NULL,39.257,39.3,39.257,39.3,"C0022B-4H-1, 82.0 cm",NULL,39.276,39.32,39.276,39.32,"C0022B-4H-1 W, 80.0--82.0 cm",CKY000000000001596710,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,18.798,8.4777,35.7534,16.9554,29.9375,12.599,11.1395,6.0268,5.8855,4.0254,9.9109,4.1213,0.2109,0.0959,10.9286,0.3555,0.5515,1.7108,1.1027,2.7149,0.5938,1.4621,fuway,2013-01-12T02:19:31Z
"C0022B-4H-3, 0.0 cm",NULL,39.65,39.715,39.65,39.715,"C0022B-4H-3, 3.0 cm",NULL,39.678,39.745,39.678,39.745,"C0022B-4H-3 W, 0.0--3.0 cm",CKY000000000001596810,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,18.6548,8.4205,36.5067,17.8519,30.7693,12.8564,12.1145,5.9455,5.8062,4.3413,10.1475,4.4359,0.2081,0.0946,11.9064,0.333,0.4994,1.7592,1.1733,2.7426,0.5722,1.3374,fuway,2013-01-12T02:19:31Z
"C0022B-4H-3, 121.0 cm",NULL,40.795,40.925,40.795,40.925,"C0022B-4H-3, 123.0 cm",NULL,40.814,40.945,40.814,40.945,"C0022B-4H-3 W, 121.0--123.0 cm",CKY000000000001596910,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,18.7317,8.4312,34.1569,15.4252,28.9296,12.2494,10.1979,5.4169,5.2899,3.732,9.0219,3.8182,0.1896,0.0862,10.0083,0.3512,0.5412,1.7098,1.1093,2.6818,0.5863,1.4174,fuway,2013-01-12T02:19:31Z
"C0022B-4H-4, 36.0 cm",NULL,41.23,41.385,41.23,41.385,"C0022B-4H-4, 38.0 cm",NULL,41.249,41.405,41.249,41.405,"C0022B-4H-4 W, 36.0--38.0 cm",CKY000000000001597010,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,18.9046,8.5358,36.7945,17.8899,30.7042,12.905,11.7996,6.3112,6.1633,4.2688,10.4321,4.3692,0.2209,0.1004,11.5787,0.3528,0.5451,1.7149,1.1099,2.7124,0.5908,1.4438,fuway,2013-01-12T02:19:31Z
"C0022B-4H-4, 118.0 cm",NULL,42.006,42.205,42.006,42.205,"C0022B-4H-4, 120.0 cm",NULL,42.025,42.225,42.025,42.225,"C0022B-4H-4 W, 118.0--120.0 cm",CKY000000000001597110,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,18.9003,8.5519,33.9245,15.0242,28.6288,12.1546,9.7285,5.4878,5.3592,3.5154,8.8746,3.6027,0.1921,0.0873,9.5364,0.3653,0.5755,1.6929,1.0746,2.7127,0.6039,1.5245,fuway,2013-01-12T02:19:31Z
"C0022B-4H-5, 46.0 cm",NULL,42.555,42.785,42.555,42.785,"C0022B-4H-5, 48.0 cm",NULL,42.574,42.805,42.574,42.805,"C0022B-4H-5 W, 46.0--48.0 cm",CKY000000000001597210,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,18.8466,8.4448,34.6858,15.8392,28.5583,12.1523,9.7117,6.3497,6.2009,3.6065,9.8074,3.7075,0.2222,0.101,9.4895,0.4009,0.6691,1.615,0.9676,2.6312,0.6323,1.7194,fuway,2013-01-12T02:19:31Z
"C0022B-4H-5, 108.0 cm",NULL,43.141,43.405,43.141,43.405,"C0022B-4H-5, 110.0 cm",NULL,43.16,43.425,43.16,43.425,"C0022B-4H-5 W, 108.0--110.0 cm",CKY000000000001597310,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,18.2079,8.2174,34.974,16.7661,28.7817,12.1581,10.5738,6.4169,6.2665,3.8386,10.1051,3.9407,0.2246,0.1021,10.3492,0.3827,0.62,1.6592,1.0242,2.6961,0.6201,1.6325,fuway,2013-01-12T02:19:31Z
