"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%), CHNS with treated sample (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample treatment method (CHNS organic carbon)","Comments",
"320","U1333","A","6","H","4","W","65.0","66.0","52.650","52.480","10.411","86.724","","","","","","","","",
"320","U1333","A","6","H","5","W","85.0","86.0","54.350","54.120","11.546","96.178","","","","","","","","",
"320","U1333","A","6","H","6","W","65.0","66.0","55.650","55.390","10.306","85.849","","","","","","","","",
"320","U1333","A","6","H","7","W","20.0","21.0","56.700","56.400","10.579","88.123","","","","","","","","",
"320","U1333","A","7","H","2","W","65.0","66.0","59.150","59.120","10.517","87.607","","","","","","","","",
"320","U1333","A","7","H","3","W","65.0","66.0","60.650","60.610","10.614","88.415","","","","","","","","",
"320","U1333","A","7","H","4","W","65.0","66.0","62.150","62.090","11.105","92.505","10.3680","0.00","0.00","0.00","0.05","-0.74","Acidification","",
"320","U1333","A","7","H","4","W","65.0","66.0","62.150","62.090","","","","0.00","0.0200","0.00","","","","",
"320","U1333","A","7","H","5","W","65.0","66.0","63.650","63.580","10.687","89.023","","","","","","","","",
"320","U1333","A","7","H","6","W","65.0","66.0","65.150","65.060","11.073","92.238","","","","","","","","",
"320","U1333","A","7","H","7","W","20.0","21.0","66.200","66.110","10.840","90.297","","","","","","","","",
"320","U1333","A","8","H","2","W","65.0","66.0","68.450","68.410","10.880","90.630","","","","","","","","",
"320","U1333","A","8","H","2","W","65.0","66.0","68.450","68.410","16.659","138.769","","","","","","","","",
"320","U1333","A","8","H","3","W","65.0","66.0","69.950","69.890","10.648","88.698","","","","","","","","",
"320","U1333","A","8","H","4","W","65.0","66.0","71.450","71.360","10.004","83.333","","","","","","","","",
"320","U1333","A","8","H","5","W","65.0","66.0","72.950","72.830","10.754","89.581","10.3540","0.00","0.00","0.00","0.02","-0.40","Acidification","",
"320","U1333","A","8","H","5","W","65.0","66.0","72.950","72.830","","","","0.00","0.0400","0.00","","","","",
"320","U1333","A","8","H","6","W","65.0","66.0","74.450","74.300","11.111","92.555","","","","","","","","",
"320","U1333","A","8","H","7","W","35.0","36.0","75.650","75.470","10.922","90.980","","","","","","","","",
"320","U1333","A","9","H","1","W","65.0","66.0","76.650","76.620","11.116","92.596","","","","","","","","",
"320","U1333","A","9","H","2","W","65.0","66.0","78.150","78.060","10.771","89.722","","","","","","","","",
"320","U1333","A","9","H","3","W","65.0","66.0","79.650","79.490","10.272","85.566","","","","","","","","",
"320","U1333","A","9","H","4","W","65.0","66.0","81.150","80.930","10.715","89.256","","","","","","","","",
"320","U1333","A","9","H","5","W","65.0","66.0","82.650","82.370","11.032","91.897","","","","","","","","",
"320","U1333","A","9","H","6","W","65.0","66.0","84.150","83.800","10.984","91.497","","","","","","","","",
"320","U1333","A","9","H","7","W","45.0","46.0","85.450","85.050","9.873","82.242","9.2070","0.00","0.0200","0.00","0.04","-0.67","Acidification","",
"320","U1333","A","9","H","7","W","45.0","46.0","85.450","85.050","","","","0.00","0.00","0.00","","","","",
"320","U1333","A","10","H","1","W","65.0","66.0","86.150","86.120","9.068","75.536","","","","","","","","",
"320","U1333","A","10","H","2","W","65.0","66.0","87.650","87.560","9.357","77.944","","","","","","","","",
"320","U1333","A","10","H","3","W","65.0","66.0","89.150","89.000","10.513","87.573","","","","","","","","",
"320","U1333","A","10","H","4","W","65.0","66.0","90.650","90.460","9.076","75.603","10.3980","0.00","0.00","0.00","0.03","1.32","Acidification","",
"320","U1333","A","10","H","4","W","65.0","66.0","90.650","90.460","","","","0.00","0.0200","0.00","","","","",
"320","U1333","A","10","H","5","W","65.0","66.0","92.150","91.900","9.923","82.659","","","","","","","","",
"320","U1333","A","10","H","6","W","65.0","66.0","93.650","93.340","9.767","81.359","","","","","","","","",
"320","U1333","A","10","H","7","W","31.0","32.0","94.810","94.450","10.077","83.941","","","","","","","","",
"320","U1333","A","11","X","1","W","110.0","111.0","96.100","96.010","10.548","87.865","","","","","","","","",
"320","U1333","A","11","X","2","","65.0","66.0","97.150","96.970","10.240","85.299","9.9750","0.00","0.00","0.00","0.03","-0.27","Acidification","",
"320","U1333","A","11","X","2","","65.0","66.0","97.150","96.970","","","","0.00","0.0500","0.00","","","","",
"320","U1333","A","11","X","3","","65.0","66.0","98.650","98.350","9.933","82.742","","","","","","","","",
"320","U1333","A","11","X","4","","65.0","66.0","100.150","99.720","9.678","80.618","","","","","","","","",
"320","U1333","A","12","X","1","W","65.0","66.0","101.350","101.350","9.304","77.502","","","","","","","","",
"320","U1333","A","12","X","2","W","65.0","66.0","102.850","102.850","9.217","76.778","","","","","","","","",
"320","U1333","A","12","X","3","W","65.0","66.0","104.350","104.350","8.442","70.322","7.7280","0.00","0.00","0.00","0.04","-0.71","Acidification","",
"320","U1333","A","12","X","3","W","65.0","66.0","104.350","104.350","","","","0.00","0.0200","0.00","","","","",
"320","U1333","A","12","X","4","W","65.0","66.0","105.850","105.850","10.003","83.325","","","","","","","","",
"320","U1333","A","12","X","5","W","65.0","66.0","107.350","107.350","9.308","77.536","9.0400","0.00","0.0800","0.00","0.04","-0.27","Acidification","",
"320","U1333","A","12","X","5","W","65.0","66.0","107.350","107.350","","","","0.00","0.00","0.00","","","","",
"320","U1333","A","13","X","1","W","75.0","76.0","111.050","111.050","10.282","85.649","","","","","","","","",
"320","U1333","A","13","X","2","W","55.0","56.0","112.350","112.350","8.093","67.415","","","","","","","","",
"320","U1333","A","13","X","3","W","65.0","66.0","113.950","113.950","3.498","29.138","3.2420","0.00","0.00","0.00","0.04","-0.26","Acidification","",
"320","U1333","A","13","X","3","W","65.0","66.0","113.950","113.950","","","","0.00","0.0100","0.0300","","","","",
"320","U1333","A","13","X","4","W","85.0","86.0","115.650","115.650","5.254","43.766","","","","","","","","",
"320","U1333","A","13","X","5","W","65.0","66.0","116.950","116.950","1.542","12.845","","","","","","","","",
"320","U1333","A","13","X","5","W","65.0","66.0","116.950","116.950","0.927","7.722","","","","","","","","",
"320","U1333","A","13","X","6","W","65.0","66.0","118.450","118.450","3.532","29.422","","","","","","","","",
"320","U1333","A","13","X","6","W","65.0","66.0","118.450","118.450","3.264","27.189","","","","","","","","",
"320","U1333","A","13","X","7","W","25.0","26.0","119.550","119.550","7.158","59.626","6.4030","0.00","0.00","0.00","0.03","-0.76","Acidification","",
"320","U1333","A","13","X","7","W","25.0","26.0","119.550","119.550","","","","0.00","0.0100","0.00","","","","",
"320","U1333","A","14","X","1","W","65.0","66.0","120.650","120.630","4.909","40.892","4.8380","0.00","0.00","0.00","0.03","-0.07","Acidification","",
"320","U1333","A","14","X","1","W","65.0","66.0","120.650","120.630","","","","0.00","0.0200","0.2100","","","","",
"320","U1333","A","14","X","2","W","65.0","66.0","122.150","122.090","4.781","39.826","","","","","","","","",
"320","U1333","A","14","X","3","W","65.0","66.0","123.650","123.550","3.357","27.964","","","","","","","","",
"320","U1333","A","14","X","4","W","65.0","66.0","125.150","125.020","1.508","12.562","1.2840","0.00","0.00","5.7200","0.04","-0.22","Acidification","",
"320","U1333","A","14","X","4","W","65.0","66.0","125.150","125.020","","","","0.00","0.0200","0.00","","","","",
"320","U1333","A","14","X","5","W","65.0","66.0","126.650","126.480","1.055","8.788","","","","","","","","",
"320","U1333","A","14","X","6","W","65.0","66.0","128.150","127.940","6.665","55.519","","","","","","","","",
"320","U1333","A","14","X","7","W","21.0","22.0","129.210","128.970","1.246","10.379","","","","","","","","",
"320","U1333","A","14","X","7","W","21.0","22.0","129.210","128.970","1.671","13.919","","","","","","","","",
"320","U1333","A","15","X","1","W","65.0","66.0","130.250","130.250","5.547","46.207","5.4370","0.00","0.0100","0.00","0.03","-0.11","Acidification","",
"320","U1333","A","15","X","1","W","65.0","66.0","130.250","130.250","","","","0.00","0.00","3.8800","","","","",
"320","U1333","A","15","X","2","W","65.0","66.0","131.750","131.750","8.934","74.420","","","","","","","","",
"320","U1333","A","15","X","3","W","65.0","66.0","133.250","133.250","8.281","68.981","","","","","","","","",
"320","U1333","A","15","X","4","W","65.0","66.0","134.750","134.750","4.306","35.869","4.1420","0.00","0.0100","0.0700","0.03","-0.16","Acidification","",
"320","U1333","A","15","X","4","W","65.0","66.0","134.750","134.750","","","","0.00","0.00","0.00","","","","",
"320","U1333","A","15","X","5","W","65.0","66.0","136.250","136.250","7.923","65.999","","","","","","","","",
"320","U1333","A","15","X","6","W","65.0","66.0","137.750","137.750","2.624","21.858","","","","","","","","",
"320","U1333","A","16","X","1","W","64.0","65.0","139.840","139.820","0.733","6.106","0.4650","0.00","0.00","6.8800","0.04","-0.27","Acidification","",
"320","U1333","A","16","X","1","W","64.0","65.0","139.840","139.820","","","","0.00","0.00","0.00","","","","",
"320","U1333","A","16","X","2","W","64.0","65.0","141.340","141.270","0.617","5.140","","","","","","","","",
"320","U1333","A","16","X","3","W","64.0","65.0","142.840","142.720","0.006","0.050","","","","","","","","",
"320","U1333","A","16","X","4","W","64.0","65.0","144.340","144.170","1.260","10.496","1.1280","0.00","0.00","0.1400","0.04","-0.13","Acidification","",
"320","U1333","A","16","X","4","W","64.0","65.0","144.340","144.170","","","","0.00","0.00","5.8100","","","","",
"320","U1333","A","16","X","5","W","64.0","65.0","145.840","145.610","1.154","9.613","","","","","","","","",
"320","U1333","A","16","X","6","W","64.0","65.0","147.340","147.060","5.744","47.848","","","","","","","","",
"320","U1333","A","17","X","1","W","65.0","66.0","149.450","149.430","7.529","62.717","7.3920","0.00","0.00","0.00","0.04","-0.14","Acidification","",
"320","U1333","A","17","X","1","W","65.0","66.0","149.450","149.430","","","","0.00","0.00","0.2300","","","","",
"320","U1333","A","17","X","2","W","65.0","66.0","150.950","150.880","7.544","62.842","","","","","","","","",
"320","U1333","A","17","X","3","W","65.0","66.0","152.450","152.330","7.341","61.151","","","","","","","","",
"320","U1333","A","17","X","4","W","65.0","66.0","153.950","153.780","6.862","57.160","6.7500","0.00","0.00","0.00","0.05","-0.11","Acidification","",
"320","U1333","A","17","X","4","W","65.0","66.0","153.950","153.780","","","","0.00","0.0200","0.00","","","","",
"320","U1333","A","17","X","5","W","65.0","66.0","155.450","155.240","5.133","42.758","","","","","","","","",
"320","U1333","A","17","X","6","W","65.0","66.0","156.950","156.690","5.292","44.082","","","","","","","","",
"320","U1333","A","17","X","7","W","20.0","21.0","158.000","157.700","3.690","30.738","","","","","","","","",
"320","U1333","A","18","X","1","W","66.0","67.0","159.060","159.060","4.732","39.418","4.6660","0.00","0.00","0.6300","0.04","-0.07","Acidification","",
"320","U1333","A","18","X","1","W","66.0","67.0","159.060","159.060","","","","0.00","0.00","0.00","","","","",
"320","U1333","A","18","X","2","W","66.0","67.0","160.560","160.560","5.417","45.124","","","","","","","","",
"320","U1333","A","18","X","3","W","66.0","67.0","161.400","161.400","2.016","16.793","","","","","","","","",
"320","U1333","A","18","X","4","W","66.0","67.0","162.900","162.900","7.431","61.900","7.6300","0.00","0.00","0.00","0.03","0.20","Acidification","",
"320","U1333","A","18","X","4","W","66.0","67.0","162.900","162.900","","","","0.00","0.00","0.00","","","","",
"320","U1333","A","19","X","1","W","65.0","66.0","168.650","168.650","5.121","42.658","5.1960","0.00","0.00","0.0600","0.03","0.07","Acidification","",
"320","U1333","A","19","X","1","W","65.0","66.0","168.650","168.650","","","","0.00","0.00","0.00","","","","",
"320","U1333","A","19","X","2","W","65.0","66.0","170.150","170.150","2.755","22.949","","","","","","","","",
"320","U1333","A","19","X","3","W","36.0","37.0","171.360","171.360","0.024","0.200","","","","","","","","",
"320","U1333","A","19","X","4","W","58.0","59.0","173.080","173.080","9.113","75.911","9.1250","0.00","0.00","0.0300","0.04","0.01","Acidification","",
"320","U1333","A","19","X","4","W","58.0","59.0","173.080","173.080","","","","0.00","0.00","0.00","","","","",
"320","U1333","A","19","X","5","W","29.0","30.0","174.290","174.290","9.481","78.977","","","","","","","","",
"320","U1333","A","20","X","1","W","64.0","65.0","178.240","178.240","9.117","75.945","","","","","","","","",
"320","U1333","A","20","X","2","W","64.0","65.0","179.740","179.740","9.351","77.894","9.4540","0.00","0.00","0.00","0.03","0.10","Acidification","",
"320","U1333","A","20","X","2","W","64.0","65.0","179.740","179.740","","","","0.00","0.0500","0.00","","","","",
"320","U1333","A","20","X","CC","","21.0","22.0","180.120","180.120","10.826","90.181","","","","","","","","",
"320","U1333","B","1","H","1","W","65.0","66.0","0.650","0.650","0.009","0.075","","","","","","","","",
"320","U1333","B","1","H","2","W","65.0","66.0","2.150","2.140","0.014","0.117","","","","","","","","",
"320","U1333","B","1","H","3","W","65.0","66.0","3.650","3.640","9.045","75.345","","","","","","","","",
"320","U1333","B","20","X","3","W","92.0","93.0","176.220","176.220","8.812","73.404","","","","","","","","",
"320","U1333","B","20","X","4","W","88.0","89.0","177.680","177.680","10.439","86.957","","","","","","","","",
"320","U1334","A","1","H","1","W","65.0","66.0","0.650","0.650","0.013","0.108","0.1980","0.00","0.2300","5.4400","0.15","0.18","Acidification","",
"320","U1334","A","1","H","1","W","65.0","66.0","0.650","0.650","","","","0.00","0.0600","0.00","","","","",
"320","U1334","A","1","H","2","W","65.0","66.0","2.150","2.140","0.001","0.008","","","","","","","","",
"320","U1334","A","1","H","3","W","65.0","66.0","3.650","3.640","0.071","0.591","","","","","","","","",
"320","U1334","A","1","H","4","W","65.0","66.0","5.150","5.130","0.029","0.242","","","","","","","","",
"320","U1334","A","1","H","5","W","65.0","66.0","6.650","6.620","0.087","0.725","","","","","","","","",
"320","U1334","A","1","H","6","W","20.0","21.0","7.700","7.660","0.032","0.267","","","","","","","","",
"320","U1334","A","2","H","1","W","64.0","65.0","8.840","8.810","0.004","0.033","","","","","","","","",
"320","U1334","A","2","H","2","W","64.0","65.0","10.340","10.240","0.010","0.083","0.1890","0.00","0.2300","5.8500","0.10","0.18","Acidification","",
"320","U1334","A","2","H","2","W","64.0","65.0","10.340","10.240","","","","0.00","0.0300","0.00","","","","",
"320","U1334","A","2","H","3","W","64.0","65.0","11.840","11.670","0.000","","","","","","","","","",
"320","U1334","A","2","H","4","W","64.0","65.0","13.340","13.100","0.033","0.275","","","","","","","","",
"320","U1334","A","2","H","5","W","64.0","65.0","14.840","14.530","0.027","0.225","","","","","","","","",
"320","U1334","A","2","H","6","W","64.0","65.0","16.340","15.960","0.081","0.675","","","","","","","","",
"320","U1334","A","2","H","7","W","64.0","65.0","17.840","17.390","7.196","59.943","","","","","","","","",
"320","U1334","A","3","H","1","W","65.0","66.0","18.350","18.320","4.514","37.602","4.3610","0.00","0.00","4.0400","0.06","-0.15","Acidification","",
"320","U1334","A","3","H","1","W","65.0","66.0","18.350","18.320","","","","0.00","0.0200","0.00","","","","",
"320","U1334","A","3","H","2","W","65.0","66.0","19.850","19.740","3.316","27.622","","","","","","","","",
"320","U1334","A","3","H","3","W","65.0","66.0","21.350","21.170","7.146","59.526","","","","","","","","",
"320","U1334","A","3","H","4","W","65.0","66.0","22.850","22.590","3.641","30.330","","","","","","","","",
"320","U1334","A","3","H","5","W","65.0","66.0","24.350","24.020","2.325","19.367","","","","","","","","",
"320","U1334","A","3","H","6","W","65.0","66.0","25.850","25.440","2.406","20.042","","","","","","","","",
"320","U1334","A","3","H","7","W","30.0","31.0","27.000","26.540","8.647","72.030","","","","","","","","",
"320","U1334","A","4","H","1","W","65.0","66.0","27.850","27.820","4.049","33.728","0.0550","0.00","0.00","0.00","4.07","-3.99","Acidification","",
"320","U1334","A","4","H","1","W","65.0","66.0","27.850","27.820","","","","0.00","0.0200","0.00","","","","",
"320","U1334","A","4","H","2","","65.0","66.0","29.350","29.240","8.864","73.837","","","","","","","","",
"320","U1334","A","4","H","3","W","65.0","66.0","30.850","30.660","2.507","20.883","","","","","","","","",
"320","U1334","A","4","H","4","W","65.0","66.0","32.350","32.080","6.153","51.254","","","","","","","","",
"320","U1334","A","4","H","5","W","65.0","66.0","33.850","33.500","1.527","12.720","","","","","","","","",
"320","U1334","A","4","H","6","W","65.0","66.0","35.350","34.920","2.187","18.218","","","","","","","","",
"320","U1334","A","4","H","7","W","29.0","30.0","36.490","35.990","0.026","0.217","","","","","","","","",
"320","U1334","A","5","H","1","W","65.0","66.0","37.350","37.310","3.385","28.197","","","","","","","","",
"320","U1334","A","5","H","2","W","65.0","66.0","38.850","38.720","0.413","3.440","","","","","","","","",
"320","U1334","A","5","H","3","W","65.0","66.0","40.350","40.120","3.172","26.423","","","","","","","","",
"320","U1334","A","5","H","4","W","65.0","66.0","41.850","41.530","6.596","54.945","6.1920","0.00","0.00","0.00","0.05","-0.40","Acidification","",
"320","U1334","A","5","H","4","W","65.0","66.0","41.850","41.530","","","","0.00","0.0100","-10.7700","","","","",
"320","U1334","A","5","H","5","W","65.0","66.0","43.350","42.940","5.467","45.540","","","","","","","","",
"320","U1334","A","5","H","6","W","65.0","66.0","44.850","44.340","7.897","65.782","","","","","","","","",
"320","U1334","A","5","H","7","W","55.0","56.0","46.250","45.660","7.009","58.385","","","","","","","","",
"320","U1334","A","6","H","1","W","65.0","66.0","46.850","46.810","10.692","89.064","","","","","","","","",
"320","U1334","A","6","H","2","W","65.0","66.0","48.350","48.230","11.070","92.213","10.5170","0.00","0.00","0.00","0.03","-0.55","Acidification","",
"320","U1334","A","6","H","2","W","65.0","66.0","48.350","48.230","","","","0.00","0.00","0.00","","","","",
"320","U1334","A","6","H","3","W","65.0","66.0","49.850","49.650","10.553","87.906","","","","","","","","",
"320","U1334","A","6","H","4","W","65.0","66.0","51.350","51.060","10.315","85.924","","","","","","","","",
"320","U1334","A","6","H","5","W","65.0","66.0","52.850","52.480","10.248","85.366","","","","","","","","",
"320","U1334","A","6","H","6","W","65.0","66.0","54.350","53.900","7.135","59.435","","","","","","","","",
"320","U1334","A","7","H","1","W","65.0","66.0","56.350","56.320","9.435","78.594","9.4940","0.00","0.00","0.00","0.03","0.06","Acidification","",
"320","U1334","A","7","H","1","W","65.0","66.0","56.350","56.320","","","","0.00","0.00","0.00","","","","",
"320","U1334","A","7","H","2","W","65.0","66.0","57.850","57.740","4.484","37.352","","","","","","","","",
"320","U1334","A","7","H","3","W","65.0","66.0","59.350","59.170","9.205","76.678","","","","","","","","",
"320","U1334","A","7","H","4","W","65.0","66.0","60.850","60.590","10.273","85.574","","","","","","","","",
"320","U1334","A","7","H","5","W","65.0","66.0","62.350","62.010","8.962","74.653","","","","","","","","",
"320","U1334","A","7","H","6","W","65.0","66.0","63.850","63.440","9.733","81.076","","","","","","","","",
"320","U1334","A","7","H","7","W","39.0","40.0","65.090","64.610","10.650","88.715","","","","","","","","",
"320","U1334","A","8","H","2","W","65.0","66.0","67.350","67.260","9.331","77.727","10.1180","0.00","0.00","0.00","0.02","0.79","Acidification","",
"320","U1334","A","8","H","2","W","65.0","66.0","67.350","67.260","","","","0.00","0.00","-13.3800","","","","",
"320","U1334","A","8","H","3","W","65.0","66.0","68.850","68.700","10.935","91.089","","","","","","","","",
"320","U1334","A","8","H","4","W","65.0","66.0","70.350","70.130","10.602","88.315","","","","","","","","",
"320","U1334","A","8","H","5","W","65.0","66.0","71.850","71.570","10.991","91.555","","","","","","","","",
"320","U1334","A","8","H","6","W","65.0","66.0","73.350","73.010","10.513","87.573","","","","","","","","",
"320","U1334","A","8","H","7","W","36.0","37.0","74.560","74.180","10.555","87.923","","","","","","","","",
"320","U1334","A","9","H","1","W","75.0","76.0","75.450","75.410","10.104","84.166","10.9990","0.00","0.00","0.00","0.04","0.90","Acidification","",
"320","U1334","A","9","H","1","W","75.0","76.0","75.450","75.410","","","","0.00","0.00","0.00","","","","",
"320","U1334","A","9","H","2","W","65.0","66.0","76.850","76.720","10.122","84.316","","","","","","","","",
"320","U1334","A","9","H","3","W","65.0","66.0","78.350","78.130","8.853","73.745","","","","","","","","",
"320","U1334","A","9","H","4","W","65.0","66.0","79.850","79.550","9.898","82.450","","","","","","","","",
"320","U1334","A","9","H","5","W","65.0","66.0","81.350","80.960","10.797","89.939","","","","","","","","",
"320","U1334","A","9","H","6","W","65.0","66.0","82.850","82.370","10.654","88.748","","","","","","","","",
"320","U1334","A","9","H","7","W","55.0","56.0","84.250","83.690","9.600","79.968","","","","","","","","",
"320","U1334","A","10","H","1","W","100.0","101.0","85.200","85.170","9.922","82.650","10.7130","0.00","0.00","0.00","0.04","0.79","Acidification","",
"320","U1334","A","10","H","1","W","100.0","101.0","85.200","85.170","","","","0.00","0.00","0.00","","","","",
"320","U1334","A","10","H","2","W","65.0","66.0","86.350","86.280","10.496","87.432","","","","","","","","",
"320","U1334","A","10","H","3","W","65.0","66.0","87.850","87.740","8.183","68.164","","","","","","","","",
"320","U1334","A","10","H","4","W","65.0","66.0","89.350","89.190","10.137","84.441","","","","","","","","",
"320","U1334","A","10","H","5","W","65.0","66.0","90.850","90.650","10.101","84.141","","","","","","","","",
"320","U1334","A","10","H","6","W","65.0","66.0","92.350","92.100","11.001","91.638","","","","","","","","",
"320","U1334","A","11","H","1","W","77.0","78.0","94.470","94.420","10.305","85.841","11.3010","0.00","0.00","0.00","0.04","1.00","Acidification","",
"320","U1334","A","11","H","1","W","77.0","78.0","94.470","94.420","","","","0.00","0.00","0.00","","","","",
"320","U1334","A","11","H","2","W","65.0","66.0","95.850","95.720","10.629","88.540","","","","","","","","",
"320","U1334","A","11","H","3","W","65.0","66.0","97.350","97.130","9.519","79.293","","","","","","","","",
"320","U1334","A","11","H","4","W","65.0","66.0","98.850","98.540","9.530","79.385","","","","","","","","",
"320","U1334","A","11","H","5","W","65.0","66.0","100.350","99.950","9.834","81.917","","","","","","","","",
"320","U1334","A","11","H","6","W","65.0","66.0","101.850","101.360","9.487","79.027","","","","","","","","",
"320","U1334","A","11","H","7","W","29.0","30.0","102.990","102.440","7.371","61.400","","","","","","","","",
"320","U1334","A","12","H","1","W","65.0","66.0","103.850","103.840","9.934","82.750","10.1390","0.00","0.00","0.00","0.03","0.21","Acidification","",
"320","U1334","A","12","H","1","W","65.0","66.0","103.850","103.840","","","","0.00","0.00","0.00","","","","",
"320","U1334","A","12","H","2","W","65.0","66.0","105.350","105.320","9.469","78.877","","","","","","","","",
"320","U1334","A","12","H","3","W","65.0","66.0","106.850","106.790","9.467","78.860","","","","","","","","",
"320","U1334","A","12","H","4","W","65.0","66.0","108.350","108.270","9.900","82.467","","","","","","","","",
"320","U1334","A","12","H","5","W","65.0","66.0","109.850","109.750","10.107","84.191","","","","","","","","",
"320","U1334","A","12","H","6","W","65.0","66.0","111.350","111.220","10.403","86.657","","","","","","","","",
"320","U1334","A","12","H","7","W","20.0","21.0","112.170","112.030","9.521","79.310","","","","","","","","",
"320","U1334","A","13","H","2","W","65.0","66.0","113.850","113.800","10.050","83.717","","","","","","","","",
"320","U1334","A","13","H","3","W","65.0","66.0","115.350","115.240","10.621","88.473","10.1530","0.00","0.0200","0.00","0.04","-0.47","Acidification","",
"320","U1334","A","13","H","3","W","65.0","66.0","115.350","115.240","","","","0.00","0.00","0.00","","","","",
"320","U1334","A","13","H","4","W","65.0","66.0","116.850","116.680","6.130","51.063","","","","","","","","",
"320","U1334","A","13","H","5","W","65.0","66.0","118.350","118.120","9.873","82.242","","","","","","","","",
"320","U1334","A","13","H","6","W","65.0","66.0","119.850","119.560","10.592","88.231","","","","","","","","",
"320","U1334","A","13","H","7","W","65.0","66.0","121.350","121.000","10.305","85.841","","","","","","","","",
"320","U1334","A","14","H","1","W","65.0","66.0","122.850","122.830","9.255","77.094","10.3270","0.00","0.00","0.00","0.04","1.07","Acidification","",
"320","U1334","A","14","H","1","W","65.0","66.0","122.850","122.830","","","","0.00","0.00","0.00","","","","",
"320","U1334","A","14","H","2","W","65.0","66.0","124.350","124.280","9.582","79.818","","","","","","","","",
"320","U1334","A","14","H","3","W","65.0","66.0","125.850","125.740","9.869","82.209","","","","","","","","",
"320","U1334","A","14","H","4","W","65.0","66.0","127.350","127.190","9.593","79.910","","","","","","","","",
"320","U1334","A","14","H","5","W","65.0","66.0","128.850","128.640","9.040","75.303","","","","","","","","",
"320","U1334","A","14","H","6","W","65.0","66.0","130.350","130.090","10.184","84.833","","","","","","","","",
"320","U1334","A","14","H","7","W","25.0","26.0","131.450","131.160","9.870","82.217","","","","","","","","",
"320","U1334","A","15","H","1","W","75.0","76.0","132.450","132.450","11.103","92.488","11.2310","0.00","0.00","0.00","0.04","0.13","Acidification","",
"320","U1334","A","15","H","1","W","75.0","76.0","132.450","132.450","","","","0.00","0.0100","0.00","","","","",
"320","U1334","A","15","H","2","W","65.0","66.0","133.850","133.840","10.406","86.682","","","","","","","","",
"320","U1334","A","15","H","3","W","65.0","66.0","135.350","135.330","9.502","79.152","","","","","","","","",
"320","U1334","A","15","H","4","W","65.0","66.0","136.850","136.830","10.631","88.556","","","","","","","","",
"320","U1334","A","15","H","5","W","65.0","66.0","138.350","138.320","10.699","89.123","","","","","","","","",
"320","U1334","A","15","H","6","W","45.0","46.0","139.650","139.610","10.786","89.847","","","","","","","","",
"320","U1334","A","15","H","7","W","40.0","41.0","140.600","140.560","9.937","82.775","","","","","","","","",
"320","U1334","A","16","H","1","W","74.0","75.0","141.940","141.940","9.870","82.217","10.4650","0.00","0.00","0.00","0.04","0.60","Acidification","",
"320","U1334","A","16","H","1","W","74.0","75.0","141.940","141.940","","","","0.00","0.0200","0.00","","","","",
"320","U1334","A","16","H","2","W","64.0","65.0","143.340","143.340","11.079","92.288","","","","","","","","",
"320","U1334","A","16","H","3","W","64.0","65.0","144.840","144.840","11.740","97.794","","","","","","","","",
"320","U1334","A","16","H","4","W","64.0","65.0","146.340","146.340","10.322","85.982","","","","","","","","",
"320","U1334","A","16","H","5","W","64.0","65.0","147.840","147.840","11.347","94.521","","","","","","","","",
"320","U1334","A","16","H","6","W","34.0","35.0","149.040","149.040","10.688","89.031","","","","","","","","",
"320","U1334","A","17","H","1","W","65.0","66.0","151.350","151.350","10.575","88.090","11.0580","0.00","0.00","0.00","0.04","0.48","Acidification","",
"320","U1334","A","17","H","1","W","65.0","66.0","151.350","151.350","","","","0.00","0.00","0.00","","","","",
"320","U1334","A","17","H","2","W","65.0","66.0","152.850","152.850","9.111","75.895","","","","","","","","",
"320","U1334","A","17","H","3","W","65.0","66.0","154.350","154.350","10.862","90.480","","","","","","","","",
"320","U1334","A","17","H","4","W","65.0","66.0","155.850","155.850","10.869","90.539","","","","","","","","",
"320","U1334","A","17","H","5","W","65.0","66.0","157.160","157.160","10.719","89.289","","","","","","","","",
"320","U1334","A","17","H","6","W","45.0","46.0","158.360","158.360","11.185","93.171","","","","","","","","",
"320","U1334","A","17","H","6","W","45.0","46.0","158.360","158.360","0.000","","","","","","","","","",
"320","U1334","A","18","H","2","W","65.0","66.0","162.350","162.240","10.769","89.706","11.6970","0.00","0.00","0.00","0.04","0.93","Acidification","",
"320","U1334","A","18","H","2","W","65.0","66.0","162.350","162.240","","","","0.00","0.00","0.00","","","","",
"320","U1334","A","18","H","3","W","65.0","66.0","163.850","163.660","11.270","93.879","","","","","","","","",
"320","U1334","A","18","H","4","W","65.0","66.0","165.350","165.090","10.827","90.189","","","","","","","","",
"320","U1334","A","18","H","5","W","65.0","66.0","166.850","166.510","10.532","87.732","","","","","","","","",
"320","U1334","A","18","H","6","W","65.0","66.0","168.350","167.930","9.999","83.292","","","","","","","","",
"320","U1334","A","18","H","7","W","50.0","51.0","169.600","169.110","10.560","87.965","","","","","","","","",
"320","U1334","A","19","H","1","W","65.0","66.0","170.350","170.350","10.668","88.864","11.2840","0.00","0.00","0.00","0.04","0.62","Acidification","",
