"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::DIC concentration: coulometer, DIC-EXIT, 3rd party [mM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::Si concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0014B-1H-4, 105.0 cm",,4.928,5.280,4.928,5.280,"C0014B-1H-4, 105.0 cm",,4.928,5.280,4.928,5.280,,,,,,,,,,1.33949,552.2355762,151.9048432,550.497467,41.4,0.242032043,462.0622598,50.6849185,1035.205402,1.031973081,18.68509066,8.788051024,17.00483686,15.48913691,8.542996285,0.98944266,414.6101214,0.882633535,6081.296372,97.8312028,0,86.595077,1.245473431,27.52180907,moriyas,2010-12-03T02:29:38Z,,,,,
"C0014B-1H-5, 65.0 cm",,5.870,6.290,5.870,6.290,"C0014B-1H-5, 75.0 cm",,5.963,6.390,5.963,6.390,"C0014B-1H-5 WR, 65.0--75.0 cm",CKY000000000003177600,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:42Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82,40.21,"pore water chemistry/alkalinity full result/C0014B-1H-5 WR, 65.0--75.0 cm IWIC (1).pdf",kames,2010-09-25T01:42:54Z
"C0014B-1H-5, 70.0 cm",,5.917,6.340,5.917,6.340,"C0014B-1H-5, 70.0 cm",,5.917,6.340,5.917,6.340,,,,,,,,,,1.33946,554.1811493,187.331213,596.7739822,,0.298821011,458.4677049,48.27558055,1086.94809,1.111038361,14.24528273,9.410593851,18.21772893,16.78682442,9.350582963,0.874551771,174.4014275,0.89516409,8174.729708,97.72895659,0,146.667199,1.507239974,19.35779081,moriyas,2010-12-03T02:29:38Z,,,,,
"C0014B-2H-3, 10.0 cm",,8.447,8.670,8.447,8.670,"C0014B-2H-3, 20.0 cm",,8.536,8.770,8.536,8.770,"C0014B-2H-3 WR, 10.0--20.0 cm",CKY000000000003161000,IWIC,,4.0,james331,,CKY,2010-09-19T22:36:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77,8.978,"pore water chemistry/alkalinity full result/C0014B-2H-3 WR, 10.0--20.0 cm IWIC (1).pdf",kawait,2010-09-23T04:52:52Z
"C0014B-2H-3, 15.0 cm",,8.492,8.720,8.492,8.720,"C0014B-2H-3, 15.0 cm",,8.492,8.720,8.492,8.720,,,,,,,,,,,545.0676752,91.84107213,458.7519631,9.08,0.09440728,465.738198,50.96577026,795.3037616,2.35476518,3.610085543,25.48034757,12.31181169,12.03840966,13.97223297,4.082773224,195.8790737,0.877159815,6769.324965,85.27561906,165.7862157,294.2126986,0.794430167,86.5242399,moriyas,2010-12-03T02:29:38Z,,,,,
"C0014B-2H-7, 40.0 cm",,12.143,12.790,12.143,12.790,"C0014B-2H-7, 50.0 cm",,12.232,12.890,12.232,12.890,"C0014B-2H-7 WR, 40.0--50.0 cm",CKY000000000003178800,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:42Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,11.538,"pore water chemistry/alkalinity full result/C0014B-2H-7 WR, 40.0--50.0 cm IWIC (1).pdf",hitomiy,2010-09-22T03:10:24Z
"C0014B-2H-7, 45.0 cm",,12.187,12.840,12.187,12.840,"C0014B-2H-7, 45.0 cm",,12.187,12.840,12.187,12.840,,,,,,,,,,1.33896,556.6387154,1280.557666,1412.858977,12.74,1.374871433,440.5516131,17.70903494,2039.471652,1.709633974,2.374911113,3.147039285,53.77375386,20.23078367,187.3311269,3.348544583,69.19033776,0.924803499,80267.77467,89.57880885,0,2783.130251,4.344525193,14.32980496,moriyas,2010-12-03T02:29:39Z,,,,,
"C0014B-2H-10, 20.0 cm",,14.237,15.125,14.237,15.125,"C0014B-2H-10, 30.0 cm",,14.327,15.225,14.327,15.225,"C0014B-2H-10 WR, 20.0--30.0 cm",CKY000000000003179500,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:42Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94,11.958,"pore water chemistry/alkalinity full result/C0014B-2H-10 WR, 20.0--30.0 cm IWIC (1).pdf",hitomiy,2010-09-22T03:10:25Z
"C0014B-2H-10, 25.0 cm",,14.282,15.175,14.282,15.175,"C0014B-2H-10, 25.0 cm",,14.282,15.175,14.282,15.175,,,,,,,,,,1.33897,554.3859465,1287.258979,1406.531676,12.28,1.42718405,436.4382588,16.80837932,2311.437748,2.11028568,2.339502609,1.308840639,55.37099792,21.30034689,196.8003371,15.60091726,47.32362338,0.969758921,75414.42776,90.0108821,0,2324.060316,8.173035115,3.863872225,moriyas,2010-12-03T02:29:38Z,,,,,
"C0014B-3H-2, 52.0 cm",,17.124,17.360,17.124,17.360,"C0014B-3H-2, 62.0 cm",,17.206,17.460,17.206,17.460,"C0014B-3H-2 WR, 52.0--62.0 cm",CKY000000000003180300,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:42Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85,10.83,"pore water chemistry/alkalinity full result/C0014B-3H-2 WR, 52.0--62.0 cm IWIC (1).pdf",hitomiy,2010-09-22T03:10:26Z
"C0014B-3H-2, 57.0 cm",,17.165,17.410,17.165,17.410,"C0014B-3H-2, 57.0 cm",,17.165,17.410,17.165,17.410,,,,,,,,,,1.33896,553.6691564,1365.827248,1505.001845,10.66,1.470866413,436.2205364,17.35258688,1896.202193,1.966113785,1.298290102,2.101065683,54.04364377,22.95334519,211.6202313,11.47801684,69.94269429,0.956248386,77152.36657,95.31623777,0,3086.244279,9.54188651,15.20237091,moriyas,2010-12-03T02:29:39Z,,,,,
"C0014B-3H-5, 20.0 cm",,19.350,20.055,19.350,20.055,"C0014B-3H-5, 30.0 cm",,19.432,20.155,19.432,20.155,"C0014B-3H-5 WR, 20.0--30.0 cm",CKY000000000003181000,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:42Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10.566,"pore water chemistry/alkalinity full result/C0014B-3H-5 WR, 20.0--30.0 cm IWIC (1).pdf",hitomiy,2010-09-22T03:10:28Z
"C0014B-3H-5, 25.0 cm",,19.391,20.105,19.391,20.105,"C0014B-3H-5, 25.0 cm",,19.391,20.105,19.391,20.105,,,,,,,,,,1.33896,553.5667578,1392.329451,1542.244298,10.23,1.473996065,430.3507581,16.16452037,2069.70017,2.120186592,1.598303695,1.097130467,54.16935137,23.57093743,229.8090503,14.30241141,1350.604629,0.953354002,69987.4156,98.03106145,0,2261.785674,16.90378055,1.430126038,moriyas,2010-12-03T02:29:39Z,,,,,
"C0014B-3H-7, 89.0 cm",,21.589,22.765,21.589,22.765,"C0014B-3H-7, 99.0 cm",,21.671,22.865,21.671,22.865,"C0014B-3H-7 WR, 89.0--99.0 cm",CKY000000000003181500,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:43Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,11.149,"pore water chemistry/alkalinity full result/C0014B-3H-7 WR, 89.0--99.0 cm IWIC (1).pdf",hitomiy,2010-09-22T03:10:30Z
"C0014B-3H-7, 94.0 cm",,21.630,22.815,21.630,22.815,"C0014B-3H-7, 94.0 cm",,21.630,22.815,21.630,22.815,,,,,,,,,,1.33898,556.9459112,1372.550218,1391.176547,11.4,1.543701963,437.3069738,14.9446511,1799.593072,1.85716317,1.942143773,0.982417363,56.99841797,23.62850327,238.7134059,15.50181921,172.6332053,0.946286952,61061.16327,92.7824164,0,903.0769648,18.91261437,3.600103825,moriyas,2010-12-03T02:29:39Z,,,,,
"C0014B-3H-9, 67.5 cm",,23.402,24.960,23.402,24.960,"C0014B-3H-9, 77.5 cm",,23.484,25.060,23.484,25.060,"C0014B-3H-9 WR, 67.5--77.5 cm",CKY000000000003182200,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:43Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59,10.569,"pore water chemistry/alkalinity full result/C0014B-3H-9 WR, 67.5--77.5 cm IWIC (1).pdf",hitomiy,2010-09-22T03:10:32Z
"C0014B-3H-9, 72.5 cm",,23.443,25.010,23.443,25.010,"C0014B-3H-9, 72.5 cm",,23.443,25.010,23.443,25.010,,,,,,,,,,1.33896,555.2051352,1347.585568,1419.988345,11.73,1.548367991,435.5745832,14.2972438,1667.489744,1.683059525,5.49258237,0.895349444,57.5251868,23.63528277,220.5392822,10.82704764,131.7691822,0.987608412,53205.14914,91.46310764,0,470.4815791,21.19786309,1.869963876,moriyas,2010-12-03T02:29:39Z,,,,,
"C0014B-4H-2, 35.0 cm",,26.353,26.415,26.353,26.415,"C0014B-4H-2, 45.0 cm",,26.446,26.515,26.446,26.515,"C0014B-4H-2 WR, 35.0--45.0 cm",CKY000000000003183000,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:43Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.87,14.217,"pore water chemistry/alkalinity full result/C0014B-4H-2 WR, 35.0--45.0 cm IWIC (1).pdf",hitomiy,2010-09-22T03:10:34Z
"C0014B-4H-2, 40.0 cm",,26.400,26.465,26.400,26.465,"C0014B-4H-2, 40.0 cm",,26.400,26.465,26.400,26.465,,,,,,,,,,1.33906,558.2770928,1322.566551,1496.287565,,1.499090189,433.3089608,17.43951045,1847.933754,1.97289023,,1.666609652,58.24473639,25.20772029,100.5432014,10.8108813,54.08643759,0.979542031,62040.41318,94.46994574,0,495.8824314,24.6122335,2.220321942,moriyas,2010-12-03T02:29:39Z,,,,,
"C0014B-4H-3, 37.0 cm",,27.682,27.840,27.682,27.840,"C0014B-4H-3, 47.0 cm",,27.775,27.940,27.775,27.940,"C0014B-4H-3 WR, 37.0--47.0 cm",CKY000000000003184100,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:43Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,11.939,"pore water chemistry/alkalinity full result/C0014B-4H-3 WR, 37.0--47.0 cm IWIC (1).pdf",hitomiy,2010-09-22T03:10:36Z
"C0014B-4H-3, 42.0 cm",,27.728,27.890,27.728,27.890,"C0014B-4H-3, 42.0 cm",,27.728,27.890,27.728,27.890,,,,,,,,,,1.33901,551.2311975,1323.666801,1610.344213,,1.481165815,434.3441234,14.98865986,2286.569162,2.372294665,6.74082069,1.329328781,57.88362311,24.46696712,119.8603031,7.646714288,105.173936,0.9824931,60083.17398,92.7936116,0,438.0842577,25.8505235,1.749315565,moriyas,2010-12-03T02:29:39Z,,,,,
"C0014B-4H-4, 35.0 cm",,28.977,29.230,28.977,29.230,"C0014B-4H-4, 45.0 cm",,29.071,29.330,29.071,29.330,"C0014B-4H-4 WR, 35.0--45.0 cm",CKY000000000003186500,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:44Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26,16.979,"pore water chemistry/alkalinity full result/C0014B-4H-4 WR, 35.0--45.0 cm IWIC (1).pdf",hitomiy,2010-09-22T03:10:37Z
"C0014B-4H-4, 40.0 cm",,29.024,29.280,29.024,29.280,"C0014B-4H-4, 40.0 cm",,29.024,29.280,29.024,29.280,,,,,,,,,,1.33901,551.3139889,1324.114379,1469.709584,,1.588501063,431.8572429,16.33278922,1874.186417,1.969846916,3.124051921,0.805869619,60.5478132,25.96778476,89.20456667,0.639676416,377.3560715,0.962555127,75261.41908,91.49093549,0,1172.617141,24.61187804,1.509840861,moriyas,2010-12-03T02:29:40Z,,,,,
"C0014B-4H-6, 103.0 cm",,31.159,31.570,31.159,31.570,"C0014B-4H-6, 113.0 cm",,31.252,31.670,31.252,31.670,"C0014B-4H-6 WR, 103.0--113.0 cm",CKY000000000003187700,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:44Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82,16.456,"pore water chemistry/alkalinity full result/C0014B-4H-6 WR, 103.0--113.0 cm IWIC (1).pdf",hitomiy,2010-09-22T03:10:38Z
"C0014B-4H-6, 108.0 cm",,31.206,31.620,31.206,31.620,"C0014B-4H-6, 108.0 cm",,31.206,31.620,31.206,31.620,,,,,,,,,,1.33877,529.50309,1344.937667,1584.241906,,1.716857382,404.1853278,13.33614434,2338.12613,2.386537371,1.689316921,0,63.32395744,26.70485,112.8402752,9.207191308,0,0.940792763,73039.56217,90.41381852,0,671.1986311,35.96009046,1.111057974,moriyas,2010-12-03T02:29:40Z,,,,,
"C0014B-4H-7, 111.0 cm",,32.529,33.040,32.529,33.040,"C0014B-4H-7, 121.0 cm",,32.623,33.140,32.623,33.140,"C0014B-4H-7 WR, 111.0--121.0 cm",CKY000000000003188900,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:44Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,15.313,"pore water chemistry/alkalinity full result/C0014B-4H-7 WR, 111.0--121.0 cm IWIC (1).pdf",hitomiy,2010-09-22T03:29:26Z
"C0014B-4H-7, 116.0 cm",,32.576,33.090,32.576,33.090,"C0014B-4H-7, 116.0 cm",,32.576,33.090,32.576,33.090,,,,,,,,,,1.33873,529.1958943,1363.71996,1531.826255,,1.750918133,407.5485253,10.65407433,2218.792651,2.352127642,2.931334752,0,62.02843671,26.86162167,124.0002734,0.588589117,181.7523433,0.950513347,75216.88345,88.53830837,0,821.3542567,36.2106954,1.150095275,moriyas,2010-12-03T02:29:40Z,,,,,
"C0014B-4H-8, 115.0 cm",,33.881,34.490,33.881,34.490,"C0014B-4H-8, 125.0 cm",,33.975,34.590,33.975,34.590,"C0014B-4H-8 WR, 115.0--125.0 cm",CKY000000000003185300,IWIC,,4.0,james331,,CKY,2010-09-20T00:04:43Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,16.784,"pore water chemistry/alkalinity full result/C0014B-4H-8 WR, 115.0--125.0 cm IWIC (1).pdf",hitomiy,2010-09-22T03:29:28Z
"C0014B-4H-8, 120.0 cm",,33.928,34.540,33.928,34.540,"C0014B-4H-8, 120.0 cm",,33.928,34.540,33.928,34.540,,,,,,,,,,1.33852,506.7935454,1279.177388,1576.668649,,1.865710974,383.5905934,11.01702794,2732.692987,2.695616268,1.86769137,0,61.37034492,28.00791508,155.1224959,0.580611607,0,0.93442024,87786.99466,90.19345862,0,1548.223867,39.51229147,0.728342382,moriyas,2010-12-03T02:29:40Z,,,,,
"C0014B-5H-12, 59.0 cm",,40.704,41.175,40.704,41.175,"C0014B-5H-12, 69.0 cm",,40.796,41.275,40.796,41.275,"C0014B-5H-12 WR, 59.0--69.0 cm",CKY000000000003151600,IWIC,,4.0,takuroh331,,CKY,2010-09-19T22:13:42Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73,8.541,"pore water chemistry/alkalinity full result/C0014B-5H-12 WR, 59.0--69.0 cm IWIC (1).pdf",yamamoton,2010-10-02T14:56:58Z
"C0014B-5H-12, 64.0 cm",,40.750,41.225,40.750,41.225,"C0014B-5H-12, 64.0 cm",,40.750,41.225,40.750,41.225,,,,,,,,,,1.3381,474.5150492,1228.28793,1429.871896,,1.431152557,365.8472978,3.679795295,3212.562022,3.386245495,4.029720216,0.161054752,57.35267764,21.30998609,577.2506697,1.479928699,0,0.8511515,72907.83692,74.99928954,0,847.8418615,25.02833974,4.042132566,moriyas,2010-12-03T02:29:40Z,,,,,
"C0014B-5H-13, 53.0 cm",,41.480,42.015,41.480,42.015,"C0014B-5H-13, 65.0 cm",,41.590,42.135,41.590,42.135,"C0014B-5H-13 WR, 53.0--65.0 cm",CKY000000000003153400,IWIC,,4.0,takuroh331,,CKY,2010-09-19T22:19:44Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13,7.685,"pore water chemistry/alkalinity full result/C0014B-5H-13 WR, 53.0--65.0 cm IWIC (1).pdf",hitomiy,2010-09-22T03:29:30Z
"C0014B-5H-13, 59.0 cm",,41.535,42.075,41.535,42.075,"C0014B-5H-13, 59.0 cm",,41.535,42.075,41.535,42.075,,,,,,,,,,1.33888,549.3684158,1357.810463,1461.874004,,1.45002789,429.8786552,5.401785928,2248.502074,2.312564569,6.89493694,0.578631694,64.81513362,26.78650422,325.7651024,0.491912057,1746.713591,1.018962762,59441.30672,88.73452051,247.2035586,387.4871962,25.86419134,7.357483283,moriyas,2010-12-03T02:29:40Z,,,,,
"C0014B-5H-14, 48.0 cm",,42.449,43.065,42.449,43.065,"C0014B-5H-14, 60.0 cm",,42.560,43.185,42.560,43.185,"C0014B-5H-14 WR, 48.0--60.0 cm",CKY000000000003190100,IWIC,,4.0,yasunagam,"Corrected from48-58(by james) to 48-60",CKY,2010-09-20T00:04:44Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68,7.393,"pore water chemistry/alkalinity full result/C0014B-5H-14 WR, 48.0--60.0 cm IWIC (1).pdf",yamamoton,2010-10-22T01:33:40Z
"C0014B-5H-14, 54.0 cm",,42.505,43.125,42.505,43.125,"C0014B-5H-14, 54.0 cm",,42.505,43.125,42.505,43.125,,,,,,,,,,1.33881,538.411767,1347.978415,1509.894037,,1.414365473,423.9093214,5.093644541,2607.263186,2.700039216,4.046706189,2.711715674,63.78923832,27.97490748,375.0155882,0.990642663,314.9965435,0.928818864,61343.95486,88.70674474,235.5826972,441.7437946,6.230769694,6.161848225,moriyas,2010-12-03T02:29:40Z,,,,,
"C0014B-5H-15, 80.0 cm",,43.923,44.660,43.923,44.660,"C0014B-5H-15, 91.0 cm",,44.024,44.770,44.024,44.770,"C0014B-5H-15 WR, 80.0--91.0 cm",CKY000000000003154800,IWIC,,4.0,takuroh331,,CKY,2010-09-19T22:24:14Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57,6.008,"pore water chemistry/alkalinity full result/C0014B-5H-15 WR, 80.0--91.0 cm IWIC (1).pdf",hitomiy,2010-09-22T03:29:33Z
"C0014B-5H-15, 85.5 cm",,43.974,44.715,43.974,44.715,"C0014B-5H-15, 85.5 cm",,43.974,44.715,43.974,44.715,,,,,,,,,,1.33906,567.2881684,1438.194457,1572.269504,,1.564881554,443.5517346,4.194948049,2476.133805,2.505348321,2.464271313,1.299629823,68.82515213,29.52127845,418.1915447,22.19102273,105.4318834,1.002040688,69191.42477,91.11459469,335.6684205,582.1346819,9.09159102,2.832024533,moriyas,2010-12-03T02:29:41Z,,,,,
