"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::DIC concentration: coulometer, DIC-EXIT, 3rd party [mM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::Si concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0014G-1H-6, 100.0 cm",,7.796,8.050,7.796,8.050,"C0014G-1H-6, 100.0 cm",,7.796,8.050,7.796,8.050,,,,,,,,,,1.33935,544.0380397,51.12363364,403.463175,3.47,0.030441694,467.9453736,52.20189137,369.1499767,0.348617285,3.123076036,28.90295307,10.67547167,10.83485036,10.25208351,9.288248843,481.5365974,0.873544275,2654.654892,83.88623482,19247.47439,72.66074906,0.400295091,619.5157203,moriyas,2010-12-03T02:29:45Z,,,,,
"C0014G-2H-5, 117.0 cm",,15.731,15.965,15.731,15.965,"C0014G-2H-5, 127.0 cm",,15.828,16.065,15.828,16.065,"C0014G-2H-5 WR, 117.0--127.0 cm",CKY000000000003374300,IWIC,,4.0,takuroh331,,CKY,2010-09-23T03:52:04Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,13.799,"pore water chemistry/alkalinity full result/C0014G-2H-5 WR, 117.0--127.0 cm IWIC (1).pdf",kames,2010-10-03T02:25:20Z
"C0014G-2H-5, 122.0 cm",,15.780,16.015,15.780,16.015,"C0014G-2H-5, 122.0 cm",,15.780,16.015,15.780,16.015,,,,,,,,,,1.33936,550.8235472,137.9270508,411.6007497,16.55,0.18163293,458.8061895,52.09939776,1367.705066,1.393435315,9.291581775,21.19294654,13.48083602,13.53530009,23.8072719,3.011191296,113.8263078,0.914717538,9125.058467,93.03669866,972.4863495,118.8327214,1.301113184,11.14694297,moriyas,2010-12-03T02:29:46Z,,,,,
"C0014G-2H-7, 18.0 cm",,17.542,17.840,17.542,17.840,"C0014G-2H-7, 29.0 cm",,17.648,17.950,17.648,17.950,"C0014G-2H-7 WR, 18.0--29.0 cm",CKY000000000003375200,IWIC,,4.0,takuroh331,,CKY,2010-09-23T03:54:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62,16.289,"pore water chemistry/alkalinity full result/C0014G-2H-7 WR, 18.0--29.0 cm IWIC (1).pdf",kames,2010-09-25T02:09:01Z
"C0014G-2H-7, 23.5 cm",,17.595,17.895,17.595,17.895,"C0014G-2H-7, 23.5 cm",,17.595,17.895,17.595,17.895,,,,,,,,,,1.33937,560.502874,364.5422669,519.5437819,19.1,0.436566631,443.2051282,43.95678238,795.0491652,0.78577818,10.71504502,19.31512563,23.60372734,17.17965509,52.26773925,8.20610377,115.1200135,0.905248362,19034.96981,100.9387734,46.92256628,199.9255247,1.715647293,3.518255704,moriyas,2010-12-03T02:29:46Z,,,,,
"C0014G-3H-2, 50.0 cm",,19.751,19.840,19.751,19.840,"C0014G-3H-2, 65.0 cm",,19.889,19.990,19.889,19.990,"C0014G-3H-2 WR, 50.0--65.0 cm",CKY000000000003376000,IWIC,,4.0,takuroh331,,CKY,2010-09-23T03:56:27Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,12.73,"pore water chemistry/alkalinity full result/C0014G-3H-2 WR, 50.0--65.0 cm IWIC (1).pdf",yamamoton,2010-10-22T01:50:08Z
"C0014G-3H-2, 57.5 cm",,19.820,19.915,19.820,19.915,"C0014G-3H-2, 57.5 cm",,19.820,19.915,19.820,19.915,,,,,,,,,,1.33959,567.5877421,522.140646,572.691956,14.91,0.651421679,446.8611109,47.03363752,1106.281832,1.108188704,7.553889062,24.84847507,29.07619355,20.99868958,50.44117031,2.882140698,106.1031665,0.91458358,31543.47861,118.2291751,577.2730709,1039.456013,1.688162797,12.1452955,moriyas,2010-12-03T02:29:46Z,,,,,
"C0014G-3H-5, 32.0 cm",,22.572,22.900,22.572,22.900,"C0014G-3H-5, 47.0 cm",,22.710,23.050,22.710,23.050,"C0014G-3H-5 WR, 32.0--47.0 cm",CKY000000000003376900,IWIC,,4.0,takuroh331,,CKY,2010-09-23T03:58:05Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.87,13.575,"pore water chemistry/alkalinity full result/C0014G-3H-5 WR, 32.0--47.0 cm IWIC (1).pdf",kames,2010-09-25T03:06:05Z
"C0014G-3H-5, 39.5 cm",,22.641,22.975,22.641,22.975,"C0014G-3H-5, 39.5 cm",,22.641,22.975,22.641,22.975,,,,,,,,,,1.33947,569.3839058,980.0057893,987.9257159,13.63,0.914482662,434.9694022,34.13019773,982.7928303,1.004494404,4.02451338,15.50245083,34.02104757,28.20393351,141.8535313,0.583702779,561.7672211,0.95839191,36284.77907,128.859404,314.6228172,948.8805987,3.795411966,9.605483829,moriyas,2010-12-03T02:29:46Z,,,,,
"C0014G-3H-8, 55.0 cm",,25.195,25.745,25.195,25.745,"C0014G-3H-8, 68.0 cm",,25.315,25.875,25.315,25.875,"C0014G-3H-8 WR, 55.0--68.0 cm",CKY000000000003377500,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:01:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,13.639,"pore water chemistry/alkalinity full result/C0014G-3H-8 WR, 55.0--68.0 cm IWIC (1).pdf",kames,2010-09-25T03:06:07Z
"C0014G-3H-8, 61.5 cm",,25.255,25.810,25.255,25.810,"C0014G-3H-8, 61.5 cm",,25.255,25.810,25.255,25.810,,,,,,,,,,1.33926,569.4836927,1191.245575,1179.569353,,1.192782298,434.5881314,31.6098693,1043.413209,1.001817671,6.145533203,7.468399489,44.01703883,22.4741908,36.82551468,2.61117323,243.6975871,0.948041773,55122.86966,106.9678637,69.69303489,1225.966733,8.132248867,35.1033356,moriyas,2010-12-03T02:29:46Z,,,,,
"C0014G-4H-2, 40.0 cm",,29.285,29.285,29.285,29.285,"C0014G-4H-2, 55.0 cm",,29.435,29.435,29.435,29.435,"C0014G-4H-2 WR, 40.0--55.0 cm",CKY000000000003378700,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:05:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94,14.3,"pore water chemistry/alkalinity full result/C0014G-4H-2 WR, 40.0--55.0 cm IWIC (1).pdf",kawait,2010-09-25T12:27:15Z
"C0014G-4H-2, 47.5 cm",,29.360,29.360,29.360,29.360,"C0014G-4H-2, 47.5 cm",,29.360,29.360,29.360,29.360,,,,,,,,,,1.3386,517.9936655,1253.448337,1544.580478,,1.715916293,385.6785538,10.55476981,2812.608739,2.752400912,3.062808569,1.665495671,58.79847786,23.61277609,134.4305679,1.274018629,98.6605802,0.895226366,79501.84449,83.77608534,36.51344317,676.4973592,22.80294254,2.360008679,moriyas,2010-12-03T02:29:46Z,,,,,
"C0014G-4H-5, 45.0 cm",,30.860,30.860,30.860,30.860,"C0014G-4H-5, 60.0 cm",,31.010,31.010,31.010,31.010,"C0014G-4H-5 WR, 45.0--60.0 cm",CKY000000000003379900,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:08:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.96,16.96,"pore water chemistry/alkalinity full result/C0014G-4H-5 WR, 45.0--60.0 cm IWIC (1).pdf",kawait,2010-09-25T12:46:05Z
"C0014G-4H-5, 52.5 cm",,30.935,30.935,30.935,30.935,"C0014G-4H-5, 52.5 cm",,30.935,30.935,30.935,30.935,,,,,,,,,,1.33862,521.7855667,1325.490521,1520.086609,,1.808224683,389.8805021,10.22678021,2473.588516,2.56277961,2.230316097,0.869315688,59.41621197,25.50249324,168.5305649,1.509323204,107.123377,0.896031951,81699.65674,87.80248979,75.01866113,655.2503395,36.67379384,2.888350558,moriyas,2010-12-03T02:29:47Z,,,,,
"C0014G-4H-7, 0.0 cm",,32.425,32.425,32.425,32.425,"C0014G-4H-7, 15.0 cm",,32.575,32.575,32.575,32.575,"C0014G-4H-7 WR, 0.0--15.0 cm",CKY000000000003381100,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:13:56Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.21,16.759,"pore water chemistry/alkalinity full result/C0014G-4H-7 WR, 0.0--15.0 cm IWIC (1).pdf",kawait,2010-09-25T12:48:25Z
"C0014G-4H-7, 7.5 cm",,32.500,32.500,32.500,32.500,"C0014G-4H-7, 7.5 cm",,32.500,32.500,32.500,32.500,,,,,,,,,,1.33849,503.7241424,1198.131025,1325.45678,,1.615872669,379.7088497,10.39394922,2523.658248,2.530542437,3.662186393,3.229506721,58.04948597,27.41170344,317.8835094,8.190347874,726.8912702,0.873085843,64655.09271,82.88719167,215.5221276,346.7789733,8.745157319,3.664145741,moriyas,2010-12-03T02:29:47Z,,,,,
"C0014G-4H-9, 35.0 cm",,34.795,34.795,34.795,34.795,"C0014G-4H-9, 50.0 cm",,34.945,34.945,34.945,34.945,"C0014G-4H-9 WR, 35.0--50.0 cm",CKY000000000003382300,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19,13.89,"pore water chemistry/alkalinity full result/C0014G-4H-9 WR, 35.0--50.0 cm IWIC (1).pdf",kawait,2010-09-25T12:51:08Z
"C0014G-4H-9, 42.5 cm",,34.870,34.870,34.870,34.870,"C0014G-4H-9, 42.5 cm",,34.870,34.870,34.870,34.870,,,,,,,,,,1.33879,531.2653198,1295.34851,1439.86724,,1.666816318,405.0811306,7.331471746,2746.033577,2.710814571,1.874623435,2.895635292,60.52421304,26.90516539,486.2439728,1.825339942,227.6783553,0.913781758,69727.48493,85.59226245,594.1210023,631.1520626,8.485323273,2.118701103,moriyas,2010-12-03T02:29:47Z,,,,,
"C0014G-4H-10, 0.0 cm",,35.450,35.450,35.450,35.450,"C0014G-4H-10, 15.0 cm",,35.600,35.600,35.600,35.600,"C0014G-4H-10 WR, 0.0--15.0 cm",CKY000000000003383500,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:23:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82,10.603,"pore water chemistry/alkalinity full result/C0014G-4H-10 WR, 0.0--15.0 cm IWIC (1).pdf",kawait,2010-09-25T12:53:25Z
"C0014G-4H-10, 7.5 cm",,35.525,35.525,35.525,35.525,"C0014G-4H-10, 7.5 cm",,35.525,35.525,35.525,35.525,,,,,,,,,,1.33859,521.9851405,1218.769436,1479.522552,,1.64428647,395.8002632,8.378811716,3434.585096,3.307997534,5.182640251,3.469127976,56.60061831,22.75646416,576.4416904,4.512881545,33.99021874,0.877955615,74313.40736,81.55117684,97.48832132,495.0606761,7.667898328,48.52514779,moriyas,2010-12-03T02:29:46Z,,,,,
"C0014G-4H-11, 80.0 cm",,37.255,37.255,37.255,37.255,"C0014G-4H-11, 95.0 cm",,37.405,37.405,37.405,37.405,"C0014G-4H-11 WR, 80.0--95.0 cm",CKY000000000003385100,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:28:28Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02,10.963,"pore water chemistry/alkalinity full result/C0014G-4H-11 WR, 80.0--95.0 cm IWIC (1).pdf",kawait,2010-09-25T12:55:43Z
"C0014G-4H-11, 87.5 cm",,37.330,37.330,37.330,37.330,"C0014G-4H-11, 87.5 cm",,37.330,37.330,37.330,37.330,,,,,,,,,,1.33786,447.8434927,1006.166748,1369.753387,,1.668505582,339.6456108,8.081498802,3162.069196,3.154686694,2.366449694,3.77897958,50.25215147,21.64751433,462.8841108,0.964866565,336.2358359,0.755662177,82745.54726,60.78021873,144.4070235,1381.567672,6.0917874,4.514903285,moriyas,2010-12-03T02:29:46Z,,,,,
"C0014G-5H-3, 26.0 cm",,38.295,38.295,38.295,38.295,"C0014G-5H-3, 41.0 cm",,38.445,38.445,38.445,38.445,"C0014G-5H-3 WR, 26.0--41.0 cm",CKY000000000003386300,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:31:22Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86,10.389,"pore water chemistry/alkalinity full result/C0014G-5H-3 WR, 26.0--41.0 cm IWIC (1).pdf",kawait,2010-09-25T12:59:00Z
"C0014G-5H-3, 33.5 cm",,38.370,38.370,38.370,38.370,"C0014G-5H-3, 33.5 cm",,38.370,38.370,38.370,38.370,,,,,,,,,,1.33563,227.3145001,419.0943214,947.3438274,,1.396589309,177.3644874,6.406185393,3538.240948,3.645110692,1.983373295,4.053933616,23.22959042,13.2963819,265.0750964,1.355341765,39.75549812,0.375397739,26241.60319,28.54541785,62.58543413,163.4898233,2.429061379,1.997522235,moriyas,2010-12-03T02:29:47Z,,,,,
"C0014G-6H-2, 55.0 cm",,47.509,47.885,47.509,47.885,"C0014G-6H-2, 70.0 cm",,47.577,48.035,47.577,48.035,"C0014G-6H-2 WR, 55.0--70.0 cm",CKY000000000003387500,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:34:10Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,6.077,"pore water chemistry/alkalinity full result/C0014G-6H-2 WR, 55.0--70.0 cm IWIC (1).pdf",kawait,2010-09-25T13:05:41Z
"C0014G-6H-2, 62.5 cm",,47.543,47.960,47.543,47.960,"C0014G-6H-2, 62.5 cm",,47.543,47.960,47.543,47.960,,,,,,,,,,1.33918,562.9975459,1250.532585,1476.297654,,1.238962598,444.7285478,9.648189633,3456.350413,3.480317057,2.999543274,9.236577724,60.76499762,27.50599875,404.9073516,17.79852843,43.08048171,0.958593386,63375.66276,95.93920174,0,465.250974,2.997285375,0.976697397,moriyas,2010-12-03T02:29:47Z,,,,,
"C0014G-6H-3, 47.0 cm",,47.926,48.810,47.926,48.810,"C0014G-6H-3, 59.0 cm",,47.981,48.930,47.981,48.930,"C0014G-6H-3 WR, 47.0--59.0 cm",CKY000000000003388700,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:36:47Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,7.94,"pore water chemistry/alkalinity full result/C0014G-6H-3 WR, 47.0--59.0 cm IWIC (1).pdf",kawait,2010-09-25T13:11:56Z
"C0014G-6H-3, 53.0 cm",,47.953,48.870,47.953,48.870,"C0014G-6H-3, 53.0 cm",,47.953,48.870,47.953,48.870,,,,,,,,,,1.33908,562.4986115,1212.143609,1528.835012,,1.241483258,437.2716002,7.794067744,3501.597378,3.444161767,4.293360555,5.385717332,61.97382754,26.55328565,374.0955157,15.41466368,37.71591953,0.954585916,61180.56594,87.56401193,33.48830295,400.8843308,6.168826378,4.505894232,moriyas,2010-12-03T02:29:47Z,,,,,
"C0014G-9X-2, 25.0 cm",,55.855,55.855,55.855,55.855,"C0014G-9X-2, 40.0 cm",,56.005,56.005,56.005,56.005,"C0014G-9X-2 WR, 25.0--40.0 cm",CKY000000000003389900,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:40:35Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73,13.262,"pore water chemistry/alkalinity full result/C0014G-9X-2 WR, 25.0--40.0 cm IWIC (1).pdf",kames,2010-10-03T02:31:27Z
"C0014G-9X-2, 32.5 cm",,55.930,55.930,55.930,55.930,"C0014G-9X-2, 32.5 cm",,55.930,55.930,55.930,55.930,,,,,,,,,,1.33935,589.0419201,1357.331637,1573.110555,13.71,1.290849748,452.6945326,5.775389309,3223.546225,3.275876741,2.200700052,4.382103299,69.39513662,31.09761045,284.6690571,2.721885218,164.7289866,1.005981713,72224.91206,90.5993642,119.7654803,486.3453255,7.254476876,1.605500944,moriyas,2010-12-03T02:29:47Z,,,,,
"C0014G-12H-3, 15.0 cm",,65.300,65.300,65.300,65.300,"C0014G-12H-3, 25.0 cm",,65.400,65.400,65.400,65.400,"C0014G-12H-3 WR, 15.0--25.0 cm",CKY000000000003390700,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:42:48Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76,14.843,"pore water chemistry/alkalinity full result/C0014G-12H-3 WR, 15.0--25.0 cm IWIC (1).pdf",kawait,2010-09-25T13:14:30Z
"C0014G-12H-3, 20.0 cm",,65.350,65.350,65.350,65.350,"C0014G-12H-3, 20.0 cm",,65.350,65.350,65.350,65.350,,,,,,,,,,1.33979,620.0756381,1562.868752,1663.884068,,1.248703455,487.6223426,3.196296327,2668.581543,2.684861901,2.351192773,8.212140035,69.26532511,38.46726133,221.1249728,2.09763692,409.0360365,1.109364425,67353.46397,120.1706651,550.4790211,434.9242849,5.15445346,54.37409772,moriyas,2010-12-03T02:29:43Z,,,,,
"C0014G-13T-1, 60.0 cm",,67.300,67.300,67.300,67.300,"C0014G-13T-1, 75.0 cm",,67.450,67.450,67.450,67.450,"C0014G-13T-1 WR, 60.0--75.0 cm",CKY000000000003391300,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:44:34Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53,11.197,"pore water chemistry/alkalinity full result/C0014G-13T-1 WR, 60.0--75.0 cm IWIC (1).pdf",kawait,2010-09-25T13:17:48Z
"C0014G-13T-1, 67.5 cm",,67.375,67.375,67.375,67.375,"C0014G-13T-1, 67.5 cm",,67.375,67.375,67.375,67.375,,,,,,,,,,1.33989,612.4918356,1300.587813,1320.936312,,0.966859461,491.7160948,11.60014568,2671.471373,2.696771422,2.706156586,17.13569852,57.3899889,36.64122423,388.263988,12.32323235,238.1840519,0.991111637,61066.16623,123.0446573,65.63589249,390.5250687,2.885668171,3.303622223,moriyas,2010-12-03T02:29:44Z,,,,,
