"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0012D-7H-3, 0.0 cm",,154.565,154.765,154.565,154.765,"C0012D-7H-3, 29.0 cm",,154.834,155.055,154.834,155.055,"C0012D-7H-3 WR, 0.0--29.0 cm",CKY000000000004617400,IWIC,,4.0,kawait,,CKY,2010-12-28T05:23:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,2.344,"pore water chemistry/alkalinity full result/C0012D-7H-3 WR, 0.0--29.0 cm IWIC (1).pdf",kawait,2010-12-28T06:17:08Z
"C0012D-7H-3, 14.5 cm",,154.699,154.910,154.699,154.910,"C0012D-7H-3, 14.5 cm",,154.699,154.910,154.699,154.910,,,,,,,,,,1.33909,559.0726192,214.9505091,306.2657006,0.594996888,458.6700624,12.75234263,274.1078686,0.495589312,8.729590784,2.865440323,39.88474077,23.86489187,83.21996435,0,570.9039171,362.8314147,0.888060957,389.356494,171.3685837,290.4854652,1.831822934,1.790194536,2.111120347,0.867510747,kames,2011-01-09T04:41:07Z,,,,,
"C0012D-8H-4, 0.0 cm",,160.269,160.385,160.269,160.385,"C0012D-8H-4, 29.5 cm",,160.552,160.680,160.552,160.680,"C0012D-8H-4 WR, 0.0--29.5 cm",CKY000000000004619300,IWIC,,4.0,kawait,,CKY,2010-12-28T05:27:22Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48,1.66,"pore water chemistry/alkalinity full result/C0012D-8H-4 WR, 0.0--29.5 cm IWIC (1).pdf",kawait,2010-12-28T06:17:08Z
"C0012D-8H-4, 14.8 cm",,160.411,160.533,160.411,160.533,"C0012D-8H-4, 14.8 cm",,160.411,160.533,160.411,160.533,,,,,,,,,,1.3391,550.5912391,218.9474523,420.4398421,0.610544876,462.7904561,11.63394286,517.9939802,0.639945738,7.934618113,2.792836207,40.55814085,25.5498833,119.6007959,0,4078.022502,2599.513858,0.820865823,376.2976035,172.3392142,210.8457488,1.656046539,1.867761241,1.903032202,2.13099481,kames,2011-01-09T04:41:07Z,,,,,
"C0012D-10H-3, 0.0 cm",,168.340,169.510,168.340,169.510,"C0012D-10H-3, 31.0 cm",,168.506,169.820,168.506,169.820,"C0012D-10H-3 WR, 0.0--31.0 cm",CKY000000000004639900,IWIC,,4.0,kames,,CKY,2010-12-28T15:44:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49,1.228,"pore water chemistry/alkalinity full result/C0012D-10H-3 WR, 0.0--31.0 cm IWIC (1).pdf",kames,2010-12-28T16:50:49Z
"C0012D-10H-3, 15.5 cm",,168.423,169.665,168.423,169.665,"C0012D-10H-3, 15.5 cm",,168.423,169.665,168.423,169.665,,,,,,,,,,1.33904,555.8796291,216.1917451,261.2514113,0.623303199,462.1021298,9.761723492,215.403459,0.489497337,6.716991969,2.630109595,43.81420171,24.86638792,48.67887031,0,2217.917208,381.9989721,0.871587972,363.363014,179.181031,372.4586856,2.05239741,1.992598928,1.042042379,0.525186687,kames,2011-01-09T04:41:06Z,,,,,
"C0012D-11H-2, 0.0 cm",,171.283,171.885,171.283,171.885,"C0012D-11H-2, 30.0 cm",,171.452,172.185,171.452,172.185,"C0012D-11H-2 WR, 0.0--30.0 cm",CKY000000000004640900,IWIC,,4.0,kames,,CKY,2010-12-28T15:50:15Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.31,1.397,"pore water chemistry/alkalinity full result/C0012D-11H-2 WR, 0.0--30.0 cm IWIC (1).pdf",kames,2010-12-28T16:50:50Z
"C0012D-11H-2, 15.0 cm",,171.367,172.035,171.367,172.035,"C0012D-11H-2, 15.0 cm",,171.367,172.035,171.367,172.035,,,,,,,,,,1.33909,561.7667046,205.6793636,253.5920039,0.677574846,462.625901,9.915544178,269.7345625,0.491354846,6.878653829,2.608635269,43.90518407,22.71125778,53.30610727,0,4438.495001,364.8947078,0.9274966,374.0939392,182.6897713,367.6239636,1.998989942,1.971529211,1.604152183,0.732389306,kames,2011-01-09T04:41:06Z,,,,,
"C0012D-13H-4, 0.0 cm",,178.662,179.910,178.662,179.910,"C0012D-13H-4, 31.0 cm",,178.873,180.220,178.873,180.220,"C0012D-13H-4 WR, 0.0--31.0 cm",CKY000000000004642200,IWIC,,4.0,kames,,CKY,2010-12-28T15:56:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.35,0.713,"pore water chemistry/alkalinity full result/C0012D-13H-4 WR, 0.0--31.0 cm IWIC (1).pdf",kames,2010-12-28T16:50:51Z
"C0012D-13H-4, 15.5 cm",,178.768,180.065,178.768,180.065,"C0012D-13H-4, 15.5 cm",,178.768,180.065,178.768,180.065,,,,,,,,,,1.33903,556.9772194,219.0358056,271.9862779,0.720618754,462.7398045,7.85615073,204.5858903,0,5.323671688,2.438756738,43.04160352,27.29005937,46.21226023,0,3348.064799,352.7742821,0.923826828,369.9409682,189.5111022,302.3257323,2.057423528,2.080426784,0.625835265,0.370908903,kames,2011-01-09T04:41:06Z,,,,,
