"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0008C-3H-7, 0.0 cm",,21.116,21.935,21.116,21.935,"C0008C-3H-7, 23.0 cm",,21.318,22.165,21.318,22.165,"C0008C-3H-7 WR, 0.0--23.0 cm",KCC000000000002792100,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7.84,13.651,kames,2010-07-06T04:49:28Z
"C0008C-3H-7, 11.5 cm",,21.217,22.050,21.217,22.050,"C0008C-3H-7, 11.5 cm",,21.217,22.050,21.217,22.050,,,,,,,,,,1.33892,32.94444,564.3578,16.65003,423.5319,2186.364,579.3347,509.8412,23.57903,649.6652,32.1363,0,0.3747693,0.1588495,563.3397,10.46806,3.815415,0.2540438,0.5819435,1.018171,82.56494,59.55968,maedal,2008-06-09T01:44:13Z,,,,
"C0008C-4H-5, 0.0 cm",,28.146,29.390,28.146,29.390,"C0008C-4H-5, 22.0 cm",,28.310,29.610,28.310,29.610,"C0008C-4H-5 WR, 0.0--22.0 cm",KCC000000000002792200,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7.8,12.73,kames,2010-07-06T04:49:28Z
"C0008C-4H-5, 11.0 cm",,28.228,29.500,28.228,29.500,"C0008C-4H-5, 11.0 cm",,28.228,29.500,28.228,29.500,,,,,,,,,,1.33891,32.88889,565.442,14.00939,414.3959,2557.576,582.1543,512.1493,22.22094,647.8533,37.64341,0,0.5458435,0.3831069,564.4044,9.572921,4.371131,0.4707605,2.194639,1.037576,84.45744,55.54516,maedal,2008-06-09T01:44:13Z,,,,
"C0008C-5H-5, 0.0 cm",,37.864,38.020,37.864,38.020,"C0008C-5H-5, 22.0 cm",,38.075,38.240,38.075,38.240,"C0008C-5H-5 WR, 0.0--22.0 cm",KCC000000000002792300,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7.63,12.287,kames,2010-07-06T04:49:28Z
"C0008C-5H-5, 11.0 cm",,37.970,38.130,37.970,38.130,"C0008C-5H-5, 11.0 cm",,37.970,38.130,37.970,38.130,,,,,,,,,,1.33892,32.94444,570.7603,14.30175,422.4136,3079.64,573.4803,518.2332,20.92073,622.2869,44.06542,0,0.8795909,0.6221844,569.6979,9.068875,5.056469,3.023774,1.140669,1.06245,84.00843,53.17777,maedal,2008-06-09T01:44:13Z,,,,
"C0008C-6H-4, 0.0 cm",,47.339,47.730,47.339,47.730,"C0008C-6H-4, 29.0 cm",,47.602,48.020,47.602,48.020,"C0008C-6H-4 WR, 0.0--29.0 cm",KCC000000000002792400,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7.64,11.928,kames,2010-07-06T04:49:28Z
"C0008C-6H-4, 14.5 cm",,47.471,47.875,47.471,47.875,"C0008C-6H-4, 14.5 cm",,47.471,47.875,47.471,47.875,,,,,,,,,,1.33894,33.05556,567.9886,14.17973,369.3722,3477.842,597.6254,515.592,20.27076,657.9423,20.23364,0,0.3689791,0.2898686,566.9043,8.891763,5.375096,6.053748,10.94699,1.084356,83.92732,55.82658,maedal,2008-06-09T01:44:13Z,,,,
"C0008C-7H-4, 0.0 cm",,55.274,55.870,55.274,55.870,"C0008C-7H-4, 23.0 cm",,55.456,56.100,55.456,56.100,"C0008C-7H-4 WR, 0.0--23.0 cm",KCC000000000002792500,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7.58,11.489,kames,2010-07-06T04:49:28Z
"C0008C-7H-4, 11.5 cm",,55.365,55.985,55.365,55.985,"C0008C-7H-4, 11.5 cm",,55.365,55.985,55.365,55.985,,,,,,,,,,1.33881,32.33333,556.5338,16.95204,362.8492,3638.407,583.6979,503.6569,19.99546,635.2371,23.03738,0,0.3547229,0,555.4741,8.98699,5.547581,5.980122,12.44355,1.059664,83.37462,53.84272,maedal,2008-06-09T01:44:14Z,,,,
"C0008C-9H-4, 0.0 cm",,70.489,70.705,70.489,70.705,"C0008C-9H-4, 23.5 cm",,70.708,70.940,70.708,70.940,"C0008C-9H-4 WR, 0.0--23.5 cm",KCC000000000002792600,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7.63,10.162,kames,2010-07-06T06:18:37Z
"C0008C-9H-4, 11.7 cm",,70.598,70.822,70.598,70.822,"C0008C-9H-4, 11.7 cm",,70.598,70.822,70.598,70.822,,,,,,,,,,1.33876,32.05556,547.5744,18.74277,344.8889,3901.734,565.695,496.1147,18.62998,511.13,10.42056,0,0.343453,0.1724345,546.5031,8.670452,5.585376,3.452734,1.372101,1.071317,78.51968,48.99338,maedal,2008-06-09T01:44:14Z,,,,
"C0008C-9H-7, 0.0 cm",,72.698,73.075,72.698,73.075,"C0008C-9H-7, 12.0 cm",,72.810,73.195,72.810,73.195,"C0008C-9H-7 WR, 0.0--12.0 cm",KCC000000000002792700,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7.65,9.964,kames,2010-07-06T04:49:29Z
"C0008C-9H-7, 6.0 cm",,72.754,73.135,72.754,73.135,"C0008C-9H-7, 6.0 cm",,72.754,73.135,72.754,73.135,,,,,,,,,,1.33869,31.66667,494.6057,18.10139,350.3404,3445.729,535.6299,449.4662,16.7196,616.0797,13.2243,0,0,0.1360045,493.6348,7.6858,4.967836,4.052336,2.544866,0.9709158,70.81719,43.67344,maedal,2008-06-09T01:44:14Z,,,,
"C0008C-10H-9, 0.0 cm",,80.632,83.295,80.632,83.295,"C0008C-10H-9, 23.0 cm",,80.764,83.525,80.764,83.525,"C0008C-10H-9 WR, 0.0--23.0 cm",KCC000000000002792800,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7.61,10.001,kames,2010-07-06T04:49:29Z
"C0008C-10H-9, 11.5 cm",,80.698,83.410,80.698,83.410,"C0008C-10H-9, 11.5 cm",,80.698,83.410,80.698,83.410,,,,,,,,,,1.33889,32.77778,566.2499,21.27671,351.4817,3991.651,583.3939,515.0186,18.31389,691.8343,13.2243,0,0.3280022,0,565.1365,8.472822,5.754736,5.61497,4.077934,1.113494,80.47346,48.6591,maedal,2008-06-09T01:44:07Z,,,,
"C0008C-10H-12, 0.0 cm",,81.859,85.425,81.859,85.425,"C0008C-10H-12, 16.0 cm",,81.951,85.585,81.951,85.585,"C0008C-10H-12 WR, 0.0--16.0 cm",KCC000000000002792900,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7.97,7.048,kames,2010-07-06T05:00:57Z
"C0008C-10H-12, 8.0 cm",,81.905,85.505,81.905,85.505,"C0008C-10H-12, 8.0 cm",,81.905,85.505,81.905,85.505,,,,,,,,,,1.33696,22.05556,367.5587,13.63621,215.6397,2642.903,384.4673,335.6979,11.52852,444.6382,11.82243,0,0.3609212,0,366.8284,5.714328,3.559952,2.348293,0.2642502,0.7303951,46.75919,26.04241,maedal,2008-06-09T01:44:07Z,,,,
"C0008C-11H-2, 0.0 cm",,82.756,82.860,82.756,82.860,"C0008C-11H-2, 9.0 cm",,82.819,82.950,82.819,82.950,"C0008C-11H-2 WR, 0.0--9.0 cm",KCC000000000002793000,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7.81,9.764,kames,2010-07-06T05:00:57Z
"C0008C-11H-2, 4.5 cm",,82.787,82.905,82.787,82.905,"C0008C-11H-2, 4.5 cm",,82.787,82.905,82.787,82.905,,,,,,,,,,1.33864,31.38889,542.2969,19.73352,292.1607,3651.252,562.1396,494.5836,17.37597,625.4844,14.62617,0,0,0,541.2137,8.075512,5.223836,4.166843,0.5993276,1.083257,74.41501,45.24573,maedal,2008-06-09T01:44:08Z,,,,
"C0008C-11H-10, 0.0 cm",,86.433,88.100,86.433,88.100,"C0008C-11H-10, 23.0 cm",,86.594,88.330,86.594,88.330,"C0008C-11H-10 WR, 0.0--23.0 cm",KCC000000000002793100,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:06Z,,,,,,,,,,,,,,,,,,,,,,,,,7.63,9.961,kames,2010-07-06T05:00:57Z
"C0008C-11H-10, 11.5 cm",,86.514,88.215,86.514,88.215,"C0008C-11H-10, 11.5 cm",,86.514,88.215,86.514,88.215,,,,,,,,,,1.33889,32.77778,569.2364,19.8262,350.0714,3734.746,557.9553,518.2714,18.23838,721.528,14.62617,0,0,0,568.123,8.262692,5.913268,6.540393,6.618171,1.113376,80.2477,47.2426,maedal,2008-06-09T01:44:08Z,,,,
"C0008C-13H-8, 0.0 cm",,94.748,94.875,94.748,94.875,"C0008C-13H-8, 23.0 cm",,94.970,95.105,94.970,95.105,"C0008C-13H-8 WR, 0.0--23.0 cm",KCC000000000002793300,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:07Z,,,,,,,,,,,,,,,,,,,,,,,,,7.9,8.464,kames,2010-07-06T05:00:57Z
"C0008C-13H-8, 11.5 cm",,94.859,94.990,94.859,94.990,"C0008C-13H-8, 11.5 cm",,94.859,94.990,94.859,94.990,,,,,,,,,,1.33801,27.88889,481.4224,19.94308,330.8232,3188.825,552.1769,433.3932,16.62264,581.1122,6.214953,0,0.3334568,0.1194256,480.4738,8.027815,5.72164,6.296054,10.46498,0.9485652,74.93539,43.55587,maedal,2008-06-09T01:44:08Z,,,,
"C0008C-13H-10, 0.0 cm",,95.766,95.930,95.766,95.930,"C0008C-13H-10, 10.0 cm",,95.863,96.030,95.863,96.030,"C0008C-13H-10 WR, 0.0--10.0 cm",KCC000000000002793200,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:07Z,,,,,,,,,,,,,,,,,,,,,,,,,8.36,6.156,kames,2010-07-06T05:00:57Z
"C0008C-13H-10, 5.0 cm",,95.815,95.980,95.815,95.980,"C0008C-13H-10, 5.0 cm",,95.815,95.980,95.815,95.980,,,,,,,,,,1.33643,19.11111,379.4432,12.58181,181.7095,2848.427,391.5293,348.2993,10.47532,305.9066,4.813084,0,0.3267174,0,378.6775,6.322914,3.420717,1.87884,0.7203175,0.7657454,44.57454,26.70909,maedal,2008-06-09T01:44:08Z,,,,
"C0008C-14H-6, 0.0 cm",,99.679,102.705,99.679,102.705,"C0008C-14H-6, 23.0 cm",,99.773,102.935,99.773,102.935,"C0008C-14H-6 WR, 0.0--23.0 cm",KCC000000000002793400,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:07Z,,,,,,,,,,,,,,,,,,,,,,,,,7.67,8.841,kames,2010-07-06T05:00:57Z
"C0008C-14H-6, 11.5 cm",,99.726,102.820,99.726,102.820,"C0008C-14H-6, 11.5 cm",,99.726,102.820,99.726,102.820,,,,,,,,,,1.33879,32.22222,559.7657,19.63233,353.6796,3522.8,564.3917,511.6936,16.38575,676.9139,9.018692,0,0.3364658,0.1264062,558.6443,8.04154,5.980458,6.96564,5.864173,1.121354,77.9798,43.62564,maedal,2008-06-09T01:44:09Z,,,,
"C0008C-15H-2, 0.0 cm",,101.955,101.960,101.955,101.960,"C0008C-15H-2, 17.0 cm",,102.122,102.130,102.122,102.130,"C0008C-15H-2 WR, 0.0--17.0 cm",KCC000000000002793500,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:07Z,,,,,,,,,,,,,,,,,,,,,,,,,8.13,5.636,kames,2010-07-06T05:00:57Z
"C0008C-15H-2, 8.5 cm",,102.038,102.045,102.038,102.045,"C0008C-15H-2, 8.5 cm",,102.038,102.045,102.038,102.045,,,,,,,,,,1.33625,18.11111,305.6921,10.36645,190.2394,1910.726,326.4448,280.1233,9.05711,302.2426,7.616822,0,0.3372659,0,305.0541,4.148051,3.356977,2.85353,0,0.6380633,39.54351,19.09773,maedal,2008-06-09T01:44:09Z,,,,
"C0008C-15H-5, 0.0 cm",,103.290,103.320,103.290,103.320,"C0008C-15H-5, 23.0 cm",,103.515,103.550,103.515,103.550,"C0008C-15H-5 WR, 0.0--23.0 cm",KCC000000000002793600,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:07Z,,,,,,,,,,,,,,,,,,,,,,,,,7.75,7.978,kames,2010-07-06T05:00:57Z
"C0008C-15H-5, 11.5 cm",,103.403,103.435,103.403,103.435,"C0008C-15H-5, 11.5 cm",,103.403,103.435,103.403,103.435,,,,,,,,,,1.33856,30.94444,514.8257,18.21008,323.1661,3413.616,546.7123,469.1215,15.35149,621.5976,7.616822,0,0,0,513.8031,7.618733,5.689418,7.085309,3.302034,1.022548,72.63862,40.47176,maedal,2008-06-09T01:44:09Z,,,,
"C0008C-16H-5, 0.0 cm",,110.774,112.345,110.774,112.345,"C0008C-16H-5, 22.0 cm",,110.909,112.565,110.909,112.565,"C0008C-16H-5 WR, 0.0--22.0 cm",KCC000000000002793700,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:07Z,,,,,,,,,,,,,,,,,,,,,,,,,7.74,8.372,kames,2010-07-06T05:00:58Z
"C0008C-16H-5, 11.0 cm",,110.841,112.455,110.841,112.455,"C0008C-16H-5, 11.0 cm",,110.841,112.455,110.841,112.455,,,,,,,,,,1.33874,31.94444,555.1653,18.74442,391.9554,3402.57,553.461,508.1719,15.4355,594.8455,7.469852,0,0.4603149,0.1182258,554.0831,7.958814,6.243401,11.48643,0.5688667,1.082288,76.69743,40.90081,maedal,2008-06-09T01:44:09Z,,,,
"C0008C-18H-6, 0.0 cm",,123.440,126.225,123.440,126.225,"C0008C-18H-6, 27.5 cm",,123.594,126.500,123.594,126.500,"C0008C-18H-6 WR, 0.0--27.5 cm",KCC000000000002793800,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:07Z,,,,,,,,,,,,,,,,,,,,,,,,,7.87,7.817,kames,2010-07-06T05:00:58Z
"C0008C-18H-6, 13.8 cm",,123.517,126.363,123.517,126.363,"C0008C-18H-6, 13.8 cm",,123.517,126.363,123.517,126.363,,,,,,,,,,1.33875,32,558.4305,19.19262,437.6405,3302.641,568.2531,511.8168,14.71988,580.2929,4.790085,0,0.3808667,0.3112364,557.3312,7.804869,6.59723,10.30031,0.5214522,1.099342,77.29691,38.70296,maedal,2008-06-09T01:44:10Z,,,,
"C0008C-21H-5, 0.0 cm",,134.400,134.400,134.400,134.400,"C0008C-21H-5, 30.0 cm",,134.700,134.700,134.700,134.700,"C0008C-21H-5 WR, 0.0--30.0 cm",KCC000000000002793900,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:07Z,,,,,,,,,,,,,,,,,,,,,,,,,7.84,6.351,kames,2010-07-06T05:00:58Z
"C0008C-21H-5, 15.0 cm",,134.550,134.550,134.550,134.550,"C0008C-21H-5, 15.0 cm",,134.550,134.550,134.550,134.550,,,,,,,,,,1.33775,26.44444,456.5174,17.83413,400.1717,2496.074,489.3357,417.3543,11.84289,668.4702,6.129969,0,0.360065,0.1788386,455.6268,6.898097,5.915937,6.627198,3.301167,0.890571,64.29958,27.94328,maedal,2008-06-09T01:44:10Z,,,,
"C0008C-22X-5, 0.0 cm",,143.938,144.075,143.938,144.075,"C0008C-22X-5, 28.5 cm",,144.215,144.360,144.215,144.360,"C0008C-22X-5 WR, 0.0--28.5 cm",KCC000000000002794000,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:07Z,,,,,,,,,,,,,,,,,,,,,,,,,7.89,6.729,kames,2010-07-06T05:00:58Z
"C0008C-22X-5, 14.2 cm",,144.076,144.217,144.076,144.217,"C0008C-22X-5, 14.2 cm",,144.076,144.217,144.076,144.217,,,,,,,,,,1.33873,31.88889,553.9409,19.45487,539.5449,3088.508,560.6155,507.3956,13.32403,581.6762,7.469852,0,0.6996519,0.5163177,552.8678,8.022388,7.367342,6.16298,0.09357078,1.073164,78.78955,32.14532,maedal,2008-06-09T01:44:10Z,,,,
"C0008C-23X-2, 0.0 cm",,149.715,149.715,149.715,149.715,"C0008C-23X-2, 7.0 cm",,149.785,149.785,149.785,149.785,"C0008C-23X-2 WR, 0.0--7.0 cm",KCC000000000002794100,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:07Z,,,,,,,,,,,,,,,,,,,,,,,,,8.13,3.22,kames,2010-07-06T05:00:58Z
"C0008C-23X-2, 3.5 cm",,149.750,149.750,149.750,149.750,"C0008C-23X-2, 3.5 cm",,149.750,149.750,149.750,149.750,,,,,,,,,,1.33611,17.33333,293.5972,10.01692,303.1379,1468.237,300.3694,272.316,9.152899,271.6,3.450201,3.850842,3.800962,4.051576,293.0475,3.928396,4.046107,3.502711,0.06788953,0.5496364,37.292,10.22478,maedal,2008-06-09T01:44:11Z,,,,
"C0008C-23X-4, 0.0 cm",,150.375,150.375,150.375,150.375,"C0008C-23X-4, 27.5 cm",,150.650,150.650,150.650,150.650,"C0008C-23X-4 WR, 0.0--27.5 cm",KCC000000000002794200,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:07Z,,,,,,,,,,,,,,,,,,,,,,,,,7.99,5.936,kames,2010-07-06T05:00:58Z
"C0008C-23X-4, 13.8 cm",,150.513,150.513,150.513,150.513,"C0008C-23X-4, 13.8 cm",,150.513,150.513,150.513,150.513,,,,,,,,,,1.33867,31.55556,543.3497,20.48196,648.8035,2895.789,552.2429,499.3104,12.52208,564.0785,7.469852,1.080896,1.191287,1.080896,542.284,8.075903,7.620466,6.190453,0.2169184,1.065679,78.69196,26.8811,maedal,2008-06-09T01:44:11Z,,,,
"C0008C-24X-4, 0.0 cm",,160.920,160.960,160.920,160.960,"C0008C-24X-4, 42.5 cm",,161.340,161.385,161.340,161.385,"C0008C-24X-4 WR, 0.0--42.5 cm",KCC000000000002794300,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:07Z,,,,,,,,,,,,,,,,,,,,,,,,,8.19,5.133,kames,2010-07-06T05:00:58Z
"C0008C-24X-4, 21.3 cm",,161.131,161.173,161.131,161.173,"C0008C-24X-4, 21.3 cm",,161.131,161.173,161.131,161.173,,,,,,,,,,1.33853,30.77778,529.9728,20.02248,676.5389,2767.309,541.3469,486.5213,10.91656,480.2353,4.790085,0,0.5181582,0.3273843,528.9416,8.087806,7.500757,3.869213,0.08437261,1.031216,76.27895,22.73045,maedal,2008-06-09T01:44:11Z,,,,
"C0008C-24X-5, 0.0 cm",,161.340,161.385,161.340,161.385,"C0008C-24X-5, 8.0 cm",,161.419,161.465,161.419,161.465,"C0008C-24X-5 WR, 0.0--8.0 cm",KCC000000000002794400,IWIC,,4.0,arakaway,,KCC,2010-07-05T06:36:07Z,,,,,,,,,,,,,,,,,,,,,,,,,8.14,3.703,kames,2010-07-06T05:00:58Z
