"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [µM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0004C-3H-8, 0.0 cm",,22.320,22.763,22.320,22.763,"C0004C-3H-8, 21.5 cm",,22.522,22.978,22.522,22.978,"C0004C-3H-8 WR, 0.0--21.5 cm",KCC000000000002777200,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,18.325,kames,2010-07-06T01:22:57Z
"C0004C-3H-8, 10.8 cm",,22.421,22.871,22.421,22.871,"C0004C-3H-8, 10.8 cm",,22.421,22.871,22.421,22.871,,,,,,,,,,1.33916,33.35676,568.5649,18.75779,437.7785,602.4471,480.5877,492.1483,38.00431,764.4276,41.05468,0,0.5430015,3.355277,567.6043,11.33359,3.11574,11.94382,0.2431252,0.3020976,230.2893,0.9605651,1.253173,92.62803,6.630162,,54.39462,0.7091757,2.592252,miyabes,2008-02-04T21:40:19Z,,,,
"C0004C-4H-4, 0.0 cm",,29.158,29.410,29.158,29.410,"C0004C-4H-4, 21.5 cm",,29.359,29.625,29.359,29.625,"C0004C-4H-4 WR, 0.0--21.5 cm",KCC000000000002777300,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:22Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02,16.214,kames,2010-07-06T01:22:57Z
"C0004C-4H-4, 10.8 cm",,29.259,29.518,29.259,29.518,"C0004C-4H-4, 10.8 cm",,29.259,29.518,29.259,29.518,,,,,,,,,,1.33915,33.3027,583.5812,18.53934,407.8938,767.5276,489.376,506.7789,37.30608,723.7924,49.68777,0,0.563821,2.33503,582.5915,10.74539,3.15268,6.130104,0.2453552,0,633.1118,0.9897102,1.151391,95.28738,4.052646,,79.7623,0.7654358,3.227965,miyabes,2008-02-04T21:40:19Z,,,,
"C0004C-5H-4, 0.0 cm",,38.761,39.065,38.761,39.065,"C0004C-5H-4, 21.5 cm",,38.960,39.280,38.960,39.280,"C0004C-5H-4 WR, 0.0--21.5 cm",KCC000000000002777400,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,15.756,kames,2010-07-06T01:30:08Z
"C0004C-5H-4, 10.8 cm",,38.861,39.173,38.861,39.173,"C0004C-5H-4, 10.8 cm",,38.861,39.173,38.861,39.173,,,,,,,,,,1.33919,33.51892,584.3476,17.73785,391.7762,981.1614,513.7316,508.6785,36.05777,715.85,55.44316,0,0.4354342,0.9630132,583.332,10.59245,3.542897,13.60305,1.11099,0.852029,699.2433,1.015617,1.053481,101.1473,9.976371,,120.0964,0.5571405,3.008237,miyabes,2008-02-04T21:40:19Z,,,,
"C0004C-6H-4, 0.0 cm",,48.080,48.475,48.080,48.475,"C0004C-6H-4, 21.5 cm",,48.274,48.690,48.274,48.690,"C0004C-6H-4 WR, 0.0--21.5 cm",KCC000000000002777500,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72,14.497,kames,2010-07-06T01:30:08Z
"C0004C-6H-4, 10.8 cm",,48.177,48.583,48.177,48.583,"C0004C-6H-4, 10.8 cm",,48.177,48.583,48.177,48.583,,,,,,,,,,1.33921,33.62703,577.4311,21.7616,347.8989,1214.216,479.1889,509.4451,31.12887,739.3099,48.24892,0,0.4083689,0.2990612,576.422,9.21839,4.554344,21.57442,1.695551,5.521403,373.0292,1.00914,1.137311,106.5519,163.1721,2.359713,157.1588,0,3.859069,miyabes,2008-02-04T21:40:20Z,,,,
"C0004C-7H-6, 0.0 cm",,58.980,59.341,58.980,59.341,"C0004C-7H-6, 21.5 cm",,59.181,59.556,59.181,59.556,"C0004C-7H-6 WR, 0.0--21.5 cm",KCC000000000002777600,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71,14.594,kames,2010-07-06T01:30:09Z
"C0004C-7H-6, 10.8 cm",,59.081,59.449,59.081,59.449,"C0004C-7H-6, 10.8 cm",,59.081,59.449,59.081,59.449,,,,,,,,,,1.33927,33.95135,591.3425,23.35318,369.1174,1311.323,505.6881,517.5704,34.04479,807.4839,20.91079,0,0.3715879,0.1825585,590.2831,10.0045,4.10211,10.5801,1.960214,4.743938,2061.098,1.059335,1.010864,110.4427,37.41262,,181.8167,0.9082238,2.274221,miyabes,2008-02-04T21:40:20Z,,,,
"C0004C-8H-4, 0.0 cm",,67.306,67.630,67.306,67.630,"C0004C-8H-4, 21.5 cm",,67.504,67.845,67.504,67.845,"C0004C-8H-4 WR, 0.0--21.5 cm",KCC000000000002777700,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:27Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.68,13.806,kames,2010-07-06T01:30:09Z
"C0004C-8H-4, 10.8 cm",,67.405,67.738,67.405,67.738,"C0004C-8H-4, 10.8 cm",,67.405,67.738,67.405,67.738,,,,,,,,,,1.33931,34.16757,600.6193,28.80589,256.5763,1554.088,493.2903,523.2995,34.84851,757.4498,13.71655,0,0.3854675,0.1825585,599.5413,10.49016,4.382909,10.63886,1.888662,12.82004,2126.446,1.077955,1.11132,111.1278,113.7017,,166.4775,0.4207183,1.871877,miyabes,2008-02-04T21:40:20Z,,,,
"C0004C-9H-4, 0.0 cm",,77.079,77.144,77.079,77.144,"C0004C-9H-4, 21.5 cm",,77.290,77.359,77.290,77.359,"C0004C-9H-4 WR, 0.0--21.5 cm",KCC000000000002777800,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,14.554,kames,2010-07-06T01:30:09Z
"C0004C-9H-4, 10.8 cm",,77.185,77.252,77.185,77.252,"C0004C-9H-4, 10.8 cm",,77.185,77.252,77.185,77.252,,,,,,,,,,1.33935,34.38379,601.42,34.21076,326.6516,1612.352,498.1952,525.3424,33.93962,817.9421,16.59424,0,0.3632601,0.2673906,600.3275,10.43919,4.932798,9.624833,2.556309,31.31951,1212.451,1.092528,1.071486,114.8456,87.37867,3.342463,237.1862,0,1.956178,miyabes,2008-02-04T21:40:20Z,,,,
"C0004C-10H-3, 0.0 cm",,83.437,83.470,83.437,83.470,"C0004C-10H-3, 22.0 cm",,83.655,83.690,83.655,83.690,"C0004C-10H-3 WR, 0.0--22.0 cm",KCC000000000002777900,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,13.939,kames,2010-07-06T06:03:53Z
"C0004C-10H-3, 11.0 cm",,83.546,83.580,83.546,83.580,"C0004C-10H-3, 11.0 cm",,83.546,83.580,83.546,83.580,,,,,,,,,,1.33937,34.49189,605.1893,37.9087,280.6578,1699.748,512.0924,529.2545,33.26561,764.7863,9.4,0,0.4493139,0.3375184,604.0976,10.81267,5.017918,11.60421,1.928353,0.6843921,1310.36,1.091718,1.153691,115.9884,60.44564,,238.0016,0.5008668,2.336682,miyabes,2008-02-04T21:40:16Z,,,,
"C0004C-11H-2, 0.0 cm",,86.214,86.240,86.214,86.240,"C0004C-11H-2, 22.0 cm",,86.431,86.460,86.431,86.460,"C0004C-11H-2 WR, 0.0--22.0 cm",KCC000000000002778000,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:32Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.68,14.005,kames,2010-07-06T01:30:09Z
"C0004C-11H-2, 11.0 cm",,86.323,86.350,86.323,86.350,"C0004C-11H-2, 11.0 cm",,86.323,86.350,86.323,86.350,,,,,,,,,,1.33938,34.54594,607.3864,36.5325,317.9579,1855.118,499.254,532.0656,33.00505,773.7723,7.961151,0,0.4916468,0.2956679,606.2591,10.08171,5.265565,8.000715,2.615208,9.997341,2282.553,1.12734,1.098485,116.7992,36.37673,,246.6187,0.4232911,2.039749,miyabes,2008-02-04T21:40:16Z,,,,
"C0004C-12X-6, 0.0 cm",,94.894,94.990,94.894,94.990,"C0004C-12X-6, 27.5 cm",,95.165,95.265,95.165,95.265,"C0004C-12X-6 WR, 0.0--27.5 cm",KCC000000000002778100,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,13.157,kames,2010-07-06T01:30:09Z
"C0004C-12X-6, 13.8 cm",,95.030,95.128,95.030,95.128,"C0004C-12X-6, 13.8 cm",,95.030,95.128,95.030,95.128,,,,,,,,,,1.33945,34.92432,612.8646,40.97362,283.4519,1952.224,496.1112,536.1369,32.96947,864.0118,10.83885,0,0.4881769,0.4732496,611.7397,10.0188,5.625348,7.821589,3.575627,26.5581,1361.502,1.124911,1.036337,120.4831,49.98323,,200.0099,0.5524114,2.010728,miyabes,2008-02-04T21:40:17Z,,,,
"C0004C-13X-3, 0.0 cm",,101.217,101.270,101.217,101.270,"C0004C-13X-3, 26.5 cm",,101.477,101.535,101.477,101.535,"C0004C-13X-3 WR, 0.0--26.5 cm",KCC000000000002778200,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:34Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76,11.116,kames,2010-07-06T01:30:09Z
"C0004C-13X-3, 13.2 cm",,101.347,101.402,101.347,101.402,"C0004C-13X-3, 13.2 cm",,101.347,101.402,101.347,101.402,,,,,,,,,,1.33946,34.97838,613.5579,43.80766,277.0942,2039.619,531.9219,537.8943,34.08379,664.5421,3.644604,3.426498,3.426498,4.415112,612.4355,10.4338,6.284285,7.952531,3.545675,12.86386,1576.191,1.122482,1.111159,97.2559,56.88334,,51.08145,0.2810392,2.781152,miyabes,2008-02-04T21:40:17Z,,,,
"C0004C-14X-5, 0.0 cm",,113.325,113.575,113.325,113.575,"C0004C-14X-5, 28.5 cm",,113.597,113.860,113.597,113.860,"C0004C-14X-5 WR, 0.0--28.5 cm",KCC000000000002778300,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.77,13.335,kames,2010-07-06T01:30:09Z
"C0004C-14X-5, 14.2 cm",,113.461,113.717,113.461,113.717,"C0004C-14X-5, 14.2 cm",,113.461,113.717,113.461,113.717,,,,,,,,,,1.33963,35.8973,625.149,55.53371,275.6966,2340.649,524.6978,554.6277,31.92789,786.9912,3.644604,0,0.5159362,0.4200882,624.0233,3.73753,6.508161,13.10811,4.454671,1.023453,4566.706,1.125721,1.062032,121.2765,50.62947,,287.583,0.5773623,2.752005,miyabes,2008-02-04T21:40:17Z,,,,
"C0004C-15X-7, 0.0 cm",,125.504,125.905,125.504,125.905,"C0004C-15X-7, 28.0 cm",,125.770,126.185,125.770,126.185,"C0004C-15X-7 WR, 0.0--28.0 cm",KCC000000000002778400,IWIC,,4.0,yasunagam,,KCC,2010-07-05T02:49:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69,11.302,kames,2010-07-06T01:36:51Z
"C0004C-15X-7, 14.0 cm",,125.637,126.045,125.637,126.045,"C0004C-15X-7, 14.0 cm",,125.637,126.045,125.637,126.045,,,,,,,,,,1.33957,35.57297,643.0582,57.69532,228.1431,2515.44,498.3665,563.6058,32.29705,850.9537,10.83885,0,0.6637544,0.6508313,641.8572,9.598345,6.595161,9.354736,5.714495,8.931564,2874.243,1.201012,1.07555,118.0224,95.75012,4.260589,285.2319,0,1.505228,miyabes,2008-02-04T21:40:17Z,,,,
