"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [µM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0002B-13R-2, 16.0 cm",,582.070,582.070,582.070,582.070,"C0002B-13R-2, 16.0 cm",,582.070,582.070,582.070,582.070,,,,,,,,,,1.33736,402.3577,58.56285,159.6629,7568.707,373.8603,11.02684,915.0811,6.456873,0.13709119,5.613465,5.826188,9.529928,2.074276,37.65909,909.9436,2363.669,758.8997734,998.0001,68.55958,160.8205,5.260659,21.21694,1.176687,1.431439,miyabes,2010-08-11T06:59:10Z,,,,
"C0002B-16R-3, 0.0 cm",,611.405,611.405,611.405,611.405,"C0002B-16R-3, 41.0 cm",,611.815,611.815,611.815,611.815,"C0002B-16R-3 WR, 0.0--41.0 cm",CKY000000000002784600,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:28:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,13.611,kawait,2010-07-07T02:45:44Z
"C0002B-16R-3, 20.5 cm",,611.610,611.610,611.610,611.610,"C0002B-16R-3, 20.5 cm",,611.610,611.610,611.610,611.610,,,,,,,,,,1.33762,425.2621,71.33394,207.9742,6792.854,402.1702,12.6733,944.1382,2.200999,1.253188497,5.848978,6.474674,15.69378,3.01712,26.59694,25110.98,5394.462,891.4483068,1077.875,83.89034,348.5292,6.55874,24.43693,0.9741035,2.296713,miyabes,2010-08-11T06:59:10Z,,,,
"C0002B-19R-3, 0.0 cm",,640.310,640.310,640.310,640.310,"C0002B-19R-3, 41.5 cm",,640.725,640.725,640.725,640.725,"C0002B-19R-3 WR, 0.0--41.5 cm",CKY000000000002784700,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:28:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58,12.701,kawait,2010-07-07T02:45:44Z
"C0002B-19R-3, 20.7 cm",,640.517,640.517,640.517,640.517,"C0002B-19R-3, 20.7 cm",,640.517,640.517,640.517,640.517,,,,,,,,,,1.33772,438.5585,85.17612,313.2018,6757.228,416.6327,12.77705,578.3096,7.128853,1.956971338,5.441099,6.784686,13.10768,2.439044,70.6506,802.2674,1076.233,918.6943942,976.6794,100.1169,265.5614,6.798821,26.25426,3.193308,0.4689496,miyabes,2010-08-11T06:59:10Z,,,,
"C0002B-21R-3, 0.0 cm",,658.895,658.895,658.895,658.895,"C0002B-21R-3, 41.5 cm",,659.310,659.310,659.310,659.310,"C0002B-21R-3 WR, 0.0--41.5 cm",CKY000000000002784800,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:28:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63,11.451,kawait,2010-07-07T02:45:44Z
"C0002B-21R-3, 20.7 cm",,659.102,659.102,659.102,659.102,"C0002B-21R-3, 20.7 cm",,659.102,659.102,659.102,659.102,,,,,,,,,,1.33762,429.3517,97.65477,366.5882,5925.957,391.2437,10.66563,1035.182,3.320966,0.908110695,5.514388,5.755311,9.712103,2.068923,26.23576,146.8836,3307.557,934.5511261,1024.336,106.2061,161.7308,6.147548,46.02059,2.699134,1.839612,miyabes,2010-08-11T06:59:10Z,,,,
"C0002B-23R-3, 0.0 cm",,677.820,677.820,677.820,677.820,"C0002B-23R-3, 42.0 cm",,678.240,678.240,678.240,678.240,"C0002B-23R-3 WR, 0.0--42.0 cm",CKY000000000002784900,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:28:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,12.482,kawait,2010-07-07T02:45:44Z
"C0002B-23R-3, 21.0 cm",,678.030,678.030,678.030,678.030,"C0002B-23R-3, 21.0 cm",,678.030,678.030,678.030,678.030,,,,,,,,,,1.33745,413.381,88.54483,337.7215,5086.769,406.9155,10.59875,913.4618,3.992946,1.184835709,5.967241,5.717166,14.74707,2.062312,36.10878,759.4772,1305.171,873.807897,1016.419,105.0534,292.3415,6.479894,52.60449,0.4669066,2.730985,miyabes,2010-08-11T06:59:10Z,,,,
"C0002B-24R-2, 0.0 cm",,685.910,685.910,685.910,685.910,"C0002B-24R-2, 42.0 cm",,686.330,686.330,686.330,686.330,"C0002B-24R-2 WR, 0.0--42.0 cm",CKY000000000002785000,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:28:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,9.349,kawait,2010-07-07T02:45:45Z
"C0002B-24R-2, 21.0 cm",,686.120,686.120,686.120,686.120,"C0002B-24R-2, 21.0 cm",,686.120,686.120,686.120,686.120,,,,,,,,,,1.33754,434.6998,96.66272,315.8337,5466.778,402.2765,10.28334,769.8693,2.200999,0.207268619,6.822857,5.12943,11.19893,1.074493,7.4436,319.6761,3316.416,674.952369,1157.618,110.8366,939.7062,7.310177,67.09212,1.013613,4.06667,miyabes,2010-08-11T06:59:10Z,,,,
"C0002B-27R-2, 0.0 cm",,714.110,714.110,714.110,714.110,"C0002B-27R-2, 31.5 cm",,714.425,714.425,714.425,714.425,"C0002B-27R-2 WR, 0.0--31.5 cm",CKY000000000002785100,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:28:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,11.2,kawait,2010-07-07T02:45:45Z
"C0002B-27R-2, 15.7 cm",,714.267,714.267,714.267,714.267,"C0002B-27R-2, 15.7 cm",,714.267,714.267,714.267,714.267,,,,,,,,,,1.33768,443.3076,109.6558,330.0415,4599.881,394.4469,11.36773,920.5372,4.440933,1.24737456,6.478611,6.628485,9.59442,2.607808,40.66054,514.0687,2751.012,908.8432563,1033.224,124.545,176.0639,7.106918,73.6117,0.7890393,1.289391,miyabes,2010-08-11T06:59:10Z,,,,
"C0002B-29R-2, 0.0 cm",,733.410,733.410,733.410,733.410,"C0002B-29R-2, 21.5 cm",,733.625,733.625,733.625,733.625,"C0002B-29R-2 WR, 0.0--21.5 cm",CKY000000000002787400,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92,8.059,kawait,2010-07-07T02:53:37Z
"C0002B-29R-2, 10.8 cm",,733.518,733.518,733.518,733.518,"C0002B-29R-2, 10.8 cm",,733.518,733.518,733.518,733.518,,,,,,,,,,1.33706,385.3934,94.10513,254.8804,4006.116,362.9692,8.486923,899.5777,2.872979,0.595276188,5.71105,5.176039,5.745753,1.529319,18.4374,248.6209,1174.898,839.4925545,1005.285,97.01521,320.5647,6.939115,59.55938,0.9445357,1.012254,miyabes,2010-08-11T06:59:10Z,,,,
"C0002B-30R-2, 0.0 cm",,742.910,742.910,742.910,742.910,"C0002B-30R-2, 31.5 cm",,743.225,743.225,743.225,743.225,"C0002B-30R-2 WR, 0.0--31.5 cm",CKY000000000002787500,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73,10.677,kawait,2010-07-07T02:53:38Z
"C0002B-30R-2, 15.7 cm",,743.067,743.067,743.067,743.067,"C0002B-30R-2, 15.7 cm",,743.067,743.067,743.067,743.067,,,,,,,,,,1.33787,460.4352,123.6629,349.2224,4631.548,417.9878,11.93085,1058.005,5.784893,1.166313749,6.80573,7.236737,11.11069,2.40074,39.47747,278.1387,3887.668,949.1314648,1163.099,133.9501,141.9917,7.360806,77.32381,1.170262,0.9395458,miyabes,2010-08-11T06:59:11Z,,,,
"C0002B-32R-5, 0.0 cm",,764.292,764.292,764.292,764.292,"C0002B-32R-5, 41.5 cm",,764.707,764.707,764.707,764.707,"C0002B-32R-5 WR, 0.0--41.5 cm",CKY000000000002787600,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69,9.303,kawait,2010-07-07T02:53:38Z
"C0002B-32R-5, 20.7 cm",,764.499,764.499,764.499,764.499,"C0002B-32R-5, 20.7 cm",,764.499,764.499,764.499,764.499,,,,,,,,,,1.33795,474.7913,124.8861,303.6324,4073.409,429.3292,12.75562,1064.798,4.888919,1.399913868,6.279385,8.232754,6.921743,3.738911,39.80783,321.1877,5567.831,944.6313603,1146.877,133.501,235.8088,6.7363,70.04354,0.9486258,0.9713347,miyabes,2010-08-11T06:59:11Z,,,,
"C0002B-33R-2, 0.0 cm",,770.990,770.990,770.990,770.990,"C0002B-33R-2, 41.5 cm",,771.405,771.405,771.405,771.405,"C0002B-33R-2 WR, 0.0--41.5 cm",CKY000000000002787700,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.74,9.501,kawait,2010-07-07T02:53:38Z
"C0002B-33R-2, 20.7 cm",,771.197,771.197,771.197,771.197,"C0002B-33R-2, 20.7 cm",,771.197,771.197,771.197,771.197,,,,,,,,,,1.33799,467.6818,118.4751,297.226,4128.827,433.9274,12.79008,1005.866,3.768952,1.672253151,6.322993,8.497277,5.014445,3.748224,34.29171,236.0524,2076.109,961.6172093,1155.049,130.135,103.5672,6.948464,62.94657,0.6067507,1.045572,miyabes,2010-08-11T06:59:11Z,,,,
"C0002B-37R-2, 0.0 cm",,806.910,806.910,806.910,806.910,"C0002B-37R-2, 41.5 cm",,807.325,807.325,807.325,807.325,"C0002B-37R-2 WR, 0.0--41.5 cm",CKY000000000002787800,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95,9.876,kawait,2010-07-07T02:53:38Z
"C0002B-37R-2, 20.7 cm",,807.117,807.117,807.117,807.117,"C0002B-37R-2, 20.7 cm",,807.117,807.117,807.117,807.117,,,,,,,,,,1.33804,479.3449,136.9497,229.8979,3547.003,430.6765,12.06392,887.2223,5.030855,1.183224949,6.098167,8.583491,19.29068,3.555183,21.85943,1236.675,1494.922,933.0071661,1166.57,134.276,512.4447,7.742385,48.7581,,2.832043,miyabes,2010-08-11T06:59:11Z,,,,
"C0002B-38R-3, 0.0 cm",,817.820,817.820,817.820,817.820,"C0002B-38R-3, 41.5 cm",,818.235,818.235,818.235,818.235,"C0002B-38R-3 WR, 0.0--41.5 cm",CKY000000000002787900,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,10.126,kawait,2010-07-07T02:53:38Z
"C0002B-38R-3, 20.7 cm",,818.027,818.027,818.027,818.027,"C0002B-38R-3, 20.7 cm",,818.027,818.027,818.027,818.027,,,,,,,,,,1.33802,477.0143,166.4332,252.8138,3507.254,445.4463,11.75183,927.2013,4.789891,0.763572687,6.908288,8.332694,8.287873,2.996712,21.08268,147.7282,3288.811,952.4467985,1230.419,141.2311,210.0257,8.020391,110.5261,0.8485875,2.79736,miyabes,2010-08-11T06:59:11Z,,,,
"C0002B-40R-2, 0.0 cm",,835.410,835.410,835.410,835.410,"C0002B-40R-2, 41.5 cm",,835.825,835.825,835.825,835.825,"C0002B-40R-2 WR, 0.0--41.5 cm",CKY000000000002788000,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76,10.383,kawait,2010-07-07T02:53:38Z
"C0002B-40R-2, 20.7 cm",,835.617,835.617,835.617,835.617,"C0002B-40R-2, 20.7 cm",,835.617,835.617,835.617,835.617,,,,,,,,,,1.33816,482.0771,194.0374,263.996,3485.171,451.675,13.16759,1013.048,,1.81117543,7.287341,8.332952,9.916203,2.660948,16.62799,1033.538,2705.187,931.7471899,1120.563,139.6673,309.0183,7.41099,14.42217,1.032393,3.658389,miyabes,2010-08-11T06:59:11Z,,,,
"C0002B-41R-3, 0.0 cm",,846.325,846.325,846.325,846.325,"C0002B-41R-3, 41.5 cm",,846.740,846.740,846.740,846.740,"C0002B-41R-3 WR, 0.0--41.5 cm",CKY000000000002788100,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,9.329,kawait,2010-07-07T02:53:38Z
"C0002B-41R-3, 20.7 cm",,846.532,846.532,846.532,846.532,"C0002B-41R-3, 20.7 cm",,846.532,846.532,846.532,846.532,,,,,,,,,,1.33882,478.0621,222.2949,263.0204,3467.505,429.0434,11.66446,999.0962,,1.14108353,6.920317,7.766006,7.159183,2.058481,16.41107,599.8504,2212.646,945.1487546,1036.019,147.7997,496.0016,6.485929,112.041,0.8623857,3.255872,miyabes,2010-08-11T06:59:11Z,,,,
"C0002B-43R-5, 0.0 cm",,867.745,867.745,867.745,867.745,"C0002B-43R-5, 41.5 cm",,868.160,868.160,868.160,868.160,"C0002B-43R-5 WR, 0.0--41.5 cm",CKY000000000002788200,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55,8.666,kawait,2010-07-07T02:53:38Z
"C0002B-43R-5, 20.7 cm",,867.952,867.952,867.952,867.952,"C0002B-43R-5, 20.7 cm",,867.952,867.952,867.952,867.952,,,,,,,,,,1.33799,474.0764,239.2209,293.1964,3507.254,436.1024,11.49907,1289.761,5.271819,0.706889014,6.649348,8.27864,5.894885,1.195871,25.96049,100.326,2327.429,954.3122177,902.0903,139.1793,133.8639,5.213651,59.17898,0.4762959,0.8271759,miyabes,2010-08-11T06:59:11Z,,,,
"C0002B-46R-4, 0.0 cm",,894.805,894.805,894.805,894.805,"C0002B-46R-4, 41.5 cm",,895.220,895.220,895.220,895.220,"C0002B-46R-4 WR, 0.0--41.5 cm",CKY000000000002788300,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47,7.531,kawait,2010-07-07T02:53:38Z
"C0002B-46R-4, 20.7 cm",,895.012,895.012,895.012,895.012,"C0002B-46R-4, 20.7 cm",,895.012,895.012,895.012,895.012,,,,,,,,,,1.33793,472.1277,255.7123,313.4302,2990.517,439.9048,11.90813,1227.52,5.271819,1.08968138,6.232923,9.129063,5.264255,2.366358,40.72463,396.6223,2765.321,951.775902,902.1092,136.2345,183.4032,5.244393,116.8439,0.5248474,0.6994533,miyabes,2010-08-11T06:59:11Z,,,,
"C0002B-48R-5, 0.0 cm",,915.240,915.240,915.240,915.240,"C0002B-48R-5, 41.5 cm",,915.655,915.655,915.655,915.655,"C0002B-48R-5 WR, 0.0--41.5 cm",CKY000000000002788400,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48,6.986,kawait,2010-07-07T02:53:38Z
"C0002B-48R-5, 20.7 cm",,915.447,915.447,915.447,915.447,"C0002B-48R-5, 20.7 cm",,915.447,915.447,915.447,915.447,,,,,,,,,,1.3379,467.0844,253.6214,311.9816,2760.856,415.2582,11.71922,1342.973,,0.821031967,5.366524,10.55227,4.952082,2.805233,38.84104,126.8073,2805.579,947.9305202,902.5096,122.0013,147.0961,5.27381,99.04012,0.7053828,1.843751,miyabes,2010-08-11T06:59:11Z,,,,
"C0002B-49R-3, 0.0 cm",,921.900,921.900,921.900,921.900,"C0002B-49R-3, 41.5 cm",,922.315,922.315,922.315,922.315,"C0002B-49R-3 WR, 0.0--41.5 cm",CKY000000000002788500,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,5.798,kawait,2010-07-07T03:01:16Z
"C0002B-49R-3, 20.7 cm",,922.107,922.107,922.107,922.107,"C0002B-49R-3, 20.7 cm",,922.107,922.107,922.107,922.107,,,,,,,,,,1.33785,465.8604,247.8609,261.9897,2509.113,410.457,11.77738,1147.045,3.344108,0.498339388,4.874513,10.9521,10.53517,3.708894,60.82467,2218.962,5231.898,927.3290916,872.3937,114.4569,570.9,5.790802,86.66323,0.8145511,9.698553,miyabes,2010-08-11T06:59:11Z,,,,
"C0002B-51R-5, 0.0 cm",,943.705,943.705,943.705,943.705,"C0002B-51R-5, 41.5 cm",,944.120,944.120,944.120,944.120,"C0002B-51R-5 WR, 0.0--41.5 cm",CKY000000000002788600,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02,6.822,kawait,2010-07-07T03:01:16Z
"C0002B-51R-5, 20.7 cm",,943.912,943.912,943.912,943.912,"C0002B-51R-5, 20.7 cm",,943.912,943.912,943.912,943.912,,,,,,,,,,1.33742,462.845,218.7656,253.3388,2173.455,415.0792,13.08367,546.3105,,1.388024099,3.503343,14.14583,13.94081,8.005566,9.488344,1264.979,235.9277,912.2584675,715.6661,95.40038,378.4619,5.984739,37.98745,0.8016216,5.866083,miyabes,2010-08-11T06:59:11Z,,,,
"C0002B-55R-2, 0.0 cm",,977.495,977.495,977.495,977.495,"C0002B-55R-2, 41.5 cm",,977.910,977.910,977.910,977.910,"C0002B-55R-2 WR, 0.0--41.5 cm",CKY000000000002788700,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86,4.189,kawait,2010-07-07T03:01:16Z
