"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [µM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0001F-13H-2, 10.8 cm",,203.185,203.233,203.185,203.233,"C0001F-13H-2, 10.8 cm",,203.185,203.233,203.185,203.233,,,,,,,,,,1.33884,547.0041,53.59575,257.7202,2666.963,473.1001,21.91116,857.6499,15.50633,0.882016981,8.513118,5.062935,17.33165,5.380558,68.82401,228.663,463.7339,1004.746484,1045.444,108.6253,389.9395,4.199039,22.53998,0.5478017,0.9297822,miyabes,2010-08-11T06:59:07Z,,,,
"C0001F-14H-4, 0.0 cm",,211.132,211.210,211.132,211.210,"C0001F-14H-4, 21.5 cm",,211.343,211.425,211.343,211.425,"C0001F-14H-4 WR, 0.0--21.5 cm",CKY000000000002779500,IWIC,,4.0,arakaway,,KCC,2010-07-05T04:41:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,16.248,kawait,2010-07-07T02:20:47Z
"C0001F-14H-4, 10.8 cm",,211.238,211.318,211.238,211.318,"C0001F-14H-4, 10.8 cm",,211.238,211.318,211.238,211.318,,,,,,,,,,1.33883,549.5237,64.4645,261.4191,2637.656,485.505,21.07495,900.5798,16.4557,0.226429726,8.463965,5.124554,14.97514,4.278248,62.2633,290.9789,1212.082,1104.831724,1027.764,122.44,435.4229,3.408896,464.0555,2.074844,1.144305,miyabes,2010-08-11T06:59:07Z,,,,
"C0001F-15H-4, 10.8 cm",,216.988,217.298,216.988,217.298,"C0001F-15H-4, 10.8 cm",,216.988,217.298,216.988,217.298,,,,,,,,,,,549.171,65.61049,210.6982,2481.352,494.2639,21.41984,990.7032,21.51899,0.24429218,7.865253,5.557039,12.30996,4.321665,8.726837,397.7459,1281.272,1106.258811,819.6498,126.3101,402.0391,2.080954,465.3235,0.2377797,5.533317,miyabes,2010-08-11T06:59:07Z,,,,
"C0001F-18H-4, 0.0 cm",,222.615,222.615,222.615,222.615,"C0001F-18H-4, 21.5 cm",,222.830,222.830,222.830,222.830,"C0001F-18H-4 WR, 0.0--21.5 cm",CKY000000000002779700,IWIC,,4.0,arakaway,,KCC,2010-07-05T04:41:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,16.887,kawait,2010-07-07T02:20:47Z
"C0001F-18H-4, 10.8 cm",,222.723,222.723,222.723,222.723,"C0001F-18H-4, 10.8 cm",,222.723,222.723,222.723,222.723,,,,,,,,,,1.33883,548.667,70.27781,232.4358,2355.751,489.179,21.11533,992.201,16.77215,0.161407454,8.21142,5.630691,32.82002,5.118228,79.20182,698.6539,1730.465,1073.212285,831.3687,126.2575,609.1352,2.225022,466.1868,1.978349,3.315236,miyabes,2010-08-11T06:59:07Z,,,,
"C0001F-19H-3, 0.0 cm",,228.034,228.235,228.034,228.235,"C0001F-19H-3, 21.5 cm",,228.224,228.450,228.224,228.450,"C0001F-19H-3 WR, 0.0--21.5 cm",CKY000000000002779800,IWIC,,4.0,arakaway,,KCC,2010-07-05T04:41:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66,15.974,kawait,2010-07-07T02:29:08Z
"C0001F-19H-3, 10.8 cm",,228.130,228.343,228.130,228.343,"C0001F-19H-3, 10.8 cm",,228.130,228.343,228.130,228.343,,,,,,,,,,1.33883,549.4733,70.67081,202.2493,2245.5,484.5712,20.81584,1110.809,18.35443,0.164047441,7.930721,5.782527,30.51653,4.032069,25.48421,1116.487,2458.464,1014.289055,824.6459,125.8697,204.0207,2.393183,438.0461,,3.231233,miyabes,2010-08-11T06:59:07Z,,,,
"C0001F-20X-5, 0.0 cm",,234.964,235.210,234.964,235.210,"C0001F-20X-5, 26.5 cm",,235.217,235.475,235.217,235.475,"C0001F-20X-5 WR, 0.0--26.5 cm",CKY000000000002779900,IWIC,,4.0,arakaway,,KCC,2010-07-05T04:41:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,15.619,kawait,2010-07-07T02:29:09Z
"C0001F-20X-5, 13.2 cm",,235.090,235.342,235.090,235.342,"C0001F-20X-5, 13.2 cm",,235.090,235.342,235.090,235.342,,,,,,,,,,1.33884,546.4988,81.7907,245.9257,2376.684,483.0459,21.09532,1110.141,17.08861,0.906978505,7.921675,5.888456,11.93382,4.717974,55.40327,1861.97,1770.919,1214.025576,887.9423,114.434,370.1269,2.373617,40.34129,0.3951291,2.430388,miyabes,2010-08-11T06:59:08Z,,,,
"C0001F-21X-4, 0.0 cm",,243.265,243.265,243.265,243.265,"C0001F-21X-4, 31.5 cm",,243.580,243.580,243.580,243.580,"C0001F-21X-4 WR, 0.0--31.5 cm",CKY000000000002780000,IWIC,,4.0,arakaway,,KCC,2010-07-05T04:41:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,15.72,kawait,2010-07-07T02:29:09Z
"C0001F-21X-4, 15.7 cm",,243.422,243.422,243.422,243.422,"C0001F-21X-4, 15.7 cm",,243.422,243.422,243.422,243.422,,,,,,,,,,1.33883,544.974,78.57674,240.2672,2249.687,475.1558,21.04034,1198.811,13.92405,0.96717844,7.783135,6.210498,13.53206,4.801214,44.18269,2210.178,1352.442,1074.763602,792.3046,111.4295,228.0455,2.005897,22.60788,1.570987,1.95616,kuriharar,2010-09-29T08:28:59Z,,,,
