"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0007D-20R-1, 46.0 cm",,351.460,351.460,351.460,351.460,"C0007D-20R-1, 86.0 cm",,351.860,351.860,351.860,351.860,"C0007D-20R-1 WR, 46.0--86.0 cm",KCC000000000002800700,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,8.23,8.006,kames,2010-07-06T03:02:02Z
"C0007D-20R-1, 66.0 cm",,351.660,351.660,351.660,351.660,"C0007D-20R-1, 66.0 cm",,351.660,351.660,351.660,351.660,,,,,,,,,,1.33874,31.66667,545.7383,49.67738,152.2522,2340.867,512.0101,495.7754,14.30033,430.38,5.691792,1.464177,1.409497,1.509781,544.8328,7.427174,10.89992,4.690602,0.445755,0.9054489,118.7269,144.8005,maedal,2008-06-09T01:43:55Z,,,,
"C0007D-21R-1, 57.0 cm",,361.070,361.070,361.070,361.070,"C0007D-21R-1, 88.0 cm",,361.380,361.380,361.380,361.380,"C0007D-21R-1 WR, 57.0--88.0 cm",KCC000000000002800800,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,8.47,7.774,kames,2010-07-06T03:02:02Z
"C0007D-21R-1, 72.5 cm",,361.225,361.225,361.225,361.225,"C0007D-21R-1, 72.5 cm",,361.225,361.225,361.225,361.225,,,,,,,,,,1.33879,31.94444,543.6021,61.87276,123.7729,2176.989,502.2324,492.9727,16.30199,416.5517,4.336603,3.469657,3.23818,3.678187,542.7077,8.531656,10.73544,1.398327,0.448321,0.8944166,106.4409,80.10734,maedal,2008-06-09T01:43:56Z,,,,
"C0007D-22R-2, 78.0 cm",,372.190,372.190,372.190,372.190,"C0007D-22R-2, 112.0 cm",,372.530,372.530,372.530,372.530,"C0007D-22R-2 WR, 78.0--112.0 cm",KCC000000000002800900,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,8.07,6.974,kuriharar,2010-09-29T07:50:47Z
"C0007D-22R-2, 95.0 cm",,372.360,372.360,372.360,372.360,"C0007D-22R-2, 95.0 cm",,372.360,372.360,372.360,372.360,,,,,,,,,,1.33876,31.77778,545.2216,76.81856,159.2257,1849.232,495.6052,496.0792,14.29462,539.046,4.336603,2.274219,2.192255,2.385631,544.3326,7.392258,11.05072,3.589841,0.4793341,0.8889567,110.9236,137.5844,maedal,2008-06-09T01:43:56Z,,,,
"C0007D-23R-3, 62.0 cm",,382.955,382.955,382.955,382.955,"C0007D-23R-3, 103.0 cm",,383.365,383.365,383.365,383.365,"C0007D-23R-3 WR, 62.0--103.0 cm",KCC000000000002801000,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,8.17,7.871,kames,2010-07-06T03:02:02Z
"C0007D-23R-3, 82.5 cm",,383.160,383.160,383.160,383.160,"C0007D-23R-3, 82.5 cm",,383.160,383.160,383.160,383.160,,,,,,,,,,1.33875,31.72222,544.6453,82.73635,147.7858,1801.434,509.8391,494.7647,14.59258,559.0533,4.336603,2.73878,2.624463,2.887933,543.7571,6.912773,12.29677,11.15217,0.4880597,0.888282,111.2368,141.5393,maedal,2008-06-09T01:43:56Z,,,,
"C0007D-24R-3, 98.5 cm",,392.825,392.825,392.825,392.825,"C0007D-24R-3, 140.0 cm",,393.240,393.240,393.240,393.240,"C0007D-24R-3 WR, 98.5--140.0 cm",KCC000000000002801100,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,7.97,7.938,kames,2010-07-06T03:02:02Z
"C0007D-24R-3, 119.2 cm",,393.032,393.032,393.032,393.032,"C0007D-24R-3, 119.2 cm",,393.032,393.032,393.032,393.032,,,,,,,,,,1.33879,31.94444,544.9136,85.4513,164.3874,1664.869,512.6948,491.6823,15.7429,660.0283,4.336603,2.754386,2.637411,2.904807,544.0351,7.273394,12.8503,14.27442,0.5463603,0.8785491,104.4199,47.55468,maedal,2008-06-09T01:43:56Z,,,,
"C0007D-25R-3, 50.0 cm",,401.865,401.865,401.865,401.865,"C0007D-25R-3, 91.5 cm",,402.280,402.280,402.280,402.280,"C0007D-25R-3 WR, 50.0--91.5 cm",KCC000000000002801200,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,8.03,7.46,kames,2010-07-06T03:02:03Z
"C0007D-25R-3, 70.7 cm",,402.072,402.072,402.072,402.072,"C0007D-25R-3, 70.7 cm",,402.072,402.072,402.072,402.072,,,,,,,,,,1.33885,32.27778,545.3682,90.8312,155.1664,1282.485,507.644,496.3088,15.23893,692.9618,1.710098,4.704444,4.359304,5.013289,544.4944,6.506313,13.56791,17.16929,0.3835646,0.8737764,104.6247,35.09889,maedal,2008-06-09T01:43:57Z,,,,
"C0007D-26R-1, 0.0 cm",,408.000,408.000,408.000,408.000,"C0007D-26R-1, 41.5 cm",,408.415,408.415,408.415,408.415,"C0007D-26R-1 WR, 0.0--41.5 cm",KCC000000000002801300,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,7.72,5.521,kames,2010-07-06T03:02:03Z
"C0007D-26R-1, 20.7 cm",,408.207,408.207,408.207,408.207,"C0007D-26R-1, 20.7 cm",,408.207,408.207,408.207,408.207,,,,,,,,,,1.33876,31.77778,540.1385,100.3564,165.865,1200.546,508.8287,488.3908,15.81284,744.7877,0,4.211144,3.901572,4.479913,539.2632,6.678618,12.83374,13.73683,0.5196106,0.8753381,102.9089,23.45855,maedal,2008-06-09T01:43:57Z,,,,
"C0007D-27R-1, 24.0 cm",,417.740,417.740,417.740,417.740,"C0007D-27R-1, 50.5 cm",,418.005,418.005,418.005,418.005,"C0007D-27R-1 WR, 24.0--50.5 cm",KCC000000000002801400,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:26:34Z,,,,,,,,,,,,,,,,,,,,,,,,,7.91,6.47,kames,2010-07-06T03:02:03Z
"C0007D-27R-1, 37.3 cm",,417.873,417.873,417.873,417.873,"C0007D-27R-1, 37.3 cm",,417.873,417.873,417.873,417.873,,,,,,,,,,1.33885,32.27778,548.1415,106.9771,135.1156,1289.314,509.9897,496.6074,16.86239,575.6265,1.710098,5.11868,4.744269,5.461177,547.2753,6.007679,13.32532,15.1318,0.3244513,0.8661175,104.3762,59.31547,maedal,2008-06-09T01:43:57Z,,,,
"C0007D-28R-4, 34.0 cm",,431.585,431.585,431.585,431.585,"C0007D-28R-4, 34.0 cm",,431.585,431.585,431.585,431.585,,,,,,,,,,1.3389,32.55556,549.3499,93.12532,218.1743,1337.112,503.1907,,22.76707,575.0784,3.078176,4.957377,4.461414,5.286769,548.4866,6.608139,10.34457,8.147703,0.3863713,0.8631814,105.7891,84.95496,maedal,2008-06-09T01:43:57Z,,,,
"C0007D-29R-1, 50.0 cm",,437.000,437.000,437.000,437.000,"C0007D-29R-1, 50.0 cm",,437.000,437.000,437.000,437.000,,,,,,,,,,1.33887,32.38889,557.0754,77.3812,290.8548,1323.455,509.0369,,22.91501,570.343,3.078176,1.649657,1.593493,1.71033,556.1798,7.376292,8.607964,7.211454,0.3361818,0.895641,106.3521,114.1317,maedal,2008-06-09T01:43:57Z,,,,
