"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0008A-11H-4, 14.2 cm",,94.299,94.867,94.299,94.867,"C0008A-11H-4, 14.2 cm",,94.299,94.867,94.299,94.867,,,,,,,,,,1.33908,33.83333,580.571,21.60718,323.7238,4749.02,506.1579,523.2053,21.71649,724.5297,38.96865,0,0.1930911,0.3093926,579.4601,8.728405,6.063566,5.188681,28.26785,1.110902,92.83533,58.14158,maedal,2008-06-09T01:43:59Z,,,,
"C0008A-12H-5, 0.0 cm",,104.915,104.915,104.915,104.915,"C0008A-12H-5, 27.5 cm",,105.190,105.190,105.190,105.190,"C0008A-12H-5 WR, 0.0--27.5 cm",KCC000000000002797000,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.61,11.745,kames,2010-07-06T04:32:18Z
"C0008A-12H-5, 13.8 cm",,105.053,105.053,105.053,105.053,"C0008A-12H-5, 13.8 cm",,105.053,105.053,105.053,105.053,,,,,,,,,,1.33905,33.66667,574.6621,24.65447,317.4728,4627.002,498.4766,518.8311,20.57298,688.7178,21.90154,0,0.3941931,0.4184583,573.5349,8.799368,6.18311,4.925783,11.77605,1.127275,91.63601,56.0452,maedal,2008-06-09T01:44:00Z,,,,
"C0008A-13H-5, 0.0 cm",,114.790,114.790,114.790,114.790,"C0008A-13H-5, 28.5 cm",,115.075,115.075,115.075,115.075,"C0008A-13H-5 WR, 0.0--28.5 cm",KCC000000000002797100,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.64,10.968,kames,2010-07-06T04:32:18Z
"C0008A-13H-5, 14.2 cm",,114.932,114.932,114.932,114.932,"C0008A-13H-5, 14.2 cm",,114.932,114.932,114.932,114.932,,,,,,,,,,1.33898,33.27778,574,24.66849,322.9549,4565.98,483.1949,519.4986,19.55939,634.8168,12.38237,0,0.3303561,0.3014362,572.867,8.48696,6.329277,5.207943,10.11433,1.132973,90.51511,55.29028,maedal,2008-06-09T01:44:00Z,,,,
"C0008A-15H-2, 0.0 cm",,120.138,120.140,120.138,120.140,"C0008A-15H-2, 33.5 cm",,120.472,120.475,120.472,120.475,"C0008A-15H-2 WR, 0.0--33.5 cm",KCC000000000002797200,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.56,10.131,kames,2010-07-06T04:32:18Z
"C0008A-15H-2, 16.8 cm",,120.305,120.308,120.305,120.308,"C0008A-15H-2, 16.8 cm",,120.305,120.308,120.305,120.308,,,,,,,,,,1.33873,31.88889,553.4443,26.7399,344.9528,4169.336,468.6985,503.3763,17.55587,637.1696,11.02249,0,0.4003542,0.3319425,552.3367,7.94131,6.169469,4.912296,6.562033,1.107573,84.45468,48.40759,maedal,2008-06-09T01:44:00Z,,,,
"C0008A-16H-4, 0.0 cm",,128.815,128.815,128.815,128.815,"C0008A-16H-4, 28.5 cm",,129.100,129.100,129.100,129.100,"C0008A-16H-4 WR, 0.0--28.5 cm",KCC000000000002797300,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.67,9.181,kames,2010-07-06T04:32:18Z
"C0008A-16H-4, 14.2 cm",,128.957,128.957,128.957,128.957,"C0008A-16H-4, 14.2 cm",,128.957,128.957,128.957,128.957,,,,,,,,,,1.3389,32.83333,565.3271,27.37129,323.7299,4329.52,472.0708,513.3555,17.43802,665.8767,6.942851,0,0.3247373,0.2124187,564.1963,8.439941,6.439946,5.525651,0.6571611,1.130838,86.96974,51.06693,maedal,2008-06-09T01:44:00Z,,,,
"C0008A-17H-6, 0.0 cm",,135.584,136.140,135.584,136.140,"C0008A-17H-6, 27.5 cm",,135.830,136.415,135.830,136.415,"C0008A-17H-6 WR, 0.0--27.5 cm",KCC000000000002797400,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.71,8.869,kames,2010-07-06T04:32:18Z
"C0008A-17H-6, 13.8 cm",,135.708,136.278,135.708,136.278,"C0008A-17H-6, 13.8 cm",,135.708,136.278,135.708,136.278,,,,,,,,,,1.33868,31.61111,536.7941,28.74243,316.127,3780.32,462.7925,488.5975,15.8912,627.0281,5.58297,0,0.2676266,0.1311495,535.7242,8.156905,6.372137,5.999436,1.251154,1.069937,81.92255,46.71894,maedal,2008-06-09T01:44:01Z,,,,
"C0008A-18H-3, 0.0 cm",,143.015,143.015,143.015,143.015,"C0008A-18H-3, 27.0 cm",,143.285,143.285,143.285,143.285,"C0008A-18H-3 WR, 0.0--27.0 cm",KCC000000000002797500,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.69,9.072,kames,2010-07-06T04:32:18Z
"C0008A-18H-3, 13.5 cm",,143.150,143.150,143.150,143.150,"C0008A-18H-3, 13.5 cm",,143.150,143.150,143.150,143.150,,,,,,,,,,1.33881,32.33333,558.1973,29.95942,338.3191,3749.809,473.2357,508.6348,16.08424,679.7833,8.302732,0,0.2361523,0.2787996,557.0805,7.970859,7.055071,7.163047,0.4717115,1.116751,86.8909,46.35274,maedal,2008-06-09T01:44:01Z,,,,
"C0008A-19H-2, 0.0 cm",,151.380,151.380,151.380,151.380,"C0008A-19H-2, 27.0 cm",,151.650,151.650,151.650,151.650,"C0008A-19H-2 WR, 0.0--27.0 cm",KCC000000000002797600,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.56,7.906,kames,2010-07-06T04:32:18Z
"C0008A-19H-2, 13.5 cm",,151.515,151.515,151.515,151.515,"C0008A-19H-2, 13.5 cm",,151.515,151.515,151.515,151.515,,,,,,,,,,1.33881,32.33333,558.8819,25.43329,405.1203,3696.415,482.2817,511.4992,14.52041,738.5521,6.942851,0,0.2745953,0.1740947,557.7602,7.75321,7.054654,8.065669,7.178979,1.121714,84.51332,44.79882,maedal,2008-06-09T01:44:01Z,,,,
"C0008A-20H-3, 0.0 cm",,155.051,155.105,155.051,155.105,"C0008A-20H-3, 27.5 cm",,155.320,155.380,155.320,155.380,"C0008A-20H-3 WR, 0.0--27.5 cm",KCC000000000002797700,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.63,8.04,kames,2010-07-06T04:40:42Z
"C0008A-20H-3, 13.8 cm",,155.186,155.243,155.186,155.243,"C0008A-20H-3, 13.8 cm",,155.186,155.243,155.186,155.243,,,,,,,,,,1.3388,32.27778,558.1278,25.52612,417.5454,3696.415,482.5195,510.7033,14.34623,742.2051,6.942851,0,0.2415057,0.139002,557.0038,7.923703,7.225598,9.568583,4.345372,1.123958,84.1944,44.60993,maedal,2008-06-09T01:44:02Z,,,,
"C0008A-21H-5, 0.0 cm",,163.500,164.115,163.500,164.115,"C0008A-21H-5, 27.5 cm",,163.744,164.390,163.744,164.390,"C0008A-21H-5 WR, 0.0--27.5 cm",KCC000000000002797800,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.59,7.728,kames,2010-07-06T04:40:42Z
"C0008A-21H-5, 13.8 cm",,163.622,164.253,163.622,164.253,"C0008A-21H-5, 13.8 cm",,163.622,164.253,163.622,164.253,,,,,,,,,,1.33879,32.22222,561.4519,24.97212,447.6594,3490.465,460.2678,516.4705,13.36749,673.9977,4.223089,0,0.4264477,0.1778298,560.345,7.19423,7.28182,10.79822,1.072515,1.106858,83.50709,43.43843,maedal,2008-06-09T01:44:02Z,,,,
"C0008A-22H-6, 0.0 cm",,173.047,173.615,173.047,173.615,"C0008A-22H-6, 28.0 cm",,173.298,173.895,173.298,173.895,"C0008A-22H-6 WR, 0.0--28.0 cm",KCC000000000002797900,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.72,7.463,kames,2010-07-06T04:40:42Z
"C0008A-22H-6, 14.0 cm",,173.172,173.755,173.172,173.755,"C0008A-22H-6, 14.0 cm",,173.172,173.755,173.172,173.755,,,,,,,,,,1.33878,32.16667,559.6956,23.66519,453.366,3337.91,482.0193,513.9745,13.09603,661.5789,4.223089,0,0.2690919,0.1887746,558.5415,7.805089,7.560727,10.86647,3.445888,1.154075,82.67658,42.36136,maedal,2008-06-09T01:44:02Z,,,,
"C0008A-23H-5, 0.0 cm",,182.035,182.035,182.035,182.035,"C0008A-23H-5, 28.0 cm",,182.315,182.315,182.315,182.315,"C0008A-23H-5 WR, 0.0--28.0 cm",KCC000000000002798000,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.73,6.84,kames,2010-07-06T04:40:42Z
"C0008A-23H-5, 14.0 cm",,182.175,182.175,182.175,182.175,"C0008A-23H-5, 14.0 cm",,182.175,182.175,182.175,182.175,,,,,,,,,,1.33876,32.05556,555.7459,23.20336,514.9847,3307.399,489.0402,510.1471,12.56694,621.724,4.223089,0,0.2910939,0.1831111,554.6029,7.970963,7.620327,6.397298,0.3042979,1.14298,82.56418,41.52209,maedal,2008-06-09T01:44:02Z,,,,
"C0008A-24H-6, 0.0 cm",,192.054,192.780,192.054,192.780,"C0008A-24H-6, 30.5 cm",,192.319,193.085,192.319,193.085,"C0008A-24H-6 WR, 0.0--30.5 cm",KCC000000000002798100,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.77,6.852,kames,2010-07-06T04:40:42Z
"C0008A-24H-6, 15.3 cm",,192.187,192.933,192.187,192.933,"C0008A-24H-6, 15.3 cm",,192.187,192.933,192.187,192.933,,,,,,,,,,1.33877,32.11111,560.0757,23.98066,514.1621,3031.333,491.6329,514.9236,12.29783,712.3081,2.370258,0,0,0.29876,558.9544,8.093168,7.750245,6.83032,0.8474396,1.121327,82.73353,40.17199,maedal,2008-06-09T01:44:03Z,,,,
"C0008A-25H-2, 0.0 cm",,197.901,198.205,197.901,198.205,"C0008A-25H-2, 30.0 cm",,198.139,198.505,198.139,198.505,"C0008A-25H-2 WR, 0.0--30.0 cm",KCC000000000002798200,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.688,kames,2010-07-06T04:40:42Z
"C0008A-25H-2, 15.0 cm",,198.020,198.355,198.020,198.355,"C0008A-25H-2, 15.0 cm",,198.020,198.355,198.020,198.355,,,,,,,,,,1.33882,32.38889,558.9438,23.49269,601.5278,2951.333,485.1605,515.8829,13.61596,617.8996,6.438462,2.796229,2.651736,2.796229,557.8569,8.055168,8.120007,9.393152,0.3197605,1.086936,83.01009,35.74371,maedal,2008-06-09T01:44:03Z,,,,
"C0008A-26H-2, 0.0 cm",,202.210,202.210,202.210,202.210,"C0008A-26H-2, 32.5 cm",,202.535,202.535,202.535,202.535,"C0008A-26H-2 WR, 0.0--32.5 cm",KCC000000000002798300,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.91,6.561,kames,2010-07-06T04:40:42Z
"C0008A-26H-2, 16.2 cm",,202.372,202.372,202.372,202.372,"C0008A-26H-2, 16.2 cm",,202.372,202.372,202.372,202.372,,,,,,,,,,1.33877,32.11111,560.6417,24.1911,575.8347,3018,495.6525,515.39,11.86617,552.9115,3.726326,0,0.3500878,0.1825079,559.5245,8.255742,7.983731,7.234905,2.445798,1.117212,82.19765,37.1965,maedal,2008-06-09T01:44:03Z,,,,
"C0008A-27H-5, 0.0 cm",,215.635,215.635,215.635,215.635,"C0008A-27H-5, 30.0 cm",,215.935,215.935,215.935,215.935,"C0008A-27H-5 WR, 0.0--30.0 cm",KCC000000000002798400,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.6,6.646,kames,2010-07-06T04:40:42Z
