"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [µM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0006E-3H-7, 0.0 cm",,20.906,21.655,20.906,21.655,"C0006E-3H-7, 23.0 cm",,21.111,21.885,21.111,21.885,"C0006E-3H-7 WR, 0.0--23.0 cm",KCC000000000002795300,IWIC,,4.0,yasunagam,,KCC,2010-07-05T06:53:14Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.77,18.782,kames,2010-07-06T02:19:33Z
"C0006E-3H-7, 11.5 cm",,21.009,21.770,21.009,21.770,"C0006E-3H-7, 11.5 cm",,21.009,21.770,21.009,21.770,,,,,,,,,,1.33892,32.66667,563.291,15.67228,484.2192,4303.086,479.011,34.09358,595.1365,57.08219,0,0,562.3751,9.586724,4.570732,37.95959,3.293845,39.96386,229.5475,0.9158102,1.307745,79.53369,478.8772,6.463168,10.91913,0.3042258,5.013701,miyabes,2008-02-04T22:16:29Z,,,,
"C0006E-4H-5, 0.0 cm",,29.811,29.920,29.811,29.920,"C0006E-4H-5, 23.5 cm",,30.042,30.155,30.042,30.155,"C0006E-4H-5 WR, 0.0--23.5 cm",KCC000000000002795400,IWIC,,4.0,yasunagam,,KCC,2010-07-05T06:55:14Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72,19.234,kames,2010-07-06T02:19:34Z
"C0006E-4H-5, 11.7 cm",,29.926,30.037,29.926,30.037,"C0006E-4H-5, 11.7 cm",,29.926,30.037,29.926,30.037,,,,,,,,,,1.33901,33.16667,563.9603,12.55894,432.9481,4750.617,466.8285,33.86359,523.6746,68.0411,0,0,562.999,9.66598,4.891203,27.37481,4.656685,2.329026,176.3854,0.9612591,1.283964,79.39799,213.249,6.819501,10.3397,0.3225792,3.073048,miyabes,2008-02-04T22:16:35Z,,,,
"C0006E-5H-3, 0.0 cm",,35.787,35.840,35.787,35.840,"C0006E-5H-3, 21.5 cm",,35.997,36.055,35.997,36.055,"C0006E-5H-3 WR, 0.0--21.5 cm",KCC000000000002796900,IWIC,,4.0,yasunagam,,KCC,2010-07-05T06:56:34Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71,19.708,kames,2010-07-06T02:19:34Z
"C0006E-5H-3, 10.8 cm",,35.893,35.948,35.893,35.948,"C0006E-5H-3, 10.8 cm",,35.893,35.948,35.893,35.948,,,,,,,,,,1.33901,33.16667,563.9603,11.61367,418.8629,4820.062,471.4659,33.85117,468.2527,69.41096,0,0,563.0006,8.907614,5.23924,12.71155,4.552758,5.023214,193.255,0.9596643,1.191108,83.32135,190.3106,6.02534,11.68789,0.3682017,0.8719434,miyabes,2008-02-04T22:16:36Z,,,,
"C0006E-7H-4, 0.0 cm",,42.551,42.915,42.551,42.915,"C0006E-7H-4, 24.0 cm",,42.771,43.155,42.771,43.155,"C0006E-7H-4 WR, 0.0--24.0 cm",KCC000000000002799300,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:22:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,20.477,kames,2010-07-06T02:19:34Z
"C0006E-7H-4, 12.0 cm",,42.661,43.035,42.661,43.035,"C0006E-7H-4, 12.0 cm",,42.661,43.035,42.661,43.035,,,,,,,,,,1.33903,33.27778,567.6948,13.4191,408.6581,5194,473.982,34.36572,471.4599,60.20908,0,0,566.7051,8.778421,5.883436,22.37432,4.1651,1.925584,681.6671,0.9898033,1.120222,88.564,163.5413,5.312398,12.05741,0.5859033,3.064376,miyabes,2008-02-04T22:16:37Z,,,,
"C0006E-8H-4, 0.0 cm",,51.389,51.790,51.389,51.790,"C0006E-8H-4, 24.0 cm",,51.603,52.030,51.603,52.030,"C0006E-8H-4 WR, 0.0--24.0 cm",KCC000000000002799400,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:24:15Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.77,19.495,kames,2010-07-06T02:19:34Z
"C0006E-8H-4, 12.0 cm",,51.496,51.910,51.496,51.910,"C0006E-8H-4, 12.0 cm",,51.496,51.910,51.496,51.910,,,,,,,,,,1.33907,33.5,565.3959,14.81879,437.3639,5136,482.0175,32.78883,567.547,34.44281,0,0,564.4365,9.100523,5.839716,13.39236,5.237788,8.846256,284.3971,0.9594483,1.13109,88.66473,43.50374,6.813289,12.34001,0.4433158,0.7563758,miyabes,2008-02-04T22:16:37Z,,,,
"C0006E-9H-5, 0.0 cm",,62.372,62.410,62.372,62.410,"C0006E-9H-5, 23.0 cm",,62.600,62.640,62.600,62.640,"C0006E-9H-5 WR, 0.0--23.0 cm",KCC000000000002799500,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:25:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,19.24,kames,2010-07-06T02:19:34Z
"C0006E-9H-5, 11.5 cm",,62.486,62.525,62.486,62.525,"C0006E-9H-5, 11.5 cm",,62.486,62.525,62.486,62.525,,,,,,,,,,1.33907,33.5,569.082,14.49063,412.5907,5285,475.3629,33.2388,538.3928,38.51117,0,0,568.0203,8.698997,6.147615,7.967178,7.460076,6.464392,616.4529,1.061697,1.169109,90.63096,121.5867,5.724555,12.39083,0.4676459,1.284222,miyabes,2008-02-04T22:16:38Z,,,,
"C0006E-11H-4, 0.0 cm",,67.615,67.699,67.615,67.699,"C0006E-11H-4, 21.5 cm",,67.824,67.914,67.824,67.914,"C0006E-11H-4 WR, 0.0--21.5 cm",KCC000000000002801500,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:27:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,19.364,kames,2010-07-06T02:19:34Z
"C0006E-11H-4, 10.8 cm",,67.720,67.807,67.720,67.807,"C0006E-11H-4, 10.8 cm",,67.720,67.807,67.720,67.807,,,,,,,,,,1.33909,33.61111,569.0044,13.42879,415.6302,5120,484.5749,33.55532,489.6943,43.93564,0,0,567.9986,8.2887,6.422146,13.40447,7.075459,28.21257,732.0768,1.00578,1.073906,92.9736,184.0762,5.109892,12.72413,1.614964,0.9478543,miyabes,2008-02-04T22:16:13Z,,,,
"C0006E-12H-6, 0.0 cm",,75.979,76.305,75.979,76.305,"C0006E-12H-6, 21.5 cm",,76.179,76.520,76.179,76.520,"C0006E-12H-6 WR, 0.0--21.5 cm",KCC000000000002801600,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:29:01Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72,16.417,kames,2010-07-06T02:19:34Z
"C0006E-12H-6, 10.8 cm",,76.079,76.413,76.079,76.413,"C0006E-12H-6, 10.8 cm",,76.079,76.413,76.079,76.413,,,,,,,,,,1.33869,31.38889,528.603,8.218652,403.6057,4971,462.8424,29.87945,442.3505,15.45713,1.292941,1.399689,527.6899,7.889417,5.731652,4.082326,5.546964,21.93946,596.1115,0.913117,1.096717,73.9188,194.0575,6.252515,8.543749,0.1674239,0,miyabes,2008-02-04T22:16:14Z,,,,
"C0006E-15X-4, 0.0 cm",,81.758,81.758,81.758,81.758,"C0006E-15X-4, 21.5 cm",,81.973,81.973,81.973,81.973,"C0006E-15X-4 WR, 0.0--21.5 cm",KCC000000000002801700,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:30:22Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,17.423,kames,2010-07-06T02:19:34Z
"C0006E-15X-4, 10.8 cm",,81.866,81.866,81.866,81.866,"C0006E-15X-4, 10.8 cm",,81.866,81.866,81.866,81.866,,,,,,,,,,1.33908,33.55556,567.7142,10.13846,394.8288,5442,483.0783,31.32702,516.587,12.74489,0.8284057,0.7105271,566.6989,8.815538,6.296887,12.56196,3.175158,0.8974766,841.8611,1.015365,1.172464,78.94035,127.7528,6.80581,8.665425,0,0,miyabes,2008-02-04T22:16:14Z,,,,
"C0006E-16X-2, 0.0 cm",,90.110,90.110,90.110,90.110,"C0006E-16X-2, 23.0 cm",,90.340,90.340,90.340,90.340,"C0006E-16X-2 WR, 0.0--23.0 cm",KCC000000000002801800,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:31:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,17.073,kames,2010-07-06T02:19:35Z
"C0006E-16X-2, 11.5 cm",,90.225,90.225,90.225,90.225,"C0006E-16X-2, 11.5 cm",,90.225,90.225,90.225,90.225,,,,,,,,,,1.33909,33.61111,568.0635,15.34472,313.666,5466,474.5508,31.69585,446.866,11.38877,0.9657003,0.9762007,567.0817,8.467613,6.363421,6.439242,5.302214,1.820275,461.9375,0.9818152,1.269102,80.02203,65.40063,7.809601,9.680116,0,0,miyabes,2008-02-04T22:16:15Z,,,,
"C0006E-17X-3, 0.0 cm",,100.300,100.300,100.300,100.300,"C0006E-17X-3, 25.0 cm",,100.550,100.550,100.550,100.550,"C0006E-17X-3 WR, 0.0--25.0 cm",KCC000000000002801900,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:32:28Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,15.293,kames,2010-07-06T02:19:35Z
"C0006E-17X-3, 12.5 cm",,100.425,100.425,100.425,100.425,"C0006E-17X-3, 12.5 cm",,100.425,100.425,100.425,100.425,,,,,,,,,,1.33912,33.77778,570.5758,13.95913,372.4416,5491,487.3841,31.39545,488.1793,4.608173,2.57258,2.655394,569.61,8.212064,6.531152,9.988856,4.392922,0.9491629,1254.169,0.9658388,1.151647,80.28874,386.0797,7.656379,11.0461,0,0,miyabes,2008-02-04T22:16:16Z,,,,
"C0006E-19X-5, 0.0 cm",,119.755,119.755,119.755,119.755,"C0006E-19X-5, 32.5 cm",,120.080,120.080,120.080,120.080,"C0006E-19X-5 WR, 0.0--32.5 cm",KCC000000000002803200,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:33:39Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,16.285,kames,2010-07-06T02:19:35Z
"C0006E-19X-5, 16.2 cm",,119.917,119.917,119.917,119.917,"C0006E-19X-5, 16.2 cm",,119.917,119.917,119.917,119.917,,,,,,,,,,1.33908,33.55556,566.4231,13.71955,389.2379,5458,493.9114,29.27489,593.3694,16.81325,0.8284057,0,565.4077,7.738554,7.038008,8.690912,5.220472,4.855369,345.0806,1.015365,0.9208627,81.2442,72.38233,6.472602,10.40887,0,0,miyabes,2008-02-04T22:16:16Z,,,,
"C0006E-20X-7, 0.0 cm",,132.845,132.845,132.845,132.845,"C0006E-20X-7, 33.0 cm",,133.175,133.175,133.175,133.175,"C0006E-20X-7 WR, 0.0--33.0 cm",KCC000000000002803500,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:35:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.77,13.633,kames,2010-07-06T02:27:01Z
"C0006E-20X-7, 16.5 cm",,133.010,133.010,133.010,133.010,"C0006E-20X-7, 16.5 cm",,133.010,133.010,133.010,133.010,,,,,,,,,,1.33909,33.61111,565.6144,32.20377,245.9105,5532,484.8098,28.47264,335.3299,4.608173,0.5184933,2.701944,564.6119,8.790131,6.99477,2.51495,4.651743,9.780918,742.9074,1.002584,,79.78589,167.5291,9.814226,10.91838,0,0,miyabes,2008-02-04T22:16:18Z,,,,
"C0006E-21X-3, 0.0 cm",,137.380,137.380,137.380,137.380,"C0006E-21X-3, 31.5 cm",,137.695,137.695,137.695,137.695,"C0006E-21X-3 WR, 0.0--31.5 cm",KCC000000000002803800,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:36:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.77,14.07,kames,2010-07-06T02:27:01Z
"C0006E-21X-3, 15.7 cm",,137.537,137.537,137.537,137.537,"C0006E-21X-3, 15.7 cm",,137.537,137.537,137.537,137.537,,,,,,,,,,1.33902,33.22222,561.7647,13.10015,251.0368,5585,464.9007,28.01919,562.5944,7.16,2.561916,0.5212699,560.7718,7.630603,7.085826,,3.513723,0.6283496,684.1673,0.9929501,1.019479,73.68857,166.4967,5.439463,9.224724,1.055312,1.107127,miyabes,2008-02-04T22:16:18Z,,,,
"C0006E-22X-3, 0.0 cm",,146.830,146.830,146.830,146.830,"C0006E-22X-3, 34.5 cm",,147.175,147.175,147.175,147.175,"C0006E-22X-3 WR, 0.0--34.5 cm",KCC000000000002803900,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:39:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92,13.962,kames,2010-07-06T02:27:01Z
"C0006E-22X-3, 17.2 cm",,147.002,147.002,147.002,147.002,"C0006E-22X-3, 17.2 cm",,147.002,147.002,147.002,147.002,,,,,,,,,,1.33902,33.22222,565.2703,14.77274,223.3581,5745,471.3374,27.83925,416.8684,1.65,0.5747313,0,564.2451,7.823522,7.347753,,3.148804,0.5493733,416.1499,1.025209,1.097059,76.32404,190.3168,5.800003,9.612616,0.1546986,2.011071,miyabes,2008-02-04T22:16:19Z,,,,
"C0006E-23X-4, 0.0 cm",,157.740,157.740,157.740,157.740,"C0006E-23X-4, 33.5 cm",,158.075,158.075,158.075,158.075,"C0006E-23X-4 WR, 0.0--33.5 cm",KCC000000000002804000,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:41:15Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,13.424,kames,2010-07-06T02:27:01Z
"C0006E-23X-4, 16.8 cm",,157.908,157.908,157.908,157.908,"C0006E-23X-4, 16.8 cm",,157.908,157.908,157.908,157.908,,,,,,,,,,1.33901,33.16667,567.5988,13.55027,251.1414,5651,461.6989,26.07482,660.7391,8.53,0.9436654,0.6234201,566.584,6.947081,7.353086,,4.023777,0.768451,2621.58,1.014706,0.9951619,76.95803,122.2741,5.112574,9.090123,0.166429,0.9306557,miyabes,2008-02-04T22:16:19Z,,,,
"C0006E-25X-7, 0.0 cm",,180.787,180.787,180.787,180.787,"C0006E-25X-7, 34.0 cm",,181.127,181.127,181.127,181.127,"C0006E-25X-7 WR, 0.0--34.0 cm",KCC000000000002804100,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:42:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86,12.99,kames,2010-07-06T02:27:01Z
"C0006E-25X-7, 17.0 cm",,180.957,180.957,180.957,180.957,"C0006E-25X-7, 17.0 cm",,180.957,180.957,180.957,180.957,,,,,,,,,,1.33904,33.33333,565.7799,27.99449,236.5593,5378,478.1883,24.93719,522.1085,11.29,0,0.7203047,564.7615,8.03569,8.693687,5.197678,5.022743,1.247465,,1.018457,,84.91,,,13.45016,,,miyabes,2008-02-04T22:15:46Z,,,,
"C0006E-26X-4, 0.0 cm",,186.370,186.645,186.370,186.645,"C0006E-26X-4, 31.5 cm",,186.665,186.960,186.665,186.960,"C0006E-26X-4 WR, 0.0--31.5 cm",KCC000000000002804200,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:43:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,11.991,kames,2010-07-06T02:27:01Z
"C0006E-26X-4, 15.7 cm",,186.517,186.802,186.517,186.802,"C0006E-26X-4, 15.7 cm",,186.517,186.802,186.517,186.802,,,,,,,,,,1.3389,32.55556,564.5314,16.11224,237.5876,5510,466.4239,23.35741,701.0308,8.53,1.569332,1.255276,563.5069,7.179026,8.72915,,5.039839,2.604935,593.5015,1.024459,1.027394,78.66935,74.43987,5.637518,11.8523,0.2461985,0.5207618,miyabes,2008-02-04T22:16:20Z,,,,
"C0006E-27X-5, 0.0 cm",,197.144,197.485,197.144,197.485,"C0006E-27X-5, 38.0 cm",,197.501,197.865,197.501,197.865,"C0006E-27X-5 WR, 0.0--38.0 cm",KCC000000000002804300,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:45:08Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84,11.342,kames,2010-07-06T02:27:01Z
"C0006E-27X-5, 19.0 cm",,197.322,197.675,197.322,197.675,"C0006E-27X-5, 19.0 cm",,197.322,197.675,197.322,197.675,,,,,,,,,,1.33898,33,567.0791,20.17525,202.9271,5387,468.32,24.63767,471.0135,5.78,0,0,566.0614,7.211802,9.324589,,4.942299,6.653112,631.7399,1.017707,1.076788,81.99488,212.6392,5.015293,12.05753,0,0.845939,miyabes,2008-02-04T22:16:21Z,,,,
"C0006E-28X-3, 0.0 cm",,203.805,203.805,203.805,203.805,"C0006E-28X-3, 36.0 cm",,204.165,204.165,204.165,204.165,"C0006E-28X-3 WR, 0.0--36.0 cm",KCC000000000002804400,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:45:56Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.87,11.639,kames,2010-07-06T02:27:01Z
"C0006E-28X-3, 18.0 cm",,203.985,203.985,203.985,203.985,"C0006E-28X-3, 18.0 cm",,203.985,203.985,203.985,203.985,,,,,,,,,,1.33893,32.72222,561.1329,15.737,176.9972,5010,469.8083,20.73898,541.619,3.03,0,0,560.0979,7.310461,8.856791,,8.701256,50.90681,0,1.034962,1.018773,81.35438,1064,5.198936,11.28326,0,0.1838747,miyabes,2008-02-04T22:16:21Z,,,,
"C0006E-29X-7, 0.0 cm",,218.511,219.040,218.511,219.040,"C0006E-29X-7, 34.0 cm",,218.829,219.380,218.829,219.380,"C0006E-29X-7 WR, 0.0--34.0 cm",KCC000000000002806300,IWIC,,4.0,yasunagam,,KCC,2010-07-05T07:47:27Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73,10.324,kames,2010-07-06T02:27:01Z
"C0006E-29X-7, 17.0 cm",,218.670,219.210,218.670,219.210,"C0006E-29X-7, 17.0 cm",,218.670,219.210,218.670,219.210,,,,,,,,,,1.33896,32.88889,564.1609,27.84,154.0687,4377.986,469.4302,20.68602,636.3579,6.63,0,0,563.1763,7.214656,8.967637,,5.542501,0.856729,1287.124,0.9846249,1.101393,87.00172,145.9821,4.839067,13.19768,0,1.511656,miyabes,2008-02-04T22:16:22Z,,,,
"C0006E-30X-3, 0.0 cm",,223.024,223.155,223.024,223.155,"C0006E-30X-3, 38.0 cm",,223.387,223.535,223.387,223.535,"C0006E-30X-3 WR, 0.0--38.0 cm",KCC000000000002804500,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:08Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72,10.227,kames,2010-07-06T02:27:02Z
