leg,site,hole,core,section,sample_depth,grain_density,porosity,method
315,C0001,F,NULL,NULL,116.7705,2.786738,0.5967989,NULL
315,C0001,F,NULL,NULL,117.727,2.796931,0.6267337,NULL
315,C0001,F,NULL,NULL,118.4685,2.650624,0.6154602,NULL
315,C0001,F,NULL,NULL,119.0295,2.536591,0.5634842,NULL
315,C0001,F,NULL,NULL,119.8265,2.576944,0.5806402,NULL
315,C0001,F,NULL,NULL,120.4245,2.770646,0.5979206,NULL
315,C0001,F,NULL,NULL,121.0455,2.80844,0.6006761,NULL
315,C0001,F,NULL,NULL,121.643,2.699365,0.5892411,NULL
315,C0001,F,NULL,NULL,122.3475,2.668212,0.5827415,NULL
315,C0001,F,NULL,NULL,122.542,2.692634,0.5881367,NULL
315,C0001,F,NULL,NULL,122.9635,2.699051,0.5862853,NULL
315,C0001,F,NULL,NULL,123.668,2.838351,0.5945915,NULL
315,C0001,F,NULL,NULL,124.303,2.696053,0.5768163,NULL
315,C0001,F,NULL,NULL,125.0075,2.678942,0.5769423,NULL
315,C0001,F,NULL,NULL,125.6095,2.714611,0.5797183,NULL
315,C0001,F,NULL,NULL,126.3095,2.75372,0.5826669,NULL
315,C0001,F,NULL,NULL,127.245,2.615322,0.6010541,NULL
315,C0001,F,NULL,NULL,128.005,2.722678,0.5850024,NULL
315,C0001,F,NULL,NULL,128.305,2.6304,0.6187,NULL
315,C0001,F,NULL,NULL,128.66,2.623388,0.6054502,NULL
315,C0001,F,NULL,NULL,129.22,2.777659,0.6095153,NULL
315,C0001,F,NULL,NULL,130.08,2.716545,0.6035858,NULL
315,C0001,F,NULL,NULL,130.75,2.801228,0.6064237,NULL
315,C0001,F,NULL,NULL,131.22,2.653432,0.5437211,NULL
315,C0001,F,NULL,NULL,136.675,2.657369,0.6075091,NULL
315,C0001,F,NULL,NULL,137.485,2.726608,0.6192462,NULL
315,C0001,F,NULL,NULL,139.105,2.635713,0.556746,NULL
315,C0001,F,NULL,NULL,139.555,2.782734,0.5434935,NULL
315,C0001,F,NULL,NULL,140.315,2.707066,0.5869503,NULL
315,C0001,F,NULL,NULL,140.965,2.916239,0.5943567,NULL
315,C0001,F,NULL,NULL,141.615,2.776454,0.5622192,NULL
315,C0001,F,NULL,NULL,142.395,2.736029,0.5673631,NULL
315,C0001,F,NULL,NULL,143.155,5.234951,0.7336172,NULL
315,C0001,F,NULL,NULL,143.87,2.692713,0.5922477,NULL
315,C0001,F,NULL,NULL,144.4525,2.700651,0.5838276,NULL
315,C0001,F,NULL,NULL,144.79,2.751864,0.5744044,NULL
315,C0001,F,NULL,NULL,145.275,2.687409,0.5532807,NULL
315,C0001,F,NULL,NULL,146.556,2.632214,0.5932704,NULL
315,C0001,F,NULL,NULL,146.93,2.793816,0.6003793,NULL
315,C0001,F,NULL,NULL,147.402,2.753719,0.5969611,NULL
315,C0001,F,NULL,NULL,148.0935,2.61586,0.5721699,NULL
315,C0001,F,NULL,NULL,148.7335,2.711653,0.6019893,NULL
315,C0001,F,NULL,NULL,149.4815,2.833797,0.5670338,NULL
315,C0001,F,NULL,NULL,149.6265,2.668653,0.5456781,NULL
315,C0001,F,NULL,NULL,150.0515,2.709531,0.5980996,NULL
315,C0001,F,NULL,NULL,150.5375,2.674696,0.585411,NULL
315,C0001,F,NULL,NULL,151.084,2.808991,0.5828096,NULL
315,C0001,F,NULL,NULL,151.57,2.677972,0.5790293,NULL
315,C0001,F,NULL,NULL,152.2805,2.559389,0.5524737,NULL
315,C0001,F,NULL,NULL,152.9395,2.870845,0.5841881,NULL
315,C0001,F,NULL,NULL,153.5375,2.619243,0.5710002,NULL
315,C0001,F,NULL,NULL,154.285,2.638123,0.5731397,NULL
315,C0001,F,NULL,NULL,155.0325,2.64856,0.544403,NULL
315,C0001,F,NULL,NULL,155.6805,2.597677,0.6453372,NULL
315,C0001,F,NULL,NULL,156.4195,2.761479,0.5870631,NULL
315,C0001,F,NULL,NULL,157.029,2.709301,0.5889153,NULL
315,C0001,F,NULL,NULL,157.6665,2.725962,0.5771365,NULL
315,C0001,F,NULL,NULL,157.9525,2.623667,0.5794031,NULL
315,C0001,F,NULL,NULL,158.408,2.751846,0.6064883,NULL
315,C0001,F,NULL,NULL,158.4195,2.747803,0.6184295,NULL
315,C0001,F,NULL,NULL,159.1585,2.70095,0.6025816,NULL
315,C0001,F,NULL,NULL,160.0125,2.77254,0.5892418,NULL
315,C0001,F,NULL,NULL,160.662,2.638391,0.5836057,NULL
315,C0001,F,NULL,NULL,161.7255,2.674512,0.6242894,NULL
315,C0001,F,NULL,NULL,162.647,2.781818,0.6006849,NULL
315,C0001,F,NULL,NULL,163.103,2.658107,0.5757702,NULL
315,C0001,F,NULL,NULL,163.7575,2.727156,0.5193143,NULL
315,C0001,F,NULL,NULL,164.4485,2.734888,0.5764162,NULL
315,C0001,F,NULL,NULL,165.1485,2.827387,0.582959,NULL
315,C0001,F,NULL,NULL,165.8395,2.752438,0.5993136,NULL
315,C0001,F,NULL,NULL,166.1755,2.685599,0.5402176,NULL
315,C0001,F,NULL,NULL,166.4795,2.668712,0.5597758,NULL
