leg
"pore water chemistry, GRIND, ultrapure water::Cs concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, ultrapure water::Pb concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, ultrapure water::U concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, ultrapure water::comment on measurement::text"
"pore water chemistry, GRIND, ultrapure water::registerer"
"pore water chemistry, GRIND, ultrapure water::registration time-stamp"
"pore water chemistry, GRIND, HNO3::refractive index nD: refractometer::number"
"pore water chemistry, GRIND, HNO3::pmH: pH electrode, attached to titrator::number"
"pore water chemistry, GRIND, HNO3::alkalinity: titrator [mM]::number"
"pore water chemistry, GRIND, HNO3::chlorinity: titrator, potentiometric titration [mM]::number"
"pore water chemistry, GRIND, HNO3::PO4 concentration: UV-Visible spectrophotometer [然]::number"
"pore water chemistry, GRIND, HNO3::NH4 concentration: UV-Visible spectrophotometer [mM]::number"
"pore water chemistry, GRIND, HNO3::Br concentration: IC [mM]::number"
"pore water chemistry, GRIND, HNO3::SO4 concentration: IC [mM]::number"
"pore water chemistry, GRIND, HNO3::Na concentration: IC [mM]::number"
"pore water chemistry, GRIND, HNO3::K concentration: IC [mM]::number"
"pore water chemistry, GRIND, HNO3::Mg concentration: IC [mM]::number"
"pore water chemistry, GRIND, HNO3::Ca concentration: IC [mM]::number"
"pore water chemistry, GRIND, HNO3::B concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, HNO3::Ba concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, HNO3::Fe concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, HNO3::Li concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, HNO3::Mn concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, HNO3::Si concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, HNO3::Sr concentration: ICP-AES [然]::number"
"pore water chemistry, GRIND, HNO3::V concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, HNO3::Cu concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, HNO3::Zn concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, HNO3::Rb concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, HNO3::Mo concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, HNO3::Cs concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, HNO3::Pb concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, HNO3::U concentration: ICP-MS [nM]::number"
"pore water chemistry, GRIND, HNO3::registerer"
"pore water chemistry, GRIND, HNO3::registration time-stamp"
"pore water chemistry::chlorinity: titrator, potentiometric titration [mM]::number"
pore water chemistry::V concentration: ICP-MS [nM]::number
pore water chemistry::Cu concentration: ICP-MS [nM]::number
pore water chemistry::Zn concentration: ICP-MS [nM]::number
pore water chemistry::Rb concentration: ICP-MS [nM]::number
pore water chemistry::Mo concentration: ICP-MS [nM]::number
pore water chemistry::Cs concentration: ICP-MS [nM]::number
pore water chemistry::Pb concentration: ICP-MS [nM]::number
pore water chemistry::U concentration: ICP-MS [nM]::number
"pore water chemistry, GRIND, ultrapure water::pH: pH meter::number"
"pore water chemistry, GRIND, ultrapure water::As concentration: ICP-MS [nM]::number"
pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [然]::number
pore water chemistry; sample::Na concentration: ICP-AES [mM]::number
pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number
pore water chemistry; sample::K concentration: ICP-AES [mM]::number
pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number
pore water chemistry; sample::Br concentration: IC [然]::number
pore water chemistry; sample::salinity: refractometer [permil]::number
pore water chemistry; sample::Na concentration: charge balance [mM]::number
pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number
pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number
pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number
pore water chemistry; sample::Rb concentration: ICP-MS [然]::number
pore water chemistry; sample::NO2 concentration: IC [mM]::number
pore water chemistry; sample::NO3 concentration: IC [mM]::number
"pore water chemistry; sample::HS concentration: spectrophotometer, 3rd party [然]::number"
"pore water chemistry; sample::Fe(II) concentration: spectrophotometer, 3rd party [然]::number"
"pore water chemistry; sample::DIC concentration: coulometer, DIC-EXIT, 3rd party [mM]::number"
