Leg	Site	Hole	    Latitude	    Longtitude	    Arrival Date	    Departure Date	    Time on Hole(dd:hh:mm)	    Water Depth	    Core Type(s)	    Numbers of Cores	    Total Penetration (m) 	    Coring Penetration (m) 	    Drilled (m)	    Core Recovered (m)	    Core Recovered %	
155	 941	B	     5° 22'N	      48° 2'W	   05/07/94 2350	     05/08/94 2155	                 0:22: 6	         3377.5	               H	                  12	                      85.1	                       85.1	               	                 96.15	               113.0	
155	 942	A	     5° 45'N	      49° 5'W	   05/09/94 0725	     05/10/94 1250	                 1: 5:25	         3346.3	              HX	                  20	                     177.6	                      177.6	               	                152.60	                85.9	
155	 942	B	     5° 45'N	      49° 5'W	   05/10/94 1250	     05/10/94 1925	                 0: 6:36	         3345.7	               H	                   8	                      74.0	                       74.0	               	                 56.91	                76.9	
155	 942	C	     5° 45'N	      49° 5'W	   05/10/94 1925	     05/11/94 0723	                 0:11:58	         3348.8	               H	                   5	                      71.5	                       42.3	               	                 44.03	               104.1	
155	 943	A	     5° 57'N	      47° 47'W	   05/11/94 1756	     05/12/94 1835	                 1: 0:39	         3738.5	              HX	                  12	                     106.3	                      106.3	               	                 66.46	                62.5	
155	 944	A	     5° 56'N	      47° 45'W	   05/12/94 2200	     05/16/94 0824	                 3:10:24	         3701.3	              HX	                  41	                     384.2	                      384.2	               	                208.01	                54.1	
155	 944	B	     5° 56'N	      47° 46'W	   05/16/94 0824	     05/16/94 1545	                 0: 7:21	         3696.8	               H	                   6	                      47.8	                       47.8	               	                 46.81	                97.9	
155	 944	C	     5° 56'N	      47° 45'W	   05/16/94 1545	     05/16/94 1900	                 0: 3:16	         3710.5	               H	                   1	                       9.6	                        9.6	               	                  9.60	               100.0	
155	 944	D	     5° 56'N	      47° 45'W	   05/16/94 1900	     05/17/94 0823	                 0:13:24	         3708.5	               H	                   5	                      44.6	                       44.6	               	                 43.37	                97.2	
155	 945	A	     6° 57'N	      47° 56'W	   05/17/94 1605	     05/18/94 0823	                 0:16:19	         4136.1	               H	                   8	                      75.5	                       75.5	               	                 74.75	                99.0	
155	 946	A	     6° 57'N	      47° 55'W	   05/18/94 1024	     05/21/94 0242	                 2:16:19	         4100.1	              HX	                  29	                     275.0	                      275.0	               	                172.18	                62.6	
156	 947	A	    15° 31'N	      58° 45'W	   05/28/94 1445	     05/30/94 1600	                 2: 1:15	         4880.4	                	                   1	                     583.7	                           	          583.7	                      	                    	
156	 948	A	    15° 32'N	      58° 44'W	   05/30/94 1600	     06/01/94 1630	                 2: 0:30	         4929.3	                	                   1	                     583.7	                           	          583.7	                      	                    	
156	 948	B	    15° 31'N	      58° 44'W	   06/03/94 0500	     06/03/94 2000	                 0:15: 0	         4938.0	               H	                   1	                       4.0	                        4.0	               	                  3.71	                92.8	
156	 948	C	    15° 32'N	      58° 44'W	   06/03/94 2000	     06/09/94 0300	                 5: 7: 1	         4931.5	             HWX	                  19	                     592.0	                      180.7	          411.3	                171.46	                94.9	
156	 948	D	    15° 31'N	      58° 44'W	   06/09/94 0300	     06/29/94 1500	                20:12: 0	         4938.0	                	                   1	                     538.0	                           	          538.0	                      	                    	
156	 949	A	    15° 32'N	      58° 43'W	   06/29/94 1615	     06/30/94 0345	                 0:11:31	         5009.2	               H	                   1	                       3.0	                        3.0	               	                  2.95	                98.3	
156	 949	B	    15° 32'N	      58° 43'W	   06/30/94 0345	     07/03/94 0900	                 3: 5:15	         5012.7	              HX	                  25	                     464.2	                      218.1	               	                 86.80	                39.8	
156	 949	C	    15° 32'N	      58° 43'W	   07/03/94 0900	     07/23/94 1915	                20:10:15	         5004.7	               R	                   7	                     463.8	                       62.8	               	                  2.18	                 3.5	
157	 950	A	    31° 9'N	      25° 36'W	   08/05/94 2000	     08/10/94 2323	                 5: 3:23	         5437.8	              HX	                  41	                     381.3	                      381.3	               	                339.14	                88.9	
157	 951	A	    32° 2'N	      24° 52'W	   08/11/94 0851	     08/13/94 1140	                 2: 2:49	         5436.8	              HX	                  28	                     256.6	                      256.6	               	                251.52	                98.0	
157	 951	B	    32° 2'N	      24° 52'W	   08/13/94 1140	     08/15/94 0145	                 1:14: 6	         5436.8	               X	                  10	                     351.6	                       96.6	               	                 84.53	                87.5	
