Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::comment on measurement::text,bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0002L-16X-2, 135.0 cm",NULL,421.728,421.825,421.728,421.825,"C0002L-16X-2, 139.0 cm",NULL,421.766,421.865,421.766,421.865,"C0002L-16X-2 W, 135.0--139.0 cm",CKY000000000001503710,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-26T03:56:11Z,0.7117,5.9306,0.093375606,1.479976925,0.106877727,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-16X-6, 110.0 cm",NULL,425.809,426.085,425.809,426.085,"C0002L-16X-6, 113.0 cm",NULL,425.838,426.115,425.838,426.115,"C0002L-16X-6 W, 110.0--113.0 cm",CKY000000000001504410,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-26T03:56:12Z,0.7563,6.3022,0.092921861,1.469707009,0.09292891,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-16X-7, 95.0 cm",NULL,427.026,427.355,427.026,427.355,"C0002L-16X-7, 98.0 cm",NULL,427.055,427.385,427.055,427.385,"C0002L-16X-7 W, 95.0--98.0 cm",CKY000000000001504710,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-26T03:56:12Z,0.7581,6.3172,0.070206168,1.247156212,0.082506978,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-17X-3, 76.0 cm",NULL,431.478,431.685,431.478,431.685,"C0002L-17X-3, 77.0 cm",NULL,431.487,431.695,431.487,431.695,"C0002L-17X-3 W, 76.0--77.0 cm",CKY000000000001508110,CARB,NULL,3,fujiharaa,NULL,CKY,2012-12-27T10:12:29Z,0.6518,5.4314,0.084023246,1.429996952,0.198129724,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-17X-7, 46.0 cm",NULL,434.874,435.365,434.874,435.365,"C0002L-17X-7, 47.0 cm",NULL,434.883,435.375,434.883,435.375,"C0002L-17X-7 W, 46.0--47.0 cm",CKY000000000001508810,CARB,NULL,3,fujiharaa,NULL,CKY,2012-12-27T10:10:47Z,0.5276,4.3965,0.102368373,1.258314359,0.111045501,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-17X-9, 60.0 cm",NULL,436.941,437.605,436.941,437.605,"C0002L-17X-9, 61.0 cm",NULL,436.95,437.615,436.95,437.615,"C0002L-17X-9 W, 60.0--61.0 cm",CKY000000000001509310,CARB,NULL,3,fujiharaa,NULL,CKY,2012-12-27T10:08:11Z,0.6483,5.4023,0.097234758,1.334148912,0.097307657,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-18X-2, 63.0 cm",NULL,440.03,440.03,440.03,440.03,"C0002L-18X-2, 66.0 cm",NULL,440.06,440.06,440.06,440.06,"C0002L-18X-2 W, 63.0--66.0 cm",CKY000000000001512510,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-26T09:26:50Z,0.9458,7.8814,0.097065961,1.667767752,0.102721587,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-18X-4, 0.0 cm",NULL,440.7,440.7,440.7,440.7,"C0002L-18X-4, 3.0 cm",NULL,440.73,440.73,440.73,440.73,"C0002L-18X-4 W, 0.0--3.0 cm",CKY000000000001512810,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-26T09:26:50Z,0.8204,6.8364,0.094588623,1.51308748,0.154771721,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-18X-6, 20.0 cm",NULL,443.705,443.705,443.705,443.705,"C0002L-18X-6, 22.0 cm",NULL,443.725,443.725,443.725,443.725,"C0002L-18X-6 W, 20.0--22.0 cm",CKY000000000001513510,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-26T09:26:51Z,0.6339,5.2823,0.092531936,1.216565449,0.110070749,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-19X-7, 80.0 cm",NULL,455.55,455.55,455.55,455.55,"C0002L-19X-7, 82.0 cm",NULL,455.57,455.57,455.57,455.57,"C0002L-19X-7 W, 80.0--82.0 cm",CKY000000000001535110,CARB,NULL,3,esteban338,NULL,CKY,2012-12-26T11:49:15Z,0.6646,5.5381,0.092210804,1.355071519,0.075582245,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-20X-1, 100.0 cm",NULL,458.463,458.5,458.463,458.5,"C0002L-20X-1, 104.0 cm",NULL,458.502,458.54,458.502,458.54,"C0002L-20X-1 W, 100.0--104.0 cm",CKY000000000001540610,CARB,NULL,3,fabbri338,sandy,CKY,2012-12-26T22:35:18Z,0.2828,2.3566,0.054980968,0.730723818,0.239806509,sandy,ohashia,2013-02-05T02:35:31Z
"C0002L-20X-6, 113.0 cm",NULL,464.15,464.405,464.15,464.405,"C0002L-20X-6, 115.0 cm",NULL,464.169,464.425,464.169,464.425,"C0002L-20X-6 W, 113.0--115.0 cm",CKY000000000001542810,CARB,NULL,3,fabbri338,NULL,CKY,2012-12-26T22:28:27Z,0.5445,4.5373,0.094986546,1.295214669,0.088415913,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-20X-CC, 50.0 cm",NULL,466.851,467.21,466.851,467.21,"C0002L-20X-CC, 53.0 cm",NULL,466.88,467.24,466.88,467.24,"C0002L-20X-CC W, 50.0--53.0 cm",CKY000000000001543110,CARB,NULL,3,fabbri338,NULL,CKY,2012-12-26T22:29:17Z,0.6179,5.149,0.099988112,1.389056755,0.079824722,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-21X-1, 5.5 cm",NULL,467.055,467.055,467.055,467.055,"C0002L-21X-1, 6.0 cm",NULL,467.06,467.06,467.06,467.06,"C0002L-21X-1 W, 5.5--6.0 cm",CKY000000000001544210,CARB,NULL,3,fabbri338,NULL,CKY,2012-12-26T23:34:01Z,0.5376,4.4798,0.10226013,1.325034196,0.097284174,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-21X-2, 109.0 cm",NULL,469.487,469.505,469.487,469.505,"C0002L-21X-2, 112.0 cm",NULL,469.517,469.535,469.517,469.535,"C0002L-21X-2 W, 109.0--112.0 cm",CKY000000000001543410,CARB,NULL,3,fabbri338,NULL,CKY,2012-12-26T22:59:46Z,0.6189,5.1573,0.083625632,1.297889215,0.063436473,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-21X-3, 10.0 cm",NULL,469.695,469.715,469.695,469.715,"C0002L-21X-3, 13.0 cm",NULL,469.725,469.745,469.725,469.745,"C0002L-21X-3 WR, 10.0--13.0 cm",CKY000000000001485210,CARB,NULL,3,oohashi338,NULL,CKY,2012-12-25T08:34:42Z,0.9764,8.1363,0.11807849,1.760624568,0.894405651,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-21X-5, 1.0 cm",NULL,471.045,471.075,471.045,471.075,"C0002L-21X-5, 2.0 cm",NULL,471.055,471.085,471.055,471.085,"C0002L-21X-5 W, 1.0--2.0 cm",CKY000000000001544310,CARB,NULL,3,fujiharaa,NULL,CKY,2012-12-27T02:42:53Z,1.0651,8.8755,0.116076494,1.926749924,0.19240726,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-21X-8, 61.0 cm",NULL,475.671,475.735,475.671,475.735,"C0002L-21X-8, 64.0 cm",NULL,475.701,475.765,475.701,475.765,"C0002L-21X-8 W, 61.0--64.0 cm",CKY000000000001543710,CARB,NULL,3,fabbri338,NULL,CKY,2012-12-26T23:01:31Z,0.5921,4.934,0.10566672,1.238188531,0.226613312,NULL,ohashia,2013-02-05T02:35:31Z
"C0002L-22X-2, 31.0 cm",NULL,477.47,477.47,477.47,477.47,"C0002L-22X-2, 34.0 cm",NULL,477.5,477.5,477.5,477.5,"C0002L-22X-2 W, 31.0--34.0 cm",CKY000000000001547810,CARB,NULL,3,skarbek338,MUD,CKY,2012-12-27T01:37:40Z,0.566,4.7165,0.083856635,1.203005081,0.121511369,MUD,ohashia,2013-02-05T02:35:31Z
"C0002L-22X-5, 98.0 cm",NULL,480.2,480.2,480.2,480.2,"C0002L-22X-5, 101.0 cm",NULL,480.23,480.23,480.23,480.23,"C0002L-22X-5 W, 98.0--101.0 cm",CKY000000000001548110,CARB,NULL,10,skarbek338,SAND,CKY,2012-12-27T01:37:40Z,0.3764,3.1365,0.050701224,0.935974442,0.760231674,SAND,ohashia,2013-02-05T02:35:31Z
"C0002L-22X-8, 136.0 cm",NULL,482.59,482.59,482.59,482.59,"C0002L-22X-8, 139.0 cm",NULL,482.62,482.62,482.62,482.62,"C0002L-22X-8 W, 136.0--139.0 cm",CKY000000000001548410,CARB,NULL,3,skarbek338,MUD,CKY,2012-12-27T01:37:40Z,0.9189,7.6572,0.092709153,1.579124371,0.04287855,MUD,ohashia,2013-02-05T02:35:31Z
"C0002L-24X-1, 129.0 cm",NULL,496.79,496.79,496.79,496.79,"C0002L-24X-1, 132.0 cm",NULL,496.82,496.82,496.82,496.82,"C0002L-24X-1 W, 129.0--132.0 cm",CKY000000000001552210,CARB,NULL,3,skarbek338,MUD,CKY,2012-12-27T06:20:20Z,0.4436,3.6965,0.069984356,0.869901777,0.05425151,MUD,ohashia,2013-02-05T02:35:31Z
"C0002L-24X-4, 77.0 cm",NULL,500.43,500.43,500.43,500.43,"C0002L-24X-4, 80.0 cm",NULL,500.46,500.46,500.46,500.46,"C0002L-24X-4 W, 77.0--80.0 cm",CKY000000000001552510,CARB,NULL,3,skarbek338,MUD,CKY,2012-12-27T06:20:20Z,0.7309,6.0906,0.080134185,1.272180139,0.045437819,MUD,ohashia,2013-02-05T02:35:31Z
"C0002L-24X-6, 33.0 cm",NULL,501.305,501.305,501.305,501.305,"C0002L-24X-6, 36.0 cm",NULL,501.335,501.335,501.335,501.335,"C0002L-24X-6 W, 33.0--36.0 cm",CKY000000000001553210,CARB,NULL,3,skarbek338,SAND,CKY,2012-12-27T06:20:20Z,0.1698,1.4149,0.025331107,0.278910777,0.026064287,SAND,ohashia,2013-02-05T02:35:31Z
