Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Depth DSF, MSF, WSF and CSF-A [m]",Top Core depth (below sea floor) [m CSF-B],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core depth (below sea floor) [m CSF-B],Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
C0002N;2250.500,2250.5,2250.5,2250.5,C0002N;2255.500,2255.5,2255.5,2255.5,C0002N-312SMW W,CKY000000000006051100,CARB,NULL,2,sakaguchim,"1-4mm, bulk",CKY,2013-11-17T21:43:51Z,0.4956,4.1298,0.055568245,1.599026605,hoshinoh,2014-01-09T11:37:21Z
C0002N;2260.500,2260.5,2260.5,2260.5,C0002N;2265.500,2265.5,2265.5,2265.5,C0002N-314SMW W,CKY000000000006043900,CARB,NULL,2,sakaguchim,">4mm, bulk",CKY,2013-11-16T19:28:50Z,0.3333,2.7774,0.059295903,1.293674058,hoshinoh,2014-01-09T11:37:21Z
C0002N;2260.500,2260.5,2260.5,2260.5,C0002N;2265.500,2265.5,2265.5,2265.5,C0002N-314SMW W,CKY000000000006051500,CARB,NULL,2,sakaguchim,"1-4mm, bulk",CKY,2013-11-17T21:44:43Z,0.3506,2.9215,0.056151956,1.374049498,hoshinoh,2014-01-09T11:37:21Z
C0002N;2270.500,2270.5,2270.5,2270.5,C0002N;2275.500,2275.5,2275.5,2275.5,C0002N-316SMW W,CKY000000000006036700,CARB,NULL,2,fujiharaa,">4mm, bulk",CKY,2013-11-16T13:29:53Z,0.3273,2.7274,0.063754085,1.392237458,hoshinoh,2014-01-09T11:37:21Z
C0002N;2270.500,2270.5,2270.5,2270.5,C0002N;2275.500,2275.5,2275.5,2275.5,C0002N-316SMW W,CKY000000000006051900,CARB,NULL,2,sakaguchim,"1-4mm, bulk",CKY,2013-11-17T21:46:20Z,0.5421,4.5173,0.053335139,1.544637197,hoshinoh,2014-01-09T11:37:21Z
C0002N;2280.500,2280.5,2280.5,2280.5,C0002N;2285.500,2285.5,2285.5,2285.5,C0002N-318SMW W,CKY000000000006037100,CARB,NULL,2,fujiharaa,">4mm, bulk",CKY,2013-11-16T13:31:13Z,0.3113,2.5941,0.0607058,1.230248667,hoshinoh,2014-01-09T11:37:21Z
C0002N;2280.500,2280.5,2280.5,2280.5,C0002N;2285.500,2285.5,2285.5,2285.5,C0002N-318SMW W,CKY000000000006052300,CARB,NULL,2,sakaguchim,"1-4mm, bulk",CKY,2013-11-17T21:47:31Z,0.4083,3.4024,0.05657236,1.376369069,hoshinoh,2014-01-09T11:37:21Z
C0002N;2290.500,2290.5,2290.5,2290.5,C0002N;2295.500,2295.5,2295.5,2295.5,C0002N-321SMW W,CKY000000000006037500,CARB,NULL,2,fujiharaa,">4mm, bulk",CKY,2013-11-16T13:32:19Z,0.3483,2.9024,0.059752286,1.279340894,hoshinoh,2014-01-09T11:37:21Z
C0002N;2290.500,2290.5,2290.5,2290.5,C0002N;2295.500,2295.5,2295.5,2295.5,C0002N-321SMW W,CKY000000000006045500,CARB,NULL,2,sakaguchim,"1-4mm, bulk",CKY,2013-11-17T02:10:33Z,0.3758,3.1315,0.05827395,1.337702197,hoshinoh,2014-01-09T11:37:21Z
C0002N;2300.500,2300.5,2300.5,2300.5,C0002N;2305.500,2305.5,2305.5,2305.5,C0002N-323SMW W,CKY000000000006037900,CARB,NULL,2,fujiharaa,">4mm, bulk",CKY,2013-11-16T13:33:34Z,0.3859,3.2157,0.063581068,1.214627983,hoshinoh,2014-01-09T11:37:21Z
C0002N;2300.500,2300.5,2300.5,2300.5,C0002N;2305.500,2305.5,2305.5,2305.5,C0002N-323SMW W,CKY000000000006052700,CARB,NULL,2,sakaguchim,"1-4mm, bulk",CKY,2013-11-17T21:48:57Z,0.399,3.3249,0.061519395,1.505479467,hoshinoh,2014-01-09T11:37:21Z
C0002N;2310.500,2310.5,2310.5,2310.5,C0002N;2315.500,2315.5,2315.5,2315.5,C0002N-325SMW W,CKY000000000006038300,CARB,NULL,2,fujiharaa,">4mm, bulk",CKY,2013-11-16T13:34:37Z,0.3566,2.9715,0.061638568,1.227401007,hoshinoh,2014-01-09T11:37:21Z
C0002N;2310.500,2310.5,2310.5,2310.5,C0002N;2315.500,2315.5,2315.5,2315.5,C0002N-325SMW W,CKY000000000006053100,CARB,NULL,2,sakaguchim,"1-4mm, bulk",CKY,2013-11-17T21:50:06Z,0.3529,2.9407,0.052392702,1.548147979,hoshinoh,2014-01-09T11:37:21Z
C0002N;2320.500,2320.5,2320.5,2320.5,C0002N;2325.500,2325.5,2325.5,2325.5,C0002N-327SMW W,CKY000000000006038700,CARB,NULL,2,fujiharaa,">4mm, bulk",CKY,2013-11-16T13:35:44Z,0.3582,2.9849,0.060555945,1.19134628,hoshinoh,2014-01-09T11:37:21Z
C0002N;2320.500,2320.5,2320.5,2320.5,C0002N;2325.500,2325.5,2325.5,2325.5,C0002N-327SMW W,CKY000000000006053500,CARB,NULL,2,sakaguchim,"1-4mm, bulk",CKY,2013-11-17T21:51:21Z,0.3707,3.089,0.062093942,1.374273378,hoshinoh,2014-01-09T11:37:21Z
C0002N;2329.500,2329.5,2329.5,2329.5,C0002N;2329.500,2329.5,2329.5,2329.5,C0002N-331LMW W,CKY000000000006138300,CARB,NULL,20,hitomiy,NULL,CKY,2013-12-14T18:02:41Z,0.2559,2.1324,0.021639255,12.38698195,hoshinoh,2014-01-09T11:37:21Z
