Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0011B-12R-4, 63.0 cm",NULL,NULL,445.88,445.88,445.88,445.88,"C0011B-12R-4, 63.0 cm",NULL,NULL,445.88,445.88,445.88,445.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3572,2.9765,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-12R-6, 0.0 cm",NULL,NULL,446.955,446.955,446.955,446.955,"C0011B-12R-6, 2.0 cm",NULL,NULL,446.975,446.975,446.975,446.975,"C0011B-12R-6 WR, 0.0--2.0 cm",CKY000000000000077210,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-11T00:13:23Z,NULL,NULL,NULL,NULL,0.04202,0.56931,0.14785,9/22/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-12R-6, 1.0 cm",NULL,NULL,446.965,446.965,446.965,446.965,"C0011B-12R-6, 1.0 cm",NULL,NULL,446.965,446.965,446.965,446.965,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3292,2.7432,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,9,0.65,86,6,0.44,0.03,0.11,0.21,0.75,0.02,0.73,0.01,0.07,0.67,26.64,7.6,0.05,0.38,0,424,0.78,466,miyabes,2009-10-08T12:54:16Z
"C0011B-12R-7, 83.0 cm",NULL,NULL,448.155,448.155,448.155,448.155,"C0011B-12R-7, 85.0 cm",NULL,NULL,448.175,448.175,448.175,448.175,"C0011B-12R-7 WR, 83.0--85.0 cm",CKY000000000000098310,CARB,NULL,10,hiranos,NULL,CKY,2009-09-11T04:39:30Z,NULL,NULL,NULL,NULL,0.06104,0.28246,0.08104,9/16/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-12R-7, 84.0 cm",NULL,NULL,448.165,448.165,448.165,448.165,"C0011B-12R-7, 84.0 cm",NULL,NULL,448.165,448.165,448.165,448.165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0545,0.4541,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-13R-3, 30.0 cm",NULL,NULL,453.62,453.62,453.62,453.62,"C0011B-13R-3, 35.0 cm",NULL,NULL,453.67,453.67,453.67,453.67,"C0011B-13R-3 WR, 30.0--35.0 cm",CKY000000000000107410,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-11T09:54:55Z,NULL,NULL,NULL,NULL,0.07003,0.4188,0.07745,9/16/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-13R-3, 32.5 cm",NULL,NULL,453.645,453.645,453.645,453.645,"C0011B-13R-3, 32.5 cm",NULL,NULL,453.645,453.645,453.645,453.645,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0589,0.4908,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,7,0.06,139,7,0.03,0.02,0,0.03,0.26,0.03,0.23,0,0.02,0.39,8.55,1,0.02,0.69,0.1,408,0.28,450,miyabes,2009-10-08T12:54:16Z
"C0011B-13R-4, 51.0 cm",NULL,NULL,454.19,454.19,454.19,454.19,"C0011B-13R-4, 53.0 cm",NULL,NULL,454.21,454.21,454.21,454.21,"C0011B-13R-4 WR, 51.0--53.0 cm",CKY000000000000122910,CARB,NULL,3,hiranos,NULL,CKY,2009-09-11T15:35:18Z,NULL,NULL,NULL,NULL,0.06351,0.3235,0.10912,9/16/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-13R-4, 52.0 cm",NULL,NULL,454.2,454.2,454.2,454.2,"C0011B-13R-4, 52.0 cm",NULL,NULL,454.2,454.2,454.2,454.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.049,0.4083,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-13R-5, 26.0 cm",NULL,NULL,455.35,455.35,455.35,455.35,"C0011B-13R-5, 28.0 cm",NULL,NULL,455.37,455.37,455.37,455.37,"C0011B-13R-5 WR, 26.0--28.0 cm",CKY000000000000124210,CARB,NULL,3,hiranos,NULL,CKY,2009-09-11T15:59:29Z,NULL,NULL,NULL,NULL,0.06591,0.76039,0.26871,9/16/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-13R-5, 27.0 cm",NULL,NULL,455.36,455.36,455.36,455.36,"C0011B-13R-5, 27.0 cm",NULL,NULL,455.36,455.36,455.36,455.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3364,2.8032,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-13R-5, 78.0 cm",NULL,NULL,455.87,455.87,455.87,455.87,"C0011B-13R-5, 80.0 cm",NULL,NULL,455.89,455.89,455.89,455.89,"C0011B-13R-5 W, 78.0--80.0 cm",CKY000000000000135410,CARB,NULL,3,hajime322,NULL,CKY,2009-09-11T22:15:46Z,NULL,NULL,NULL,NULL,0.05145,1.2949,0.20665,9/25/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-13R-5, 79.0 cm",NULL,NULL,455.88,455.88,455.88,455.88,"C0011B-13R-5, 79.0 cm",NULL,NULL,455.88,455.88,455.88,455.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0178,8.4813,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-13R-5, 104.0 cm",NULL,NULL,456.13,456.13,456.13,456.13,"C0011B-13R-5, 106.0 cm",NULL,NULL,456.15,456.15,456.15,456.15,"C0011B-13R-5 W, 104.0--106.0 cm",CKY000000000000135510,CARB,NULL,3,hajime322,NULL,CKY,2009-09-11T22:15:46Z,NULL,NULL,NULL,NULL,0.07108,0.52899,0.32438,9/29/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-13R-5, 105.0 cm",NULL,NULL,456.14,456.14,456.14,456.14,"C0011B-13R-5, 105.0 cm",NULL,NULL,456.14,456.14,456.14,456.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0354,0.295,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-14R-2, 17.5 cm",NULL,NULL,461.585,461.585,461.585,461.585,"C0011B-14R-2, 19.5 cm",NULL,NULL,461.605,461.605,461.605,461.605,"C0011B-14R-2 WR, 17.5--19.5 cm",CKY000000000000127510,CARB,NULL,10,hiranos,NULL,CKY,2009-09-11T18:40:42Z,NULL,NULL,NULL,NULL,0.06356,0.29678,0.1217,9/16/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-14R-2, 18.5 cm",NULL,NULL,461.595,461.595,461.595,461.595,"C0011B-14R-2, 18.5 cm",NULL,NULL,461.595,461.595,461.595,461.595,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0392,0.3267,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-14R-4, 0.0 cm",NULL,NULL,463.155,463.155,463.155,463.155,"C0011B-14R-4, 2.0 cm",NULL,NULL,463.175,463.175,463.175,463.175,"C0011B-14R-4 WR, 0.0--2.0 cm",CKY000000000000113110,CARB,NULL,3,hiranos,NULL,CKY,2009-09-11T12:24:07Z,NULL,NULL,NULL,NULL,0.05624,0.59264,0.58492,9/16/2009,kuriharar,2009-10-02T01:37:55Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-14R-4, 1.0 cm",NULL,NULL,463.165,463.165,463.165,463.165,"C0011B-14R-4, 1.0 cm",NULL,NULL,463.165,463.165,463.165,463.165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1564,1.3033,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-14R-5, 45.0 cm",NULL,NULL,464.07,464.07,464.07,464.07,"C0011B-14R-5, 47.0 cm",NULL,NULL,464.09,464.09,464.09,464.09,"C0011B-14R-5 WR, 45.0--47.0 cm",CKY000000000000128610,CARB,NULL,3,hiranos,NULL,CKY,2009-09-11T18:51:08Z,NULL,NULL,NULL,NULL,0.03184,0.27281,0.21997,9/22/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-14R-5, 46.0 cm",NULL,NULL,464.08,464.08,464.08,464.08,"C0011B-14R-5, 46.0 cm",NULL,NULL,464.08,464.08,464.08,464.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1206,1.005,miyabes,2009-10-02T10:35:34Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-14R-6, 4.0 cm",NULL,NULL,465.075,465.075,465.075,465.075,"C0011B-14R-6, 6.0 cm",NULL,NULL,465.095,465.095,465.095,465.095,"C0011B-14R-6 WR, 4.0--6.0 cm",CKY000000000000130210,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-11T19:07:02Z,NULL,NULL,NULL,NULL,0.06427,0.37388,0.11565,9/16/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-14R-6, 5.0 cm",NULL,NULL,465.085,465.085,465.085,465.085,"C0011B-14R-6, 5.0 cm",NULL,NULL,465.085,465.085,465.085,465.085,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0805,0.6708,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,67,0.05,343,29,0,0.04,0.01,0.05,0.17,0.03,0.14,0,0.14,0.72,5.29,1.8,0.06,0.74,0.1,367,0.21,406,miyabes,2009-10-08T12:54:16Z
"C0011B-15R-1, 103.0 cm",NULL,NULL,470.507,470.53,470.507,470.53,"C0011B-15R-1, 105.0 cm",NULL,NULL,470.526,470.55,470.526,470.55,"C0011B-15R-1 W, 103.0--105.0 cm",CKY000000000000161610,CARB,NULL,3,matt322,NULL,CKY,2009-09-12T19:54:22Z,NULL,NULL,NULL,NULL,0.0612,0.67041,7.08173,9/16/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-15R-1, 104.0 cm",NULL,NULL,470.516,470.54,470.516,470.54,"C0011B-15R-1, 104.0 cm",NULL,NULL,470.516,470.54,470.516,470.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3233,2.6941,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-15R-2, 45.0 cm",NULL,NULL,471.308,471.35,471.308,471.35,"C0011B-15R-2, 47.0 cm",NULL,NULL,471.328,471.37,471.328,471.37,"C0011B-15R-2 WR, 45.0--47.0 cm",CKY000000000000155610,CARB,NULL,10,glenn322,NULL,CKY,2009-09-12T16:35:52Z,NULL,NULL,NULL,NULL,0.0671,0.31602,0.40474,9/16/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-15R-2, 46.0 cm",NULL,NULL,471.318,471.36,471.318,471.36,"C0011B-15R-2, 46.0 cm",NULL,NULL,471.318,471.36,471.318,471.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0292,0.2433,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-15R-2, 111.0 cm",NULL,NULL,471.953,472.01,471.953,472.01,"C0011B-15R-2, 113.0 cm",NULL,NULL,471.972,472.03,471.972,472.03,"C0011B-15R-2 W, 111.0--113.0 cm",CKY000000000000161510,CARB,NULL,3,matt322,NULL,CKY,2009-09-12T19:54:21Z,NULL,NULL,NULL,NULL,0.07145,0.3483,0.22268,9/16/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-15R-2, 112.0 cm",NULL,NULL,471.963,472.02,471.963,472.02,"C0011B-15R-2, 112.0 cm",NULL,NULL,471.963,472.02,471.963,472.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0367,0.3058,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-15R-3, 0.0 cm",NULL,NULL,471.972,472.03,471.972,472.03,"C0011B-15R-3, 2.0 cm",NULL,NULL,471.992,472.05,471.992,472.05,"C0011B-15R-3 WR, 0.0--2.0 cm",CKY000000000000153810,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-12T12:46:32Z,NULL,NULL,NULL,NULL,0.06805,0.32116,0.12142,9/16/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-15R-3, 1.0 cm",NULL,NULL,471.982,472.04,471.982,472.04,"C0011B-15R-3, 1.0 cm",NULL,NULL,471.982,472.04,471.982,472.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0345,0.2875,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,38,0.04,173,23,0,0.03,0.07,0.03,0.23,0.03,0.2,0.01,0.1,0.45,7.51,1.1,0.06,0.65,0.2,406,0.26,445,miyabes,2009-10-08T12:54:16Z
"C0011B-15R-4, 117.0 cm",NULL,NULL,473.624,473.72,473.624,473.72,"C0011B-15R-4, 119.0 cm",NULL,NULL,473.644,473.74,473.644,473.74,"C0011B-15R-4 WR, 117.0--119.0 cm",CKY000000000000157010,CARB,NULL,10,matt322,NULL,CKY,2009-09-12T17:01:34Z,NULL,NULL,NULL,NULL,0.08792,1.09849,0.45536,9/16/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-15R-4, 118.0 cm",NULL,NULL,473.634,473.73,473.634,473.73,"C0011B-15R-4, 118.0 cm",NULL,NULL,473.634,473.73,473.634,473.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3481,2.9007,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-16R-1, 103.0 cm",NULL,NULL,477.83,477.83,477.83,477.83,"C0011B-16R-1, 105.0 cm",NULL,NULL,477.85,477.85,477.85,477.85,"C0011B-16R-1 W, 103.0--105.0 cm",CKY000000000000165010,CARB,NULL,3,hajime322,NULL,CKY,2009-09-12T21:57:30Z,NULL,NULL,NULL,NULL,0.03604,0.25661,0.20612,9/22/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-16R-1, 104.0 cm",NULL,NULL,477.84,477.84,477.84,477.84,"C0011B-16R-1, 104.0 cm",NULL,NULL,477.84,477.84,477.84,477.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.11,0.9166,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-16R-2, 0.0 cm",NULL,NULL,478.21,478.21,478.21,478.21,"C0011B-16R-2, 2.0 cm",NULL,NULL,478.23,478.23,478.23,478.23,"C0011B-16R-2 WR, 0.0--2.0 cm",CKY000000000000157910,CARB,NULL,3,andre322,NULL,CKY,2009-09-12T17:11:52Z,NULL,NULL,NULL,NULL,0.03248,0.24946,0.21236,9/22/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-16R-2, 1.0 cm",NULL,NULL,478.22,478.22,478.22,478.22,"C0011B-16R-2, 1.0 cm",NULL,NULL,478.22,478.22,478.22,478.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1129,0.9408,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,0,0.08,221,43,0,0.01,0,0.08,0.13,0.02,0.11,0,0,0.31,3.86,2.7,0.06,0.41,0.1,435,0.14,474,miyabes,2009-10-08T12:54:16Z
"C0011B-19R-3, 0.0 cm",NULL,NULL,492.597,492.65,492.597,492.65,"C0011B-19R-3, 2.0 cm",NULL,NULL,492.616,492.67,492.616,492.67,"C0011B-19R-3 WR, 0.0--2.0 cm",CKY000000000000171710,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-13T06:27:30Z,NULL,NULL,NULL,NULL,0.06675,0.67391,0.04268,9/16/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-19R-3, 1.0 cm",NULL,NULL,492.607,492.66,492.607,492.66,"C0011B-19R-3, 1.0 cm",NULL,NULL,492.607,492.66,492.607,492.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.356,2.9665,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,15,0.23,385,11,0.01,0.04,0.09,0.21,0.23,0.02,0.21,0,0.04,1.04,7.74,7.7,0.03,0.52,0.1,422,0.27,461,miyabes,2009-10-08T12:54:16Z
"C0011B-19R-4, 20.0 cm",NULL,NULL,493.15,493.22,493.15,493.22,"C0011B-19R-4, 22.0 cm",NULL,NULL,493.169,493.24,493.169,493.24,"C0011B-19R-4 WR, 20.0--22.0 cm",CKY000000000000174210,CARB,NULL,10,brandon322,NULL,CKY,2009-09-13T08:58:52Z,NULL,NULL,NULL,NULL,0.07103,0.3134,0.10017,9/16/2009,kuriharar,2009-10-02T01:37:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-19R-4, 21.0 cm",NULL,NULL,493.159,493.23,493.159,493.23,"C0011B-19R-4, 21.0 cm",NULL,NULL,493.159,493.23,493.159,493.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0387,0.3225,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-19R-4, 74.0 cm",NULL,NULL,493.673,493.76,493.673,493.76,"C0011B-19R-4, 76.0 cm",NULL,NULL,493.693,493.78,493.693,493.78,"C0011B-19R-4 WR, 74.0--76.0 cm",CKY000000000000175010,CARB,NULL,10,brandon322,NULL,CKY,2009-09-13T09:02:00Z,NULL,NULL,NULL,NULL,0.07726,0.88385,0.34508,9/16/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-19R-4, 75.0 cm",NULL,NULL,493.683,493.77,493.683,493.77,"C0011B-19R-4, 75.0 cm",NULL,NULL,493.683,493.77,493.683,493.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3251,2.7091,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
