Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0012D-5H-3, 15.5 cm",NULL,143.683,143.98,143.683,143.98,"C0012D-5H-3, 15.5 cm",NULL,143.683,143.98,143.683,143.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1457,1.2141,kuriharar,2011-01-08T14:24:22Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-5H-4, 30.0 cm",NULL,144.628,145.03,144.628,145.03,"C0012D-5H-4, 32.0 cm",NULL,144.646,145.05,144.646,145.05,"C0012D-5H-4 WR, 30.0--32.0 cm",CKY000000000004596500,CARB,NULL,5,yasunagam,NULL,CKY,2010-12-27T21:41:40Z,NULL,NULL,NULL,NULL,0.06603,0.34786,0.15764,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-5H-4, 31.0 cm",NULL,144.637,145.04,144.637,145.04,"C0012D-5H-4, 31.0 cm",NULL,144.637,145.04,144.637,145.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0454,0.3783,kuriharar,2011-01-08T14:24:22Z,NULL,NULL,NULL,NULL,NULL,NULL,0.01,0,0.11,417,458,ohashia,2011-01-08T22:08:35Z
"C0012D-7H-3, 29.0 cm",NULL,154.834,155.055,154.834,155.055,"C0012D-7H-3, 31.0 cm",NULL,154.852,155.075,154.852,155.075,"C0012D-7H-3 WR, 29.0--31.0 cm",CKY000000000004604900,CARB,NULL,5,marion333,NULL,CKY,2010-12-28T01:07:21Z,NULL,NULL,NULL,NULL,0.05495,0.27233,0.07714,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-7H-3, 30.0 cm",NULL,154.843,155.065,154.843,155.065,"C0012D-7H-3, 30.0 cm",NULL,154.843,155.065,154.843,155.065,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0246,0.205,kuriharar,2011-01-08T14:24:22Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-7H-5, 20.0 cm",NULL,156.345,156.685,156.345,156.685,"C0012D-7H-5, 21.0 cm",NULL,156.355,156.695,156.355,156.695,"C0012D-7H-5 WR, 20.0--21.0 cm",CKY000000000004646700,CARB,NULL,5,asukay333,NULL,CKY,2010-12-28T18:31:41Z,NULL,NULL,NULL,NULL,0.06393,0.34307,0.12706,1/2/2011,kawait,2011-01-08T10:59:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-7H-5, 20.5 cm",NULL,156.35,156.69,156.35,156.69,"C0012D-7H-5, 20.5 cm",NULL,156.35,156.69,156.35,156.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0268,0.2233,kuriharar,2011-01-08T14:24:22Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-8H-3, 56.5 cm",NULL,160.115,160.225,160.115,160.225,"C0012D-8H-3, 57.5 cm",NULL,160.125,160.235,160.125,160.235,"C0012D-8H-3 WR, 56.5--57.5 cm",CKY000000000004647400,CARB,NULL,5,asukay333,NULL,CKY,2010-12-28T18:35:37Z,NULL,NULL,NULL,NULL,0.06519,0.48587,0.18367,1/2/2011,kawait,2011-01-08T10:59:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-8H-3, 57.0 cm",NULL,160.12,160.23,160.12,160.23,"C0012D-8H-3, 57.0 cm",NULL,160.12,160.23,160.12,160.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1551,1.2924,kuriharar,2011-01-08T14:24:22Z,NULL,NULL,NULL,NULL,NULL,NULL,0.01,0,0.08,424,465,ohashia,2011-01-08T22:08:35Z
"C0012D-8H-4, 29.5 cm",NULL,160.552,160.68,160.552,160.68,"C0012D-8H-4, 31.5 cm",NULL,160.571,160.7,160.571,160.7,"C0012D-8H-4 WR, 29.5--31.5 cm",CKY000000000004607100,CARB,NULL,5,marion333,NULL,CKY,2010-12-28T02:33:12Z,NULL,NULL,NULL,NULL,0.06803,0.51114,0.08576,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-8H-4, 30.5 cm",NULL,160.561,160.69,160.561,160.69,"C0012D-8H-4, 30.5 cm",NULL,160.561,160.69,160.561,160.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1576,1.3133,kuriharar,2011-01-08T14:24:22Z,NULL,NULL,NULL,NULL,NULL,NULL,0.04,0,0.1,420,461,ohashia,2011-01-08T22:08:35Z
"C0012D-9H-3, 119.5 cm",NULL,165.737,166.51,165.737,166.51,"C0012D-9H-3, 120.5 cm",NULL,165.745,166.52,165.745,166.52,"C0012D-9H-3 WR, 119.5--120.5 cm",CKY000000000004648300,CARB,NULL,5,asukay333,NULL,CKY,2010-12-28T18:42:33Z,NULL,NULL,NULL,NULL,0.06401,0.35671,0.10086,1/2/2011,kawait,2011-01-08T10:59:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-9H-3, 120.0 cm",NULL,165.741,166.515,165.741,166.515,"C0012D-9H-3, 120.0 cm",NULL,165.741,166.515,165.741,166.515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0693,0.5775,kuriharar,2011-01-08T14:24:22Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-10H-2, 8.0 cm",NULL,167.798,168.495,167.798,168.495,"C0012D-10H-2, 9.0 cm",NULL,167.804,168.505,167.804,168.505,"C0012D-10H-2 WR, 8.0--9.0 cm",CKY000000000004650500,CARB,NULL,5,asukay333,NULL,CKY,2010-12-28T18:50:59Z,NULL,NULL,NULL,NULL,0.06536,0.58795,0.21077,1/2/2011,kawait,2011-01-08T10:59:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-10H-2, 8.5 cm",NULL,167.801,168.5,167.801,168.5,"C0012D-10H-2, 8.5 cm",NULL,167.801,168.5,167.801,168.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2813,2.3441,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,0.11,0.01,0.07,405,446,ohashia,2011-01-08T22:08:35Z
"C0012D-10H-2, 88.5 cm",NULL,168.228,169.3,168.228,169.3,"C0012D-10H-2, 89.5 cm",NULL,168.233,169.31,168.233,169.31,"C0012D-10H-2 WR, 88.5--89.5 cm",CKY000000000004651100,CARB,NULL,5,asukay333,NULL,CKY,2010-12-28T18:50:59Z,NULL,NULL,NULL,NULL,0.06249,0.64707,0.06171,1/5/2011,kawait,2011-01-08T10:59:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-10H-2, 89.0 cm",NULL,168.231,169.305,168.231,169.305,"C0012D-10H-2, 89.0 cm",NULL,168.231,169.305,168.231,169.305,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2934,2.4449,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-10H-3, 31.0 cm",NULL,168.506,169.82,168.506,169.82,"C0012D-10H-3, 33.0 cm",NULL,168.516,169.84,168.516,169.84,"C0012D-10H-3 WR, 31.0--33.0 cm",CKY000000000004623400,CARB,NULL,3,bora333,NULL,CKY,2010-12-28T06:18:40Z,NULL,NULL,NULL,NULL,0.06395,0.53248,0.13702,1/5/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-10H-3, 32.0 cm",NULL,168.511,169.83,168.511,169.83,"C0012D-10H-3, 32.0 cm",NULL,168.511,169.83,168.511,169.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2108,1.7566,kuriharar,2011-01-08T14:24:21Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-11H-2, 30.0 cm",NULL,171.452,172.185,171.452,172.185,"C0012D-11H-2, 32.0 cm",NULL,171.463,172.205,171.463,172.205,"C0012D-11H-2 WR, 30.0--32.0 cm",CKY000000000004625700,CARB,NULL,3,bora333,NULL,CKY,2010-12-28T08:07:33Z,NULL,NULL,NULL,NULL,0.06296,0.33756,0.13302,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-11H-2, 31.0 cm",NULL,171.458,172.195,171.458,172.195,"C0012D-11H-2, 31.0 cm",NULL,171.458,172.195,171.458,172.195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0607,0.5058,kuriharar,2011-01-08T14:24:21Z,NULL,NULL,NULL,NULL,NULL,NULL,0.01,0,0.06,427,468,ohashia,2011-01-08T22:08:35Z
"C0012D-12H-3, 27.0 cm",NULL,174.546,174.985,174.546,174.985,"C0012D-12H-3, 29.0 cm",NULL,174.56,175.005,174.56,175.005,"C0012D-12H-3 WR, 27.0--29.0 cm",CKY000000000004652600,CARB,NULL,10,asukay333,NULL,CKY,2010-12-28T18:55:52Z,NULL,NULL,NULL,NULL,0.05609,1.4504,0.06528,1/2/2011,kawait,2011-01-08T10:59:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-12H-3, 28.0 cm",NULL,174.553,174.995,174.553,174.995,"C0012D-12H-3, 28.0 cm",NULL,174.553,174.995,174.553,174.995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.1564,9.6363,kuriharar,2011-01-08T14:24:21Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-13H-1, 124.5 cm",NULL,176.848,177.245,176.848,177.245,"C0012D-13H-1, 125.5 cm",NULL,176.855,177.255,176.855,177.255,"C0012D-13H-1 WR, 124.5--125.5 cm",CKY000000000004653200,CARB,NULL,5,asukay333,NULL,CKY,2010-12-28T18:59:59Z,NULL,NULL,NULL,NULL,0.05478,0.66758,0.08741,1/2/2011,kawait,2011-01-08T10:59:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-13H-1, 125.0 cm",NULL,176.851,177.25,176.851,177.25,"C0012D-13H-1, 125.0 cm",NULL,176.851,177.25,176.851,177.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3186,2.6549,kuriharar,2011-01-08T14:24:21Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-13H-4, 31.0 cm",NULL,178.873,180.22,178.873,180.22,"C0012D-13H-4, 33.0 cm",NULL,178.887,180.24,178.887,180.24,"C0012D-13H-4 WR, 31.0--33.0 cm",CKY000000000004632300,CARB,NULL,3,bora333,NULL,CKY,2010-12-28T11:14:01Z,NULL,NULL,NULL,NULL,0.04388,0.84809,0.10785,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012D-13H-4, 32.0 cm",NULL,178.88,180.23,178.88,180.23,"C0012D-13H-4, 32.0 cm",NULL,178.88,180.23,178.88,180.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5796,4.8298,kuriharar,2011-01-08T14:24:21Z,NULL,NULL,NULL,NULL,NULL,NULL,0.01,0,0.04,413,454,ohashia,2011-01-08T22:08:35Z
