Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0011C-2H-8, 19.0 cm",NULL,10.258,10.535,10.258,10.535,"C0011C-2H-8, 21.0 cm",NULL,10.277,10.555,10.277,10.555,"C0011C-2H-8 WR, 19.0--21.0 cm",CKY000000000003990000,CARB,NULL,5,marion333,NULL,CKY,2010-12-18T18:34:40Z,NULL,NULL,NULL,NULL,0.04567,1.59609,0.10456,12/26/2010,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-2H-8, 20.0 cm",NULL,10.267,10.545,10.267,10.545,"C0011C-2H-8, 20.0 cm",NULL,10.267,10.545,10.267,10.545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.2353,10.2938,kuriharar,2011-01-08T14:24:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-2H-9, 8.0 cm",NULL,10.354,10.635,10.354,10.635,"C0011C-2H-9, 9.0 cm",NULL,10.363,10.645,10.363,10.645,"C0011C-2H-9 WR, 8.0--9.0 cm",CKY000000000004017300,CARB,NULL,5,marion333,NULL,CKY,2010-12-19T02:44:04Z,NULL,NULL,NULL,NULL,0.05201,1.25777,0.0391,1/3/2011,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-2H-9, 8.5 cm",NULL,10.358,10.64,10.358,10.64,"C0011C-2H-9, 8.5 cm",NULL,10.358,10.64,10.358,10.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8612,7.1764,kuriharar,2011-01-08T14:24:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-2H-10, 20.0 cm",NULL,11.622,11.955,11.622,11.955,"C0011C-2H-10, 22.0 cm",NULL,11.641,11.975,11.641,11.975,"C0011C-2H-10 WR, 20.0--22.0 cm",CKY000000000003990800,CARB,NULL,5,yasunagam,NULL,CKY,2010-12-18T18:39:22Z,NULL,NULL,NULL,NULL,0.05457,1.53582,0.04628,1/2/2011,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-2H-10, 21.0 cm",NULL,11.631,11.965,11.631,11.965,"C0011C-2H-10, 21.0 cm",NULL,11.631,11.965,11.631,11.965,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.101203125,9.176325637,kuriharar,2011-01-08T14:24:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-3H-1, 47.0 cm",NULL,13.442,13.47,13.442,13.47,"C0011C-3H-1, 48.0 cm",NULL,13.451,13.48,13.451,13.48,"C0011C-3H-1 WR, 47.0--48.0 cm",CKY000000000004025600,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-19T05:38:56Z,NULL,NULL,NULL,NULL,0.02651,0.95038,0.0733,12/26/2010,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-3H-1, 47.5 cm",NULL,13.446,13.475,13.446,13.475,"C0011C-3H-1, 47.5 cm",NULL,13.446,13.475,13.446,13.475,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6727,5.6056,kuriharar,2011-01-08T14:24:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-3H-8, 20.0 cm",NULL,19.658,20.085,19.658,20.085,"C0011C-3H-8, 22.0 cm",NULL,19.676,20.105,19.676,20.105,"C0011C-3H-8 WR, 20.0--22.0 cm",CKY000000000003988400,CARB,NULL,5,yasunagam,NULL,CKY,2010-12-18T18:30:38Z,NULL,NULL,NULL,NULL,0.05545,1.36393,0.06956,1/2/2011,kawait,2011-01-08T10:59:03Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-3H-8, 21.0 cm",NULL,19.667,20.095,19.667,20.095,"C0011C-3H-8, 21.0 cm",NULL,19.667,20.095,19.667,20.095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.936034563,7.799976015,kuriharar,2011-01-08T14:24:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-3H-9, 20.0 cm",NULL,19.864,20.305,19.864,20.305,"C0011C-3H-9, 21.0 cm",NULL,19.874,20.315,19.874,20.315,"C0011C-3H-9 WR, 20.0--21.0 cm",CKY000000000004025700,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-19T05:40:44Z,NULL,NULL,NULL,NULL,0.05392,1.9772,0.07458,12/26/2010,kawait,2011-01-08T10:59:04Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011C-3H-9, 20.5 cm",NULL,19.869,20.31,19.869,20.31,"C0011C-3H-9, 20.5 cm",NULL,19.869,20.31,19.869,20.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5995,13.3286,kuriharar,2011-01-08T14:24:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
