Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0002K-4T-4, 101.0 cm",NULL,217.125,217.125,217.125,217.125,"C0002K-4T-4, 104.0 cm",NULL,217.155,217.155,217.155,217.155,"C0002K-4T-4 W, 101.0--104.0 cm",CKY000000000001342610,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-21T07:06:20Z,0.2453,2.0441,0.045892506,0.561128245,0.088184449,ohashia,2013-02-05T04:36:12Z
"C0002K-5T-1, 14.0 cm",NULL,220.14,220.14,220.14,220.14,"C0002K-5T-1, 17.0 cm",NULL,220.17,220.17,220.17,220.17,"C0002K-5T-1 W, 14.0--17.0 cm",CKY000000000001357310,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-21T12:40:13Z,0.5246,4.3715,0.081913724,1.034028859,0.147099805,ohashia,2013-02-05T04:36:12Z
"C0002K-5T-4, 73.0 cm",NULL,223.34,223.34,223.34,223.34,"C0002K-5T-4, 76.0 cm",NULL,223.37,223.37,223.37,223.37,"C0002K-5T-4 W, 73.0--76.0 cm",CKY000000000001357610,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-21T12:40:13Z,1.5088,12.5728,0.117190002,2.48027702,0.18481096,ohashia,2013-02-05T04:36:12Z
"C0002K-5T-7, 0.0 cm",NULL,224.515,224.515,224.515,224.515,"C0002K-5T-7, 3.0 cm",NULL,224.545,224.545,224.545,224.545,"C0002K-5T-7 W, 0.0--3.0 cm",CKY000000000001357910,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-21T12:40:13Z,1.4314,11.9279,0.110053725,2.334797809,0.160229747,ohashia,2013-02-05T04:36:12Z
"C0002K-6T-2, 70.0 cm",NULL,231.2,231.2,231.2,231.2,"C0002K-6T-2, 77.0 cm",NULL,231.27,231.27,231.27,231.27,"C0002K-6T-2 W, 70.0--77.0 cm",CKY000000000001364210,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-21T23:07:01Z,1.2614,10.5112,0.087325951,1.948808862,0.268118284,ohashia,2013-02-05T04:36:12Z
"C0002K-6T-4, 17.0 cm",NULL,231.815,231.815,231.815,231.815,"C0002K-6T-4, 20.0 cm",NULL,231.845,231.845,231.845,231.845,"C0002K-6T-4 WR, 17.0--20.0 cm",CKY000000000001347910,CARB,NULL,3,oohashi338,NULL,CKY,2012-12-21T10:01:24Z,0.4399,3.6657,0.066415309,0.965101044,0.093516976,ohashia,2013-02-05T04:36:12Z
"C0002K-6T-4, 95.0 cm",NULL,232.595,232.595,232.595,232.595,"C0002K-6T-4, 98.0 cm",NULL,232.625,232.625,232.625,232.625,"C0002K-6T-4 WR, 95.0--98.0 cm",CKY000000000001348710,CARB,NULL,3,oohashi338,NULL,CKY,2012-12-21T10:01:24Z,0.6394,5.3281,0.059580908,1.170338676,0.1471312,ohashia,2013-02-05T04:36:12Z
"C0002K-7X-1, 46.0 cm",NULL,239.46,239.46,239.46,239.46,"C0002K-7X-1, 48.0 cm",NULL,239.48,239.48,239.48,239.48,"C0002K-7X-1 WR, 46.0--48.0 cm",CKY000000000001359310,CARB,NULL,3,oohashi338,NULL,CKY,2012-12-21T17:00:41Z,0.5163,4.3023,0.078732103,1.144708475,0.087649501,ohashia,2013-02-05T04:36:12Z
"C0002K-7X-2, 38.0 cm",NULL,239.98,239.98,239.98,239.98,"C0002K-7X-2, 40.0 cm",NULL,240,240,240,240,"C0002K-7X-2 WR, 38.0--40.0 cm",CKY000000000001362610,CARB,NULL,3,oohashi338,NULL,CKY,2012-12-21T16:08:31Z,0.4646,3.8715,0.071643804,1.104938444,0.130349032,ohashia,2013-02-05T04:36:12Z
"C0002K-7X-4, 63.0 cm",NULL,241.43,241.43,241.43,241.43,"C0002K-7X-4, 65.0 cm",NULL,241.45,241.45,241.45,241.45,"C0002K-7X-4 WR, 63.0--65.0 cm",CKY000000000001360410,CARB,NULL,3,esteban338,NULL,CKY,2012-12-21T14:23:56Z,0.5576,4.6465,0.07000895,1.146944431,0.134938551,ohashia,2013-02-05T04:36:12Z
"C0002K-7X-4, 106.0 cm",NULL,241.86,241.86,241.86,241.86,"C0002K-7X-4, 109.0 cm",NULL,241.89,241.89,241.89,241.89,"C0002K-7X-4 W, 106.0--109.0 cm",CKY000000000001367510,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-22T01:15:33Z,0.3333,2.7774,0.064610541,0.83773496,0.102965735,ohashia,2013-02-05T04:36:12Z
"C0002K-7X-6, 77.0 cm",NULL,242.975,242.975,242.975,242.975,"C0002K-7X-6, 79.0 cm",NULL,242.995,242.995,242.995,242.995,"C0002K-7X-6 WR, 77.0--79.0 cm",CKY000000000001363410,CARB,NULL,3,oohashi338,NULL,CKY,2012-12-21T16:29:57Z,0.3966,3.3049,0.067890169,0.980902808,0.135229952,ohashia,2013-02-05T04:36:12Z
"C0002K-8X-1, 110.0 cm",NULL,249.6,249.6,249.6,249.6,"C0002K-8X-1, 113.0 cm",NULL,249.63,249.63,249.63,249.63,"C0002K-8X-1 W, 110.0--113.0 cm",CKY000000000001373210,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-22T04:17:16Z,2.4987,20.8217,0.082359314,3.036187626,0.023337803,ohashia,2013-02-05T04:36:12Z
"C0002K-8X-3, 0.0 cm",NULL,250.395,250.395,250.395,250.395,"C0002K-8X-3, 3.0 cm",NULL,250.425,250.425,250.425,250.425,"C0002K-8X-3 W, 0.0--3.0 cm",CKY000000000001373510,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-22T04:17:17Z,0.7656,6.3797,0.076181467,1.361588368,0.135055283,ohashia,2013-02-05T04:36:12Z
"C0002K-8X-5, 116.0 cm",NULL,254.215,254.215,254.215,254.215,"C0002K-8X-5, 119.0 cm",NULL,254.245,254.245,254.245,254.245,"C0002K-8X-5 W, 116.0--119.0 cm",CKY000000000001374210,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-22T04:17:17Z,0.748,6.2331,0.090284535,1.443686935,0.543913879,ohashia,2013-02-05T04:36:12Z
"C0002K-9X-2, 43.5 cm",NULL,259.434,259.44,259.434,259.44,"C0002K-9X-2, 45.5 cm",NULL,259.454,259.46,259.454,259.46,"C0002K-9X-2 W, 43.5--45.5 cm",CKY000000000001386310,CARB,NULL,4,kitajima338,NULL,CKY,2012-12-22T07:58:52Z,0.611,5.0915,0.084736453,1.237015413,0.099183048,ohashia,2013-02-05T04:36:12Z
"C0002K-9X-4, 0.0 cm",NULL,260.375,260.385,260.375,260.385,"C0002K-9X-4, 8.0 cm",NULL,260.455,260.465,260.455,260.465,"C0002K-9X-4 W, 0.0--8.0 cm",CKY000000000001383810,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-22T06:50:47Z,0.6483,5.4023,0.065773338,1.081514375,0.370227678,ohashia,2013-02-05T04:36:12Z
"C0002K-9X-5, 20.0 cm",NULL,261.973,261.99,261.973,261.99,"C0002K-9X-5, 22.0 cm",NULL,261.993,262.01,261.993,262.01,"C0002K-9X-5 WR, 20.0--22.0 cm",CKY000000000001368910,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-22T03:06:04Z,0.6757,5.6306,0.102726273,1.415331825,0.132102644,ohashia,2013-02-05T04:36:12Z
"C0002K-9X-6, 19.0 cm",NULL,263.358,263.38,263.358,263.38,"C0002K-9X-6, 21.0 cm",NULL,263.377,263.4,263.377,263.4,"C0002K-9X-6 W, 19.0--21.0 cm",CKY000000000001386610,CARB,NULL,4,kitajima338,NULL,CKY,2012-12-22T07:58:52Z,0.175,1.4583,0.033505084,0.405650945,0.130079466,ohashia,2013-02-05T04:36:12Z
"C0002K-9X-7, 7.0 cm",NULL,264.642,264.67,264.642,264.67,"C0002K-9X-7, 9.0 cm",NULL,264.662,264.69,264.662,264.69,"C0002K-9X-7 W, 7.0--9.0 cm",CKY000000000001386910,CARB,NULL,4,kitajima338,NULL,CKY,2012-12-22T07:58:52Z,0.7256,6.0464,0.081834107,1.405629108,0.141273948,ohashia,2013-02-05T04:36:12Z
"C0002K-10X-3, 0.0 cm",NULL,268.185,268.185,268.185,268.185,"C0002K-10X-3, 3.0 cm",NULL,268.215,268.215,268.215,268.215,"C0002K-10X-3 W, 0.0--3.0 cm",CKY000000000001389710,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-22T10:14:00Z,0.4229,3.524,0.063658298,0.979868367,0.14018534,ohashia,2013-02-05T04:36:12Z
"C0002K-10X-5, 135.0 cm",NULL,271.67,271.67,271.67,271.67,"C0002K-10X-5, 138.0 cm",NULL,271.7,271.7,271.7,271.7,"C0002K-10X-5 W, 135.0--138.0 cm",CKY000000000001390410,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-22T10:14:00Z,0.9172,7.643,0.099132442,1.677056244,0.095045239,ohashia,2013-02-05T04:36:12Z
"C0002K-10X-7, 16.0 cm",NULL,273.31,273.31,273.31,273.31,"C0002K-10X-7, 19.0 cm",NULL,273.34,273.34,273.34,273.34,"C0002K-10X-7 W, 16.0--19.0 cm",CKY000000000001390710,CARB,NULL,3,skarbek338,NULL,CKY,2012-12-22T10:30:49Z,0.7915,6.5956,0.089215709,1.507787106,0.105146662,ohashia,2013-02-05T04:36:12Z
"C0002K-11X-1, 26.0 cm",NULL,277.26,277.26,277.26,277.26,"C0002K-11X-1, 32.0 cm",NULL,277.32,277.32,277.32,277.32,"C0002K-11X-1 WR, 26.0--32.0 cm",CKY000000000001369710,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-22T03:18:03Z,1.0756,8.963,0.080043062,1.561109461,0.065927588,ohashia,2013-02-05T04:36:12Z
"C0002K-11X-3, 2.0 cm",NULL,277.75,277.75,277.75,277.75,"C0002K-11X-3, 4.0 cm",NULL,277.77,277.77,277.77,277.77,"C0002K-11X-3 W, 2.0--4.0 cm",CKY000000000001391110,CARB,NULL,3,esteban338,NULL,CKY,2012-12-22T10:20:21Z,0.2569,2.1407,0.056134356,0.656763783,0.078150844,ohashia,2013-02-05T04:36:12Z
"C0002K-11X-4, 63.0 cm",NULL,279.85,279.85,279.85,279.85,"C0002K-11X-4, 65.0 cm",NULL,279.87,279.87,279.87,279.87,"C0002K-11X-4 WR, 63.0--65.0 cm",CKY000000000001370510,CARB,NULL,3,kitajima338,NULL,CKY,2012-12-22T03:21:18Z,0.5829,4.8573,0.081339551,1.163041111,0.092650054,ohashia,2013-02-05T04:36:12Z
