Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0012A-27R-3, 9.5 cm",NULL,292.465,292.465,292.465,292.465,"C0012A-27R-3, 9.5 cm",NULL,292.465,292.465,292.465,292.465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0818,0.6816,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-27R-3, 88.5 cm",NULL,293.255,293.255,293.255,293.255,"C0012A-27R-3, 91.0 cm",NULL,293.28,293.28,293.28,293.28,"C0012A-27R-3 WR, 88.5--91.0 cm",CKY000000000000746910,CARB,NULL,10,matt322,NULL,CKY,2009-09-28T20:24:01Z,NULL,NULL,NULL,NULL,0.0613,0.38916,0.25945,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-27R-3, 89.8 cm",NULL,293.268,293.268,293.268,293.268,"C0012A-27R-3, 89.8 cm",NULL,293.268,293.268,293.268,293.268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.093820598,0.781807041,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-27R-4, 16.0 cm",NULL,293.62,293.62,293.62,293.62,"C0012A-27R-4, 18.0 cm",NULL,293.64,293.64,293.64,293.64,"C0012A-27R-4 WR, 16.0--18.0 cm",CKY000000000000747710,CARB,NULL,10,matt322,NULL,CKY,2009-09-28T20:27:19Z,NULL,NULL,NULL,NULL,0.05784,0.77632,0.10525,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-27R-4, 17.0 cm",NULL,293.63,293.63,293.63,293.63,"C0012A-27R-4, 17.0 cm",NULL,293.63,293.63,293.63,293.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4529,3.774,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-27R-5, 48.0 cm",NULL,295.295,295.295,295.295,295.295,"C0012A-27R-5, 50.0 cm",NULL,295.315,295.315,295.315,295.315,"C0012A-27R-5 WR, 48.0--50.0 cm",CKY000000000000749710,CARB,NULL,10,matt322,NULL,CKY,2009-09-28T20:30:21Z,NULL,NULL,NULL,NULL,0.054,0.34848,0.04958,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-27R-5, 49.0 cm",NULL,295.305,295.305,295.305,295.305,"C0012A-27R-5, 49.0 cm",NULL,295.305,295.305,295.305,295.305,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1198,0.9983,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-28R-2, 10.0 cm",NULL,302.255,302.255,302.255,302.255,"C0012A-28R-2, 12.0 cm",NULL,302.275,302.275,302.275,302.275,"C0012A-28R-2 WR, 10.0--12.0 cm",CKY000000000000742610,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-28T19:23:16Z,NULL,NULL,NULL,NULL,0.05654,0.30557,0.12314,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-28R-2, 11.0 cm",NULL,302.265,302.265,302.265,302.265,"C0012A-28R-2, 11.0 cm",NULL,302.265,302.265,302.265,302.265,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.050661337,0.422160923,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,63,0.06,384,5,0.02,0.03,0.12,0.04,0.16,0.01,0.15,0.02,0.12,0.73,5.67,1.3,0.01,0.18,0.1,605,0.19,646,miyabes,2009-10-08T12:56:01Z
"C0012A-29R-1, 49.0 cm",NULL,311.19,311.19,311.19,311.19,"C0012A-29R-1, 52.0 cm",NULL,311.22,311.22,311.22,311.22,"C0012A-29R-1 WR, 49.0--52.0 cm",CKY000000000000761810,CARB,NULL,8,brandon322,NULL,CKY,2009-09-29T00:22:28Z,NULL,NULL,NULL,NULL,0.0527,0.48225,0.10488,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-29R-1, 50.5 cm",NULL,311.205,311.205,311.205,311.205,"C0012A-29R-1, 50.5 cm",NULL,311.205,311.205,311.205,311.205,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2196,1.8299,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-29R-2, 13.0 cm",NULL,312.225,312.225,312.225,312.225,"C0012A-29R-2, 15.0 cm",NULL,312.245,312.245,312.245,312.245,"C0012A-29R-2 WR, 13.0--15.0 cm",CKY000000000000762610,CARB,NULL,8,brandon322,NULL,CKY,2009-09-29T00:25:53Z,NULL,NULL,NULL,NULL,0.05314,0.59083,0.14539,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-29R-2, 14.0 cm",NULL,312.235,312.235,312.235,312.235,"C0012A-29R-2, 14.0 cm",NULL,312.235,312.235,312.235,312.235,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.325729503,2.714303945,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-29R-3, 0.0 cm",NULL,312.57,312.57,312.57,312.57,"C0012A-29R-3, 3.0 cm",NULL,312.6,312.6,312.6,312.6,"C0012A-29R-3 WR, 0.0--3.0 cm",CKY000000000000754010,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-28T22:16:53Z,NULL,NULL,NULL,NULL,0.05508,0.47896,0.09017,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-29R-3, 1.5 cm",NULL,312.585,312.585,312.585,312.585,"C0012A-29R-3, 1.5 cm",NULL,312.585,312.585,312.585,312.585,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.188633047,1.571879181,miyabes,2009-10-08T11:29:45Z,NULL,NULL,NULL,NULL,NULL,NULL,45,0.13,436,5,0,0.04,0.08,0.13,0.18,0.03,0.15,0.01,0.1,0.96,5.41,4.7,0.01,0.71,0.1,427,0.22,468,miyabes,2009-10-08T12:56:01Z
"C0012A-31R-1, 40.5 cm",NULL,330.105,330.105,330.105,330.105,"C0012A-31R-1, 45.5 cm",NULL,330.155,330.155,330.155,330.155,"C0012A-31R-1 WR, 40.5--45.5 cm",CKY000000000000783710,CARB,NULL,8,brandon322,NULL,CKY,2009-09-29T07:36:43Z,NULL,NULL,NULL,NULL,0.05031,0.38354,0.05559,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-31R-1, 43.0 cm",NULL,330.13,330.13,330.13,330.13,"C0012A-31R-1, 43.0 cm",NULL,330.13,330.13,330.13,330.13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.144220802,1.20179194,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-31R-2, 38.0 cm",NULL,330.535,330.535,330.535,330.535,"C0012A-31R-2, 43.0 cm",NULL,330.585,330.585,330.585,330.585,"C0012A-31R-2 WR, 38.0--43.0 cm",CKY000000000000784510,CARB,NULL,8,brandon322,NULL,CKY,2009-09-29T07:39:10Z,NULL,NULL,NULL,NULL,0.05305,0.42084,0.09269,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-31R-2, 40.5 cm",NULL,330.56,330.56,330.56,330.56,"C0012A-31R-2, 40.5 cm",NULL,330.56,330.56,330.56,330.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.149765033,1.247992017,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-31R-3, 0.0 cm",NULL,330.585,330.585,330.585,330.585,"C0012A-31R-3, 3.0 cm",NULL,330.615,330.615,330.615,330.615,"C0012A-31R-3 WR, 0.0--3.0 cm",CKY000000000000777310,CARB,NULL,3,brandon322,NULL,CKY,2009-09-29T04:34:28Z,NULL,NULL,NULL,NULL,0.0529,0.27892,0.12543,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-31R-3, 1.5 cm",NULL,330.6,330.6,330.6,330.6,"C0012A-31R-3, 1.5 cm",NULL,330.6,330.6,330.6,330.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.050444434,0.420353467,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-31R-4, 64.0 cm",NULL,331.71,331.71,331.71,331.71,"C0012A-31R-4, 67.0 cm",NULL,331.74,331.74,331.74,331.74,"C0012A-31R-4 WR, 64.0--67.0 cm",CKY000000000000785310,CARB,NULL,8,brandon322,NULL,CKY,2009-09-29T07:41:30Z,NULL,NULL,NULL,NULL,0.05767,0.38413,0.15531,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-31R-4, 65.5 cm",NULL,331.725,331.725,331.725,331.725,"C0012A-31R-4, 65.5 cm",NULL,331.725,331.725,331.725,331.725,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.046996971,0.391625756,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-31R-4, 105.0 cm",NULL,332.12,332.12,332.12,332.12,"C0012A-31R-4, 107.0 cm",NULL,332.14,332.14,332.14,332.14,"C0012A-31R-4 W, 105.0--107.0 cm",CKY000000000000794110,CARB,NULL,3,glenn322,NULL,CKY,2009-09-29T13:23:29Z,NULL,NULL,NULL,NULL,0.02192,4.15421,0,10/6/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-31R-4, 106.0 cm",NULL,332.13,332.13,332.13,332.13,"C0012A-31R-4, 106.0 cm",NULL,332.13,332.13,332.13,332.13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.755552727,31.29502088,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-31R-5, 70.0 cm",NULL,333.09,333.09,333.09,333.09,"C0012A-31R-5, 72.0 cm",NULL,333.11,333.11,333.11,333.11,"C0012A-31R-5 WR, 70.0--72.0 cm",CKY000000000000786210,CARB,NULL,8,brandon322,NULL,CKY,2009-09-29T07:44:32Z,NULL,NULL,NULL,NULL,0.05341,0.44516,0.05062,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-31R-5, 71.0 cm",NULL,333.1,333.1,333.1,333.1,"C0012A-31R-5, 71.0 cm",NULL,333.1,333.1,333.1,333.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1955,1.6291,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-32R-1, 8.0 cm",NULL,339.28,339.28,339.28,339.28,"C0012A-32R-1, 11.0 cm",NULL,339.31,339.31,339.31,339.31,"C0012A-32R-1 WR, 8.0--11.0 cm",CKY000000000000788610,CARB,NULL,8,brandon322,NULL,CKY,2009-09-29T10:16:24Z,NULL,NULL,NULL,NULL,0.05007,0.29405,0.08589,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-32R-1, 9.5 cm",NULL,339.295,339.295,339.295,339.295,"C0012A-32R-1, 9.5 cm",NULL,339.295,339.295,339.295,339.295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.058535796,0.487778785,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-32R-2, 41.0 cm",NULL,340.54,340.54,340.54,340.54,"C0012A-32R-2, 43.5 cm",NULL,340.565,340.565,340.565,340.565,"C0012A-32R-2 WR, 41.0--43.5 cm",CKY000000000000782010,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-29T07:24:41Z,NULL,NULL,NULL,NULL,0.04991,0.7577,0.03944,10/5/2009,miyabes,2009-10-08T10:49:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-32R-2, 42.3 cm",NULL,340.553,340.553,340.553,340.553,"C0012A-32R-2, 42.3 cm",NULL,340.553,340.553,340.553,340.553,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.498503554,4.154030112,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,33,0.32,529,5,0.03,0.04,0.04,0.29,0.17,0.01,0.16,0,0.07,1.11,5.88,10.6,0.01,0.22,0.1,429,0.21,470,miyabes,2009-10-08T12:56:01Z
"C0012A-32R-3, 23.0 cm",NULL,341.045,341.045,341.045,341.045,"C0012A-32R-3, 25.0 cm",NULL,341.065,341.065,341.065,341.065,"C0012A-32R-3 WR, 23.0--25.0 cm",CKY000000000000789610,CARB,NULL,8,brandon322,NULL,CKY,2009-09-29T10:19:23Z,NULL,NULL,NULL,NULL,0.05575,0.56951,0.26177,10/5/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-32R-3, 24.0 cm",NULL,341.055,341.055,341.055,341.055,"C0012A-32R-3, 24.0 cm",NULL,341.055,341.055,341.055,341.055,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.199884678,1.665639021,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-32R-CC, 8.0 cm",NULL,343.22,343.22,343.22,343.22,"C0012A-32R-CC, 10.0 cm",NULL,343.24,343.24,343.24,343.24,"C0012A-32R-CC W, 8.0--10.0 cm",CKY000000000000799810,CARB,NULL,3,hajime322,NULL,CKY,2009-09-29T14:52:39Z,NULL,NULL,NULL,NULL,0.01516,4.46095,0,10/6/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-32R-CC, 9.0 cm",NULL,343.23,343.23,343.23,343.23,"C0012A-32R-CC, 9.0 cm",NULL,343.23,343.23,343.23,343.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.382941646,36.52305274,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-33R-2, 0.0 cm",NULL,349.21,349.21,349.21,349.21,"C0012A-33R-2, 2.0 cm",NULL,349.23,349.23,349.23,349.23,"C0012A-33R-2 WR, 0.0--2.0 cm",CKY000000000000791110,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-29T11:38:47Z,NULL,NULL,NULL,NULL,0.0285,0.53974,0.11387,10/5/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-33R-2, 1.0 cm",NULL,349.22,349.22,349.22,349.22,"C0012A-33R-2, 1.0 cm",NULL,349.22,349.22,349.22,349.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.35813867,2.984369539,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,42,0.26,650,8,0.02,0.03,0.05,0.24,0.09,0,0.09,0,0.05,0.78,3.27,8.9,0.01,0.1,0,430,0.12,471,miyabes,2009-10-08T12:56:01Z
"C0012A-33R-4, 26.0 cm",NULL,351.28,351.28,351.28,351.28,"C0012A-33R-4, 28.0 cm",NULL,351.3,351.3,351.3,351.3,"C0012A-33R-4 WR, 26.0--28.0 cm",CKY000000000000795210,CARB,NULL,10,matt322,NULL,CKY,2009-09-29T13:41:57Z,NULL,NULL,NULL,NULL,0.04572,1.09995,0.1614,10/5/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-33R-4, 27.0 cm",NULL,351.29,351.29,351.29,351.29,"C0012A-33R-4, 27.0 cm",NULL,351.29,351.29,351.29,351.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.818231748,6.818325159,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-33R-5, 12.0 cm",NULL,352.385,352.385,352.385,352.385,"C0012A-33R-5, 14.0 cm",NULL,352.405,352.405,352.405,352.405,"C0012A-33R-5 WR, 12.0--14.0 cm",CKY000000000000796110,CARB,NULL,10,matt322,NULL,CKY,2009-09-29T13:46:12Z,NULL,NULL,NULL,NULL,0.05073,0.34381,0.16161,10/5/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-33R-5, 13.0 cm",NULL,352.395,352.395,352.395,352.395,"C0012A-33R-5, 13.0 cm",NULL,352.395,352.395,352.395,352.395,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.079632444,0.663577158,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-33R-5, 80.0 cm",NULL,353.065,353.065,353.065,353.065,"C0012A-33R-5, 82.0 cm",NULL,353.085,353.085,353.085,353.085,"C0012A-33R-5 WR, 80.0--82.0 cm",CKY000000000000796810,CARB,NULL,10,matt322,NULL,CKY,2009-09-29T13:46:13Z,NULL,NULL,NULL,NULL,0.05259,0.29002,0.16432,10/5/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-33R-5, 81.0 cm",NULL,353.075,353.075,353.075,353.075,"C0012A-33R-5, 81.0 cm",NULL,353.075,353.075,353.075,353.075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.027927517,0.23272,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-34R-1, 23.0 cm",NULL,357.23,357.23,357.23,357.23,"C0012A-34R-1, 25.0 cm",NULL,357.25,357.25,357.25,357.25,"C0012A-34R-1 WR, 23.0--25.0 cm",CKY000000000000807610,CARB,NULL,10,matt322,NULL,CKY,2009-09-29T17:39:34Z,NULL,NULL,NULL,NULL,0.05272,0.54205,0.50143,10/5/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-34R-1, 24.0 cm",NULL,357.24,357.24,357.24,357.24,"C0012A-34R-1, 24.0 cm",NULL,357.24,357.24,357.24,357.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.27092306,2.257601862,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
