Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0012C-2H-4, 70.0 cm",NULL,9.151,9.425,9.151,9.425,"C0012C-2H-4, 72.0 cm",NULL,9.17,9.445,9.17,9.445,"C0012C-2H-4 WR, 70.0--72.0 cm",CKY000000000004491700,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T04:58:48Z,NULL,NULL,NULL,NULL,0.05084,1.49471,0.15307,1/2/2011,kawait,2011-01-08T10:59:12Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-2H-4, 71.0 cm",NULL,9.16,9.435,9.16,9.435,"C0012C-2H-4, 71.0 cm",NULL,9.16,9.435,9.16,9.435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.132306121,9.435506907,kuriharar,2011-01-08T14:24:18Z,NULL,NULL,NULL,NULL,NULL,NULL,0.08,0.01,0.09,412,453,ohashia,2011-01-08T22:08:34Z
"C0012C-2H-5, 121.5 cm",NULL,10.973,11.355,10.973,11.355,"C0012C-2H-5, 122.5 cm",NULL,10.983,11.365,10.983,11.365,"C0012C-2H-5 WR, 121.5--122.5 cm",CKY000000000004485400,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T03:02:18Z,NULL,NULL,NULL,NULL,0.03487,1.32712,0.06393,1/2/2011,kawait,2011-01-08T10:59:12Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-2H-5, 122.0 cm",NULL,10.978,11.36,10.978,11.36,"C0012C-2H-5, 122.0 cm",NULL,10.978,11.36,10.978,11.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.162595842,9.687911151,kuriharar,2011-01-08T14:24:19Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-2H-6, 78.0 cm",NULL,11.908,12.345,11.908,12.345,"C0012C-2H-6, 80.0 cm",NULL,11.927,12.365,11.927,12.365,"C0012C-2H-6 WR, 78.0--80.0 cm",CKY000000000004492400,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T05:03:09Z,NULL,NULL,NULL,NULL,0.05685,0.79857,0.34436,1/5/2011,kawait,2011-01-08T10:59:12Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-2H-6, 79.0 cm",NULL,11.918,12.355,11.918,12.355,"C0012C-2H-6, 79.0 cm",NULL,11.918,12.355,11.918,12.355,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3883,3.2357,kuriharar,2011-01-08T14:24:19Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-3H-3, 75.0 cm",NULL,17.347,17.56,17.347,17.56,"C0012C-3H-3, 77.0 cm",NULL,17.366,17.58,17.366,17.58,"C0012C-3H-3 WR, 75.0--77.0 cm",CKY000000000004494000,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T05:10:16Z,NULL,NULL,NULL,NULL,0.04633,0.82699,0.35475,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-3H-3, 76.0 cm",NULL,17.356,17.57,17.356,17.57,"C0012C-3H-3, 76.0 cm",NULL,17.356,17.57,17.356,17.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.542309373,4.519064002,kuriharar,2011-01-08T14:24:19Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-3H-5, 8.0 cm",NULL,19.396,19.74,19.396,19.74,"C0012C-3H-5, 9.0 cm",NULL,19.406,19.75,19.406,19.75,"C0012C-3H-5 WR, 8.0--9.0 cm",CKY000000000004486100,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T03:11:06Z,NULL,NULL,NULL,NULL,0.05561,0.42271,0.2229,1/2/2011,kawait,2011-01-08T10:59:12Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-3H-5, 8.5 cm",NULL,19.401,19.745,19.401,19.745,"C0012C-3H-5, 8.5 cm",NULL,19.401,19.745,19.401,19.745,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.068,0.5666,kuriharar,2011-01-08T14:24:19Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-3H-6, 119.5 cm",NULL,21.775,22.27,21.775,22.27,"C0012C-3H-6, 120.5 cm",NULL,21.784,22.28,21.784,22.28,"C0012C-3H-6 WR, 119.5--120.5 cm",CKY000000000004486800,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T03:12:54Z,NULL,NULL,NULL,NULL,0.04666,0.65024,0.23178,1/2/2011,kawait,2011-01-08T10:59:12Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-3H-6, 120.0 cm",NULL,21.78,22.275,21.78,22.275,"C0012C-3H-6, 120.0 cm",NULL,21.78,22.275,21.78,22.275,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.390203515,3.251565889,kuriharar,2011-01-08T14:24:19Z,NULL,NULL,NULL,NULL,NULL,NULL,0.03,0,0.12,607,648,ohashia,2011-01-08T22:08:34Z
"C0012C-4H-2, 125.5 cm",NULL,25.999,26.17,25.999,26.17,"C0012C-4H-2, 126.5 cm",NULL,26.008,26.18,26.008,26.18,"C0012C-4H-2 WR, 125.5--126.5 cm",CKY000000000004501400,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-26T08:11:36Z,NULL,NULL,NULL,NULL,0.05735,0.37509,0.25942,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-4H-2, 126.0 cm",NULL,26.004,26.175,26.004,26.175,"C0012C-4H-2, 126.0 cm",NULL,26.004,26.175,26.004,26.175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.043425857,0.361867665,kuriharar,2011-01-08T14:24:19Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-4H-3, 28.0 cm",NULL,26.411,26.61,26.411,26.61,"C0012C-4H-3, 29.0 cm",NULL,26.42,26.62,26.42,26.62,"C0012C-4H-3 WR, 28.0--29.0 cm",CKY000000000004501000,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-26T08:08:58Z,NULL,NULL,NULL,NULL,0.05221,0.35681,0.39779,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-4H-3, 28.5 cm",NULL,26.416,26.615,26.416,26.615,"C0012C-4H-3, 28.5 cm",NULL,26.416,26.615,26.416,26.615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0511,0.4258,kuriharar,2011-01-08T14:24:19Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-4H-4, 20.0 cm",NULL,27.67,27.955,27.67,27.955,"C0012C-4H-4, 22.0 cm",NULL,27.688,27.975,27.688,27.975,"C0012C-4H-4 WR, 20.0--22.0 cm",CKY000000000004459000,CARB,NULL,5,marion333,NULL,CKY,2010-12-25T17:03:57Z,NULL,NULL,NULL,NULL,0.04755,0.38146,0.14512,1/2/2011,kawait,2011-01-08T10:59:12Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-4H-4, 21.0 cm",NULL,27.679,27.965,27.679,27.965,"C0012C-4H-4, 21.0 cm",NULL,27.679,27.965,27.679,27.965,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1066,0.8883,kuriharar,2011-01-08T14:24:19Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-4H-5, 100.0 cm",NULL,28.624,28.975,28.624,28.975,"C0012C-4H-5, 101.0 cm",NULL,28.634,28.985,28.634,28.985,"C0012C-4H-5 WR, 100.0--101.0 cm",CKY000000000004502200,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-26T08:13:45Z,NULL,NULL,NULL,NULL,0.06126,0.48678,0.17342,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-4H-5, 100.5 cm",NULL,28.629,28.98,28.629,28.98,"C0012C-4H-5, 100.5 cm",NULL,28.629,28.98,28.629,28.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0703,0.5858,kuriharar,2011-01-08T14:24:19Z,NULL,NULL,NULL,NULL,NULL,NULL,0.03,0.01,0.35,605,646,ohashia,2011-01-08T22:08:34Z
"C0012C-5H-2, 121.0 cm",NULL,35.527,35.605,35.527,35.605,"C0012C-5H-2, 122.0 cm",NULL,35.536,35.615,35.536,35.615,"C0012C-5H-2 WR, 121.0--122.0 cm",CKY000000000004507800,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-26T10:56:45Z,NULL,NULL,NULL,NULL,0.05885,0.43335,0.14732,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-5H-2, 121.5 cm",NULL,35.531,35.61,35.531,35.61,"C0012C-5H-2, 121.5 cm",NULL,35.531,35.61,35.531,35.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0352,0.2933,kuriharar,2011-01-08T14:24:19Z,NULL,NULL,NULL,NULL,NULL,NULL,0.02,0.01,0.32,606,647,ohashia,2011-01-08T22:08:34Z
"C0012C-5H-3, 21.0 cm",NULL,35.934,36.025,35.934,36.025,"C0012C-5H-3, 23.0 cm",NULL,35.953,36.045,35.953,36.045,"C0012C-5H-3 WR, 21.0--23.0 cm",CKY000000000004459800,CARB,NULL,5,marion333,NULL,CKY,2010-12-25T17:06:59Z,NULL,NULL,NULL,NULL,0.0583,0.52842,0.49063,1/2/2011,kawait,2011-01-08T10:59:12Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-5H-3, 22.0 cm",NULL,35.944,36.035,35.944,36.035,"C0012C-5H-3, 22.0 cm",NULL,35.944,36.035,35.944,36.035,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.096408773,0.803374306,kuriharar,2011-01-08T14:24:19Z,NULL,NULL,NULL,NULL,NULL,NULL,0.08,0.02,0.29,606,647,ohashia,2011-01-08T22:08:34Z
"C0012C-5H-7, 125.0 cm",NULL,41.317,41.575,41.317,41.575,"C0012C-5H-7, 126.0 cm",NULL,41.326,41.585,41.326,41.585,"C0012C-5H-7 WR, 125.0--126.0 cm",CKY000000000004508100,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-26T11:02:47Z,NULL,NULL,NULL,NULL,0.06509,0.57127,0.29921,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-5H-7, 125.5 cm",NULL,41.322,41.58,41.322,41.58,"C0012C-5H-7, 125.5 cm",NULL,41.322,41.58,41.322,41.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1108,0.9233,kuriharar,2011-01-08T14:24:19Z,NULL,NULL,NULL,NULL,NULL,NULL,0.04,0.01,0.3,604,645,ohashia,2011-01-08T22:08:34Z
"C0012C-6H-2, 79.0 cm",NULL,44.55,44.705,44.55,44.705,"C0012C-6H-2, 80.0 cm",NULL,44.559,44.715,44.559,44.715,"C0012C-6H-2 WR, 79.0--80.0 cm",CKY000000000004512300,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-26T13:26:02Z,NULL,NULL,NULL,NULL,0.05365,0.48828,0.17994,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-6H-2, 79.5 cm",NULL,44.554,44.71,44.554,44.71,"C0012C-6H-2, 79.5 cm",NULL,44.554,44.71,44.554,44.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1342,1.1183,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-6H-4, 21.5 cm",NULL,46.65,46.965,46.65,46.965,"C0012C-6H-4, 23.5 cm",NULL,46.669,46.985,46.669,46.985,"C0012C-6H-4 WR, 21.5--23.5 cm",CKY000000000004494800,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T05:16:31Z,NULL,NULL,NULL,NULL,0.05732,0.4849,0.30139,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-6H-4, 22.5 cm",NULL,46.66,46.975,46.66,46.975,"C0012C-6H-4, 22.5 cm",NULL,46.66,46.975,46.66,46.975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.092823858,0.773501208,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-6H-6, 126.5 cm",NULL,49.165,49.67,49.165,49.67,"C0012C-6H-6, 127.5 cm",NULL,49.174,49.68,49.174,49.68,"C0012C-6H-6 WR, 126.5--127.5 cm",CKY000000000004516400,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-26T16:59:08Z,NULL,NULL,NULL,NULL,0.07329,0.64458,0.30923,1/5/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-6H-6, 127.0 cm",NULL,49.17,49.675,49.17,49.675,"C0012C-6H-6, 127.0 cm",NULL,49.17,49.675,49.17,49.675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1196,0.9966,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-6H-8, 29.0 cm",NULL,50.894,51.53,50.894,51.53,"C0012C-6H-8, 30.0 cm",NULL,50.903,51.54,50.903,51.54,"C0012C-6H-8 WR, 29.0--30.0 cm",CKY000000000004517000,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-26T17:03:29Z,NULL,NULL,NULL,NULL,0.06436,0.41948,0.21777,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-6H-8, 29.5 cm",NULL,50.899,51.535,50.899,51.535,"C0012C-6H-8, 29.5 cm",NULL,50.899,51.535,50.899,51.535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.035292086,0.294088954,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,0.05,0.02,0.33,604,645,ohashia,2011-01-08T22:08:35Z
"C0012C-6H-8, 90.0 cm",NULL,51.461,52.14,51.461,52.14,"C0012C-6H-8, 91.0 cm",NULL,51.47,52.15,51.47,52.15,"C0012C-6H-8 WR, 90.0--91.0 cm",CKY000000000004517600,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-26T17:05:39Z,NULL,NULL,NULL,NULL,0.05648,0.3748,0.25483,1/5/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-6H-8, 90.5 cm",NULL,51.466,52.145,51.466,52.145,"C0012C-6H-8, 90.5 cm",NULL,51.466,52.145,51.466,52.145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0406,0.3383,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-8H-1, 125.0 cm",NULL,61.161,61.25,61.161,61.25,"C0012C-8H-1, 126.0 cm",NULL,61.171,61.26,61.171,61.26,"C0012C-8H-1 WR, 125.0--126.0 cm",CKY000000000004529200,CARB,NULL,5,asukay333,NULL,CKY,2010-12-26T20:21:19Z,NULL,NULL,NULL,NULL,0.05222,0.49816,0.12847,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-8H-1, 125.5 cm",NULL,61.166,61.255,61.166,61.255,"C0012C-8H-1, 125.5 cm",NULL,61.166,61.255,61.166,61.255,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2117,1.7641,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-8H-2, 121.5 cm",NULL,62.439,62.625,62.439,62.625,"C0012C-8H-2, 122.5 cm",NULL,62.448,62.635,62.448,62.635,"C0012C-8H-2 WR, 121.5--122.5 cm",CKY000000000004532100,CARB,NULL,5,asukay333,NULL,CKY,2010-12-26T20:23:55Z,NULL,NULL,NULL,NULL,0.04908,0.84556,0.13014,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-8H-2, 122.0 cm",NULL,62.444,62.63,62.444,62.63,"C0012C-8H-2, 122.0 cm",NULL,62.444,62.63,62.444,62.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.599290677,4.993889212,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-8H-4, 21.0 cm",NULL,64.139,64.455,64.139,64.455,"C0012C-8H-4, 23.0 cm",NULL,64.158,64.475,64.158,64.475,"C0012C-8H-4 WR, 21.0--23.0 cm",CKY000000000004495600,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T05:19:13Z,NULL,NULL,NULL,NULL,0.04588,1.04805,0.08624,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-8H-4, 22.0 cm",NULL,64.148,64.465,64.148,64.465,"C0012C-8H-4, 22.0 cm",NULL,64.148,64.465,64.148,64.465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.83184748,6.931785051,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-9H-1, 80.0 cm",NULL,70.292,70.3,70.292,70.3,"C0012C-9H-1, 81.0 cm",NULL,70.302,70.31,70.302,70.31,"C0012C-9H-1 WR, 80.0--81.0 cm",CKY000000000004544600,CARB,NULL,5,asukay333,NULL,CKY,2010-12-27T01:33:50Z,NULL,NULL,NULL,NULL,0.05303,0.98402,0.07212,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-9H-1, 80.5 cm",NULL,70.297,70.305,70.297,70.305,"C0012C-9H-1, 80.5 cm",NULL,70.297,70.305,70.297,70.305,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7128,5.9398,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-9H-4, 20.5 cm",NULL,73.96,74.005,73.96,74.005,"C0012C-9H-4, 22.5 cm",NULL,73.98,74.025,73.98,74.025,"C0012C-9H-4 WR, 20.5--22.5 cm",CKY000000000004498600,CARB,NULL,3,marion333,NULL,CKY,2010-12-26T06:39:28Z,NULL,NULL,NULL,NULL,0.05492,0.4372,0.14453,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-9H-4, 21.5 cm",NULL,73.97,74.015,73.97,74.015,"C0012C-9H-4, 21.5 cm",NULL,73.97,74.015,73.97,74.015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.178237713,1.485254863,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,0.01,0,0.21,606,647,ohashia,2011-01-08T22:08:35Z
"C0012C-9H-6, 66.0 cm",NULL,76.05,76.115,76.05,76.115,"C0012C-9H-6, 67.0 cm",NULL,76.059,76.125,76.059,76.125,"C0012C-9H-6 WR, 66.0--67.0 cm",CKY000000000004549400,CARB,NULL,5,asukay333,NULL,CKY,2010-12-27T01:36:34Z,NULL,NULL,NULL,NULL,0.05429,0.42517,0.0819,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
