Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
NULL,NULL,C0002P;2080.500,NULL,2080.5,NULL,NULL,2080.5,NULL,NULL,C0002P;2085.500,NULL,2085.5,NULL,NULL,2085.5,C0002P-45SMW W,CKY000000000006185000,CARB,NULL,2,matsumotok,"1-4mm, bulk",CKY,2013-12-21T10:03:50Z,0.1104,0.92,0.059824699,0.692008197,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2080.500,NULL,2080.5,NULL,NULL,2080.5,NULL,NULL,C0002P;2085.500,NULL,2085.5,NULL,NULL,2085.5,C0002P-45SMW W,CKY000000000006185400,CARB,NULL,2,matsumotok,">4mm, bulk",CKY,2013-12-21T10:03:50Z,0.1623,1.3524,0.059076278,0.633216648,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2090.500,NULL,2090.5,NULL,NULL,2090.5,NULL,NULL,C0002P;2095.500,NULL,2095.5,NULL,NULL,2095.5,C0002P-47SMW W,CKY000000000006185800,CARB,NULL,2,matsumotok,"1-4mm, bulk",CKY,2013-12-21T10:09:51Z,0.2415,2.0124,0.055703728,0.83027888,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2090.500,NULL,2090.5,NULL,NULL,2090.5,NULL,NULL,C0002P;2095.500,NULL,2095.5,NULL,NULL,2095.5,C0002P-47SMW W,CKY000000000006186200,CARB,NULL,2,matsumotok,">4mm, bulk",CKY,2013-12-21T10:09:52Z,0.7144,5.9531,0.049100491,1.218014663,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2100.500,NULL,2100.5,NULL,NULL,2100.5,NULL,NULL,C0002P;2105.500,NULL,2105.5,NULL,NULL,2105.5,C0002P-49SMW W,CKY000000000006186600,CARB,NULL,2,matsumotok,"1-4mm, bulk",CKY,2013-12-21T10:14:17Z,0.2027,1.6891,0.056896548,0.895823959,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2100.500,NULL,2100.5,NULL,NULL,2100.5,NULL,NULL,C0002P;2105.500,NULL,2105.5,NULL,NULL,2105.5,C0002P-49SMW W,CKY000000000006187000,CARB,NULL,2,matsumotok,">4mm, bulk",CKY,2013-12-21T10:14:17Z,0.3657,3.0474,0.054488211,1.032021607,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2107.500,NULL,2107.5,NULL,NULL,2107.5,NULL,NULL,C0002P;2107.500,NULL,2107.5,NULL,NULL,2107.5,C0002P-68LMW W,CKY000000000006477800,CARB,NULL,10,yamamoton,NULL,CKY,2014-01-03T12:03:38Z,0.221,1.8416,0,7.560798391,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2110.500,NULL,2110.5,NULL,NULL,2110.5,NULL,NULL,C0002P;2115.500,NULL,2115.5,NULL,NULL,2115.5,C0002P-53SMW W,CKY000000000006189300,CARB,NULL,2,moriyas,"1-4mm, bulk",CKY,2013-12-21T22:30:17Z,0.2663,2.2191,0.058826642,0.99229081,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2110.500,NULL,2110.5,NULL,NULL,2110.5,NULL,NULL,C0002P;2115.500,NULL,2115.5,NULL,NULL,2115.5,C0002P-53SMW W,CKY000000000006189700,CARB,NULL,2,moriyas,">4mm, bulk",CKY,2013-12-21T22:32:04Z,0.7313,6.0939,0.055705341,1.688007007,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2120.500,NULL,2120.5,NULL,NULL,2120.5,NULL,NULL,C0002P;2125.500,NULL,2125.5,NULL,NULL,2125.5,C0002P-56SMW W,CKY000000000006190100,CARB,NULL,2,moriyas,"1-4mm, bulk",CKY,2013-12-21T22:33:54Z,0.1742,1.4516,0.060438117,0.824423748,NULL,hoshinoh,2014-01-15T11:50:36Z
