Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0018A-1H-1, 10.0 cm",NULL,0.097,0.1,0.097,0.1,"C0018A-1H-1, 13.0 cm",NULL,0.126,0.13,0.126,0.13,"C0018A-1H-1 W, 10.0--13.0 cm",CKY000000000003739400,CARB,NULL,3,yasunagam,NULL,CKY,2010-12-14T17:18:18Z,NULL,NULL,NULL,NULL,0.11969,2.24769,0.11455,12/23/2010,kawait,2011-01-08T10:58:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-1, 11.5 cm",NULL,0.112,0.115,0.112,0.115,"C0018A-1H-1, 11.5 cm",NULL,0.112,0.115,0.112,0.115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.325,11.0412,kuriharar,2011-01-08T14:24:26Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-2, 21.5 cm",NULL,0.978,1.005,0.978,1.005,"C0018A-1H-2, 22.5 cm",NULL,0.988,1.015,0.988,1.015,"C0018A-1H-2 WR, 21.5--22.5 cm",CKY000000000003682800,CARB,NULL,5,marion333,NULL,CKY,2010-12-12T17:53:29Z,NULL,NULL,NULL,NULL,0.1046,2.3381,0.09297,12/23/2010,kawait,2011-01-08T10:58:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-2, 22.0 cm",NULL,0.983,1.01,0.983,1.01,"C0018A-1H-2, 22.0 cm",NULL,0.983,1.01,0.983,1.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5706,13.0878,kuriharar,2011-01-08T14:24:26Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-3, 49.5 cm",NULL,1.469,1.51,1.469,1.51,"C0018A-1H-3, 50.5 cm",NULL,1.479,1.52,1.479,1.52,"C0018A-1H-3 W, 49.5--50.5 cm",CKY000000000003741000,CARB,NULL,3,yasunagam,NULL,CKY,2010-12-14T17:18:18Z,NULL,NULL,NULL,NULL,0.06917,2.69794,0.06351,12/23/2010,kawait,2011-01-08T10:58:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-3, 50.0 cm",NULL,1.474,1.515,1.474,1.515,"C0018A-1H-3, 50.0 cm",NULL,1.474,1.515,1.474,1.515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1068,17.556,kuriharar,2011-01-08T14:24:26Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-3, 133.5 cm",NULL,2.286,2.35,2.286,2.35,"C0018A-1H-3, 134.5 cm",NULL,2.296,2.36,2.296,2.36,"C0018A-1H-3 W, 133.5--134.5 cm",CKY000000000003741300,CARB,NULL,3,yasunagam,NULL,CKY,2010-12-14T17:18:18Z,NULL,NULL,NULL,NULL,0.07701,2.69841,0.19066,12/23/2010,kawait,2011-01-08T10:58:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-3, 134.0 cm",NULL,2.291,2.355,2.291,2.355,"C0018A-1H-3, 134.0 cm",NULL,2.291,2.355,2.291,2.355,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1,17.4993,kuriharar,2011-01-08T14:24:26Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-6, 22.0 cm",NULL,4.597,4.725,4.597,4.725,"C0018A-1H-6, 23.0 cm",NULL,4.607,4.735,4.607,4.735,"C0018A-1H-6 WR, 22.0--23.0 cm",CKY000000000003683400,CARB,NULL,5,marion333,NULL,CKY,2010-12-12T17:58:19Z,NULL,NULL,NULL,NULL,0.09724,2.13856,0.15993,12/21/2010,kawait,2011-01-08T10:58:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-6, 22.5 cm",NULL,4.602,4.73,4.602,4.73,"C0018A-1H-6, 22.5 cm",NULL,4.602,4.73,4.602,4.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.2266,10.2213,kuriharar,2011-01-08T14:24:26Z,NULL,NULL,NULL,NULL,NULL,NULL,0.14,0.12,0.74,415,455,ohashia,2011-01-08T22:08:36Z
"C0018A-1H-7, 69.5 cm",NULL,5.283,5.43,5.283,5.43,"C0018A-1H-7, 72.5 cm",NULL,5.312,5.46,5.312,5.46,"C0018A-1H-7 W, 69.5--72.5 cm",CKY000000000003742900,CARB,NULL,3,yasunagam,NULL,CKY,2010-12-14T17:18:19Z,NULL,NULL,NULL,NULL,0.07294,1.80186,0.07331,12/24/2010,kawait,2011-01-08T10:58:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-7, 71.0 cm",NULL,5.298,5.445,5.298,5.445,"C0018A-1H-7, 71.0 cm",NULL,5.298,5.445,5.298,5.445,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.2199,10.1654,kuriharar,2011-01-08T14:24:26Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-8, 27.5 cm",NULL,6.241,6.415,6.241,6.415,"C0018A-1H-8, 28.5 cm",NULL,6.251,6.425,6.251,6.425,"C0018A-1H-8 WR, 27.5--28.5 cm",CKY000000000003682000,CARB,NULL,3,mstrasser333,NULL,CKY,2010-12-12T16:46:05Z,NULL,NULL,NULL,NULL,0.09642,2.3431,0.14611,12/21/2010,kawait,2011-01-08T10:58:56Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-1H-8, 28.0 cm",NULL,6.246,6.42,6.246,6.42,"C0018A-1H-8, 28.0 cm",NULL,6.246,6.42,6.246,6.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5782,13.1511,kuriharar,2011-01-08T14:24:26Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-2H-2, 21.5 cm",NULL,8.056,8.145,8.056,8.145,"C0018A-2H-2, 22.5 cm",NULL,8.066,8.155,8.066,8.155,"C0018A-2H-2 WR, 21.5--22.5 cm",CKY000000000003684000,CARB,NULL,5,marion333,NULL,CKY,2010-12-12T18:23:15Z,NULL,NULL,NULL,NULL,0.09022,2.44773,0.13598,12/21/2010,kawait,2011-01-08T10:58:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-2H-2, 22.0 cm",NULL,8.061,8.15,8.061,8.15,"C0018A-2H-2, 22.0 cm",NULL,8.061,8.15,8.061,8.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.7247,14.3719,kuriharar,2011-01-08T14:24:29Z,NULL,NULL,NULL,NULL,NULL,NULL,0.07,0.04,0.5,401,440,ohashia,2011-01-08T22:08:37Z
"C0018A-2H-6, 21.5 cm",NULL,11.419,11.72,11.419,11.72,"C0018A-2H-6, 22.5 cm",NULL,11.428,11.73,11.428,11.73,"C0018A-2H-6 WR, 21.5--22.5 cm",CKY000000000003684600,CARB,NULL,5,marion333,NULL,CKY,2010-12-12T18:26:27Z,NULL,NULL,NULL,NULL,0.07548,2.25398,0.20548,12/21/2010,kawait,2011-01-08T10:58:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-2H-6, 22.0 cm",NULL,11.424,11.725,11.424,11.725,"C0018A-2H-6, 22.0 cm",NULL,11.424,11.725,11.424,11.725,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.6232,13.5261,kuriharar,2011-01-08T14:24:29Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-2H-9, 20.0 cm",NULL,14.269,14.75,14.269,14.75,"C0018A-2H-9, 22.0 cm",NULL,14.288,14.77,14.288,14.77,"C0018A-2H-9 W, 20.0--22.0 cm",CKY000000000003801100,CARB,NULL,5,novakb333,NULL,CKY,2010-12-15T18:57:49Z,NULL,NULL,NULL,NULL,0.07171,2.77202,NULL,12/21/2010,kawait,2011-01-08T10:59:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-2H-9, 21.0 cm",NULL,14.278,14.76,14.278,14.76,"C0018A-2H-9, 21.0 cm",NULL,14.278,14.76,14.278,14.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1384,17.8193,kuriharar,2011-01-08T14:24:29Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-2H-10, 21.5 cm",NULL,14.753,15.265,14.753,15.265,"C0018A-2H-10, 22.5 cm",NULL,14.763,15.275,14.763,15.275,"C0018A-2H-10 WR, 21.5--22.5 cm",CKY000000000003685200,CARB,NULL,5,marion333,NULL,CKY,2010-12-12T18:52:15Z,NULL,NULL,NULL,NULL,0.09504,2.4812,0.382,12/21/2010,kawait,2011-01-08T10:58:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-2H-10, 22.0 cm",NULL,14.758,15.27,14.758,15.27,"C0018A-2H-10, 22.0 cm",NULL,14.758,15.27,14.758,15.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.621,13.5078,kuriharar,2011-01-08T14:24:28Z,NULL,NULL,NULL,NULL,NULL,NULL,0.04,0.04,0.8,415,454,ohashia,2011-01-08T22:08:37Z
"C0018A-2H-11, 8.0 cm",NULL,14.838,15.355,14.838,15.355,"C0018A-2H-11, 9.0 cm",NULL,14.847,15.365,14.847,15.365,"C0018A-2H-11 WR, 8.0--9.0 cm",CKY000000000003693400,CARB,NULL,5,asukay333,NULL,CKY,2010-12-12T23:44:35Z,NULL,NULL,NULL,NULL,0.071,2.32006,0.69809,12/21/2010,kawait,2011-01-08T10:58:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-2H-11, 8.5 cm",NULL,14.843,15.36,14.843,15.36,"C0018A-2H-11, 8.5 cm",NULL,14.843,15.36,14.843,15.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.6432,13.6928,kuriharar,2011-01-08T14:24:29Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-3H-2, 134.0 cm",NULL,18.722,18.9,18.722,18.9,"C0018A-3H-2, 135.0 cm",NULL,18.732,18.91,18.732,18.91,"C0018A-3H-2 W, 134.0--135.0 cm",CKY000000000003763000,CARB,NULL,5,yu333,NULL,CKY,2010-12-15T02:57:27Z,NULL,NULL,NULL,NULL,0.07569,1.29107,0.23983,12/21/2010,kawait,2011-01-08T10:58:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-3H-2, 134.5 cm",NULL,18.727,18.905,18.727,18.905,"C0018A-3H-2, 134.5 cm",NULL,18.727,18.905,18.727,18.905,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4624,3.8532,kuriharar,2011-01-08T14:24:31Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-3H-4, 46.0 cm",NULL,20.186,20.465,20.186,20.465,"C0018A-3H-4, 47.0 cm",NULL,20.196,20.475,20.196,20.475,"C0018A-3H-4 W, 46.0--47.0 cm",CKY000000000003763400,CARB,NULL,5,yu333,NULL,CKY,2010-12-15T02:57:27Z,NULL,NULL,NULL,NULL,0.07418,2.13898,0.25129,12/21/2010,kawait,2011-01-08T10:58:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-3H-4, 46.5 cm",NULL,20.191,20.47,20.191,20.47,"C0018A-3H-4, 46.5 cm",NULL,20.191,20.47,20.191,20.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.1817,9.8471,kuriharar,2011-01-08T14:24:31Z,NULL,NULL,NULL,NULL,NULL,NULL,0.09,0.04,0.41,397,437,ohashia,2011-01-08T22:08:37Z
"C0018A-3H-5, 22.0 cm",NULL,20.898,21.226,20.898,21.226,"C0018A-3H-5, 23.0 cm",NULL,20.908,21.236,20.908,21.236,"C0018A-3H-5 WR, 22.0--23.0 cm",CKY000000000003685900,CARB,NULL,5,marion333,NULL,CKY,2010-12-12T19:00:47Z,NULL,NULL,NULL,NULL,0.07523,2.20293,0.29112,12/23/2010,kawait,2011-01-08T10:58:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-3H-5, 22.5 cm",NULL,20.903,21.231,20.903,21.231,"C0018A-3H-5, 22.5 cm",NULL,20.903,21.231,20.903,21.231,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.4656,12.2128,kuriharar,2011-01-08T14:24:31Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-3H-8, 15.0 cm",NULL,23.714,24.236,23.714,24.236,"C0018A-3H-8, 16.0 cm",NULL,23.723,24.246,23.723,24.246,"C0018A-3H-8 WR, 15.0--16.0 cm",CKY000000000003700000,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-13T13:37:35Z,NULL,NULL,NULL,NULL,0.0618,1.69937,0.38333,12/21/2010,kawait,2011-01-08T10:58:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-3H-8, 15.5 cm",NULL,23.718,24.241,23.718,24.241,"C0018A-3H-8, 15.5 cm",NULL,23.718,24.241,23.718,24.241,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.1107,9.2555,kuriharar,2011-01-08T14:24:31Z,NULL,NULL,NULL,NULL,NULL,NULL,0.11,0.04,0.33,394,434,ohashia,2011-01-08T22:08:37Z
"C0018A-3H-8, 125.0 cm",NULL,24.743,25.336,24.743,25.336,"C0018A-3H-8, 126.0 cm",NULL,24.752,25.346,24.752,25.346,"C0018A-3H-8 W, 125.0--126.0 cm",CKY000000000003764800,CARB,NULL,5,yu333,NULL,CKY,2010-12-15T03:18:01Z,NULL,NULL,NULL,NULL,0.01319,0.1858,0.13708,12/21/2010,kawait,2011-01-08T10:58:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-3H-8, 125.5 cm",NULL,24.747,25.341,24.747,25.341,"C0018A-3H-8, 125.5 cm",NULL,24.747,25.341,24.747,25.341,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0876,0.73,kuriharar,2011-01-08T14:24:31Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-4H-3, 62.5 cm",NULL,28.969,29.275,28.969,29.275,"C0018A-4H-3, 63.5 cm",NULL,28.978,29.285,28.978,29.285,"C0018A-4H-3 W, 62.5--63.5 cm",CKY000000000003772200,CARB,NULL,5,ymlee333,NULL,CKY,2010-12-15T07:32:36Z,NULL,NULL,NULL,NULL,0.0094,0.05859,0.39652,12/23/2010,kawait,2011-01-08T10:58:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-4H-3, 63.0 cm",NULL,28.974,29.28,28.974,29.28,"C0018A-4H-3, 63.0 cm",NULL,28.974,29.28,28.974,29.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0259,0.2158,kuriharar,2011-01-08T14:24:31Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-4H-4, 20.0 cm",NULL,29.418,29.765,29.418,29.765,"C0018A-4H-4, 21.0 cm",NULL,29.427,29.775,29.427,29.775,"C0018A-4H-4 WR, 20.0--21.0 cm",CKY000000000003686500,CARB,NULL,5,marion333,NULL,CKY,2010-12-12T19:03:12Z,NULL,NULL,NULL,NULL,0.06499,1.96103,0.4895,12/23/2010,kawait,2011-01-08T10:58:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-4H-4, 20.5 cm",NULL,29.423,29.77,29.423,29.77,"C0018A-4H-4, 20.5 cm",NULL,29.423,29.77,29.423,29.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5093,12.577,kuriharar,2011-01-08T14:24:31Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-4H-8, 39.5 cm",NULL,33.905,34.665,33.905,34.665,"C0018A-4H-8, 41.5 cm",NULL,33.923,34.685,33.923,34.685,"C0018A-4H-8 W, 39.5--41.5 cm",CKY000000000003775600,CARB,NULL,10,ymlee333,NULL,CKY,2010-12-15T07:32:37Z,NULL,NULL,NULL,NULL,0.05127,2.74209,0.14308,1/3/2011,kawait,2011-01-08T10:58:59Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-4H-8, 40.5 cm",NULL,33.914,34.675,33.914,34.675,"C0018A-4H-8, 40.5 cm",NULL,33.914,34.675,33.914,34.675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.3148,19.2892,kuriharar,2011-01-08T14:24:31Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-5H-1, 70.0 cm",NULL,35.802,35.85,35.802,35.85,"C0018A-5H-1, 72.0 cm",NULL,35.821,35.87,35.821,35.87,"C0018A-5H-1 W, 70.0--72.0 cm",CKY000000000003797400,CARB,NULL,10,novakb333,NULL,CKY,2010-12-15T17:23:32Z,NULL,NULL,NULL,NULL,0.07596,3.24781,NULL,12/24/2010,kawait,2011-01-08T10:59:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-5H-1, 71.0 cm",NULL,35.812,35.86,35.812,35.86,"C0018A-5H-1, 71.0 cm",NULL,35.812,35.86,35.812,35.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.6659,22.2149,kuriharar,2011-01-08T14:24:31Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-5H-2, 20.0 cm",NULL,36.655,36.765,36.655,36.765,"C0018A-5H-2, 22.0 cm",NULL,36.674,36.785,36.674,36.785,"C0018A-5H-2 W, 20.0--22.0 cm",CKY000000000003797800,CARB,NULL,10,novakb333,NULL,CKY,2010-12-15T17:34:03Z,NULL,NULL,NULL,NULL,0.05819,2.55027,0.10942,12/21/2010,kawait,2011-01-08T10:59:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-5H-2, 21.0 cm",NULL,36.664,36.775,36.664,36.775,"C0018A-5H-2, 21.0 cm",NULL,36.664,36.775,36.664,36.775,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.0391,16.9918,kuriharar,2011-01-08T14:24:31Z,NULL,NULL,NULL,NULL,NULL,NULL,0.06,0.02,0.24,394,433,ohashia,2011-01-08T22:08:37Z
"C0018A-5H-3, 110.0 cm",NULL,38.882,39.155,38.882,39.155,"C0018A-5H-3, 111.0 cm",NULL,38.891,39.165,38.891,39.165,"C0018A-5H-3 W, 110.0--111.0 cm",CKY000000000003790700,CARB,NULL,5,yabukit,NULL,CKY,2010-12-15T13:54:46Z,NULL,NULL,NULL,NULL,0.00946,0.15814,1.19123,1/3/2011,kawait,2011-01-08T10:59:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-5H-3, 110.5 cm",NULL,38.887,39.16,38.887,39.16,"C0018A-5H-3, 110.5 cm",NULL,38.887,39.16,38.887,39.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.109,0.9083,kuriharar,2011-01-08T14:24:31Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-5H-4, 21.5 cm",NULL,39.115,39.405,39.115,39.405,"C0018A-5H-4, 22.5 cm",NULL,39.124,39.415,39.124,39.415,"C0018A-5H-4 WR, 21.5--22.5 cm",CKY000000000003687100,CARB,NULL,5,marion333,NULL,CKY,2010-12-12T19:05:28Z,NULL,NULL,NULL,NULL,0.05572,2.25507,NULL,12/21/2010,kawait,2011-01-08T10:58:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-5H-4, 22.0 cm",NULL,39.12,39.41,39.12,39.41,"C0018A-5H-4, 22.0 cm",NULL,39.12,39.41,39.12,39.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.8045,15.0369,kuriharar,2011-01-08T14:24:31Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-5H-7, 127.0 cm",NULL,43.024,43.6,43.024,43.6,"C0018A-5H-7, 128.0 cm",NULL,43.033,43.61,43.033,43.61,"C0018A-5H-7 WR, 127.0--128.0 cm",CKY000000000003711400,CARB,NULL,5,marion333,NULL,CKY,2010-12-13T18:30:55Z,NULL,NULL,NULL,NULL,0.05691,2.28978,0.40615,12/21/2010,kawait,2011-01-08T10:58:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-5H-7, 127.5 cm",NULL,43.029,43.605,43.029,43.605,"C0018A-5H-7, 127.5 cm",NULL,43.029,43.605,43.029,43.605,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.7626,14.6877,kuriharar,2011-01-08T14:24:32Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-5H-8, 31.0 cm",NULL,43.462,44.07,43.462,44.07,"C0018A-5H-8, 32.0 cm",NULL,43.471,44.08,43.471,44.08,"C0018A-5H-8 W, 31.0--32.0 cm",CKY000000000003793200,CARB,NULL,5,yabukit,NULL,CKY,2010-12-15T14:11:58Z,NULL,NULL,NULL,NULL,0.05999,2.63866,0.24553,12/21/2010,kawait,2011-01-08T10:59:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-5H-8, 31.5 cm",NULL,43.467,44.075,43.467,44.075,"C0018A-5H-8, 31.5 cm",NULL,43.467,44.075,43.467,44.075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1434,17.861,kuriharar,2011-01-08T14:24:32Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-6H-1, 81.0 cm",NULL,45.378,45.46,45.378,45.46,"C0018A-6H-1, 82.0 cm",NULL,45.387,45.47,45.387,45.47,"C0018A-6H-1 W, 81.0--82.0 cm",CKY000000000003799100,CARB,NULL,3,novakb333,NULL,CKY,2010-12-15T18:28:36Z,NULL,NULL,NULL,NULL,0.0615,3.17254,NULL,12/21/2010,kawait,2011-01-08T10:59:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-6H-1, 81.5 cm",NULL,45.383,45.465,45.383,45.465,"C0018A-6H-1, 81.5 cm",NULL,45.383,45.465,45.383,45.465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.7085,22.5699,kuriharar,2011-01-08T14:24:32Z,NULL,NULL,NULL,NULL,NULL,NULL,0.11,0.02,0.19,378,418,ohashia,2011-01-08T22:08:37Z
"C0018A-6H-3, 26.0 cm",NULL,47.415,47.725,47.415,47.725,"C0018A-6H-3, 28.0 cm",NULL,47.433,47.745,47.433,47.745,"C0018A-6H-3 W, 26.0--28.0 cm",CKY000000000003804700,CARB,NULL,10,novakb333,NULL,CKY,2010-12-15T19:24:47Z,NULL,NULL,NULL,NULL,0.01604,0.09923,0.10067,12/21/2010,kawait,2011-01-08T10:59:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-6H-3, 27.0 cm",NULL,47.424,47.735,47.424,47.735,"C0018A-6H-3, 27.0 cm",NULL,47.424,47.735,47.424,47.735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0512,0.4266,kuriharar,2011-01-08T14:24:32Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-6H-4, 21.0 cm",NULL,48.436,48.86,48.436,48.86,"C0018A-6H-4, 22.0 cm",NULL,48.445,48.87,48.445,48.87,"C0018A-6H-4 WR, 21.0--22.0 cm",CKY000000000003687700,CARB,NULL,5,marion333,NULL,CKY,2010-12-12T19:08:38Z,NULL,NULL,NULL,NULL,0.07148,1.88132,0.14977,12/21/2010,kawait,2011-01-08T10:58:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-6H-4, 21.5 cm",NULL,48.44,48.865,48.44,48.865,"C0018A-6H-4, 21.5 cm",NULL,48.44,48.865,48.44,48.865,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.228,10.2329,kuriharar,2011-01-08T14:24:32Z,NULL,NULL,NULL,NULL,NULL,NULL,0.05,0.02,0.31,400,439,ohashia,2011-01-08T22:08:38Z
"C0018A-6H-5, 124.5 cm",NULL,49.564,50.115,49.564,50.115,"C0018A-6H-5, 125.5 cm",NULL,49.573,50.125,49.573,50.125,"C0018A-6H-5 WR, 124.5--125.5 cm",CKY000000000003714600,CARB,NULL,5,novakb333,NULL,CKY,2010-12-13T22:19:53Z,NULL,NULL,NULL,NULL,0.07078,2.24934,0.07449,12/21/2010,kawait,2011-01-08T10:58:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0018A-6H-5, 125.0 cm",NULL,49.569,50.12,49.569,50.12,"C0018A-6H-5, 125.0 cm",NULL,49.569,50.12,49.569,50.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.6177,13.4803,kuriharar,2011-01-08T14:24:32Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
