Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0011D-11H-3, 105.0 cm",NULL,103.781,103.89,103.781,103.89,"C0011D-11H-3, 105.0 cm",NULL,103.781,103.89,103.781,103.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0425,0.3542,kuriharar,2011-01-08T14:24:06Z,NULL,NULL,NULL,NULL,NULL,NULL,0.1,0.02,0.2,607,647,ohashia,2011-01-08T22:08:32Z
"C0011D-11H-5, 22.0 cm",NULL,104.364,104.49,104.364,104.49,"C0011D-11H-5, 24.0 cm",NULL,104.383,104.51,104.383,104.51,"C0011D-11H-5 WR, 22.0--24.0 cm",CKY000000000004064800,CARB,NULL,5,marion333,NULL,CKY,2010-12-19T20:33:26Z,NULL,NULL,NULL,NULL,0.06114,0.4962,0.34142,12/26/2010,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-11H-5, 23.0 cm",NULL,104.373,104.5,104.373,104.5,"C0011D-11H-5, 23.0 cm",NULL,104.373,104.5,104.373,104.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1014,0.845,kuriharar,2011-01-08T14:24:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-11H-6, 121.0 cm",NULL,105.559,105.72,105.559,105.72,"C0011D-11H-6, 122.0 cm",NULL,105.569,105.73,105.569,105.73,"C0011D-11H-6 WR, 121.0--122.0 cm",CKY000000000004144700,CARB,NULL,5,yabukit,NULL,CKY,2010-12-20T19:34:48Z,NULL,NULL,NULL,NULL,0.0641,0.54337,0.12616,1/3/2011,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-11H-6, 121.5 cm",NULL,105.564,105.725,105.564,105.725,"C0011D-11H-6, 121.5 cm",NULL,105.564,105.725,105.564,105.725,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1694,1.4116,kuriharar,2011-01-08T14:24:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-12H-2, 125.0 cm",NULL,111.992,112.115,111.992,112.115,"C0011D-12H-2, 126.0 cm",NULL,112.001,112.125,112.001,112.125,"C0011D-12H-2 WR, 125.0--126.0 cm",CKY000000000004145500,CARB,NULL,5,yu333,NULL,CKY,2010-12-20T19:43:27Z,NULL,NULL,NULL,NULL,0.06388,1.5076,0.15889,1/3/2011,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-12H-2, 125.5 cm",NULL,111.997,112.12,111.997,112.12,"C0011D-12H-2, 125.5 cm",NULL,111.997,112.12,111.997,112.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0388,8.6563,kuriharar,2011-01-08T14:24:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-12H-5, 20.5 cm",NULL,114.445,114.69,114.445,114.69,"C0011D-12H-5, 22.5 cm",NULL,114.464,114.71,114.464,114.71,"C0011D-12H-5 WR, 20.5--22.5 cm",CKY000000000004077300,CARB,NULL,5,marion333,NULL,CKY,2010-12-19T23:10:17Z,NULL,NULL,NULL,NULL,0.05651,0.47991,0.26521,12/26/2010,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-12H-5, 21.5 cm",NULL,114.455,114.7,114.455,114.7,"C0011D-12H-5, 21.5 cm",NULL,114.455,114.7,114.455,114.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1369,1.1408,kuriharar,2011-01-08T14:24:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-12H-8, 20.0 cm",NULL,117.394,117.785,117.394,117.785,"C0011D-12H-8, 21.0 cm",NULL,117.404,117.795,117.404,117.795,"C0011D-12H-8 WR, 20.0--21.0 cm",CKY000000000004146200,CARB,NULL,5,asukay333,NULL,CKY,2010-12-20T19:46:13Z,NULL,NULL,NULL,NULL,0.06448,0.89513,0.19938,12/26/2010,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-12H-8, 20.5 cm",NULL,117.399,117.79,117.399,117.79,"C0011D-12H-8, 20.5 cm",NULL,117.399,117.79,117.399,117.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4582,3.8182,kuriharar,2011-01-08T14:24:07Z,NULL,NULL,NULL,NULL,NULL,NULL,0.33,0.06,0.13,400,440,ohashia,2011-01-08T22:08:32Z
"C0011D-13H-2, 125.0 cm",NULL,120.592,121.675,120.592,121.675,"C0011D-13H-2, 126.0 cm",NULL,120.597,121.685,120.597,121.685,"C0011D-13H-2 WR, 125.0--126.0 cm",CKY000000000004147300,CARB,NULL,5,asukay333,NULL,CKY,2010-12-20T20:35:35Z,NULL,NULL,NULL,NULL,0.0582,0.90892,0.13296,1/3/2011,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-13H-2, 125.5 cm",NULL,120.595,121.68,120.595,121.68,"C0011D-13H-2, 125.5 cm",NULL,120.595,121.68,120.595,121.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5511,4.5923,kuriharar,2011-01-08T14:24:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-13H-3, 85.0 cm",NULL,121.195,122.69,121.195,122.69,"C0011D-13H-3, 86.0 cm",NULL,121.201,122.7,121.201,122.7,"C0011D-13H-3 WR, 85.0--86.0 cm",CKY000000000004147800,CARB,NULL,5,asukay333,NULL,CKY,2010-12-20T20:35:35Z,NULL,NULL,NULL,NULL,0.05472,2.0376,0.14373,1/3/2011,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-13H-3, 85.5 cm",NULL,121.198,122.695,121.198,122.695,"C0011D-13H-3, 85.5 cm",NULL,121.198,122.695,121.198,122.695,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.597,13.3078,kuriharar,2011-01-08T14:24:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-13H-5, 22.5 cm",NULL,121.85,123.79,121.85,123.79,"C0011D-13H-5, 24.5 cm",NULL,121.862,123.81,121.862,123.81,"C0011D-13H-5 WR, 22.5--24.5 cm",CKY000000000004081700,CARB,NULL,5,marion333,NULL,CKY,2010-12-20T00:37:15Z,NULL,NULL,NULL,NULL,0.04598,0.33279,0.09766,12/26/2010,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-13H-5, 23.5 cm",NULL,121.856,123.8,121.856,123.8,"C0011D-13H-5, 23.5 cm",NULL,121.856,123.8,121.856,123.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0838,0.6983,kuriharar,2011-01-08T14:24:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-14H-3, 15.0 cm",NULL,127.584,127.965,127.584,127.965,"C0011D-14H-3, 16.0 cm",NULL,127.592,127.975,127.592,127.975,"C0011D-14H-3 WR, 15.0--16.0 cm",CKY000000000004163900,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-21T04:06:21Z,NULL,NULL,NULL,NULL,0.05185,0.78956,0.11729,1/5/2011,kawait,2011-01-08T10:59:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-14H-3, 15.5 cm",NULL,127.588,127.97,127.588,127.97,"C0011D-14H-3, 15.5 cm",NULL,127.588,127.97,127.588,127.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4809,4.0073,kuriharar,2011-01-08T14:24:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-14H-5, 22.0 cm",NULL,129.914,130.64,129.914,130.64,"C0011D-14H-5, 24.0 cm",NULL,129.932,130.66,129.932,130.66,"C0011D-14H-5 WR, 22.0--24.0 cm",CKY000000000004087000,CARB,NULL,3,bora333,NULL,CKY,2010-12-20T05:05:39Z,NULL,NULL,NULL,NULL,0.06485,0.49218,0.13295,12/27/2010,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-14H-5, 23.0 cm",NULL,129.923,130.65,129.923,130.65,"C0011D-14H-5, 23.0 cm",NULL,129.923,130.65,129.923,130.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0951,0.7925,kuriharar,2011-01-08T14:24:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-14H-7, 60.0 cm",NULL,131.709,132.7,131.709,132.7,"C0011D-14H-7, 61.0 cm",NULL,131.718,132.71,131.718,132.71,"C0011D-14H-7 WR, 60.0--61.0 cm",CKY000000000004165200,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-21T04:28:39Z,NULL,NULL,NULL,NULL,0.06585,1.11511,0.15841,12/27/2010,kawait,2011-01-08T10:59:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-14H-7, 60.5 cm",NULL,131.714,132.705,131.714,132.705,"C0011D-14H-7, 60.5 cm",NULL,131.714,132.705,131.714,132.705,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6679,5.5656,kuriharar,2011-01-08T14:24:07Z,NULL,NULL,NULL,NULL,NULL,NULL,0.17,0.04,0.19,399,439,ohashia,2011-01-08T22:08:32Z
"C0011D-15H-4, 21.5 cm",NULL,137.72,137.995,137.72,137.995,"C0011D-15H-4, 23.5 cm",NULL,137.738,138.015,137.738,138.015,"C0011D-15H-4 WR, 21.5--23.5 cm",CKY000000000004089400,CARB,NULL,3,mstrasser333,NULL,CKY,2010-12-20T05:38:01Z,NULL,NULL,NULL,NULL,0.0636,0.75984,0.17311,12/27/2010,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-15H-4, 22.5 cm",NULL,137.729,138.005,137.729,138.005,"C0011D-15H-4, 22.5 cm",NULL,137.729,138.005,137.729,138.005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3777,3.1474,kuriharar,2011-01-08T14:24:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-15H-5, 105.0 cm",NULL,138.724,139.065,138.724,139.065,"C0011D-15H-5, 106.0 cm",NULL,138.734,139.075,138.734,139.075,"C0011D-15H-5 WR, 105.0--106.0 cm",CKY000000000004170400,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-21T06:24:53Z,NULL,NULL,NULL,NULL,0.05188,0.65172,0.22128,1/5/2011,kawait,2011-01-08T10:59:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-15H-5, 105.5 cm",NULL,138.729,139.07,138.729,139.07,"C0011D-15H-5, 105.5 cm",NULL,138.729,139.07,138.729,139.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3742,3.1182,kuriharar,2011-01-08T14:24:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-15H-7, 125.5 cm",NULL,141.592,142.12,141.592,142.12,"C0011D-15H-7, 126.5 cm",NULL,141.601,142.13,141.601,142.13,"C0011D-15H-7 WR, 125.5--126.5 cm",CKY000000000004170700,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-21T06:28:18Z,NULL,NULL,NULL,NULL,0.05434,0.43732,0.10719,12/27/2010,kawait,2011-01-08T10:59:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-15H-7, 126.0 cm",NULL,141.597,142.125,141.597,142.125,"C0011D-15H-7, 126.0 cm",NULL,141.597,142.125,141.597,142.125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.14,1.1666,kuriharar,2011-01-08T14:24:08Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-15H-8, 63.0 cm",NULL,142.334,142.91,142.334,142.91,"C0011D-15H-8, 64.0 cm",NULL,142.343,142.92,142.343,142.92,"C0011D-15H-8 WR, 63.0--64.0 cm",CKY000000000004177000,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-21T07:04:16Z,NULL,NULL,NULL,NULL,0.05914,0.48505,0.26449,1/3/2011,kawait,2011-01-08T10:59:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-15H-8, 63.5 cm",NULL,142.338,142.915,142.338,142.915,"C0011D-15H-8, 63.5 cm",NULL,142.338,142.915,142.338,142.915,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1459,1.2158,kuriharar,2011-01-08T14:24:08Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-16H-4, 52.0 cm",NULL,145.956,146.1,145.956,146.1,"C0011D-16H-4, 54.0 cm",NULL,145.976,146.12,145.976,146.12,"C0011D-16H-4 W, 52.0--54.0 cm",CKY000000000004364100,CARB,NULL,5,yabukit,NULL,CKY,2010-12-23T19:09:53Z,NULL,NULL,NULL,NULL,0.05334,1.08202,0.09486,12/27/2010,kawait,2011-01-08T10:59:10Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-16H-4, 53.0 cm",NULL,145.966,146.11,145.966,146.11,"C0011D-16H-4, 53.0 cm",NULL,145.966,146.11,145.966,146.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7922,6.6014,kuriharar,2011-01-08T14:24:08Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-16H-6, 99.0 cm",NULL,148.531,148.8,148.531,148.8,"C0011D-16H-6, 101.0 cm",NULL,148.55,148.82,148.55,148.82,"C0011D-16H-6 W, 99.0--101.0 cm",CKY000000000004364300,CARB,NULL,5,yabukit,NULL,CKY,2010-12-23T19:09:53Z,NULL,NULL,NULL,NULL,0.02089,0.84762,0.16023,12/31/2010,kawait,2011-01-08T10:59:10Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-16H-6, 100.0 cm",NULL,148.541,148.81,148.541,148.81,"C0011D-16H-6, 100.0 cm",NULL,148.541,148.81,148.541,148.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7589,6.3239,kuriharar,2011-01-08T14:24:08Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-17H-5, 20.0 cm",NULL,153.799,154.505,153.799,154.505,"C0011D-17H-5, 21.0 cm",NULL,153.807,154.515,153.807,154.515,"C0011D-17H-5 WR, 20.0--21.0 cm",CKY000000000004177900,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-21T07:29:24Z,NULL,NULL,NULL,NULL,0.06841,0.84349,0.11709,12/31/2010,kawait,2011-01-08T10:59:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-17H-5, 20.5 cm",NULL,153.803,154.51,153.803,154.51,"C0011D-17H-5, 20.5 cm",NULL,153.803,154.51,153.803,154.51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4162,3.4682,kuriharar,2011-01-08T14:24:08Z,NULL,NULL,NULL,NULL,NULL,NULL,0.21,0.04,0.15,409,449,ohashia,2011-01-08T22:08:32Z
"C0011D-17H-6, 20.5 cm",NULL,155.005,155.935,155.005,155.935,"C0011D-17H-6, 22.5 cm",NULL,155.022,155.955,155.022,155.955,"C0011D-17H-6 WR, 20.5--22.5 cm",CKY000000000004101200,CARB,NULL,3,bora333,NULL,CKY,2010-12-20T08:03:48Z,NULL,NULL,NULL,NULL,0.05867,0.63512,0.14486,12/27/2010,kawait,2011-01-08T10:59:05Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-17H-6, 21.5 cm",NULL,155.013,155.945,155.013,155.945,"C0011D-17H-6, 21.5 cm",NULL,155.013,155.945,155.013,155.945,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2886,2.4049,kuriharar,2011-01-08T14:24:08Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-17H-7, 88.0 cm",NULL,155.764,156.835,155.764,156.835,"C0011D-17H-7, 89.0 cm",NULL,155.772,156.845,155.772,156.845,"C0011D-17H-7 WR, 88.0--89.0 cm",CKY000000000004178300,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-21T07:32:11Z,NULL,NULL,NULL,NULL,0.06656,0.46744,0.17911,1/3/2011,kawait,2011-01-08T10:59:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-17H-7, 88.5 cm",NULL,155.768,156.84,155.768,156.84,"C0011D-17H-7, 88.5 cm",NULL,155.768,156.84,155.768,156.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0423,0.3525,kuriharar,2011-01-08T14:24:08Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-18H-4, 21.5 cm",NULL,161.583,161.74,161.583,161.74,"C0011D-18H-4, 23.5 cm",NULL,161.602,161.76,161.602,161.76,"C0011D-18H-4 WR, 21.5--23.5 cm",CKY000000000004114500,CARB,NULL,3,bora333,NULL,CKY,2010-12-20T10:46:02Z,NULL,NULL,NULL,NULL,0.06561,0.50584,0.18294,12/26/2010,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-18H-4, 22.5 cm",NULL,161.592,161.75,161.592,161.75,"C0011D-18H-4, 22.5 cm",NULL,161.592,161.75,161.592,161.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1293,1.0775,kuriharar,2011-01-08T14:24:08Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-18H-6, 126.0 cm",NULL,164.147,164.435,164.147,164.435,"C0011D-18H-6, 127.0 cm",NULL,164.156,164.445,164.156,164.445,"C0011D-18H-6 WR, 126.0--127.0 cm",CKY000000000004193100,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-21T12:24:14Z,NULL,NULL,NULL,NULL,0.06165,0.56919,0.24177,12/27/2010,kawait,2011-01-08T10:59:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-18H-6, 126.5 cm",NULL,164.152,164.44,164.152,164.44,"C0011D-18H-6, 126.5 cm",NULL,164.152,164.44,164.152,164.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1826,1.5216,kuriharar,2011-01-08T14:24:08Z,NULL,NULL,NULL,NULL,NULL,NULL,0.06,0.01,0.14,607,647,ohashia,2011-01-08T22:08:32Z
"C0011D-18H-9, 20.0 cm",NULL,167.168,167.61,167.168,167.61,"C0011D-18H-9, 21.0 cm",NULL,167.177,167.62,167.177,167.62,"C0011D-18H-9 WR, 20.0--21.0 cm",CKY000000000004194100,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-21T12:44:09Z,NULL,NULL,NULL,NULL,0.06323,0.7985,0.12613,1/3/2011,kawait,2011-01-08T10:59:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-18H-9, 20.5 cm",NULL,167.172,167.615,167.172,167.615,"C0011D-18H-9, 20.5 cm",NULL,167.172,167.615,167.172,167.615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4131,3.4424,kuriharar,2011-01-08T14:24:08Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-19H-3, 20.0 cm",NULL,170.395,171.035,170.395,171.035,"C0011D-19H-3, 22.0 cm",NULL,170.411,171.055,170.411,171.055,"C0011D-19H-3 WR, 20.0--22.0 cm",CKY000000000004115400,CARB,NULL,3,bora333,NULL,CKY,2010-12-20T11:19:07Z,NULL,NULL,NULL,NULL,0.06361,0.63137,0.15873,12/26/2010,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-19H-3, 21.0 cm",NULL,170.403,171.045,170.403,171.045,"C0011D-19H-3, 21.0 cm",NULL,170.403,171.045,170.403,171.045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2588,2.1566,kuriharar,2011-01-08T14:24:08Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-19H-4, 127.0 cm",NULL,171.413,172.325,171.413,172.325,"C0011D-19H-4, 128.0 cm",NULL,171.421,172.335,171.421,172.335,"C0011D-19H-4 WR, 127.0--128.0 cm",CKY000000000004205200,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-21T16:36:16Z,NULL,NULL,NULL,NULL,0.05924,0.87247,0.2949,1/3/2011,kawait,2011-01-08T10:59:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-19H-4, 127.5 cm",NULL,171.417,172.33,171.417,172.33,"C0011D-19H-4, 127.5 cm",NULL,171.417,172.33,171.417,172.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5148,4.2898,kuriharar,2011-01-08T14:24:09Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-19H-5, 119.0 cm",NULL,172.479,173.675,172.479,173.675,"C0011D-19H-5, 120.0 cm",NULL,172.487,173.685,172.487,173.685,"C0011D-19H-5 WR, 119.0--120.0 cm",CKY000000000004205900,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-21T16:36:16Z,NULL,NULL,NULL,NULL,0.06243,0.63563,0.30511,12/31/2010,kawait,2011-01-08T10:59:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-19H-5, 119.5 cm",NULL,172.483,173.68,172.483,173.68,"C0011D-19H-5, 119.5 cm",NULL,172.483,173.68,172.483,173.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.296,2.4666,kuriharar,2011-01-08T14:24:09Z,NULL,NULL,NULL,NULL,NULL,NULL,0.16,0.02,0.13,611,647,ohashia,2011-01-08T22:08:32Z
"C0011D-20H-3, 20.0 cm",NULL,176.894,177.025,176.894,177.025,"C0011D-20H-3, 21.0 cm",NULL,176.904,177.035,176.904,177.035,"C0011D-20H-3 WR, 20.0--21.0 cm",CKY000000000004222000,CARB,NULL,5,asukay333,NULL,CKY,2010-12-21T19:40:59Z,NULL,NULL,NULL,NULL,0.05757,0.58568,0.16255,12/31/2010,kawait,2011-01-08T10:59:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-20H-3, 20.5 cm",NULL,176.899,177.03,176.899,177.03,"C0011D-20H-3, 20.5 cm",NULL,176.899,177.03,176.899,177.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2938,2.4482,kuriharar,2011-01-08T14:24:09Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-20H-4, 20.0 cm",NULL,177.998,178.205,177.998,178.205,"C0011D-20H-4, 22.0 cm",NULL,178.017,178.225,178.017,178.225,"C0011D-20H-4 WR, 20.0--22.0 cm",CKY000000000004120500,CARB,NULL,3,yabukit,NULL,CKY,2010-12-20T12:22:28Z,NULL,NULL,NULL,NULL,0.06042,0.77178,0.14202,12/26/2010,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-20H-4, 21.0 cm",NULL,178.007,178.215,178.007,178.215,"C0011D-20H-4, 21.0 cm",NULL,178.007,178.215,178.007,178.215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4197,3.4974,kuriharar,2011-01-08T14:24:09Z,NULL,NULL,NULL,NULL,NULL,NULL,0.25,0.07,0.2,366,406,ohashia,2011-01-08T22:08:32Z
"C0011D-21H-2, 120.0 cm",NULL,182.376,183.1,182.376,183.1,"C0011D-21H-2, 121.0 cm",NULL,182.383,183.11,182.383,183.11,"C0011D-21H-2 WR, 120.0--121.0 cm",CKY000000000004225200,CARB,NULL,5,asukay333,NULL,CKY,2010-12-21T20:27:58Z,NULL,NULL,NULL,NULL,0.07127,0.53691,0.09749,1/3/2011,kawait,2011-01-08T10:59:07Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-21H-2, 120.5 cm",NULL,182.379,183.105,182.379,183.105,"C0011D-21H-2, 120.5 cm",NULL,182.379,183.105,182.379,183.105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1029,0.8575,kuriharar,2011-01-08T14:24:09Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011D-21H-4, 20.5 cm",NULL,182.837,183.74,182.837,183.74,"C0011D-21H-4, 22.5 cm",NULL,182.852,183.76,182.852,183.76,"C0011D-21H-4 WR, 20.5--22.5 cm",CKY000000000004127900,CARB,NULL,3,bora333,NULL,CKY,2010-12-20T14:03:04Z,NULL,NULL,NULL,NULL,0.06293,0.48411,0.25589,12/27/2010,kawait,2011-01-08T10:59:06Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
