Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::comment on measurement::text,bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0022B-6H-1, 53.0 cm",NULL,57.996,58.03,57.996,58.03,"C0022B-6H-1, 55.0 cm",NULL,58.014,58.05,58.014,58.05,"C0022B-6H-1 WR, 53.0--55.0 cm",CKY000000000001601410,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-01T11:47:43Z,1.8866,15.721,0.069933495,2.391964975,0.387591573,NULL,kames,2013-02-05T00:39:11Z
"C0022B-6H-3, 20.0 cm",NULL,58.875,58.97,58.875,58.97,"C0022B-6H-3, 23.0 cm",NULL,58.903,59,58.903,59,"C0022B-6H-3 WR, 20.0--23.0 cm",CKY000000000001602210,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-01T12:06:58Z,1.1079,9.2321,0.056905223,1.44906655,0.559853593,NULL,kames,2013-02-05T00:39:11Z
"C0022B-6H-5, 128.0 cm",NULL,62.507,62.855,62.507,62.855,"C0022B-6H-5, 130.0 cm",NULL,62.526,62.875,62.526,62.875,"C0022B-6H-5 WR, 128.0--130.0 cm",CKY000000000001603010,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-01T12:14:50Z,1.1216,9.3463,0.074595288,1.553164943,0.371753932,NULL,kames,2013-02-05T00:39:11Z
"C0022B-6H-8, 85.0 cm",NULL,66.042,66.635,66.042,66.635,"C0022B-6H-8, 87.0 cm",NULL,66.06,66.655,66.06,66.655,"C0022B-6H-8 W, 85.0--87.0 cm",CKY000000000001620010,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-02T02:33:02Z,2.0969,17.4735,0.063736285,2.458697243,0.249812969,NULL,kames,2013-02-05T00:39:11Z
"C0022B-7H-2, 54.0 cm",NULL,67.719,67.79,67.719,67.79,"C0022B-7H-2, 57.0 cm",NULL,67.747,67.82,67.747,67.82,"C0022B-7H-2 WR, 54.0--57.0 cm",CKY000000000001606510,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-01T17:18:57Z,0.4646,3.8715,0.075639303,0.953479828,0.554697663,NULL,kames,2013-02-05T00:39:11Z
"C0022B-7H-4, 116.0 cm",NULL,70.837,71.215,70.837,71.215,"C0022B-7H-4, 118.0 cm",NULL,70.856,71.235,70.856,71.235,"C0022B-7H-4 W, 116.0--118.0 cm",CKY000000000001620610,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-02T02:47:47Z,0.7366,6.1381,0.072797723,1.181360104,0.451183042,NULL,kames,2013-02-05T00:39:11Z
"C0022B-7H-8, 0.0 cm",NULL,73.523,74.165,73.523,74.165,"C0022B-7H-8, 3.0 cm",NULL,73.55,74.195,73.55,74.195,"C0022B-7H-8 W, 0.0--3.0 cm",CKY000000000001621210,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-02T02:58:22Z,0.2417,2.0141,0.051218793,0.57981182,0.8040878,NULL,kames,2013-02-05T00:39:11Z
"C0022B-8H-1, 20.0 cm",NULL,76.679,76.7,76.679,76.7,"C0022B-8H-1, 25.0 cm",NULL,76.724,76.75,76.724,76.75,"C0022B-8H-1 W, 20.0--25.0 cm",CKY000000000001630010,CARB,NULL,3,esteban338,NULL,CKY,2013-01-02T08:21:36Z,1.095,9.1246,0.068854062,1.534397229,0.027458134,NULL,kames,2013-02-05T00:39:11Z
"C0022B-8H-5, 100.0 cm",NULL,80.328,80.77,80.328,80.77,"C0022B-8H-5, 104.0 cm",NULL,80.363,80.81,80.363,80.81,"C0022B-8H-5 W, 100.0--104.0 cm",CKY000000000001627310,CARB,NULL,3,skarbek338,NULL,CKY,2013-01-02T08:00:19Z,1.0247,8.5388,0.065135809,1.469835119,0.037404257,NULL,kames,2013-02-05T00:39:11Z
"C0022B-8H-CC, 17.0 cm",NULL,84.339,85.245,84.339,85.245,"C0022B-8H-CC, 19.0 cm",NULL,84.357,85.265,84.357,85.265,"C0022B-8H-CC WR, 17.0--19.0 cm",CKY000000000001612710,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-01T23:58:28Z,0.1325,1.1041,0.066876781,0.756467456,0.053584617,NULL,kames,2013-02-05T00:39:11Z
"C0022B-9T-3, 0.0 cm",NULL,84.989,85.03,84.989,85.03,"C0022B-9T-3, 5.0 cm",NULL,85.035,85.08,85.035,85.08,"C0022B-9T-3 W, 0.0--5.0 cm",CKY000000000001629310,CARB,NULL,3,esteban338,NULL,CKY,2013-01-02T08:12:51Z,0.0808,0.6733,0.050224825,0.542221051,0.502088299,NULL,kames,2013-02-05T00:39:11Z
"C0022B-9T-5, 77.0 cm",NULL,88.287,88.605,88.287,88.605,"C0022B-9T-5, 81.0 cm",NULL,88.324,88.645,88.324,88.645,"C0022B-9T-5 W, 77.0--81.0 cm",CKY000000000001630810,CARB,NULL,3,esteban338,NULL,CKY,2013-01-02T08:31:10Z,1.4074,11.7279,0.065090667,1.743299675,0.046158242,NULL,kames,2013-02-05T00:39:11Z
"C0022B-10T-3, 0.0 cm",NULL,90.46,90.55,90.46,90.55,"C0022B-10T-3, 3.0 cm",NULL,90.487,90.58,90.487,90.58,"C0022B-10T-3 W, 0.0--3.0 cm",CKY000000000001640410,CARB,NULL,3,skarbek338,NULL,CKY,2013-01-02T12:05:57Z,0.7767,6.4722,0.068896695,1.350599114,0.127274409,NULL,kames,2013-02-05T00:39:11Z
"C0022B-10T-5, 100.0 cm",NULL,93.942,94.36,93.942,94.36,"C0022B-10T-5, 103.0 cm",NULL,93.97,94.39,93.97,94.39,"C0022B-10T-5 W, 100.0--103.0 cm",CKY000000000001833610,CARB,NULL,3,esteban338,NULL,CKY,2013-01-09T07:31:19Z,0.4273,3.5607,0.05459613,0.876313602,0.122820767,NULL,kames,2013-02-05T00:39:11Z
"C0022B-11T-1, 81.0 cm",NULL,95.31,95.31,95.31,95.31,"C0022B-11T-1, 84.0 cm",NULL,95.34,95.34,95.34,95.34,"C0022B-11T-1 W, 81.0--84.0 cm",CKY000000000001834110,CARB,NULL,3,esteban338,NULL,CKY,2013-01-09T07:34:39Z,0.253,2.1082,0.071127748,0.672406943,0.107722478,NULL,kames,2013-02-05T00:39:11Z
"C0022B-12X-2, 10.0 cm",NULL,100.474,101.005,100.474,101.005,"C0022B-12X-2, 14.0 cm",NULL,100.5,101.045,100.5,101.045,"C0022B-12X-2 W, 10.0--14.0 cm",CKY000000000001643410,CARB,NULL,3,skarbek338,NULL,CKY,2013-01-02T13:43:58Z,1.3675,11.3954,0.069040738,1.735300443,0.082280816,NULL,kames,2013-02-05T00:39:11Z
"C0022B-12X-5, 135.0 cm",NULL,103.39,105.51,103.39,105.51,"C0022B-12X-5, 139.0 cm",NULL,103.416,105.55,103.416,105.55,"C0022B-12X-5 W, 135.0--139.0 cm",CKY000000000001644610,CARB,NULL,3,skarbek338,NULL,CKY,2013-01-02T13:43:58Z,0.9295,7.7455,0.067492004,1.413365291,0.156492951,NULL,kames,2013-02-05T00:39:11Z
"C0022B-13X-1, 26.0 cm",NULL,104.683,104.76,104.683,104.76,"C0022B-13X-1, 29.0 cm",NULL,104.704,104.79,104.704,104.79,"C0022B-13X-1 W, 26.0--29.0 cm",CKY000000000001659410,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-02T22:20:45Z,0.7804,6.5031,0.077182491,1.342135994,0.225180227,NULL,kames,2013-02-05T00:39:11Z
"C0022B-13X-6, 30.0 cm",NULL,108.915,110.765,108.915,110.765,"C0022B-13X-6, 33.0 cm",NULL,108.936,110.795,108.936,110.795,"C0022B-13X-6 W, 30.0--33.0 cm",CKY000000000001660310,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-02T22:23:52Z,0.272,2.2666,0.059263981,0.660404812,0.113383975,NULL,kames,2013-02-05T00:39:11Z
"C0022B-14X-1, 67.0 cm",NULL,109.856,110.17,109.856,110.17,"C0022B-14X-1, 69.0 cm",NULL,109.866,110.19,109.866,110.19,"C0022B-14X-1 WR, 67.0--69.0 cm",CKY000000000001646910,CARB,NULL,3,kames,NULL,CKY,2013-01-02T17:23:23Z,0.3103,2.5857,0.066729995,0.736683428,0.072621194,NULL,kames,2013-02-05T00:39:11Z
"C0022B-14X-1, 110.0 cm",NULL,110.084,110.6,110.084,110.6,"C0022B-14X-1, 112.0 cm",NULL,110.095,110.62,110.095,110.62,"C0022B-14X-1 WR, 110.0--112.0 cm",CKY000000000001647810,CARB,NULL,3,kames,NULL,CKY,2013-01-02T17:29:34Z,0.276,2.2999,0.063442662,0.620392368,0.047963906,NULL,kames,2013-02-05T00:39:11Z
"C0022B-14X-2, 54.0 cm",NULL,110.424,111.24,110.424,111.24,"C0022B-14X-2, 57.0 cm",NULL,110.44,111.27,110.44,111.27,"C0022B-14X-2 WR, 54.0--57.0 cm",CKY000000000001649010,CARB,NULL,3,kames,NULL,CKY,2013-01-02T17:45:18Z,0.4906,4.0882,0.058977621,0.932831252,0.097515983,NULL,kames,2013-02-05T00:39:11Z
"C0022B-14X-2, 113.0 cm",NULL,110.737,111.83,110.737,111.83,"C0022B-14X-2, 115.0 cm",NULL,110.747,111.85,110.747,111.85,"C0022B-14X-2 WR, 113.0--115.0 cm",CKY000000000001650010,CARB,NULL,3,kames,NULL,CKY,2013-01-02T17:45:18Z,0.2149,1.7908,0.06014389,0.579044024,0.06431998,NULL,kames,2013-02-05T00:39:11Z
"C0022B-14X-3, 30.0 cm",NULL,111.039,112.4,111.039,112.4,"C0022B-14X-3, 32.0 cm",NULL,111.05,112.42,111.05,112.42,"C0022B-14X-3 WR, 30.0--32.0 cm",CKY000000000001651110,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-02T18:33:57Z,0.4632,3.8598,0.058403315,0.907664369,0.084599291,NULL,kames,2013-02-05T00:39:11Z
"C0022B-14X-3, 92.0 cm",NULL,111.368,113.02,111.368,113.02,"C0022B-14X-3, 94.0 cm",NULL,111.379,113.04,111.379,113.04,"C0022B-14X-3 WR, 92.0--94.0 cm",CKY000000000001653510,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-02T18:40:16Z,0.5029,4.1907,0.06120576,0.983390537,0.096562718,NULL,kames,2013-02-05T00:39:11Z
"C0022B-14X-3, 109.0 cm",NULL,111.459,113.19,111.459,113.19,"C0022B-14X-3, 110.0 cm",NULL,111.464,113.2,111.464,113.2,"C0022B-14X-3 WR, 109.0--110.0 cm",CKY000000000001652310,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-02T18:36:17Z,0.2154,1.7949,0.053691419,0.538262903,0.069745474,NULL,kames,2013-02-05T00:39:11Z
"C0022B-14X-4, 15.0 cm",NULL,111.703,113.65,111.703,113.65,"C0022B-14X-4, 18.0 cm",NULL,111.719,113.68,111.719,113.68,"C0022B-14X-4 WR, 15.0--18.0 cm",CKY000000000001654410,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-02T19:40:51Z,0.537,4.4748,0.045267858,0.824761943,0.075660076,NULL,kames,2013-02-05T00:39:11Z
"C0022B-14X-4, 90.0 cm",NULL,112.101,114.4,112.101,114.4,"C0022B-14X-4, 93.0 cm",NULL,112.117,114.43,112.117,114.43,"C0022B-14X-4 W, 90.0--93.0 cm",CKY000000000001664910,CARB,NULL,3,skarbek338,NULL,CKY,2013-01-03T02:53:42Z,0.3234,2.6949,0.07050925,0.811448304,0.06410102,NULL,kames,2013-02-05T00:39:11Z
"C0022B-14X-5, 54.0 cm",NULL,112.664,115.46,112.664,115.46,"C0022B-14X-5, 56.0 cm",NULL,112.674,115.48,112.674,115.48,"C0022B-14X-5 WR, 54.0--56.0 cm",CKY000000000001656410,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-02T20:26:39Z,0.4554,3.7948,0.066635921,0.920576612,0.105002252,NULL,kames,2013-02-05T00:39:11Z
"C0022B-14X-8, 0.0 cm",NULL,114.07,118.11,114.07,118.11,"C0022B-14X-8, 2.0 cm",NULL,114.081,118.13,114.081,118.13,"C0022B-14X-8 WR, 0.0--2.0 cm",CKY000000000001657310,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-02T20:43:03Z,0.2345,1.9541,0.055598227,0.710910542,0.162903799,NULL,kames,2013-02-05T00:39:11Z
"C0022B-15X-4, 0.0 cm",NULL,118.79,118.79,118.79,118.79,"C0022B-15X-4, 5.0 cm",NULL,118.84,118.84,118.84,118.84,"C0022B-15X-4 W, 0.0--5.0 cm",CKY000000000001672710,CARB,NULL,3,skarbek338,NULL,CKY,2013-01-03T07:32:08Z,1.0181,8.4838,0.061313842,1.371956925,0.19537587,NULL,kames,2013-02-05T00:39:11Z
"C0022B-16X-5, 0.0 cm",NULL,127.72,127.72,127.72,127.72,"C0022B-16X-5, 5.0 cm",NULL,127.77,127.77,127.77,127.77,"C0022B-16X-5 W, 0.0--5.0 cm",CKY000000000001677010,CARB,NULL,3,esteban338,NULL,CKY,2013-01-03T11:06:52Z,0.8795,7.3289,0.062604689,1.216799403,0.070803683,NULL,kames,2013-02-05T00:39:11Z
"C0022B-17X-1, 68.0 cm",NULL,134.18,134.18,134.18,134.18,"C0022B-17X-1, 72.0 cm",NULL,134.22,134.22,134.22,134.22,"C0022B-17X-1 WR, 68.0--72.0 cm",CKY000000000001666710,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-03T05:10:58Z,1.1932,9.9429,0.074308173,1.638959593,0.078599845,NULL,kames,2013-02-05T00:39:11Z
"C0022B-17X-1, 115.0 cm",NULL,134.65,134.65,134.65,134.65,"C0022B-17X-1, 120.0 cm",NULL,134.7,134.7,134.7,134.7,"C0022B-17X-1 W, 115.0--120.0 cm",CKY000000000001684310,CARB,NULL,3,esteban338,NULL,CKY,2013-01-03T14:04:25Z,1.2511,10.4254,0.076715429,1.726006342,0.092771418,NULL,kames,2013-02-05T00:39:11Z
"C0022B-18X-3, 66.0 cm",NULL,145.45,145.45,145.45,145.45,"C0022B-18X-3, 69.0 cm",NULL,145.48,145.48,145.48,145.48,"C0022B-18X-3 W, 66.0--69.0 cm",CKY000000000001691210,CARB,NULL,2,fabbri338,NULL,CKY,2013-01-03T18:40:01Z,0.27,2.2499,0.074364083,0.76783764,0.144351932,NULL,kames,2013-02-05T00:39:11Z
"C0022B-19X-1, 76.0 cm",NULL,153.26,153.26,153.26,153.26,"C0022B-19X-1, 80.5 cm",NULL,153.305,153.305,153.305,153.305,"C0022B-19X-1 W, 76.0--80.5 cm",CKY000000000001693610,CARB,NULL,2,fabbri338,NULL,CKY,2013-01-03T20:20:57Z,0.3528,2.9399,0.063952442,0.765628877,0.11468774,NULL,kames,2013-02-05T00:39:11Z
"C0022B-20X-5, 3.0 cm",NULL,193.808,193.9,193.808,193.9,"C0022B-20X-5, 6.0 cm",NULL,193.837,193.93,193.837,193.93,"C0022B-20X-5 W, 3.0--6.0 cm",CKY000000000001696710,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-03T23:43:51Z,0.6341,5.284,0.079099219,1.162953433,0.089081443,NULL,kames,2013-02-05T00:39:11Z
"C0022B-20X-8, 34.0 cm",NULL,197.14,197.325,197.14,197.325,"C0022B-20X-8, 37.0 cm",NULL,197.169,197.355,197.169,197.355,"C0022B-20X-8 WR, 34.0--37.0 cm",CKY000000000001668310,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-03T05:39:12Z,0.6016,5.0131,0.075646644,1.004297577,0.136523349,NULL,kames,2013-02-05T00:39:11Z
"C0022B-20X-10, 8.0 cm",NULL,198.73,198.96,198.73,198.96,"C0022B-20X-10, 10.0 cm",NULL,198.75,198.98,198.75,198.98,"C0022B-20X-10 WR, 8.0--10.0 cm",CKY000000000001669110,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-03T05:41:31Z,1.5319,12.7653,0.070852185,1.889168067,0.153683756,NULL,kames,2013-02-05T00:39:11Z
"C0022B-21X-5, 85.0 cm",NULL,204.18,204.18,204.18,204.18,"C0022B-21X-5, 89.0 cm",NULL,204.22,204.22,204.22,204.22,"C0022B-21X-5 WR, 85.0--89.0 cm",CKY000000000001675710,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-03T10:09:51Z,1.0987,9.1555,0.080690228,1.5730343,0.093438793,NULL,kames,2013-02-05T00:39:11Z
"C0022B-21X-7, 133.0 cm",NULL,205.86,205.86,205.86,205.86,"C0022B-21X-7, 137.0 cm",NULL,205.9,205.9,205.9,205.9,"C0022B-21X-7 W, 133.0--137.0 cm",CKY000000000001703610,CARB,NULL,3,skarbek338,NULL,CKY,2013-01-04T02:00:17Z,0.7285,6.0706,0.071742323,1.251407545,0.164622246,NULL,kames,2013-02-05T00:39:11Z
"C0022B-22X-1, 118.0 cm",NULL,210.68,210.68,210.68,210.68,"C0022B-22X-1, 123.0 cm",NULL,210.73,210.73,210.73,210.73,"C0022B-22X-1 W, 118.0--123.0 cm",CKY000000000001708710,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-04T04:19:39Z,0.4814,4.0115,0.05681076,0.881010488,0.144857952,NULL,kames,2013-02-05T00:39:11Z
"C0022B-23X-5, 0.0 cm",NULL,221.442,221.605,221.442,221.605,"C0022B-23X-5, 5.0 cm",NULL,221.489,221.655,221.489,221.655,"C0022B-23X-5 W, 0.0--5.0 cm",CKY000000000001710010,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-04T05:35:25Z,0.2982,2.4849,0.06894602,0.664813707,0.11841813,NULL,kames,2013-02-05T00:39:11Z
"C0022B-23X-5, 61.0 cm",NULL,222.014,222.215,222.014,222.215,"C0022B-23X-5, 63.0 cm",NULL,222.032,222.235,222.032,222.235,"C0022B-23X-5 WR, 61.0--63.0 cm",CKY000000000001680410,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-03T12:02:47Z,0.6177,5.1473,0.072228783,1.005211432,0.075284869,NULL,kames,2013-02-05T00:39:11Z
"C0022B-23X-7, 44.0 cm",NULL,224.441,224.805,224.441,224.805,"C0022B-23X-7, 47.5 cm",NULL,224.474,224.84,224.474,224.84,"C0022B-23X-7 WR, 44.0--47.5 cm",CKY000000000001681310,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-03T12:46:51Z,1.2683,10.5687,0.065399829,1.562372687,0.512884227,NULL,kames,2013-02-05T00:39:11Z
"C0022B-24X-4, 7.0 cm",NULL,269.175,269.175,269.175,269.175,"C0022B-24X-4, 11.0 cm",NULL,269.215,269.215,269.215,269.215,"C0022B-24X-4 W, 7.0--11.0 cm",CKY000000000001717310,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-04T09:49:25Z,0.805,6.7081,0.077175641,1.381407651,0.162243328,NULL,kames,2013-02-05T00:39:11Z
"C0022B-24X-7, 13.0 cm",NULL,273.39,273.39,273.39,273.39,"C0022B-24X-7, 16.0 cm",NULL,273.42,273.42,273.42,273.42,"C0022B-24X-7 WR, 13.0--16.0 cm",CKY000000000001686710,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-03T15:07:00Z,0.2104,1.7533,0.045848158,0.495365538,0.730649577,NULL,kames,2013-02-05T00:39:11Z
"C0022B-25X-1, 74.0 cm",NULL,276.74,276.74,276.74,276.74,"C0022B-25X-1, 78.0 cm",NULL,276.78,276.78,276.78,276.78,"C0022B-25X-1 WR, 74.0--78.0 cm",CKY000000000001689210,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-03T17:23:28Z,0.4462,3.7182,0.075377767,0.944213253,0.160832422,NULL,kames,2013-02-05T00:39:11Z
