Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::comment on measurement::text,bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval::HI: HC/TOC [permil]::number,Rock Eval::MinC [wt%]::number,Rock Eval::OI: CO2/TOC [permil]::number,Rock Eval::OICO: CO/TOC [permil]::number,Rock Eval::oxiMinC [wt%]::number,Rock Eval::PC [wt%]::number,Rock Eval::PI::number,Rock Eval::pyroMinC [wt%]::number,Rock Eval::RC [wt%]::number,Rock Eval::RCCO [wt%]::number,Rock Eval::RCCO2 [wt%]::number,Rock Eval::S1 [permil]::number,Rock Eval::S2 [permil]::number,Rock Eval::S3 [permil]::number,Rock Eval::S4CO2 [permil]::number,Rock Eval::S3' [permil]::number,Rock Eval::S3CO [permil]::number,Rock Eval::S4CO [permil]::number,Rock Eval::S3'CO [permil]::number,Rock Eval::Tmax [degree C]::number,Rock Eval::TOC [wt%]::number,Rock Eval::TpS5 [degree C]::number,Rock Eval::TpkS2 [degree C]::number,Rock Eval::S5 [permil]::number,Rock Eval::registerer,Rock Eval::registration time-stamp
"C0020A-25R-1, 75.0 cm",NULL,NULL,NULL,1995.75,1995.75,1995.75,1995.75,"C0020A-25R-1, 91.0 cm",NULL,NULL,NULL,1995.91,1995.91,1995.91,1995.91,"C0020A-25R-1 WR, 75.0--91.0 cm",CKY000000000005648500,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-08T00:35:04Z,4.4529,37.106,0.01751125,4.618942815,0,TS data was accepted second measurement.,hoshinoh,2012-09-18T13:44:52Z,7,4.69,350,86,4.39,0.02,0,0.3,0.12,0.01,0.11,0,0.01,0.49,4.11,10.8,0.12,0.32,0.1,441,0.14,832,484,160.94,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1996.500,NULL,1996.5,NULL,NULL,1996.5,NULL,NULL,C0020A;2006.500,NULL,2006.5,NULL,NULL,2006.5,C0020A-254SMW WR,CKY000000000005584100,CARB,NULL,5,hitomiy,1-4 shared w/ PP,CKY,2012-09-11T10:26:52Z,0.4786,3.9882,0.43357098,28.74688724,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-25R-2, 70.0 cm",NULL,NULL,NULL,1997.11,1997.11,1997.11,1997.11,"C0020A-25R-2, 85.0 cm",NULL,NULL,NULL,1997.26,1997.26,1997.26,1997.26,"C0020A-25R-2 WR, 70.0--85.0 cm",CKY000000000005652300,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-08T13:20:52Z,0.0068,0.0567,0.799236502,44.8194353,0.252112532,NULL,hoshinoh,2012-09-18T13:44:52Z,273,0.88,27,12,0.17,11.47,0.02,0.72,34.87,4.53,30.34,2.18,126.37,12.7,1112.57,18.7,5.74,105.61,9.6,413,46.34,651,451,6.15,miyabes,2012-09-19T12:46:38Z
"C0020A-25R-3, 120.0 cm",NULL,NULL,NULL,1999.02,1999.02,1999.02,1999.02,"C0020A-25R-3, 141.0 cm",NULL,NULL,NULL,1999.23,1999.23,1999.23,1999.23,"C0020A-25R-3 WR, 120.0--141.0 cm",CKY000000000005652400,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-08T13:20:52Z,0.3058,2.5482,0.06461226,1.308416049,0.078817531,NULL,hoshinoh,2012-09-18T13:44:52Z,114,0.26,131,10,0.01,0.13,0,0.25,0.83,0.19,0.64,0,1.09,1.26,23.32,9,0.1,4.38,0,424,0.96,651,462,0.49,miyabes,2012-09-19T12:46:38Z
"C0020A-25R-4, 0.0 cm",NULL,NULL,NULL,1999.23,1999.23,1999.23,1999.23,"C0020A-25R-4, 15.0 cm",NULL,NULL,NULL,1999.38,1999.38,1999.38,1999.38,"C0020A-25R-4 WR, 0.0--15.0 cm",CKY000000000005575500,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-06T14:28:47Z,0.2157,1.7974,0.074950369,1.429838816,0.081562362,NULL,hoshinoh,2012-09-18T13:44:52Z,198,0.29,84,21,0.04,0.25,0,0.25,1.01,0.22,0.79,0,2.5,1.06,29.12,9,0.26,5.1,0.3,428,1.26,651,469,1.32,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;2106.500,NULL,2106.5,NULL,NULL,2106.5,NULL,NULL,C0020A;2116.500,NULL,2116.5,NULL,NULL,2116.5,C0020A-270SMW WR,CKY000000000005588200,CARB,NULL,5,hitomiy,1-4 shared w/ PP,CKY,2012-09-11T10:26:52Z,0.1913,1.5941,0.054635443,2.818286207,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-26R-2, 0.0 cm",NULL,NULL,NULL,2111.381,2111.405,2111.381,2111.405,"C0020A-26R-2, 9.0 cm",NULL,NULL,NULL,2111.47,2111.495,2111.47,2111.495,"C0020A-26R-2 WR, 0.0--9.0 cm",CKY000000000005653100,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-08T13:20:52Z,0.1635,1.3624,0.067457025,0.78366419,1.150093974,NULL,hoshinoh,2012-09-18T13:44:52Z,28,0.17,102,3,0.01,0.03,0,0.16,0.55,0.1,0.45,0,0.16,0.59,16.63,6,0.02,2.44,0,406,0.58,651,444,0.32,miyabes,2012-09-19T12:46:38Z
"C0020A-26R-6, 0.0 cm",NULL,NULL,NULL,2115.583,2115.68,2115.583,2115.68,"C0020A-26R-6, 15.0 cm",NULL,NULL,NULL,2115.731,2115.83,2115.731,2115.83,"C0020A-26R-6 WR, 0.0--15.0 cm",CKY000000000005653200,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-08T13:20:52Z,0.0713,0.5941,0.073153342,0.794523781,1.104712247,NULL,hoshinoh,2012-09-18T13:44:52Z,30,0.12,90,4,0.03,0.04,0,0.09,0.63,0.11,0.52,0,0.2,0.6,19.11,3.3,0.03,2.64,0.1,406,0.67,651,444,1.12,miyabes,2012-09-19T12:46:38Z
"C0020A-26R-7, 84.0 cm",NULL,NULL,NULL,2117.795,2117.93,2117.795,2117.93,"C0020A-26R-7, 101.0 cm",NULL,NULL,NULL,2117.962,2118.1,2117.962,2118.1,"C0020A-26R-7 WR, 84.0--101.0 cm",CKY000000000005682800,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-08T13:20:52Z,0.0537,0.4475,0.071980347,0.728953423,1.134494471,NULL,hoshinoh,2012-09-18T13:44:52Z,25,0.09,109,5,0.01,0.04,0,0.07,0.6,0.11,0.49,0,0.16,0.7,17.8,2.6,0.03,2.55,0.1,403,0.64,651,441,0.53,miyabes,2012-09-19T12:46:38Z
"C0020A-27R-2, 61.0 cm",NULL,NULL,NULL,2201.605,2201.605,2201.605,2201.605,"C0020A-27R-2, 80.0 cm",NULL,NULL,NULL,2201.795,2201.795,2201.795,2201.795,"C0020A-27R-2 WR, 61.0--80.0 cm",CKY000000000005682700,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-08T13:14:44Z,0.09,0.75,0.069211874,0.676253725,0.650953676,NULL,hoshinoh,2012-09-18T13:44:52Z,25,0.12,85,6,0.03,0.02,0,0.1,0.5,0.08,0.42,0,0.13,0.44,15.45,3.5,0.03,1.78,0,408,0.52,651,446,0.98,miyabes,2012-09-19T12:46:38Z
