Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::comment on measurement::text,bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval::HI: HC/TOC [permil]::number,Rock Eval::MinC [wt%]::number,Rock Eval::OI: CO2/TOC [permil]::number,Rock Eval::OICO: CO/TOC [permil]::number,Rock Eval::oxiMinC [wt%]::number,Rock Eval::PC [wt%]::number,Rock Eval::PI::number,Rock Eval::pyroMinC [wt%]::number,Rock Eval::RC [wt%]::number,Rock Eval::RCCO [wt%]::number,Rock Eval::RCCO2 [wt%]::number,Rock Eval::S1 [permil]::number,Rock Eval::S2 [permil]::number,Rock Eval::S3 [permil]::number,Rock Eval::S4CO2 [permil]::number,Rock Eval::S3' [permil]::number,Rock Eval::S3CO [permil]::number,Rock Eval::S4CO [permil]::number,Rock Eval::S3'CO [permil]::number,Rock Eval::Tmax [degree C]::number,Rock Eval::TOC [wt%]::number,Rock Eval::TpS5 [degree C]::number,Rock Eval::TpkS2 [degree C]::number,Rock Eval::S5 [permil]::number,Rock Eval::registerer,Rock Eval::registration time-stamp
NULL,NULL,C0020A;646.500,NULL,646.5,NULL,NULL,646.5,NULL,NULL,C0020A;656.500,NULL,656.5,NULL,NULL,656.5,C0020A-25SMW WR,CKY000000000005086000,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:06:50Z,0.1277,1.0641,0.081994959,1.37265173,0.782934381,NULL,hoshinoh,2012-09-18T13:44:52Z,276,0.17,100,18,0.03,0.39,0.27,0.14,0.71,0.11,0.6,1.13,3.04,1.1,21.91,4.9,0.2,2.46,0.3,297,1.1,651,336,1.14,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;696.500,NULL,696.5,NULL,NULL,696.5,NULL,NULL,C0020A;706.500,NULL,706.5,NULL,NULL,706.5,C0020A-30SMW WR,CKY000000000005086100,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.1697,1.4141,0.09557724,0.0000758,0.856563381,NULL,hoshinoh,2012-09-18T13:44:52Z,317,0.3,130,18,0.02,0.51,0.24,0.28,0.79,0.11,0.68,1.27,4.12,1.69,24.96,10,0.24,2.59,0.4,297,1.3,651,336,0.78,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;746.500,NULL,746.5,NULL,NULL,746.5,NULL,NULL,C0020A;756.500,NULL,756.5,NULL,NULL,756.5,C0020A-35SMW WR,CKY000000000005086200,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.1637,1.3641,0.090907796,0.0000435,0.610641637,NULL,hoshinoh,2012-09-18T13:44:52Z,286,0.18,114,15,0.02,0.38,0.21,0.16,0.74,0.12,0.62,0.83,3.2,1.28,22.88,5.7,0.17,2.77,0.3,295,1.12,651,334,0.83,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;796.500,NULL,796.5,NULL,NULL,796.5,NULL,NULL,C0020A;806.500,NULL,806.5,NULL,NULL,806.5,C0020A-40SMW WR,CKY000000000005086300,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.1945,1.6208,0.099985132,1.736067952,0.686520793,NULL,hoshinoh,2012-09-18T13:44:52Z,236,0.4,151,22,0.03,0.43,0.3,0.37,0.83,0.11,0.72,1.27,2.97,1.9,26.3,13.3,0.28,2.66,0.5,295,1.26,651,333,0.94,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;846.500,NULL,846.5,NULL,NULL,846.5,NULL,NULL,C0020A;856.500,NULL,856.5,NULL,NULL,856.5,C0020A-45SMW WR,CKY000000000005086400,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.3098,2.5816,0.071765536,1.260289249,0.573709669,NULL,hoshinoh,2012-09-18T13:44:52Z,243,0.55,145,19,0.16,0.27,0.24,0.39,0.57,0.08,0.49,0.66,2.04,1.22,18.09,14.1,0.16,1.97,0.3,295,0.84,677,334,5.81,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;896.500,NULL,896.5,NULL,NULL,896.5,NULL,NULL,C0020A;906.500,NULL,906.5,NULL,NULL,906.5,C0020A-56SMW WR,CKY000000000005086500,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.2231,1.8591,0.085777033,1.171330812,0.603659631,NULL,hoshinoh,2012-09-18T13:44:52Z,234,0.27,133,19,0.03,0.3,0.23,0.24,0.67,0.1,0.57,0.69,2.27,1.29,20.79,8.6,0.18,2.31,0.4,411,0.97,651,450,0.96,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;946.500,NULL,946.5,NULL,NULL,946.5,NULL,NULL,C0020A;956.500,NULL,956.5,NULL,NULL,956.5,C0020A-61SMW WR,CKY000000000005086600,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.5347,4.4557,0.067781968,1.329763687,0.501482727,NULL,hoshinoh,2012-09-18T13:44:52Z,215,0.41,154,17,0.03,0.26,0.31,0.38,0.55,0.07,0.48,0.78,1.74,1.25,17.52,13.7,0.14,1.68,0.3,298,0.81,651,336,1.09,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;996.500,NULL,996.5,NULL,NULL,996.5,NULL,NULL,C0020A;1006.500,NULL,1006.5,NULL,NULL,1006.5,C0020A-66SMW WR,CKY000000000005086700,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.2335,1.9458,0.058898747,1.403047882,0.615933815,NULL,hoshinoh,2012-09-18T13:44:52Z,299,0.33,81,20,0.04,0.32,0.31,0.28,0.49,0.06,0.43,1.08,2.42,0.66,15.73,10.2,0.16,1.34,0.3,295,0.81,651,334,1.65,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1046.500,NULL,1046.5,NULL,NULL,1046.5,NULL,NULL,C0020A;1056.500,NULL,1056.5,NULL,NULL,1056.5,C0020A-73SMW WR,CKY000000000005086800,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,6.3628,53.0212,0.042030488,5.94948853,0.035100309,NULL,hoshinoh,2012-09-18T13:44:52Z,83,4.76,138,17,4.11,0.15,0.36,0.65,0.77,0.08,0.69,0.43,0.76,1.27,25.25,23.4,0.16,1.85,0.5,293,0.92,796,331,150.62,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1096.500,NULL,1096.5,NULL,NULL,1096.5,NULL,NULL,C0020A;1106.500,NULL,1106.5,NULL,NULL,1106.5,C0020A-81SMW WR,CKY000000000005086900,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.7549,6.2906,0.040811565,1.510973377,0.517444443,NULL,hoshinoh,2012-09-18T13:44:52Z,214,0.95,85,19,0.59,0.28,0.42,0.36,0.53,0.07,0.46,1.26,1.73,0.69,16.75,13.1,0.15,1.55,0.3,288,0.81,736,327,21.54,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1246.500,NULL,1246.5,NULL,NULL,1246.5,NULL,NULL,C0020A;1256.500,NULL,1256.5,NULL,NULL,1256.5,C0020A-98SMW WR,CKY000000000005087000,CARB,NULL,1,miyabes,shared with BMK,CKY,2012-08-19T00:12:27Z,0.2594,2.1616,0.043208905,1.000622297,0.222632276,NULL,hoshinoh,2012-09-18T13:44:52Z,60,0.26,107,37,0.05,0.07,0.12,0.21,0.6,0.1,0.5,0.06,0.4,0.72,18.24,7.5,0.25,2.26,0.2,331,0.67,651,370,1.96,miyabes,2012-09-19T12:46:38Z
"C0020A-1R-2, 65.0 cm",NULL,NULL,NULL,1278.42,1278.42,1278.42,1278.42,"C0020A-1R-2, 81.0 cm",NULL,NULL,NULL,1278.58,1278.58,1278.58,1278.58,"C0020A-1R-2 WR, 65.0--81.0 cm",CKY000000000005236300,CARB,NULL,1,yamamoton,shared with BMK,CKY,2012-08-30T19:36:18Z,0.1822,1.5183,0.009650787,0.608715423,0.03174839,NULL,hoshinoh,2012-09-18T13:44:52Z,442,0.16,353,95,0,0.24,0.26,0.16,0.14,0.02,0.12,0.59,1.68,1.34,4.42,5.9,0.36,0.43,0.1,302,0.38,651,340,0.06,miyabes,2012-09-19T12:46:38Z
"C0020A-2R-2, 93.5 cm",NULL,NULL,NULL,1288.335,1288.335,1288.335,1288.335,"C0020A-2R-2, 94.0 cm",NULL,NULL,NULL,1288.34,1288.34,1288.34,1288.34,"C0020A-2R-2 WR, 93.5--94.0 cm",CKY000000000005236400,CARB,NULL,1,yamamoton,Shared with BMK,CKY,2012-08-30T19:36:18Z,0.2835,2.3624,0.501629738,24.6254532,0.6953359,"TC, TN & TS data was accepted second measurement.",hoshinoh,2012-09-18T13:44:52Z,124,2.67,80,32,1.1,3.44,0,1.57,20.3,2.34,17.96,0,29.39,19.1,658.59,51.6,7.54,54.7,7.4,411,23.74,798,451,40.48,miyabes,2012-09-19T12:46:38Z
"C0020A-2R-3, 60.0 cm",NULL,NULL,NULL,1289.39,1289.39,1289.39,1289.39,"C0020A-2R-3, 81.0 cm",NULL,NULL,NULL,1289.6,1289.6,1289.6,1289.6,"C0020A-2R-3 WR, 60.0--81.0 cm",CKY000000000005236500,CARB,NULL,1,yamamoton,shared with BMK,CKY,2012-08-30T19:36:19Z,0.033,0.275,0.020181553,0.326863172,0.095295083,NULL,hoshinoh,2012-09-18T13:44:52Z,157,0.1,367,81,0,0.09,0.52,0.1,0.12,0.01,0.11,0.36,0.33,0.77,3.88,3.6,0.17,0.33,0.2,295,0.21,651,333,0.05,miyabes,2012-09-19T12:46:38Z
"C0020A-2R-4, 4.0 cm",NULL,NULL,NULL,1289.64,1289.64,1289.64,1289.64,"C0020A-2R-4, 5.5 cm",NULL,NULL,NULL,1289.655,1289.655,1289.655,1289.655,"C0020A-2R-4 W, 4.0--5.5 cm",CKY000000000005237000,CARB,NULL,1,arakaway,shared with BMK,CKY,2012-09-10T05:24:44Z,1.6323,13.602,0.031965944,1.935547691,0.724162683,NULL,hoshinoh,2012-09-18T13:44:52Z,22,1.55,614,69,0.01,0.08,0.16,1.55,0.28,0.03,0.25,0.01,0.08,2.21,9.17,56.5,0.25,0.81,0.2,429,0.36,651,467,0.28,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1366.500,NULL,1366.5,NULL,NULL,1366.5,NULL,NULL,C0020A;1376.500,NULL,1376.5,NULL,NULL,1376.5,C0020A-128SMW WR,CKY000000000005160100,CARB,NULL,5,ohashia,NULL,CKY,2012-09-17T22:30:12Z,0.2481,2.0674,0.050081,1.75833594,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-3R-3, 60.0 cm",NULL,NULL,NULL,1372.59,1372.59,1372.59,1372.59,"C0020A-3R-3, 77.0 cm",NULL,NULL,NULL,1372.76,1372.76,1372.76,1372.76,"C0020A-3R-3 WR, 60.0--77.0 cm",CKY000000000005236600,CARB,NULL,1,yamamoton,shared with BMK,CKY,2012-08-30T19:36:19Z,0.0292,0.2433,0.044501279,0.597059757,0.795134322,NULL,hoshinoh,2012-09-18T13:44:52Z,49,0.1,116,30,0.02,0.04,0.01,0.08,0.39,0.05,0.34,0,0.21,0.5,12.39,2.8,0.13,1.21,0.3,412,0.43,651,450,0.65,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1376.500,NULL,1376.5,NULL,NULL,1376.5,NULL,NULL,C0020A;1386.500,NULL,1386.5,NULL,NULL,1386.5,C0020A-129SMW WR,CKY000000000005162100,CARB,NULL,5,ohashia,NULL,CKY,2012-09-17T22:30:13Z,0.3765,3.1374,0.047611286,1.984915467,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-4R-3, 64.0 cm",NULL,NULL,NULL,1378.085,1378.085,1378.085,1378.085,"C0020A-4R-3, 77.0 cm",NULL,NULL,NULL,1378.215,1378.215,1378.215,1378.215,"C0020A-4R-3 WR, 64.0--77.0 cm",CKY000000000005236700,CARB,NULL,1,yamamoton,shared with BMK,CKY,2012-08-30T19:36:19Z,0.0093,0.0775,0.017997038,0.090334528,0.103200376,NULL,hoshinoh,2012-09-18T13:44:52Z,350,0.03,333,0,0.01,0.02,0.03,0.02,0.04,0,0.04,0.01,0.21,0.2,1.62,0.8,0,0.11,0,604,0.06,651,647,0.46,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1486.500,NULL,1486.5,NULL,NULL,1486.5,NULL,NULL,C0020A;1496.500,NULL,1496.5,NULL,NULL,1496.5,C0020A-152SMW WR,CKY000000000005200000,CARB,NULL,5,ohashia,NULL,CKY,2012-09-17T22:31:03Z,0.2091,1.7424,0.011190063,1.079711472,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-5R-3, 24.0 cm",NULL,NULL,NULL,1492.09,1492.09,1492.09,1492.09,"C0020A-5R-3, 39.0 cm",NULL,NULL,NULL,1492.24,1492.24,1492.24,1492.24,"C0020A-5R-3 WR, 24.0--39.0 cm",CKY000000000005236800,CARB,NULL,1,yamamoton,shared with BMK,CKY,2012-08-30T19:36:19Z,0,0,0.015723364,0.246419807,0.918705129,NULL,hoshinoh,2012-09-18T13:44:52Z,206,0.06,388,81,0,0.07,0.43,0.05,0.09,0.02,0.07,0.25,0.33,0.62,2.55,1.9,0.13,0.56,0.1,297,0.16,651,335,0.11,miyabes,2012-09-19T12:46:38Z
"C0020A-6R-2, 0.0 cm",NULL,NULL,NULL,1496.405,1496.405,1496.405,1496.405,"C0020A-6R-2, 15.0 cm",NULL,NULL,NULL,1496.555,1496.555,1496.555,1496.555,"C0020A-6R-2 WR, 0.0--15.0 cm",CKY000000000005237300,CARB,NULL,1,yamamoton,shared with BMK,CKY,2012-08-30T19:36:19Z,0.0113,0.0942,0.025235348,0.258728245,0.588907241,NULL,hoshinoh,2012-09-18T13:44:52Z,36,0.05,186,32,0,0.03,0,0.05,0.19,0.03,0.16,0,0.08,0.41,5.83,1.6,0.07,0.81,0.2,421,0.22,651,459,0.01,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1496.500,NULL,1496.5,NULL,NULL,1496.5,NULL,NULL,C0020A;1506.500,NULL,1506.5,NULL,NULL,1506.5,C0020A-153SMW WR,CKY000000000005200700,CARB,NULL,5,ohashia,NULL,CKY,2012-09-17T22:31:03Z,0.834,6.9497,0.014912311,1.663545538,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-7R-1, 53.0 cm",NULL,NULL,NULL,1599.53,1599.53,1599.53,1599.53,"C0020A-7R-1, 65.0 cm",NULL,NULL,NULL,1599.65,1599.65,1599.65,1599.65,"C0020A-7R-1 WR, 53.0--65.0 cm",CKY000000000005236900,CARB,NULL,1,yamamoton,shared with BMK,CKY,2012-08-30T19:36:19Z,0.0299,0.2492,0.103597496,3.246915955,0.81626171,NULL,hoshinoh,2012-09-18T13:44:52Z,85,0.15,69,27,0.02,0.38,0.01,0.14,3.11,0.53,2.58,0.03,2.97,2.4,94.48,4.3,0.93,12.38,1,431,3.49,651,469,0.57,miyabes,2012-09-19T12:46:38Z
"C0020A-8L-5, 20.0 cm",NULL,NULL,NULL,1607.36,1607.36,1607.36,1607.36,"C0020A-8L-5, 35.0 cm",NULL,NULL,NULL,1607.51,1607.51,1607.51,1607.51,"C0020A-8L-5 WR, 20.0--35.0 cm",CKY000000000005237100,CARB,NULL,1,yamamoton,shared with BMK,CKY,2012-08-30T19:36:19Z,0.0512,0.4266,0.022560428,0.11322748,0.125382197,NULL,hoshinoh,2012-09-18T13:44:52Z,180,0.05,900,20,0,0.02,0,0.05,0.03,0,0.03,0,0.09,0.45,1.17,1.7,0.01,0.06,0,496,0.05,651,539,0.01,miyabes,2012-09-19T12:46:38Z
"C0020A-8L-9, 0.0 cm",NULL,NULL,NULL,1611.17,1611.17,1611.17,1611.17,"C0020A-8L-9, 16.0 cm",NULL,NULL,NULL,1611.33,1611.33,1611.33,1611.33,"C0020A-8L-9 WR, 0.0--16.0 cm",CKY000000000005237200,CARB,NULL,1,yamamoton,shared with BMK,CKY,2012-08-30T19:36:19Z,0,0,0.071750483,0.78143871,1.179013178,NULL,hoshinoh,2012-09-18T13:44:52Z,167,0.06,67,22,0.01,0.13,0.02,0.06,0.6,0.1,0.5,0.02,1.22,0.49,18.41,1.8,0.16,2.38,0.3,422,0.73,651,460,0.2,miyabes,2012-09-19T12:46:38Z
"C0020A-9R-4, 0.0 cm",NULL,NULL,NULL,1628.347,1628.375,1628.347,1628.375,"C0020A-9R-4, 20.0 cm",NULL,NULL,NULL,1628.545,1628.575,1628.545,1628.575,"C0020A-9R-4 WR, 0.0--20.0 cm",CKY000000000005312800,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-03T14:32:46Z,0,0,0.093793957,1.027419537,1.404596959,NULL,hoshinoh,2012-09-18T13:44:52Z,173,0.07,60,6,0.01,0.17,0.01,0.05,0.82,0.15,0.67,0.02,1.71,0.59,24.63,1.7,0.06,3.56,0.4,418,0.99,651,456,0.5,miyabes,2012-09-19T12:46:38Z
"C0020A-10R-2, 53.0 cm",NULL,NULL,NULL,1631.44,1631.44,1631.44,1631.44,"C0020A-10R-2, 70.0 cm",NULL,NULL,NULL,1631.61,1631.61,1631.61,1631.61,"C0020A-10R-2 WR, 53.0--70.0 cm",CKY000000000005410300,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-03T14:32:46Z,0.0393,0.3275,0.088922898,2.253698399,0.856501035,NULL,hoshinoh,2012-09-18T13:44:52Z,52,0.12,50,22,0.01,0.18,0,0.11,2.34,0.43,1.91,0,1.31,1.26,70.14,3.5,0.55,10.03,0.7,432,2.52,651,472,0.27,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1636.500,NULL,1636.5,NULL,NULL,1636.5,NULL,NULL,C0020A;1646.500,NULL,1646.5,NULL,NULL,1646.5,C0020A-188SMW WR,CKY000000000005282500,CARB,NULL,5,hitomiy,1-4 shared w/ PP,CKY,2012-09-11T10:26:52Z,0.0176,0.1467,0.048677959,2.150653453,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,C0020A;1736.500,NULL,1736.5,NULL,NULL,1736.5,NULL,NULL,C0020A;1746.500,NULL,1746.5,NULL,NULL,1746.5,C0020A-206SMW WR,CKY000000000005419000,CARB,NULL,5,hitomiy,1-4 shared w/ PP,CKY,2012-09-11T10:26:52Z,0.1308,1.09,0.027855812,1.981781214,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-11R-3, 0.0 cm",NULL,NULL,NULL,1739.63,1739.63,1739.63,1739.63,"C0020A-11R-3, 18.0 cm",NULL,NULL,NULL,1739.81,1739.81,1739.81,1739.81,"C0020A-11R-3 WR, 0.0--18.0 cm",CKY000000000005416500,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-03T14:32:46Z,0.0413,0.3442,0.027406743,0.333948806,0.955282114,NULL,hoshinoh,2012-09-18T13:44:52Z,104,0.08,181,8,0,0.04,0.02,0.08,0.22,0.04,0.18,0.01,0.27,0.47,6.78,2.7,0.02,0.96,0.1,426,0.26,651,469,0.02,miyabes,2012-09-19T12:46:38Z
"C0020A-11R-5, 58.0 cm",NULL,NULL,NULL,1743.08,1743.08,1743.08,1743.08,"C0020A-11R-5, 75.0 cm",NULL,NULL,NULL,1743.25,1743.25,1743.25,1743.25,"C0020A-11R-5 WR, 58.0--75.0 cm",CKY000000000005416600,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-03T14:32:46Z,0.092,0.7666,0.024447671,0.147377514,0.172229341,NULL,hoshinoh,2012-09-18T13:44:52Z,200,0.09,457,29,0,0.02,0,0.08,0.05,0.01,0.04,0,0.14,0.32,1.31,3.1,0.02,0.12,0,604,0.07,651,647,0.02,miyabes,2012-09-19T12:46:38Z
"C0020A-12R-6, 39.0 cm",NULL,NULL,NULL,1753.82,1753.82,1753.82,1753.82,"C0020A-12R-6, 44.0 cm",NULL,NULL,NULL,1753.87,1753.87,1753.87,1753.87,"C0020A-12R-6 WR, 39.0--44.0 cm",CKY000000000005410400,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-03T14:32:46Z,6.2865,52.3854,0.014982581,6.335385223,0.01999395,NULL,hoshinoh,2012-09-18T13:44:52Z,4,6.25,296,4,5.65,0.03,0,0.6,0.22,0.01,0.21,0,0.01,0.74,7.64,21.7,0.01,0.13,0.4,424,0.25,782,467,207.18,miyabes,2012-09-19T12:46:38Z
"C0020A-12R-7, 15.0 cm",NULL,NULL,NULL,1754.685,1754.685,1754.685,1754.685,"C0020A-12R-7, 30.0 cm",NULL,NULL,NULL,1754.835,1754.835,1754.835,1754.835,"C0020A-12R-7 WR, 15.0--30.0 cm",CKY000000000005416700,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-03T14:32:46Z,0.2645,2.2041,0.027670936,0.36348726,0.581497604,NULL,hoshinoh,2012-09-18T13:44:52Z,50,0.3,306,12,0,0.03,0,0.3,0.13,0.02,0.11,0,0.08,0.49,3.88,11,0.02,0.37,0.2,424,0.16,651,467,0.02,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1756.500,NULL,1756.5,NULL,NULL,1756.5,NULL,NULL,C0020A;1766.500,NULL,1766.5,NULL,NULL,1766.5,C0020A-208SMW WR,CKY000000000005331100,CARB,NULL,5,hitomiy,1-4 shared w/ PP,CKY,2012-09-11T10:26:52Z,0.3279,2.7324,0.022555766,1.72660809,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-13R-2, 44.0 cm",NULL,NULL,NULL,1758.281,1758.38,1758.281,1758.38,"C0020A-13R-2, 59.0 cm",NULL,NULL,NULL,1758.424,1758.53,1758.424,1758.53,"C0020A-13R-2 WR, 44.0--59.0 cm",CKY000000000005416800,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-03T14:32:46Z,0.242,2.0166,0.028862187,0.381311827,0.675886419,NULL,hoshinoh,2012-09-18T13:44:52Z,92,0.26,367,8,0,0.02,0,0.26,0.1,0.01,0.09,0,0.11,0.44,3.28,9.5,0.01,0.19,0.1,410,0.12,651,453,0.01,miyabes,2012-09-19T12:46:38Z
"C0020A-13R-8, 60.0 cm",NULL,NULL,NULL,1765.123,1765.6,1765.123,1765.6,"C0020A-13R-8, 77.0 cm",NULL,NULL,NULL,1765.285,1765.77,1765.285,1765.77,"C0020A-13R-8 WR, 60.0--77.0 cm",CKY000000000005512500,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-05T08:02:53Z,0.2184,1.8199,0.027211569,0.374625722,0.894925491,NULL,hoshinoh,2012-09-18T13:44:52Z,50,0.26,767,50,0,0.02,0,0.26,0.04,0.04,0,0,0.03,0.46,0.08,9.4,0.03,0.84,0.2,431,0.06,720,470,0,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1816.500,NULL,1816.5,NULL,NULL,1816.5,NULL,NULL,C0020A;1826.500,NULL,1826.5,NULL,NULL,1826.5,C0020A-216SMW WR,CKY000000000005419600,CARB,NULL,5,hitomiy,1-4 shared w/ PP,CKY,2012-09-11T10:26:52Z,0.4377,3.6474,0.025428034,1.753843313,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0020A-14R-2, 105.0 cm",NULL,NULL,NULL,1822.46,1822.46,1822.46,1822.46,"C0020A-14R-2, 120.0 cm",NULL,NULL,NULL,1822.61,1822.61,1822.61,1822.61,"C0020A-14R-2 WR, 105.0--120.0 cm",CKY000000000005514700,CARB,NULL,1,yushih337,shared with BMK,CKY,2012-09-05T10:56:01Z,0.1058,0.8816,0.055136274,0.934299866,0.997942467,NULL,hoshinoh,2012-09-18T13:44:52Z,83,0.45,96,10,0.31,0.09,0,0.15,0.69,0.17,0.52,0,0.65,0.75,19.17,5,0.08,3.87,0.5,424,0.78,834,463,11.27,miyabes,2012-09-19T12:46:38Z
NULL,NULL,C0020A;1916.500,NULL,1916.5,NULL,NULL,1916.5,NULL,NULL,C0020A;1926.500,NULL,1926.5,NULL,NULL,1926.5,C0020A-234SMW WR,CKY000000000005745500,CARB,NULL,5,hatakedak,1-4 shared w/ PP,CKY,2012-09-11T21:54:41Z,0.2907,2.4224,0.446764113,29.41466398,NULL,TS was not measured,hoshinoh,2012-09-18T13:44:52Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
