leg	site	hole	core	section	top interval depth (cm)	bottom interval depth (cm)	top of core depth (m)	sample depth (m)	percent total carbon	percent organic carbon	percent calcium carbonate (CaCO3)	method code	data source code
1	1		9	4	80.0	80.0	761.40	766.80	3.5	0.6	24.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	1		9	5	6.0	6.0	761.40	767.56	1.9	0.5	11.2	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	1		9	6	7.0	7.0	761.40	769.07	2.6	0.6	17.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	2		1	2	5.0	5.0	19.50	21.05	4.5	0.2	35.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	2		1	3	8.0	8.0	19.50	22.58	5.2	0.2	41.4	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	2		2	1	40.0	40.0	57.60	58.00	5.3	0.3	41.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	2		3	1	106.0	106.0	66.80	67.86	4.8	0.2	38.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	2		3	2	10.0	10.0	66.80	68.40	5.7	0.3	44.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	2		3	3	10.0	10.0	66.80	69.90	4.3	0.2	34.2	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	2		4	2	7.0	7.0	101.50	103.07	6.2	0.1	51.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		1	1	7.0	7.0	25.00	25.07	3.2	0.7	20.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		1	2	10.0	10.0	25.00	26.60	2.3	0.8	11.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		2	1	52.0	52.0	35.70	36.22	3.6	0.7	24.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		2	2	40.0	40.0	35.70	37.60	2.5	0.7	14.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		2	3	9.0	9.0	35.70	38.79	2.5	0.7	15.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		3	2	7.0	7.0	200.30	201.87	2.6	0.3	19.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		4	1	42.0	42.0	209.40	209.82	3.2	0.4	23.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		5	1	43.0	43.0	320.00	320.43	4.3	0.2	34.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		5	2	15.0	15.0	320.00	321.65	4.1	0.2	32.3	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		5	3	10.0	10.0	320.00	323.10	5.4	0.3	42.2	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		5	4	6.0	6.0	320.00	324.56	4.5	0.2	35.9	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		5	5	41.0	41.0	320.00	326.41	5.6	0.3	43.9	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		6	1	47.0	47.0	330.10	330.57	6.4	0.2	51.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		6	2	5.0	5.0	330.10	331.65	5.7	0.3	44.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		7	1	30.0	30.0	381.00	381.30	4.7	0.2	37.2	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		7	2	4.0	4.0	381.00	382.54	4.1	0.2	33.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		7	3	6.0	6.0	381.00	384.06	3.2	0.2	25.2	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		7	4	8.0	8.0	381.00	385.58	5.0	0.2	39.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		8	1	100.0	100.0	429.50	430.50	4.5	0.2	35.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		8	2	10.0	10.0	429.50	431.10	4.6	0.3	35.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		8	3	10.0	10.0	429.50	432.60	3.6	0.2	28.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		8	4	14.0	14.0	429.50	434.14	4.7	0.1	38.4	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		8	5	11.0	11.0	429.50	435.61	4.6	0.1	37.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		8	6	13.0	13.0	429.50	437.13	5.4	0.3	42.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		9	1	16.0	16.0	534.00	534.34	0.6	0.2	1.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		9	2	10.0	10.0	534.00	535.78	1.4	0.3	9.2	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		9	3	7.0	7.0	534.00	537.25	0.5	0.3	1.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		9	4	7.0	7.0	534.00	538.75	1.1	0.3	6.9	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		9	5	10.0	10.0	534.00	540.28	1.3	0.9	3.3	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		9	6	9.0	9.0	534.00	541.77	1.4	0.4	8.2	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		10	2	7.0	7.0	609.60	611.17	2.4	0.2	18.3	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	3		11	1	60.0	60.0	620.30	620.90	2.3	0.3	16.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	4		1	1	40.0	40.0	0.00	0.40	10.9	5.0	49.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	4		1	2	60.0	60.0	0.00	2.10	0.9	0.1	6.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	4		1	3	7.0	7.0	0.00	3.07	4.0	0.1	33.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	4		1	4	7.0	7.0	0.00	4.57	1.1	0.1	8.9	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	4		1	5	21.0	21.0	0.00	6.21	1.2	0.1	9.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	4		1	6	11.0	11.0	0.00	7.61	0.1	0.1	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	4		2	1	11.0	11.0	104.20	104.31	6.2	0.7	45.9	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	4		3	1	25.0	25.0	133.80	134.05	2.7	0.3	19.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	4		4	1	18.0	18.0	190.80	190.98	9.7	1.8	65.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	4	A	1	1	6.0	6.0	72.90	72.96	9.5	2.2	77.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	4	A	1	2	111.0	111.0	72.90	75.51	11.8	1.9	81.9	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	4	A	1	3	11.0	11.0	72.90	76.01	9.9	0.1	81.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	5		1	1	10.0	10.0	0.00	0.10	1.0	0.1	7.3	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	5		1	2	91.0	91.0	0.00	2.41	6.1	0.1	49.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	5		1	3	4.0	4.0	0.00	3.04	7.4	0.3	59.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	5		2	1	89.0	89.0	31.10	31.99	7.4	0.7	55.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	5		3	1	53.0	53.0	71.00	71.53	0.3	0.1	1.9	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		1	1	11.0	11.0	40.80	40.91	0.1	0.1	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		1	2	11.0	11.0	40.80	42.41	0.1	0.1	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		1	3	8.0	8.0	40.80	43.88	0.1	0.1	0.3	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		1	4	6.0	6.0	40.80	45.36	0.5	0.1	3.3	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		2	1	16.0	16.0	152.10	152.26	0.1	0.1	0.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		2	2	7.0	7.0	152.10	153.67	2.7	0.6	18.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		2	3	8.0	8.0	152.10	155.18	0.2	0.1	1.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		2	4	11.0	11.0	152.10	156.71	0.2	0.2	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		2	5	21.0	21.0	152.10	158.31	0.1	0.1	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		2	6	11.0	11.0	152.10	159.71	1.1	0.1	8.2	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		3	2	11.0	11.0	190.50	192.11	2.8	0.1	22.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		3	3	47.0	47.0	190.50	193.97	3.7	0.2	29.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		3	4	12.0	12.0	190.50	195.12	0.2	0.1	0.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		4	1	10.0	10.0	229.20	229.30	2.2	0.3	15.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		4	2	16.0	16.0	229.20	230.86	3.8	0.3	29.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		4	3	9.0	9.0	229.20	232.29	3.8	0.2	30.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		5	1	11.0	11.0	246.60	246.71	0.2	0.2	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		5	2	81.0	81.0	246.60	248.91	5.0	0.4	38.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		6	1	8.0	8.0	249.00	249.08	4.4	0.1	35.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6		6	2	5.0	5.0	249.00	250.55	0.7	0.1	4.9	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6	A	1	1	20.0	20.0	15.20	15.40	0.2	0.1	0.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6	A	1	2	11.0	11.0	15.20	16.81	0.6	0.1	4.2	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6	A	1	4	21.0	21.0	15.20	19.91	0.4	0.1	2.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	6	A	1	6	11.0	11.0	15.20	22.81	0.8	0.1	5.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	7		1	0	10.0	10.0	0.00	0.10	6.8	0.1	56.4	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	7		1	1	22.0	22.0	0.00	0.32	2.9	0.2	22.4	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	7		1	5	8.0	8.0	0.00	6.18	0.3	0.1	1.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	7	A	2	1	23.0	23.0	278.00	278.23	3.2	0.1	25.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	7	A	3	1	19.0	19.0	287.10	287.29	2.8	0.1	22.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
1	7	A	3	2	6.0	6.0	287.10	288.66	0.1	0.1	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	8		2	2	37.0	37.0	249.00	250.87	0.5	0.1	3.4	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	9		5	3	11.0	11.0	31.40	34.51	1.6	0.5	9.2	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	9		7	4	11.0	11.0	194.50	199.11	0.9	0.2	5.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	9		8	3	3.0	3.0	203.60	206.63	0.4	0.3	0.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	9		8	6	4.0	4.0	203.60	211.14	0.2	0.2	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	9		9	2	10.0	10.0	301.50	303.10	0.3	0.2	0.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	9		10	3	11.0	11.0	310.60	313.71	0.3	0.3	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	9		10	6	55.0	55.0	310.60	318.65	1.2	0.3	7.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	9	A	1	6	10.0	10.0	678.60	686.20	0.4	0.0	3.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	9	A	3	4	96.0	96.0	764.90	770.36	0.0	0.0	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	9	A	5	1	70.0	70.0	825.90	826.60	0.2	0.2	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		1	1	76.0	76.0	29.90	30.66	8.1	0.0	67.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		3	1	76.0	76.0	48.20	48.96	8.0	0.6	61.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		5	3	80.0	80.0	71.30	75.10	10.6	0.0	88.3	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		7	3	11.0	11.0	89.50	92.61	6.4	0.0	53.3	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		9	1	64.0	64.0	176.20	176.84	7.7	0.0	64.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		10	1	107.0	107.0	291.20	292.27	11.1	0.0	92.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		10	3	16.0	16.0	291.20	294.36	11.6	0.3	94.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		12	2	11.0	11.0	386.80	388.41	10.0	0.2	81.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		13	1	101.0	101.0	395.90	396.91	10.5	4.0	54.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		13	3	101.0	101.0	395.90	399.91	10.7	0.1	89.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		14	3	120.0	120.0	405.00	409.20	10.4	0.0	86.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		15	2	121.0	121.0	414.10	416.81	10.6	0.2	86.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		16	2	97.0	97.0	423.20	425.67	9.9	0.1	82.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		17	1	144.0	144.0	432.30	433.74	10.9	0.1	90.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	10		18	2	100.0	100.0	441.40	443.90	10.4	0.0	86.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	11		1	1	12.0	12.0	14.00	14.12	10.0	0.0	83.3	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	11	A	4	2	5.0	5.0	259.00	260.55	10.9	4.7	51.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	12	B	1	1	16.0	16.0	110.00	110.16	0.2	0.0	1.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	12	B	2	2	14.0	14.0	155.80	157.44	0.2	0.1	0.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	12	C	1	1	128.0	128.0	0.00	1.28	8.1	0.0	67.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	12	C	1	4	148.0	148.0	0.00	5.98	6.4	0.2	51.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	12	C	2	3	148.0	148.0	14.30	18.78	7.1	0.1	58.3	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	12	C	4	2	19.0	19.0	32.60	34.29	8.4	0.1	69.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	12	C	5	2	79.0	79.0	41.80	44.09	0.2	0.0	1.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	12	C	7	1	17.0	17.0	60.10	60.27	0.0	0.0	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
2	12	C	9	1	125.0	125.0	78.40	79.65	0.0	0.0	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		1	2	47.0	47.0	0.00	1.97	7.8	0.2	63.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		1	3	45.0	45.0	0.00	3.45	6.4	0.3	51.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		1	4	47.0	47.0	0.00	4.97	6.7	0.3	53.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		1	5	51.0	51.0	0.00	6.51	6.4	0.4	49.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		1	6	49.0	49.0	0.00	7.99	10.0	0.5	78.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		2	1	0.0	0.0	21.00	21.00	7.0	0.3	55.6	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		2	2	39.0	39.0	21.00	22.89	3.0	0.3	22.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		2	3	80.0	80.0	21.00	24.80	5.6	0.2	45.3	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		2	4	52.0	52.0	21.00	26.02	0.5	0.2	2.2	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		2	6	89.0	89.0	21.00	29.39	0.4	0.4	0.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		3	1	73.0	73.0	136.00	136.73	0.3	0.2	1.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		3	2	43.0	43.0	136.00	137.93	0.5	0.2	2.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		3	3	51.0	51.0	136.00	139.51	0.4	0.3	1.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		3	5	46.0	46.0	136.00	142.46	0.4	0.3	0.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13		3	6	64.0	64.0	136.00	144.14	0.4	0.3	0.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13	A	1	1	116.0	116.0	177.00	178.16	4.9	0.3	38.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13	A	2	1	100.0	100.0	242.00	243.00	4.1	0.3	32.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13	A	3	1	100.0	100.0	307.00	308.00	2.2	0.2	16.5	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13	A	3	3	47.0	47.0	307.00	310.47	3.2	0.4	23.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13	A	3	4	57.0	57.0	307.00	312.07	3.1	0.3	23.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	13	A	5	1	52.0	52.0	411.00	411.52	1.0	0.3	5.7	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	14		1	1	0.0	0.0	0.00	0.00	6.6	0.2	53.0	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	14		1	2	42.0	42.0	0.00	1.92	8.6	0.1	71.1	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
3	14		1	3	45.0	45.0	0.00	3.45	7.9	0.1	64.8	LECO 70-SECOND ANALYZER (total and/or organic)	DSDP SHORE LABORATORY
